AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1182407,2522604,,Banco Hurd,,,,,,
1182408,2522604,,Banc Hurd,,,,,,
4662189,2522604,,Hurd Bank,,,,,,
1207898,2562246,,Quarantine Harbour,,,,,,
1207899,2562246,,Marsamxett Harbour,,,,,,
1207900,2562246,,Marsamuscetto Harbour,,,,,,
2947338,2562246,link,https://en.wikipedia.org/wiki/Marsamxett_Harbour,,,,,,
4698653,2562246,,Il-Port ta’ Marsamxett,,,,,,
1207901,2562247,,M’Xloxx,,,,,,
1207902,2562247,,Marsa Scirocco,,,,,,
1207903,2562247,,Marsaxlok,,,,,,
1207904,2562247,,Marsa Shlok,,,,,,
2947339,2562247,link,https://en.wikipedia.org/wiki/Marsaxlokk,,,,,,
4698654,2562247,,Marsaxlokk,,,,,,
7412180,2562247,ru,Марсашлокк,1,,,,,
13787427,2562247,unlc,MTMAR,,,,,,
1207905,2562249,,Wied iz Zurrieg,,,,,,
1207906,2562249,,Wied Iz-Zurriek,,,,,,
4698655,2562249,,Wied iż-Żurrieq,,,,,,
1207907,2562250,,Casal Zurrico,,,,,,
1207908,2562250,,Zurriek,,,,,,
1207909,2562250,,Iż-Żurrieq,,,,,,
1207910,2562250,,Zurrico,,,,,,
2947340,2562250,link,https://en.wikipedia.org/wiki/%C5%BBurrieq,,,,,,
4698656,2562250,,Żurrieq,,,,,,
11370149,2562250,ce,Зеббудж,,,,,,
11370150,2562250,ckb,زوریق,,,,,,
11370151,2562250,el,Ζουριέκ,,,,,,
11370152,2562250,fa,زوریک,,,,,,
11370153,2562250,ko,주리크,,,,,,
11370154,2562250,lt,Zurikas,,,,,,
11370155,2562250,uk,Зуррік,,,,,,
11370156,2562250,ur,زوریئا,,,,,,
11370157,2562250,ru,Зуррик,,,,,,
11370158,2562250,zh,祖里格,,,,,,
13787473,2562250,unlc,MTZUR,,,,,,
11296697,2562251,link,https://en.wikipedia.org/wiki/%C5%BBonqor_Tower,,,,,,
11394903,2562251,,Żonqor Tower,,,,,,
1207911,2562252,,Secca Żonqor,,,,,,
4698657,2562252,,Sikka Żonqor,,,,,,
1207912,2562253,,Zonkor Point,,,,,,
1207913,2562253,,Ponta tal Zonkor,,,,,,
1207914,2562253,,Ponta taz Zonkor,,,,,,
1207915,2562253,,Zonqor Point,,,,,,
4698658,2562253,,Ponta taż-Żonqor,,,,,,
1207916,2562254,,Zonkor,,,,,,
4698659,2562254,,Żonqor,,,,,,
1207917,2562256,,Uied Znuber,,,,,,
1207918,2562256,,Wied Snuber,,,,,,
4698660,2562256,,Wied Żnuber,,,,,,
1207919,2562258,,Casal Zeitun,,,,,,
1207920,2562258,,Zeitun,,,,,,
1207921,2562258,,Iz Zeitun,,,,,,
1207922,2562258,,Iż-Żejtun,,,,,,
2947341,2562258,link,https://en.wikipedia.org/wiki/%C5%BBejtun,,,,,,
4698661,2562258,,Żejtun,,,,,,
9458510,2562258,ckb,زەیتوون، ماڵتا,,,,,,
9458511,2562258,fa,زیتون، مالت,,,,,,
9458512,2562258,lt,Zeitūnas,,,,,,
