AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
2184691,448254,,Agalega Islands,1,1,,,,
2299535,448254,nb,Agalegaøyene,,,,,,
2299536,448254,nn,Agalegaøyane,,,,,,
5701129,448254,link,https://en.wikipedia.org/wiki/Agalega_Islands,,,,,,
8392965,448254,fr,îles Agaléga,,,,,,
13699063,448254,de,Agalega-Insel,,,,,,
518212,933915,,Roche Baleine,,,,,,
4307893,933915,,Whale Rock,,,,,,
518213,933916,,West Peak,,,,,,
4307894,933916,,West Peak Trois Mamelles,,,,,,
518214,933917,,West Peak Fayence Mountains,,,,,,
4307895,933917,,West Peak,,,,,,
518215,933918,,Wahlalah,,,,,,
518216,933918,,Whalala,,,,,,
4307896,933918,,Walhala,,,,,,
15157066,933919,wkdt,Q27759762,,,,,,
15958997,933919,,Virgins Peak,,,,,,
15344157,933921,wkdt,Q27759760,,,,,,
15958998,933921,,Mont Virer,,,,,,
518217,933925,,Ville d’Avray,,,,,,
4307897,933925,,Ville d’Apray,,,,,,
15795152,933929,wkdt,Q27759754,,,,,,
15958999,933929,,Mont Villars,,,,,,
518218,933930,,Old Grand Port,,,,,,
4307898,933930,,Vieux Grand Port,,,,,,
518219,933933,,Verdun Station,,,,,,
4307899,933933,,Verdun,,,,,,
13787515,933933,unlc,MUVER,,,,,,
15465771,933933,wkdt,Q27759750,,,,,,
518220,933938,,Vacoas,,,,,,
518221,933938,,Vacoa,,,,,,
4307900,933938,,Vacoas Station,,,,,,
15622946,933939,wkdt,Q27759746,,,,,,
15959000,933939,,Vacoas Mountains,,,,,,
518222,933940,,Vacoas Point,,,,,,
518223,933940,,Pointe Vacou,,,,,,
4307901,933940,,Pointe Vacoas,,,,,,
518224,933941,,Pointe Vacoa,,,,,,
518225,933941,,Pointe Vacos,,,,,,
518226,933941,,Pointe Vacoas,,,,,,
518227,933941,,Vacoas Point,,,,,,
4307902,933941,,Pointe d’Azur,,,,,,
518228,933942,,Passe Vacoas,,,,,,
518229,933942,,Passe Vacoa,,,,,,
4307903,933942,,Passe Vacaos,,,,,,
518230,933943,,Mare-aux-Vacoas Reservoir,,,,,,
4307904,933943,,Mare aux Vacoas,,,,,,
6895213,933943,link,https://en.wikipedia.org/wiki/Mare_aux_Vacoas,,,,,,
8435361,933943,ru,Озеро Мар-о-Вакоа,1,,,,,
518231,933944,,Vaquoas Island,,,,,,
518232,933944,,Île Vacoas,,,,,,
518233,933944,,L’Ile aux Vaquois,,,,,,
518234,933944,,Ile Vakois,,,,,,
4307905,933944,,Îlot Vacoas,,,,,,
518235,933945,,Vacoa,,,,,,
4307906,933945,,Vacoas,,,,,,
8257385,933945,,Vacoas-Phoenix,,,,,,
8257407,933945,link,https://en.wikipedia.org/wiki/Vacoas-Phoenix,,,,,,
8257433,933945,,Phoenix,,,,,,
15611434,933945,wkdt,Q27759738,,,,,,
518236,933946,,Union Vale,,,,,,
4307907,933946,,Union Vale Station,,,,,,
518237,933948,,Union Maurel,,,,,,
4307908,933948,,Réunion Maurel,,,,,,
518238,933950,,Trublet,,,,,,
4307909,933950,,Truble,,,,,,
518239,933952,,Trou Chenille,,,,,,
4307910,933952,,Trou Chenilles,,,,,,
2929503,933953,link,https://en.wikipedia.org/wiki/Trou_aux_Biches,,,,,,
4307911,933953,,Trou aux Biches,,,,,,
518240,933955,,Trois Islots,,,,,,
4307912,933955,,Trois Îlots,,,,,,
518241,933958,,Rivière Mare Triton,,,,,,
4307913,933958,,Rivière Triton,,,,,,
2929504,933959,link,https://en.wikipedia.org/wiki/Triolet%2C_Mauritius,,,,,,
3038719,933959,ru,Триолет,,,,,,
4307914,933959,,Triolet,,,,,,
15245813,933959,wkdt,Q27759734,,,,,,
518242,933962,,Pointe des 13 Cantons,,,,,,
518243,933962,,Treise Cantons,,,,,,
518244,933962,,Treize Cantons Point,,,,,,
518245,933962,,Treize Cantons,,,,,,
4307915,933962,,Pointe des Treize Cantons,,,,,,
518246,933965,,Cooper Island,,,,,,
518247,933965,,Tonnelier Island,,,,,,
518248,933965,,Île aux Tonneliers,,,,,,
4307917,933965,,Tonneliers Island,,,,,,
518249,933968,,Tombeau River,,,,,,
518250,933968,,Rivière du Tombeau,,,,,,
518251,933968,,Tombeau,,,,,,
4307918,933968,,River du Tombeau,,,,,,
6893185,933968,link,https://en.wikipedia.org/wiki/Rivi%C3%A8re_du_Tombeau,,,,,,
13634620,933970,link,https://en.wikipedia.org/wiki/Lyman_Estate,,,,,,
13634621,933970,,Lyman Estate,,,,,,
13638664,933970,,The Vale,,,,,,
15657851,933970,wkdt,Q27760996,,,,,,
518252,933971,,Mount,,,,,,
4307919,933971,,The Mount,,,,,,
518253,933972,,Rivulet Terre Rouge,,,,,,
518254,933972,,Ruisseau Terre Rouge,,,,,,
518255,933972,,Terra Rouge River,,,,,,
518256,933972,,Terre Rouge River,,,,,,
4307920,933972,,Rivière Terre Rouge,,,,,,
518257,933973,,Terre Rouge,,,,,,
518258,933973,,Rivière Terre Rouge,,,,,,
4307921,933973,,River Terre Rouge,,,,,,
11947908,933974,link,https://fr.wikipedia.org/wiki/Terre_Rouge_(Maurice),,,,,,
11953237,933974,,Terre Rouge,,,,,,
15634650,933974,wkdt,Q27760994,,,,,,
15472754,933975,wkdt,Q27760992,,,,,,
15959001,933975,,Tamarin Mountain Range,,,,,,
518259,933976,,Mount Tamarin,,,,,,
518260,933976,,Tamarin,,,,,,
4307922,933976,,Tamarin Mountain,,,,,,
518261,933977,,Tamarind Falls Reservoir,,,,,,
4307923,933977,,Tamarin Falls Reservoir,,,,,,
7495926,933977,link,https://en.wikipedia.org/wiki/Tamarind_Falls,,,,,,
8435363,933977,ru,Водохранилище Тамарен-Фолс,,,,,,
518262,933979,,Rivière de Tamarin,,,,,,
518263,933979,,Tamarin Rivière,,,,,,
518264,933979,,Tamarin,,,,,,
4307924,933979,,River Tamarin,,,,,,
518265,933980,,Tamarin,,,,,,
518266,933980,,Pointe Tamarin,,,,,,
518267,933980,,Tamarin Point,,,,,,
4307925,933980,,Pointe du Tamarin,,,,,,
518268,933981,,Tamarin Bay,,,,,,
4307926,933981,,Baie du Tamarin,,,,,,
8435385,933981,ru,Бухта Тамарин,1,,,,,
2929505,933982,link,https://en.wikipedia.org/wiki/Tamarin%2C_Mauritius,,,,,,
13787514,933982,unlc,MUTAM,,,,,,
518269,933986,,Tabac,,,,,,
518270,933986,,Rivière Tabac,,,,,,
4307927,933986,,River Tabac,,,,,,
15434112,933987,wkdt,Q27760976,,,,,,
15959002,933987,,Mont Surinam,,,,,,
13634608,933988,link,"https://en.wikipedia.org/wiki/Surinam,_Mauritius",,,,,,
13638665,933988,,Surinam,,,,,,
15295542,933988,wkdt,Q9348370,,,,,,
518271,933989,,Cape Brabant,,,,,,
518272,933989,,Morne Brabant,,,,,,
4307928,933989,,Pointe Sud Ouest,,,,,,
518273,933990,,Pointe Sud Flic en Flacq,,,,,,
4307929,933990,,Pointe Sud Flic en Flac,,,,,,
518274,933992,,Spear Glass,,,,,,
4307930,933992,,Spear Grass Peak,,,,,,
15581589,933992,wkdt,Q27760970,,,,,,
518275,933994,,Southern Entrance,,,,,,
518276,933994,,South Entrance to Grand Port,,,,,,
4307931,933994,,South Entrance,,,,,,
518277,933995,,Port Souillac,,,,,,
518278,933995,,Soullac,,,,,,
2929506,933995,link,https://en.wikipedia.org/wiki/Souillac%2C_Mauritius,,,,,,
15776276,933995,wkdt,Q27760966,,,,,,
7078996,934001,link,https://en.wikipedia.org/wiki/Solferino%2C_Mauritius,,,,,,
7118837,934001,,Solférino,,,,,,
518279,934003,,Snail,,,,,,
4307932,934003,,Snail Rock,,,,,,
518280,934004,,Ile Sirène,,,,,,
4307933,934004,,Siren Island,,,,,,
15837692,934004,wkdt,Q27760960,,,,,,
518281,934005,,Île Singe,,,,,,
518282,934005,,Singe Island,,,,,,
4307934,934005,,Île aux Singes,,,,,,
15648570,934006,wkdt,Q27760956,,,,,,
15959003,934006,,Simonet,,,,,,
518283,934009,,Île aux Serpents,,,,,,
