AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
152785,235626,,Weteze,,,,,,
4261155,235626,,Witeze,,,,,,
152786,235628,,Viraulu Hill,,,,,,
4261164,235628,,Virauli Hill,,,,,,
15414394,235628,wkdt,Q27765421,,,,,,
13448634,235638,en,Sikana,,,,,,
13448635,235638,,Shikana,,,,,,
13448636,235638,en,Nchumbe,,,,,,
13448637,235639,en,Siyenye,,,,,,
13448638,235639,,Seyenye,,,,,,
152787,235640,,Serere River,,,,,,
4261228,235640,,Sere River,,,,,,
152788,235642,,Isanga,,,,,,
4261242,235642,,Sanga,,,,,,
13448639,235643,en,Chesa Sabuni,,,,,,
13448640,235643,,Sabun,,,,,,
152789,235644,,Kuwenya Hill,,,,,,
4261248,235644,,Ruwenya Hill,,,,,,
13448641,235644,en,Ruwenya,,,,,,
15316388,235644,wkdt,Q27765420,,,,,,
152790,235653,,Rukuru,,,,,,
4261332,235653,,North Rukuru River,,,,,,
13448644,235654,en,Nkangwa,,,,,,
13448647,235668,en,Mwenefumbo,,,,,,
13448648,235668,,Mwenefumba,,,,,,
152791,235674,,Mwakawange,,,,,,
4261494,235674,,Mwakawenge,,,,,,
13448649,235674,en,Mwakabanga,,,,,,
13448654,235678,en,Mung’umbe,,,,,,
13448655,235678,,Mungombwe,,,,,,
152792,235681,,Mugensse,,,,,,
4261509,235681,,Mugesse Hill,,,,,,
13448660,235683,en,Mpwamu,,,,,,
13448661,235683,,Mpwama,,,,,,
152793,235685,,Misiku,,,,,,
152794,235685,,Misuko Hill,,,,,,
4261597,235685,,Misuku,,,,,,
152795,235686,,Misuko,,,,,,
4261598,235686,,Misuku,,,,,,
13448665,235688,en,Mbura,,,,,,
13448666,235688,,Mbora,,,,,,
152796,235689,,Mbalise River,,,,,,
152797,235689,,Mpalisi,,,,,,
4261640,235689,,Mbalizi,,,,,,
152798,235693,,Minolo Stream,,,,,,
4261668,235693,,Manolo,,,,,,
152799,235694,,Mambchira,,,,,,
152800,235694,,Makumbukiro River,,,,,,
4261675,235694,,Mambukiro River,,,,,,
13448671,235694,en,Mwambuchilo,,,,,,
152801,235697,,Makeye Stream,,,,,,
4261698,235697,,Makeye River,,,,,,
152802,235698,,Maronga,,,,,,
4261714,235698,,Maconga,,,,,,
152803,235702,,Lufira River,,,,,,
152804,235702,,Lupira River,,,,,,
152805,235702,,River Rufira,,,,,,
4261744,235702,,Lufilya,,,,,,
15126225,235706,wkdt,Q27765411,,,,,,
15957110,235706,,Kiwanga Hill,,,,,,
152806,235707,,Kawumbe Hill,,,,,,
4261843,235707,,Kaumbe Hill,,,,,,
15124526,235707,wkdt,Q27765410,,,,,,
152807,235711,,Kasaya,,,,,,
4261858,235711,,Kaseya River,,,,,,
13448681,235711,en,Kaseye,,,,,,
1890503,235714,icao,FWKA,,,,,,
1890504,235714,iata,KGJ,,,,,,
5762495,235714,link,https://en.wikipedia.org/wiki/Karonga_Airport,,,,,,
5891545,235714,,Karonga,,,,,,
5891546,235714,,Karonga Airport,1,,,,,
15644373,235714,wkdt,Q6373238,,,,,,
1925328,235715,en,Karonga,,,,,,
1925329,235715,de,Karonga,,,,,,
1925330,235715,sv,Karonga,,,,,,
2921782,235715,link,https://en.wikipedia.org/wiki/Karonga,,,,,,
3037793,235715,ru,Каронга,,,,,,
4261863,235715,,Karonga,,,,,,
7483529,235715,iata,KGJ,,,,,,
13787533,235715,unlc,MWKGJ,,,,,,
15709509,235715,wkdt,Q1022512,,,,,,
15563495,235719,wkdt,Q27765409,,,,,,
15957135,235719,,Kapembe,,,,,,
152808,235720,,Kaomo,,,,,,
4261870,235720,,Kaoma River,,,,,,
152809,235724,,Kanga Stream,,,,,,
4261881,235724,,Kanga River,,,,,,
13448684,235724,en,Hanga,,,,,,
152810,235725,,Kamane,,,,,,
4261899,235725,,Kameme,,,,,,
14958059,235726,wkdt,Q27765408,,,,,,
15957158,235726,,Kamanura Hill,,,,,,
152811,235727,,Kawenji,,,,,,
4261917,235727,,Kalenje River,,,,,,
13448687,235729,en,Kafora,,,,,,
13448693,235732,en,Ipulukutu,,,,,,
13448694,235733,en,Iwongoro,,,,,,
13448695,235733,,Ipogorro,,,,,,
152812,235735,,Yembe Hill,,,,,,
4261947,235735,,Igembe,,,,,,
15665429,235735,wkdt,Q27765407,,,,,,
152813,235736,,Wanda Hill,,,,,,
4261948,235736,,Ibanda,,,,,,
15122820,235736,wkdt,Q27765406,,,,,,
13448700,235744,en,Chiwanga,,,,,,
13448701,235744,,Ciwanga,,,,,,
152815,235745,,Chuua,,,,,,
4261989,235745,,Chuna,,,,,,
13448702,235745,en,Chuwa,,,,,,
13448705,235747,en,Chiwanda,,,,,,
2185452,235749,,Chitipa,1,1,,,,
2921783,235749,link,https://en.wikipedia.org/wiki/Chitipa_District,,,,,,
5649969,235749,,Chitipa District,,,,,,
152816,235750,,Fort Hill,,,,,,
4262010,235750,,Chitipa,,,,,,
5887544,235750,icao,FWCT,,,,,,
152817,235751,,Chipita,,,,,,
152818,235751,,Fort Hill,,,,,,
2921784,235751,link,https://en.wikipedia.org/wiki/Chitipa,,,,,,
4262011,235751,,Chitipa,,,,,,
13787530,235751,unlc,MWCTP,,,,,,
15261074,235751,wkdt,Q1074915,,,,,,
15469336,235753,wkdt,Q27765404,,,,,,
15957209,235753,,Chisitu Hill,,,,,,
13448706,235754,en,Chizimu,,,,,,
13448707,235754,,Chishimu,,,,,,
13448710,235758,en,Chinyengwe,,,,,,
13448711,235758,en,Chinyungwe,,,,,,
13448712,235760,en,Chinunkha,,,,,,
13448713,235760,,Chinunka,,,,,,
152819,235762,,Chikombwe,,,,,,
4262083,235762,,Chikombwi,,,,,,
13448717,235764,en,Nchewe,,,,,,
13448718,235764,,Chewe,,,,,,
15594000,235766,wkdt,Q27765403,,,,,,
15957259,235766,,Changaroma Hill,,,,,,
515922,923277,,Sumulu River,,,,,,
4261150,923277,,Zumulu,,,,,,
15317809,923278,wkdt,Q27765401,,,,,,
15956937,923278,,Zulu Hill,,,,,,
15254292,923288,wkdt,Q27765398,,,,,,
15956938,923288,,Zomba Plateau,,,,,,
2185408,923292,,Zomba,1,1,,,,
2929366,923292,link,https://en.wikipedia.org/wiki/Zomba_District,,,,,,
5649948,923292,,Zomba District,,,,,,
5887954,923294,icao,FWZA,,,,,,
6128031,923294,,Zomba,,,,,,
8279666,923294,link,https://en.wikipedia.org/wiki/Zomba_Airport,,,,,,
1924294,923295,de,Zomba,,,,,,
1924295,923295,en,Zomba,,,,,,
1924296,923295,pl,Zomba,,,,,,
1924297,923295,et,Zomba,,,,,,
1924298,923295,ja,ゾンバ,,,,,,
1924299,923295,lt,Zomba,,,,,,
1924300,923295,sv,Zomba,,,,,,
1924301,923295,zh-CN,松巴,,,,,,
2016368,923295,is,Zomba,,,,,,
2929367,923295,link,https://en.wikipedia.org/wiki/Zomba%2C_Malawi,,,,,,
3038700,923295,ru,Зомба,,,,,,
4261151,923295,,Zomba,,,,,,
9459588,923295,ka,ზომბა,,,,,,
9459589,923295,ko,좀바,,,,,,
9459590,923295,sr,Зомба,,,,,,
9459591,923295,uk,Зомба,,,,,,
9459592,923295,zh,松巴,,,,,,
11469728,923295,fa,زومبا، مالاوی,,,,,,
13448631,923330,en,Ziyaka Ngwira,,,,,,
13448632,923330,,Zgaka Ngwira,,,,,,
515923,923332,,Zemberumi Hill,,,,,,
4261152,923332,,Zemberuni Hill,,,,,,
15425331,923332,wkdt,Q27765982,,,,,,
515924,923351,,Zanzi Peak,,,,,,
4261153,923351,,Zanzi Rock,,,,,,
8084355,923359,link,https://en.wikipedia.org/wiki/Zambara,,,,,,
8108562,923359,,Zambara,,,,,,
15419338,923359,wkdt,Q8065653,,,,,,
515925,923369,,Kitimbo Bay,,,,,,
4261154,923369,,Youngs Bay,,,,,,
13448633,923379,en,Yobe Gama,,,,,,
15586061,923403,wkdt,Q27765977,,,,,,
15956939,923403,,Wozi Hill,,,,,,
15157070,923417,wkdt,Q27765974,,,,,,
15956940,923417,,Wichinga Musi,,,,,,
515926,923420,,Luweza,,,,,,
4261156,923420,,Weza,,,,,,
515927,923431,,Waruru River,,,,,,
4261157,923431,,Wavuru Stream,,,,,,
515928,923432,,Wavuru,,,,,,
4261158,923432,,Wavura Hill,,,,,,
515929,923441,,Chombe,,,,,,
515930,923441,,Mount Wali,,,,,,
4261159,923441,,Mount Waller,,,,,,
515931,923457,,Vwasa Marsh,,,,,,
4261160,923457,,Vwaza Marsh,,,,,,
515932,923461,,Vundinira Hill,,,,,,
515933,923461,,Vundakiri,,,,,,
4261161,923461,,Vundikira Hill,,,,,,
15410750,923461,wkdt,Q27765967,,,,,,
515934,923462,,Vumo,,,,,,
4261162,923462,,Vumu Stream,,,,,,
15552966,923479,wkdt,Q27765966,,,,,,
15956941,923479,,Vitumbi,,,,,,
515935,923481,,Mpherere Mission,,,,,,
4261163,923481,,Visanza Mission,,,,,,
515936,923486,,Vinyirera Hill,,,,,,
4261165,923486,,Vinyepera Hill,,,,,,
15409067,923486,wkdt,Q27765963,,,,,,
515937,923499,,Usmuala,,,,,,
515938,923499,,Uzumora,,,,,,
515939,923499,,Uzumala,,,,,,
515940,923499,,Usivala Hill,,,,,,
515941,923499,,Usimvala Hill,,,,,,
4261166,923499,,Uzumara,,,,,,
15660382,923499,wkdt,Q27765959,,,,,,
515942,923505,,Utali,,,,,,
4261167,923505,,Utale Mission,,,,,,
515943,923508,,Usiska,,,,,,
4261168,923508,,Usisya,,,,,,
15413662,923516,wkdt,Q27765955,,,,,,
15956942,923516,,Unango Hill,,,,,,
515944,923517,,Lake Unaka,,,,,,
4261169,923517,,Unaka Lagoon,,,,,,
15719232,923522,wkdt,Q27765951,,,,,,
15956943,923522,,Ulumba,,,,,,
515945,923524,,Ulongwe,,,,,,
515946,923524,,Ulongwe Cotton Market,,,,,,
4261170,923524,,Ulongwe Trading Centre,,,,,,
515947,923536,,Ulamu Hill,,,,,,
4261171,923536,,Ulamwe,,,,,,
15656582,923536,wkdt,Q27765948,,,,,,
515948,923538,,Uikiwu Hill,,,,,,
515949,923538,,Uikiwu,,,,,,
515950,923538,,Usiku,,,,,,
4261172,923538,,Ukiwi Hill,,,,,,
15328931,923538,wkdt,Q27765947,,,,,,
15490470,923545,wkdt,Q27765946,,,,,,
15956944,923545,,Tupili,,,,,,
515951,923551,,Thumbulu,,,,,,
4261173,923551,,Tundulu,,,,,,
15415833,923551,wkdt,Q27765944,,,,,,
515952,923554,,Tumbwi Stream,,,,,,
4261174,923554,,Tumbwi River,,,,,,
515953,923556,,Bird Island,,,,,,
515954,923556,,Mumbo Island,,,,,,
515955,923556,,West Tumbi Island,,,,,,
4261175,923556,,Tumbi Island West,,,,,,
515956,923557,,East Tumbi Island,,,,,,
515957,923557,,Tumbi Island,,,,,,
515958,923557,,Dimwe Island,,,,,,
4261176,923557,,Tumbi Island East,,,,,,
15578883,923559,wkdt,Q27765941,,,,,,
15956945,923559,,Tuma Hill,,,,,,
515959,923564,,Tukumbo River,,,,,,
515960,923564,,Tukumba River,,,,,,
4261177,923564,,Tukombo,,,,,,
15483334,923567,wkdt,Q27765939,,,,,,
15956946,923567,,Tsunga Peak,,,,,,
515961,923568,,Nsumbi,,,,,,
4261178,923568,,Tsumbe,,,,,,
515962,923580,,Ntsengwa,,,,,,
4261179,923580,,Tsengwa Hill,,,,,,
515963,923582,,Senga,,,,,,
4261180,923582,,Tsenga,,,,,,
515964,923589,,Songano,,,,,,
515965,923589,,Sangano Hill,,,,,,
4261181,923589,,Tsangano,,,,,,
515966,923592,,Tsambalanthenga Hill,,,,,,
4261182,923592,,Tsambalathenga Hill,,,,,,
515967,923593,,Dzama Hill,,,,,,
4261183,923593,,Tsamba Hill,,,,,,
15665798,923593,wkdt,Q27765934,,,,,,
515968,923599,,Teto Stream,,,,,,
4261184,923599,,Toto Stream,,,,,,
515969,923610,,Tondo River,,,,,,
4261185,923610,,Tondu River,,,,,,
515970,923645,,Timbe Stream,,,,,,
4261186,923645,,Timbi Stream,,,,,,
515971,923646,,Timbizi,,,,,,
4261187,923646,,Timbiri,,,,,,
515972,923647,,Timbenow,,,,,,
