AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
5718955,1222381,,Langkawi,,,,,,
8534749,1222381,,Langkawi Permata Kedah,,,,,,
8807239,1222381,link,https://en.wikipedia.org/wiki/Langkawi,,,,,,
635208,1222385,,Pelabohan Bass,,,,,,
635209,1222385,,Bass Harbour,,,,,,
4072233,1222385,,Pelabuhan Bass,,,,,,
635210,1222386,,Pulo Teluyi,,,,,,
4072234,1222386,,Pulau Tebuyi,,,,,,
635211,1222387,,Padang Masirat,,,,,,
2526916,1222387,en,Kampung Padang Masirat,,,,,,
4072235,1222387,,Padang Mat Sirat,1,,,,,
11214539,1222387,ru,Кампунг-Паданг-Масират,,,,,,
11660205,1222387,,Kampung Padang Mat Sirat,1,,,,,
13653792,1222387,link,https://en.wikipedia.org/wiki/Padang_Matsirat,,,,,,
15417735,1222387,wkdt,Q33470964,,,,,,
635212,1222388,,Rambutan,,,,,,
4072236,1222388,,Kisap,,,,,,
635213,1222389,,Pulo Hijau,,,,,,
2526917,1222389,,Pulau Dangali,,,,,,
4072237,1222389,,Pulau Dangli,,,,,,
635214,1222390,,Tanjong Ulor,,,,,,
635215,1222390,,Tanjong Chinchin,,,,,,
635216,1222390,,Tandjoeng Chinchin,,,,,,
4072238,1222390,,Tanjung Cincin,,,,,,
635218,1222391,,Kampong Ayer Hangat,,,,,,
2526918,1222391,,Air Hangat,,,,,,
4072239,1222391,,Ayer Hangat,1,,,,,
11660204,1222391,,Эйр-Хангат,,,,,,
15692137,1222391,wkdt,Q33422978,,,,,,
635219,1222392,,Langkaw Island,,,,,,
4072240,1222392,,Pulau Langkawi,,,,,,
5705768,1222392,link,https://en.wikipedia.org/wiki/Langkawi,,,,,,
635220,1222393,,Tanjong Gamarau,,,,,,
635221,1222393,,Tanjong Gemarun,,,,,,
635222,1222393,,Tanjong Kemarong,,,,,,
4072241,1222393,,Tanjung Kemarung,,,,,,
635223,1222394,,Pulau Langgon,,,,,,
635224,1222394,,Pulo Tanjong Dendang,,,,,,
635225,1222394,,Poelau Langon,,,,,,
4072242,1222394,,Pulau Langgun,,,,,,
635226,1222395,,Pulo Temus,,,,,,
635227,1222395,,Pulau Tanjong Tembus Dendang,,,,,,
4072243,1222395,,Pulau Tanjung Dendang,,,,,,
635228,1222396,,Kwah,,,,,,
635229,1222396,,Langkawi,,,,,,
635230,1222396,,Kuan,,,,,,
2930850,1222396,link,https://en.wikipedia.org/wiki/Kuah,,,,,,
4072244,1222396,,Kuah,,,,,,
8065749,1222396,iata,LGK,,,,,,
8545254,1222396,en,Kuah,,,,,,
11214536,1222396,ru,Куах,1,,,,,
13788506,1222396,unlc,MYLGK,,,,,,
635231,1222397,,Pulau Pasu,,,,,,
635232,1222397,,Pulau Cherong,,,,,,
4072245,1222397,,Pulau Corong,,,,,,
635233,1222398,,Pulau Timum,,,,,,
635234,1222398,,Pulo Dindang,,,,,,
4072246,1222398,,Pulau Timun,,,,,,
15121288,1222399,wkdt,Q31761231,,,,,,
15920962,1222399,,Gunung Raya,,,,,,
635235,1222400,,Pulo Rebah,,,,,,
635236,1222400,,Pulau Rebak,,,,,,
4072247,1222400,,Pulau Rebak Besar,,,,,,
635238,1222401,,Pulo Tepur,,,,,,
2526919,1222401,,Pulau Tepur,,,,,,
4072248,1222401,,Pulau Tepor,,,,,,
635240,1222402,,Pulo Bras Basah,,,,,,
4072249,1222402,,Pulau Beras Basah,,,,,,
635241,1222403,,Pulau Lada,,,,,,
635242,1222403,,Pulau Laba,,,,,,
4072250,1222403,,Pulau Singa Besar,,,,,,
635243,1222404,,Pulau Engang,,,,,,
4072251,1222404,,Pulau Enggang,,,,,,
635244,1222405,,Dayang Bunting,,,,,,
635245,1222405,,Pulau Tubah,,,,,,
4072252,1222405,,Pulau Tuba,,,,,,
635246,1222406,,Dayang,,,,,,
4072253,1222406,,Pulau Dayang Bunting,,,,,,
8068319,1222409,link,https://en.wikipedia.org/wiki/Perak_Island,,,,,,
8105886,1222409,ms,Pulau Perak,,,,,,
635247,1222410,,Pulo Sagantang,,,,,,
635248,1222410,,Poelau Segantang,,,,,,
4072254,1222410,,Pulau Segantang,,,,,,
2526948,1222413,,Tyson Strait,,,,,,
4072963,1222413,,Selat Dayang Bunting,,,,,,
2526951,1222414,,Tanjong Tuba,,,,,,
4073007,1222414,,Tanjung Tuba,,,,,,
635249,1222417,,Tanjong Timun,,,,,,
4073090,1222417,,Tanjung Timun,,,,,,
635250,1222420,,Tanjong Tirei,,,,,,
635251,1222420,,Tanjong Tarai,,,,,,
2526974,1222420,,Tanjong Terai,,,,,,
4073286,1222420,,Tanjung Tirai,,,,,,
2526979,1222421,,Tanjong Tempulin,,,,,,
4073325,1222421,,Tanjung Tempulin,,,,,,
2526993,1222423,,Pulau Telok Duyong,,,,,,
4073378,1222423,,Pulau Duyong,,,,,,
635252,1222425,,Tukun Babau,,,,,,
2527003,1222425,,Pulau Tekon Baba,,,,,,
4073408,1222425,,Tukun Bebau Besar,,,,,,
2527012,1222426,,Selat Tanjong Dendang,,,,,,
4073502,1222426,,Selat Tanjung Dendang,,,,,,
2527020,1222428,,Pulau Tajal,,,,,,
4073570,1222428,,Pulau Tajai,,,,,,
2527047,1222430,,Pulau Singa Kechil,,,,,,
4073799,1222430,,Pulau Singa Kecil,,,,,,
2527063,1222437,,Bukit Sawah,,,,,,
4074472,1222437,,Bukit Sawak,,,,,,
635253,1222438,,Tanjong Sawi,,,,,,
2527064,1222438,,Tanjong Sawa,,,,,,
2527065,1222438,,Tanjong Sawah,,,,,,
4074474,1222438,,Tanjung Sawa,,,,,,
635254,1222443,,Seabelle Channel,,,,,,
635255,1222443,,Selat Sea Belle,,,,,,
4074896,1222443,,Selat Pulau Peluru,,,,,,
