AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
237913,345947,,Concelho,,,,,,
237914,345947,,Mozambique Island,,,,,,
4591694,345947,,Ilha de Moçambique,,,,,,
12251824,345947,link,https://en.wikipedia.org/wiki/Island_of_Mozambique,,,,,,
13444698,345947,en,Island of Mozambique,,,,,,
502889,882199,,Rukori Mountains,,,,,,
4098623,882199,,Rukore Range,,,,,,
4098624,882199,,Rukore Mountains,,,,,,
503007,883053,,Mupadeia,,,,,,
4098730,883053,,Pambeni,,,,,,
503547,884292,,Nhaquita,,,,,,
503548,884292,,Rio Nhaguite,,,,,,
503549,884292,,Nhaguita,,,,,,
4098951,884292,,Nhaguite,,,,,,
504126,885460,,Rio Mudzi,,,,,,
504127,885460,,Mudzi,,,,,,
504128,885460,,Múdezi,,,,,,
4099166,885460,,Rio Mudezi,,,,,,
512164,913005,,Kapoche,,,,,,
3209196,913005,,Rio Capoche,,,,,,
516697,927790,,Luchima,,,,,,
516698,927790,,Luchimwa,,,,,,
4261745,927790,,Luchimua,,,,,,
520854,946968,,Rio Uanètezana,,,,,,
520855,946968,,Rio Uanetxana,,,,,,
520856,946968,,Uanetzana River,,,,,,
520857,946968,,Rio Uanetzana,,,,,,
520858,946968,,Uanetzana,,,,,,
4318056,946968,,Rio Uanitzana,,,,,,
534185,1024047,,Rio Zune,,,,,,
4587759,1024047,,Rio Zuni,,,,,,
534186,1024050,,Zunguza,,,,,,
4587760,1024050,,Régulo Zunguza,,,,,,
534187,1024051,,Zunguza,,,,,,
4587761,1024051,,Solano,,,,,,
534188,1024053,,Monte Zúngila,,,,,,
534189,1024053,,Monte Zunjila,,,,,,
4587762,1024053,,Monte Zúngilo,,,,,,
15280498,1024053,wkdt,Q31773506,,,,,,
15782284,1024055,wkdt,Q30770553,,,,,,
16000721,1024055,,Monte Zungane,,,,,,
534190,1024058,,Rio Zunga,,,,,,
4587763,1024058,,Zunga,,,,,,
534191,1024059,,Serra Zune,,,,,,
4587764,1024059,,Serra Zane,,,,,,
15146132,1024059,wkdt,Q31773513,,,,,,
15383023,1024068,wkdt,Q31773516,,,,,,
16000722,1024068,,Serra Zuira,,,,,,
534192,1024069,,Zuiaga,,,,,,
4587765,1024069,,Zuioga,,,,,,
534193,1024070,,Ziua,,,,,,
534194,1024070,,Rio Ziua,,,,,,
4587766,1024070,,Rio Zuia,,,,,,
534195,1024089,,Zualo Mission,,,,,,
4587767,1024089,,Zualo,,,,,,
534196,1024094,,Lagoa Tzozote,,,,,,
534197,1024094,,Lago Zozote,,,,,,
4587768,1024094,,Lago Vimbane,,,,,,
534198,1024095,,M’zozomera,,,,,,
534199,1024095,,Zozomera,,,,,,
4587769,1024095,,Régulo Messossomera,,,,,,
534200,1024099,,Zonwi,,,,,,
534201,1024099,,Zenwe River,,,,,,
534202,1024099,,Zonwe River,,,,,,
4587770,1024099,,Rio Zónue,,,,,,
534203,1024102,,Zonguene,,,,,,
4587771,1024102,,Tzonguene,,,,,,
15137613,1024104,wkdt,Q31773519,,,,,,
16000723,1024104,,Monte Zone,,,,,,
534204,1024105,,Rio Zona,,,,,,
4587772,1024105,pt,Zónue,,,,,,
6146138,1024105,pt,Rio Zona,,,,,,
534205,1024108,,Zombi,,,,,,
4587773,1024108,,Zombe,,,,,,
15561132,1024111,wkdt,Q31773524,,,,,,
16000724,1024111,,Monte Zomba,,,,,,
534206,1024112,,Zomba,,,,,,
4587774,1024112,,Monte Zomba,,,,,,
15234867,1024112,wkdt,Q31773527,,,,,,
534207,1024120,,Quedas Zoa,,,,,,
4587775,1024120,,Zoa Falls,,,,,,
534208,1024123,,Tzizi,,,,,,
4587776,1024123,,Zizi,,,,,,
534209,1024133,,Lago Züía,,,,,,
4587777,1024133,,Lagoa Ziúa,,,,,,
534210,1024135,,Zituta,,,,,,
4587778,1024135,,Bin-Biri,,,,,,
534211,1024136,,Mucomaze,,,,,,
4587779,1024136,,Zitundo,,,,,,
15295093,1024139,wkdt,Q30770710,,,,,,
16000725,1024139,,Monte Ziquite,,,,,,
534212,1024140,,Sombreiro,,,,,,
4587780,1024140,,Ziquite,,,,,,
534213,1024141,,Ziquia,,,,,,
4587781,1024141,,Chefe Ziquia,,,,,,
534214,1024143,,Zione Mission,,,,,,
4587782,1024143,,Zione,,,,,,
3247965,1024152,pt,Zinhumbo,,,,,,
534215,1024158,,Zinhane,,,,,,
534216,1024158,,Zinhana,,,,,,
4587783,1024158,,Chefe Zinhane,,,,,,
534217,1024159,,Zinhafo,,,,,,
4587784,1024159,,Rio Zinhafu,,,,,,
534218,1024161,,Zinguezinga,,,,,,
534219,1024161,,Zingzinga,,,,,,
4587785,1024161,,Rio Zinguezinga,,,,,,
534220,1024163,,Lago Zingo,,,,,,
4587786,1024163,,Lagoa Zingo,,,,,,
534221,1024164,,Zinga-Zinga,,,,,,
4587787,1024164,,Monte Zinga-Zinga,,,,,,
534222,1024168,,Zindaba,,,,,,
4587788,1024168,,Matzequete,,,,,,
15154337,1024172,wkdt,Q31773530,,,,,,
16000726,1024172,,Serra Zimunde,,,,,,
534223,1024176,,Rio Zimirémire,,,,,,
4587789,1024176,,Zimiremire,,,,,,
534224,1024177,,Ponta Zimirimiri,,,,,,
4587790,1024177,,Ponta Zimiremire,,,,,,
15535415,1024181,wkdt,Q30771133,,,,,,
16000727,1024181,,Zimbula,,,,,,
4587791,1024184,pt,Zimbire,,,,,,
534225,1024191,,Zilo,,,,,,
4587792,1024191,,Chefe Zilo,,,,,,
534226,1024216,,Zengué,,,,,,
4587793,1024216,,Rio Zengué,,,,,,
534227,1024218,,Rio Zenga,,,,,,
4587794,1024218,,Zengue,,,,,,
534228,1024219,,Lago Zengo,,,,,,
4587795,1024219,,Lago Zenga,,,,,,
15692383,1024223,wkdt,Q31773534,,,,,,
16000728,1024223,,Montes Zemica,,,,,,
534229,1024224,,Zemele,,,,,,
534230,1024224,,Tzemele,,,,,,
4587796,1024224,,Tsemele,,,,,,
3247966,1024225,pt,Zembo,,,,,,
534231,1024226,,Rio Zembe,,,,,,
534232,1024226,,Rio Zemba,,,,,,
4587797,1024226,,Zemba,,,,,,
534233,1024233,,Zefania,,,,,,
4587798,1024233,,Chefe Zefanias,,,,,,
534234,1024236,,Zéfa,,,,,,
4587799,1024236,,Zefa,,,,,,
534235,1024237,,Zecuiomo,,,,,,
4587800,1024237,,Bengo-Bengo,,,,,,
534236,1024240,,Lagoa Zibelaongo,,,,,,
534237,1024240,,Lago Zibelaongo,,,,,,
4587801,1024240,,Lago Zebelaongo,,,,,,
15638794,1024243,wkdt,Q31773538,,,,,,
16000729,1024243,,Zavúdoè,,,,,,
534238,1024246,,Zavane,,,,,,
4587802,1024246,,Zavene,,,,,,
534239,1024247,,Tzavamuene,,,,,,
4587803,1024247,,Zavamuene,,,,,,
534240,1024249,,Circunscrição de Zavala,,,,,,
4587804,1024249,,Zavala,,,,,,
534241,1024250,,Zavala,,,,,,
4587805,1024250,,Regedor Zavala,,,,,,
14928798,1024250,wkdt,Q166838,,,,,,
534242,1024259,,Zauara,,,,,,
4587806,1024259,,Zauára,,,,,,
534243,1024263,,Zaracambe,,,,,,
4587807,1024263,,Rio Zaracambe,,,,,,
534244,1024264,,Tzaca,,,,,,
4587808,1024264,,Zara,,,,,,
534245,1024265,,Zaqueu Mission,,,,,,
4587809,1024265,,Zaqueu,,,,,,
534246,1024271,,Monte Zânzoè,,,,,,
4587810,1024271,,Monte Dzanzoé,,,,,,
15137169,1024271,wkdt,Q31773542,,,,,,
534247,1024273,,Lago Zanzative,,,,,,
4587811,1024273,,Lago Sanzative,,,,,,
534248,1024275,,Zanza,,,,,,
534249,1024275,,Tsanza,,,,,,
4587812,1024275,,Tzanza,,,,,,
534250,1024280,,Rio Zanica,,,,,,
4587813,1024280,,Zanica,,,,,,
534251,1024281,,Rio Zânguè,,,,,,
534252,1024281,,Zângoè,,,,,,
4587814,1024281,,Rio Zangoé,,,,,,
15051432,1024283,wkdt,Q30771285,,,,,,
16000730,1024283,,Monte Zangorgue,,,,,,
534253,1024284,,Zângoè Muana,,,,,,
534254,1024284,,Zângue Muana,,,,,,
4587815,1024284,,Rio Zaague Muana,,,,,,
534255,1024286,,Monte Zangozera,,,,,,
4587816,1024286,,Monte Zangazera,,,,,,
15746185,1024286,wkdt,Q30771425,,,,,,
534256,1024289,,Ribeira Zanganemba,,,,,,
4587817,1024289,,Zanganemba,,,,,,
534257,1024293,,Zandamela,,,,,,
4587818,1024293,,Chefe Zandamela,,,,,,
534258,1024299,,Zamite,,,,,,
4587819,1024299,,Antiga Serração Zamite,,,,,,
534259,1024303,,Zambuzi,,,,,,
3247967,1024303,,Rio Zambuzi,,,,,,
534260,1024304,,Monte Zambue,,,,,,
4587820,1024304,,Monte Zombue,,,,,,
15137612,1024304,wkdt,Q31773544,,,,,,
534261,1024305,,Zámbue,,,,,,
4587821,1024305,,Rio Zambue,,,,,,
534262,1024308,,Zambo,,,,,,
4587822,1024308,,Rio Zumbo,,,,,,
534263,1024310,,Zambjana,,,,,,
4587823,1024310,,Rio Zonzuana,,,,,,
534264,1024312,,Distrito de Zambézia,,,,,,
534265,1024312,,Zambezi,,,,,,
534266,1024312,,Provincia da Zambezia,,,,,,
2185072,1024312,,Zambézia,1,1,,,,
2930014,1024312,link,https://en.wikipedia.org/wiki/Zambezia_Province,,,,,,
5650817,1024312,,Província de Zambézia,,,,,,
534267,1024318,,Serra Zambangar,,,,,,
4587824,1024318,,Zambagar,,,,,,
15207577,1024318,wkdt,Q30771719,,,,,,
534268,1024319,,Zambanguèna,,,,,,
4587825,1024319,,Zambaguena,,,,,,
534269,1024323,,Zalala,,,,,,
4587826,1024323,,Zolala,,,,,,
534270,1024324,,Zala,,,,,,
4587827,1024324,,Baixo Zala,,,,,,
534271,1024328,,Zafania Mission,,,,,,
4587828,1024328,,Zafania,,,,,,
534272,1024329,,Zafania Mission,,,,,,
4587829,1024329,,Zafania,,,,,,
534273,1024331,,Zafania Mission,,,,,,
4587830,1024331,,Zafania,,,,,,
534274,1024332,,Zafania Mission,,,,,,
4587831,1024332,,Zafania,,,,,,
534275,1024333,,Zafania Mission,,,,,,
4587832,1024333,,Zafania,,,,,,
534276,1024334,,Zafania Mission,,,,,,
4587833,1024334,,Zafania,,,,,,
534277,1024335,,Zafania Mission,,,,,,
