AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
501434,876728,,Rio Zambeze,,,,,,
501435,876728,,Zambezi River,,,,,,
501436,876728,,Rio Cuama,,,,,,
501437,876728,,Zambesi,,,,,,
501438,876728,,Luabo de Este,,,,,,
501439,876728,,Zambezi,,,,,,
501440,876728,,Rio Zambezi,,,,,,
501441,876728,,Sambesi,,,,,,
501442,876728,,Zambeze,,,,,,
2416933,876728,fr,Zambèze,,,,,,
5705718,876728,link,https://en.wikipedia.org/wiki/Zambezi,,,,,,
501443,876730,,Ishesha,,,,,,
4013605,876730,,Yishesha,,,,,,
15605667,876733,wkdt,Q34783704,,,,,,
15917879,876733,,Xhamukwe,,,,,,
501444,876735,,Noma,,,,,,
4013610,876735,,Xao,,,,,,
501445,876747,,Tsumkwa,,,,,,
4013692,876747,,Tsumkwe,,,,,,
7060018,876747,link,https://en.wikipedia.org/wiki/Tsumkwe,,,,,,
15337913,876747,wkdt,Q622379,,,,,,
15471261,876749,wkdt,Q34867094,,,,,,
15917889,876749,,Tshankaka Plain,,,,,,
501446,876752,,Tshova,,,,,,
4013724,876752,,Tjova,,,,,,
501447,876753,,Tsheye,,,,,,
5433893,876753,,Tjeye,,,,,,
501448,876758,,Zoveha,,,,,,
4013733,876758,,Thovega,,,,,,
501449,876760,,Mukwe Island,,,,,,
4013734,876760,,Thipanana,,,,,,
501450,876761,,Shinyemba,,,,,,
4013735,876761,,Thinyemba,,,,,,
501451,876762,,Shinterewu,,,,,,
501452,876762,,Shindereu Omuramba,,,,,,
501453,876762,,Shindereu,,,,,,
4013736,876762,,Thinderevu,,,,,,
501454,876764,,Thigogoto,,,,,,
4013737,876764,,Thikukutu,,,,,,
501455,876784,,Seseke Sabanyai,,,,,,
4013794,876784,,Sishekesabanyia,,,,,,
501456,876800,,Simayumbula,,,,,,
4013795,876800,,Simajumbulas,,,,,,
2929129,876822,link,https://en.wikipedia.org/wiki/Sibbinda,,,,,,
4013797,876822,,Sibinda,,,,,,
15245686,876822,wkdt,Q2280865,,,,,,
501457,876830,,Shitemo,,,,,,
5433902,876830,,Shitembo,,,,,,
501458,876833,,Shinyungwa,,,,,,
5433903,876833,,Shinyungwe,,,,,,
501459,876837,,Shiwuru,,,,,,
5433905,876837,,Shighuru,,,,,,
501460,876838,,Shigruru Nejuwa,,,,,,
501461,876838,,Shiguru,,,,,,
501462,876838,,Shiguvu,,,,,,
5433906,876838,,Shighuru,,,,,,
501463,876839,,Shaikalawe,,,,,,
4013799,876839,,Shayikarawe,,,,,,
501464,876844,,Shangandu,,,,,,
4013801,876844,,Shangando,,,,,,
501465,876865,,Shatjuku Island,,,,,,
4013802,876865,,Shadjuku,,,,,,
501466,876870,,Sikubi,,,,,,
4013806,876870,,Sekubis,,,,,,
501467,876872,,Schukmansburg,,,,,,
501468,876872,,Schuickmannsburg,,,,,,
2929130,876872,link,https://en.wikipedia.org/wiki/Luhonono,,,,,,
4013818,876872,,Schuckmannsburg,,,,,,
8462301,876872,,Luhonono,,,,,,
8462302,876872,,Schuckmansburg,,,,,,
15627491,876872,wkdt,Q2167000,,,,,,
501469,876874,,Saperaperas,,,,,,
4013829,876874,,Sapelapela,,,,,,
11290722,876878,link,https://en.wikipedia.org/wiki/Sangwali,,,,,,
11390140,876878,,Sangwali,,,,,,
501470,876880,,Sambwechi,,,,,,
4013840,876880,,Sambwetji,,,,,,
501471,876882,,Samakape,,,,,,
5433910,876882,,Samakapi,,,,,,
501472,876883,,Amangeigei,,,,,,
501473,876883,,Amangagei,,,,,,
5433911,876883,,Samagaigai,,,,,,
501474,876887,,Sakapuka Forest,,,,,,
4013847,876887,,Sakampuka Bush,,,,,,
501475,876891,,Runjarara,,,,,,
5433916,876891,,Rundjarara,,,,,,
501476,876892,,Mahango Omuramba,,,,,,
501477,876892,,Mahango,,,,,,
4013853,876892,,Rukange,,,,,,
501478,876895,,Rudiva,,,,,,
4013854,876895,,Rudhiva,,,,,,
501479,876898,,Rietfontein Block,,,,,,
4013875,876898,,Rietfontein Blok,,,,,,
501480,876899,,Buitsivangor,,,,,,
501481,876899,,Buitsivango,,,,,,
4013877,876899,,Rietfontein,,,,,,
501482,876900,,Fort Rietfontein,,,,,,
4013878,876900,,Rietfontein,,,,,,
501483,876914,,Popa Falls,,,,,,
4013898,876914,,Popavalle,,,,,,
501484,876917,,Pelepele,,,,,,
4013904,876917,,Perepere,,,,,,
501485,876919,,Noahab,,,,,,
5433918,876919,,Palmfontein,,,,,,
501486,876920,,Otjosondjou,,,,,,
501487,876920,,Otjosondjou Omuramba,,,,,,
4013926,876920,,Otjozondjou,,,,,,
501488,876921,,Pjourundu,,,,,,
4013931,876921,,Otjourundu,,,,,,
501489,876924,,Omuramba-u Omatako,,,,,,
501490,876924,,Omataka Omuramba,,,,,,
501491,876924,,Omuramba ua Omatako,,,,,,
501492,876924,,Omuramba Omatako,,,,,,
501493,876924,,Omatako Omuramba,,,,,,
501494,876924,,Omataku,,,,,,
5433919,876924,,Omatako,,,,,,
501496,876925,,Okovanggo River,,,,,,
501497,876925,,Okovanggo,,,,,,
501498,876925,,Okovango,,,,,,
501499,876925,,Cubango,,,,,,
501500,876925,,Kubango,,,,,,
501501,876925,,Okava-Ongo,,,,,,
501502,876925,,Okavango,,,,,,
501503,876925,,Okovango River,,,,,,
4014061,876925,,Rio Cubango,,,,,,
4014062,876925,,Okavango River,,,,,,
8079634,876928,link,https://en.wikipedia.org/wiki/Nyangana,,,,,,
8105406,876928,,Nyangana,,,,,,
15784869,876928,wkdt,Q2005906,,,,,,
501504,876937,,Nqamunyana,,,,,,
4014115,876937,,Nqumunyana,,,,,,
501505,876938,,Ngamukomu Vlei,,,,,,
4014116,876938,,Nqamukamu Vlei,,,,,,
501506,876939,,Nossob,,,,,,
501507,876939,,Nossobrivier,,,,,,
501508,876939,,Nossob River,,,,,,
501509,876939,,Nosob River,,,,,,
501510,876939,,Nossop,,,,,,
501511,876939,,Nossop River,,,,,,
501512,876939,,Nosob,,,,,,
4014118,876939,,Nosop,,,,,,
8671042,876939,link,https://en.wikipedia.org/wiki/Nossob_River,,,,,,
501513,876944,,Nhoma,,,,,,
