AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
13913250,2137635,fr,Youphil,,,,,,
13913251,2137635,fr,Youphil Rivière,,,,,,
1058852,2137637,,Pic Iora,,,,,,
4223145,2137637,,Yora,,,,,,
15418558,2137637,wkdt,Q31786133,,,,,,
15288850,2137638,wkdt,Q34793652,,,,,,
15950982,2137638,,Île Yéuoé,,,,,,
1058853,2137641,,Île Yenghiebane,,,,,,
4223146,2137641,,Île Yenghébane,,,,,,
15632417,2137641,wkdt,Q34793641,,,,,,
1058854,2137643,,Iate,,,,,,
1058855,2137643,,Yaté,,,,,,
4223147,2137643,,Yaté-Village,,,,,,
14848533,2137644,wkdt,Q33523122,,,,,,
15950983,2137644,,Yaté-Barrage,,,,,,
1058856,2137645,,Passe de Iaté,,,,,,
4223148,2137645,,Passe de Yaté,,,,,,
7140770,2137647,link,https://en.wikipedia.org/wiki/Yat%C3%A9,,,,,,
11989809,2137647,post,98834,,,,,,
11286442,2137648,link,https://en.wikipedia.org/wiki/Yat%C3%A9_Dam,,,,,,
11391298,2137648,,Barrage de Yaté,,,,,,
1058857,2137649,,Iate,,,,,,
1058858,2137649,,Port de Yaté,,,,,,
4223149,2137649,,Baie de Yaté,,,,,,
1058859,2137654,,Passe d’Iande,,,,,,
4223150,2137654,,Passe de Yandé,,,,,,
1058860,2137656,,Iandé,,,,,,
1058861,2137656,,Nénéma,,,,,,
4223151,2137656,,Île Yandé,,,,,,
13913252,2137664,fr,Yahoué,,,,,,
13913253,2137664,fr,Yahoué Rivière,,,,,,
1058862,2137665,,Yaoué,,,,,,
4223152,2137665,,Yahoué,,,,,,
13913254,2137666,fr,Yahoué,,,,,,
15514413,2137667,wkdt,Q31786162,,,,,,
15950984,2137667,,Sommet Yago,,,,,,
1058863,2137671,,Sommet Woodin,,,,,,
4223153,2137671,,Mont Woodin,,,,,,
13289850,2137672,en,Wooden Passage,,,,,,
1058864,2137678,,Brisant Western,,,,,,
4223154,2137678,,Western Breaker,,,,,,
1058865,2137690,,Oué,,,,,,
2940562,2137690,link,https://en.wikipedia.org/wiki/W%C3%A9,,,,,,
4223155,2137690,,Wé,,,,,,
12187735,2137690,post,98820,,,,,,
15556036,2137690,wkdt,Q1862378,,,,,,
1058866,2137703,,Uapan,,,,,,
4223156,2137703,,Wapan,,,,,,
12187545,2137710,link,https://en.wikipedia.org/wiki/Walpole_Island_%28New_Caledonia%29,,,,,,
12195315,2137710,,Île Walpole,,,,,,
15598601,2137710,wkdt,Q34793615,,,,,,
1058867,2137712,,Baie Uala,,,,,,
4223157,2137712,,Baie Wala,,,,,,
1058868,2137713,,Uala,,,,,,
4223158,2137713,,Wala,,,,,,
8512846,2137713,fr,Waala,,,,,,
8512847,2137713,de,Waala,,,,,,
10642740,2137713,en,Wala,,,,,,
10642741,2137713,iata,BMY,,,,,,
13788803,2137713,unlc,NCWAL,,,,,,
7494380,2137715,link,https://en.wikipedia.org/wiki/Wakuarori,,,,,,
7565746,2137715,,Wakuarori,,,,,,
15432849,2137715,wkdt,Q7961218,,,,,,
1058869,2137721,,Waho,,,,,,
4223159,2137721,,Yaté,,,,,,
1058870,2137722,,Vahda,,,,,,
1058871,2137722,,Baie de Wahda,,,,,,
4223160,2137722,,Baie de Wanda,,,,,,
1058872,2137727,,Ouagap,,,,,,
1058873,2137727,,Uagap,,,,,,
