AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
2528892,2319092,,Wassa,,,,,,
4153406,2319092,,Basa,,,,,,
1115999,2334081,,Yobi River,,,,,,
1116001,2334081,,River Yo,,,,,,
1116002,2334081,,Komadougou Yoobe,,,,,,
1116003,2334081,,River Yobe,,,,,,
1116004,2334081,,Komadougou Yobbé,,,,,,
2529198,2334081,,Komadougou Yobé,,,,,,
4156667,2334081,,Komadugu Yobe,,,,,,
1116226,2335283,,Kanama,,,,,,
4156904,2335283,,Kanamga,,,,,,
4158385,2341571,,Koudou Kayéwa,,,,,,
4158386,2341571,,Gayawa,,,,,,
4158466,2342177,,Gongoro,,,,,,
4158467,2342177,,Gamgoro,,,,,,
4158468,2342177,,Gonguro,,,,,,
2529383,2345688,,Daia,,,,,,
4159272,2345688,,Dia,,,,,,
8157102,2354647,,Terobaloué,,,,,,
8157103,2354647,,Terobalwé,,,,,,
1119875,2355499,,Siba,,,,,,
4221914,2355499,,Sirba,,,,,,
1120901,2360364,,Youmbam,,,,,,
1120902,2360364,,Goroual,,,,,,
1120903,2360364,,Goruol,,,,,,
1120904,2360364,,Gorouol Marigot,,,,,,
1120905,2360364,,Garouol,,,,,,
1120906,2360364,,Gorwol,,,,,,
4222692,2360364,,Gorouol,,,,,,
2531202,2362857,,Banindyididwani,,,,,,
7915390,2362857,,Banindyididouana,,,,,,
7915391,2362857,,Banindyididwana,,,,,,
1139799,2437731,,Birni Ngaouré,,,,,,
1139800,2437731,,Birni Ngaure,,,,,,
4358706,2437731,,Birnin Gaouré,,,,,,
8463828,2437731,,Birnin Gaoure,,,,,,
11305538,2437731,link,https://en.wikipedia.org/wiki/Birni_N%27Gaour%C3%A9,,,,,,
1139801,2437732,,Konni,,,,,,
1139802,2437732,,Birnin Koni,,,,,,
1139803,2437732,,Birni-Koni,,,,,,
1139804,2437732,,Birni n’Kenni,,,,,,
1139805,2437732,,Birni N Konni,,,,,,
3040943,2437732,ru,Бирнин-Конни,,,,,,
4358707,2437732,,Birnin Konni,,,,,,
8181867,2437732,link,https://en.wikipedia.org/wiki/Birni-N%27Konni,,,,,,
1139806,2437733,,Zuri-Tégan,,,,,,
4358708,2437733,fr,Zuri Tiga,,,,,,
