AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1059365,2139546,,South New Caledonia Ridge,,,,,,
1059366,2139546,,Khrebet Norfolk,,,,,,
1059367,2139546,,Norfolk Rise,,,,,,
1059368,2139546,,Norfolk Island Ridge,,,,,,
4223502,2139546,,Norfolk Ridge,,,,,,
1060926,2151041,,Ross Point,,,,,,
4248232,2151041,,Point Ross,,,,,,
15420418,2152922,wkdt,Q31795751,,,,,,
15954888,2152922,,Mount Pitt,,,,,,
5884281,2153338,link,https://en.wikipedia.org/wiki/Phillip_Island_(Norfolk_Island),,,,,,
2256615,2155115,fr,Île Norfolk,1,1,,,,
2296513,2155115,fr,Ile de Norfolk,,,,,,
2420401,2155115,am,ኖርፎልክ ደሴት,1,,,,,
2420402,2155115,ar,جزيرة نورفوك,1,,,,,
2420403,2155115,be,Норфалкскія астравы,1,,,,,
2420404,2155115,bg,Остров Норфолк,1,,,,,
2420405,2155115,bn,নিরফোক দ্বীপ,1,,,,,
2420406,2155115,ca,Illa Norfolk,1,1,,,,
2420407,2155115,cs,Norfolk,1,,,,,
2420408,2155115,cy,Ynys Norfolk,1,,,,,
2420409,2155115,da,Norfolk Island,1,,,,,
2420410,2155115,de,Norfolkinsel,1,,,,,
2420411,2155115,el,Νήσος Νόρφολκ,1,,,,,
2420412,2155115,en,Norfolk Island,1,,,,,
2420413,2155115,eo,Norfolkinsulo,1,,,,,
2420414,2155115,es,Isla Norfolk,1,,,,,
2420415,2155115,et,Norfolk,1,,,,,
2420416,2155115,eu,Norfolk uhartea,1,,,,,
2420417,2155115,fa,جزیرهٔ نورفولک,1,,,,,
2420418,2155115,fi,Norfolkinsaari,1,,,,,
2420419,2155115,fr,"Norfolk, île",,,,,,
2420420,2155115,ga,Oileán Norfolk,1,,,,,
2420421,2155115,gl,Illa Norfolk,1,,,,,
2420422,2155115,he,איי נורפוק,1,,,,,
2420423,2155115,hi,नॉरफ़ॉक द्वीप,1,,,,,
2420424,2155115,hr,Otok Norfolk,1,,,,,
2420425,2155115,hu,Norfolk-sziget,1,,,,,
2420426,2155115,ia,Insula Norfolk,1,,,,,
2420427,2155115,id,Kepulauan Norfolk,1,,,,,
2420428,2155115,is,Norfolkeyja,1,,,,,
2420429,2155115,it,Isola Norfolk,1,,,,,
2420430,2155115,ja,ノーフォーク島,1,,,,,
2420431,2155115,ka,ნორფოლკის კუნძული,1,,,,,
2420432,2155115,ko,노퍽섬,1,,,,,
2420433,2155115,lt,Norfolko sala,1,,,,,
2420434,2155115,lv,Norfolkas sala,1,,,,,
2420435,2155115,mk,Нофролк Остров,1,,,,,
2420436,2155115,ms,Norfolk Island,1,,,,,
2420437,2155115,mt,Norfolk Island,1,,,,,
2420438,2155115,nb,Norfolkøya,1,,,,,
2420439,2155115,nl,Norfolkeiland,1,,,,,
2420440,2155115,nn,Norfolkøyane,1,,,,,
2420441,2155115,pl,Norfolk,1,,,,,
2420442,2155115,pt,Ilha Norfolk,1,,,,,
2420443,2155115,ro,Insulele Norfolk,1,,,,,
2420444,2155115,ru,Остров Норфолк,1,,,,,
2420445,2155115,sk,Norfolkov ostrov,1,,,,,
2420446,2155115,sl,Norfolški otok,1,,,,,
2420447,2155115,sr,Норфолк Острво,1,,,,,
2420448,2155115,sv,Norfolkön,1,,,,,
2420449,2155115,th,เกาะนอร์ฟอล์ก,1,,,,,
2420450,2155115,tr,Norfolk Adası,1,,,,,
2420451,2155115,uk,Острів Норфолк,1,,,,,
2420452,2155115,ur,نار فاک آئلینڈ,1,,,,,
2420453,2155115,vi,Đảo Norfolk,1,,,,,
2420454,2155115,zh,诺福克岛,1,,,,,
4249035,2155115,,Territory of Norfolk Island,,,,,,
5423958,2155115,link,https://en.wikipedia.org/wiki/Norfolk_Island,,,,,,
7089422,2155115,af,Norfolk-eiland,1,,,,,
7089423,2155115,ak,Nɔfolk Aeland,1,,,,,
7089424,2155115,az,Norfolk Adası,1,,,,,
7089425,2155115,bm,Nɔrofoliki Gun,1,,,,,
7089426,2155115,br,Enez Norfolk,1,,,,,
7089427,2155115,bs,Norfolk Ostrvo,1,,,,,
7089428,2155115,ee,Norfolk ƒudomekpo nutome,1,,,,,
7089429,2155115,ff,Duuɗe Norfolk,1,,,,,
7089430,2155115,fo,Norfolkoyggjin,1,,,,,
7089431,2155115,gu,નોરફૉક આઇલેન્ડ,1,,,,,
7089432,2155115,ha,Tsibirin Narfalk,1,,,,,
7089433,2155115,ki,Kisiwa cha Norfok,1,,,,,
7089434,2155115,kn,ನಾರ್‌ಫೋಕ್ ದ್ವೀಪ,1,,,,,
7089435,2155115,lg,Kizinga ky'eNorofoko,1,,,,,
7089436,2155115,ln,Esanga Norfokɛ,1,,,,,
7089437,2155115,lu,Lutanda lua Norfok,1,,,,,
7089438,2155115,mg,Nosy Norfolk,1,,,,,
7089439,2155115,ml,നോര്‍ഫോക് ദ്വീപ്,1,,,,,
7089440,2155115,mr,नॉरफॉक बेट,1,,,,,
7089441,2155115,nd,Norfolk Island,1,,,,,
7089442,2155115,ne,नोरफोल्क टापु,1,,,,,
7089443,2155115,or,ନରଫ୍ଲକ୍ ଦ୍ବୀପ,1,,,,,
7089444,2155115,rm,Insla Norfolk,1,,,,,
7089445,2155115,rn,izinga rya Norufoluke,1,,,,,
7089446,2155115,se,Norfolksullot,1,,,,,
7089447,2155115,sg,Zûâ Nôrfôlko,1,,,,,
7089448,2155115,si,නෝෆෝක් දූපත,1,,,,,
7089449,2155115,sn,Chitsuwa cheNorfolk,1,,,,,
7089450,2155115,so,Norfolk Island,1,,,,,
7089451,2155115,sw,Kisiwa cha Norfok,1,,,,,
7089452,2155115,ta,நார்ஃபாக் தீவுகள்,1,,,,,
7089453,2155115,te,నార్ఫాక్ దీవి,1,,,,,
7089454,2155115,ti,ኖርፎልክ ደሴት,1,,,,,
7089455,2155115,to,Motu Nōfoliki,1,,,,,
7089456,2155115,yo,Orílẹ́ède Etikun Nọ́úfókì,1,,,,,
7089457,2155115,zu,i-Norfolk Island,1,,,,,
8046122,2155115,,Norfolk Island,,,,,,
13263320,2155115,ko,노퍽 아일랜드,,,,,,
13788821,2155115,unlc,NFNLK,,,,,,
1621326,2155116,en,Norfolk Island,,,,,,
1621327,2155116,es,Isla Norfolk,,,,,,
1621328,2155116,de,Norfolkinsel,,,,,,
1621329,2155116,bg,Норфолк,,,,,,
1621330,2155116,ca,Illa Norfolk,,,,,,
1621331,2155116,el,Νησί Νόρφολκ,,,,,,
1621332,2155116,eo,Norfolkinsulo,,,,,,
1621333,2155116,fi,Norfolkinsaari,,,,,,
1621334,2155116,fr,Île Norfolk,,,,,,
