AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1079387,2221333,,Tounga,,,,,,
1079388,2221333,,Tunga,,,,,,
2499707,2221333,,Danga,,,,,,
3666323,2221333,,River Tunga,,,,,,
9069032,2221596,,Hoséré Tchoutchou,,,,,,
9069033,2221596,,Hosséré Tchoutchou,,,,,,
9069034,2221596,,Hosere Tchoutchou,,,,,,
8796560,2231005,,Hosere Goulever,,,,,,
8796561,2231005,,Hosséré Gouléver,,,,,,
9069108,2231005,,Hoséré Gouléver,,,,,,
2500193,2231486,,Rocher Fti,,,,,,
3668378,2231486,,Fti,,,,,,
9189910,2231486,,Zivi,,,,,,
1082192,2233458,,Bourrah Vango,,,,,,
2500307,2233458,,Bourrah Ouango,,,,,,
3668791,2233458,,Bourha Wango,,,,,,
5935295,2233458,,Bourha Ouango,,,,,,
8796571,2233458,,Bourrah-Wango,,,,,,
8796575,2235473,,Hosséré Assina,,,,,,
8796576,2235473,,Hosséré Asina,,,,,,
8796577,2235473,,Hosere Assina,,,,,,
9069158,2235473,,Hoséré Assina,,,,,,
15351701,2235473,wkdt,Q31024804,,,,,,
1112944,2317537,,Zuwa,,,,,,
4153149,2317537,,Zuwo,,,,,,
1112945,2317540,,River Zuwa,,,,,,
4153150,2317540,,Rafin Zuwa,,,,,,
8616951,2317540,,Zuwa River,,,,,,
1112946,2317544,,Zuzungi,,,,,,
4153151,2317544,,Zutungi,,,,,,
1112947,2317546,,Mpanu-Baki,,,,,,
1112948,2317546,,Npanu-Baki Peak,,,,,,
4153152,2317546,,Zurubu Hill,,,,,,
15516436,2317546,wkdt,Q31795759,,,,,,
7562162,2317551,,Zurmi,,,,,,
11716378,2317553,en,River Zurfi,,,,,,
11716379,2317553,en,Zurfi,,,,,,
11716380,2317554,en,Zurfi,,,,,,
11952191,2317555,,New Zurak,,,,,,
11952192,2317555,,Zurak,,,,,,
2528877,2317558,,Zur,,,,,,
4153153,2317558,,River Zur,,,,,,
11219333,2317559,,Zuturu Bogo,,,,,,
11219334,2317559,,Zunturo Mugu,,,,,,
1112949,2317560,,Zunta,,,,,,
4153154,2317560,,Zuntu,,,,,,
1112950,2317565,,River Zunguru,,,,,,
4153155,2317565,,River Zungur,,,,,,
11716381,2317565,en,Zungur,,,,,,
11716382,2317566,en,Zungur,,,,,,
1112951,2317568,,Zangoro,,,,,,
4153156,2317568,,Zungoro,,,,,,
2943742,2317569,link,https://en.wikipedia.org/wiki/Zungeru,,,,,,
4153157,2317569,,Zungeru,,,,,,
14981173,2317569,wkdt,Q8075286,,,,,,
9069658,2317575,,Zumma,,,,,,
9069659,2317575,,Zumna,,,,,,
4153158,2317577,en,Zumburum,,,,,,
1112952,2317578,,Sumbulimbe,,,,,,
1112953,2317578,,Sumbulim,,,,,,
4153159,2317578,,Zumbulum,,,,,,
1112954,2317581,,Zubokweri,,,,,,
4153160,2317581,,Zumakweri,,,,,,
1112955,2317584,,Zuma,,,,,,
4153161,2317584,,River Zuma,,,,,,
8797646,2317585,,Zum,,,,,,
8797647,2317585,,Zum Ahmadu,,,,,,
1112956,2317586,,Zull (1),,,,,,
4153162,2317586,,Zull,,,,,,
1112957,2317587,,Zull (2),,,,,,
4153163,2317587,,Zull,,,,,,
1112958,2317589,,Zukuki,,,,,,
4153164,2317589,,Zukuku,,,,,,
15645077,2317599,wkdt,Q31795766,,,,,,
15928235,2317599,,Zugumi Peaks,,,,,,
2801991,2317601,,Zugum,,,,,,
4153165,2317601,,Jeka Fada,,,,,,
15086125,2317602,wkdt,Q31025003,,,,,,
15928236,2317602,,Zugu Hill,,,,,,
1112959,2317606,,Zugulibba,,,,,,
4153166,2317606,,Zugu,,,,,,
2801992,2317612,,Zugachi,,,,,,
4153167,2317612,,Zugace,,,,,,
9535437,2317615,,Zudei,,,,,,
9535438,2317615,,Zuden,,,,,,
15086123,2317622,wkdt,Q31025078,,,,,,
15928237,2317622,,Zotori Hill,,,,,,
4153168,2317625,,Zoro,,,,,,
9069660,2317625,,Abudu Salam,,,,,,
4153169,2317626,en,Zoro,,,,,,
15086120,2317629,wkdt,Q31025175,,,,,,
15928238,2317629,,Zonkwha Hill,,,,,,
1112961,2317630,,Zankuwa,,,,,,
1112962,2317630,,Zenkuwa,,,,,,
4153170,2317630,,Zonkwa,,,,,,
4153171,2317635,en,Zongo Mari,,,,,,
15472413,2317637,wkdt,Q31795773,,,,,,
15928239,2317637,,Zongo Biriji,,,,,,
1112963,2317645,,Ruga Duka,,,,,,
4153172,2317645,,Zondo,,,,,,
1112964,2317651,,Zallaki,,,,,,
4153173,2317651,,Zoloki,,,,,,
1112965,2317656,,Sokonbara,,,,,,
4153174,2317656,,Zokunbara,,,,,,
11998248,2317667,en,Zo,,,,,,
1112966,2317668,,Zaiki,,,,,,
4153175,2317668,,Ziyiko,,,,,,
2801993,2317670,,Ziri,,,,,,
4153176,2317670,,River Ziri,,,,,,
10846469,2317675,,Zing,,,,,,
10846470,2317675,,Zinna,,,,,,
2528878,2317682,,Zilumo,,,,,,
4153177,2317682,,Zilum,,,,,,
11912289,2317683,,Kinemuba,,,,,,
11912290,2317683,,Zilad,,,,,,
1112968,2317684,,Jigiri,,,,,,
4153178,2317684,,Zigiri,,,,,,
