AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1469154,3615605,,Río Arenal de Yaulí,,,,,,
4354030,3615605,,Quebrada Zurzular,,,,,,
1469155,3615609,,Departamento de Bluefields,,,,,,
14934448,3615612,wkdt,Q21053489,,,,,,
15971316,3615612,,Cerro Zaraguasca,,,,,,
15802714,3615614,wkdt,Q21054262,,,,,,
15971317,3615614,,Isla Zapotillo,,,,,,
15548885,3615616,wkdt,Q21053486,,,,,,
15971318,3615616,,Cerro Zapotillal,,,,,,
15618334,3615617,wkdt,Q21054258,,,,,,
15971319,3615617,,Isla Zapote,,,,,,
1469156,3615618,,Riachuelo Sipilde,,,,,,
4354031,3615618,,Río Zapotal,,,,,,
15654215,3615620,wkdt,Q21044944,,,,,,
15971320,3615620,,Isla Zapatera,,,,,,
1469157,3615623,,Sonintas,,,,,,
1469158,3615623,,Zanatita,,,,,,
1469159,3615623,,Isla Sonatitos,,,,,,
1469160,3615623,,Las Sonatitas,,,,,,
4354032,3615623,,Isla Zanatillo,,,,,,
15739775,3615623,wkdt,Q21054254,,,,,,
15201701,3615624,wkdt,Q21054250,,,,,,
15971321,3615624,,Isla Zanate,,,,,,
1469161,3615625,,Zambrana,,,,,,
4354033,3615625,,Zambrano,,,,,,
1469162,3615630,,Río Kuyutingni,,,,,,
4354034,3615630,,Yulu Tingni,,,,,,
1469163,3615637,,Río Yulutingni,,,,,,
4354035,3615637,,Caño Yulatingni,,,,,,
15152021,3615641,wkdt,Q21054920,,,,,,
15971322,3615641,,Yucapuca,,,,,,
1469164,3615643,,Tura Creek,,,,,,
4354036,3615643,,Caño Yolina,,,,,,
1469165,3615644,,Cordillera de Volaina,,,,,,
1469166,3615644,,Sierras Yolandia,,,,,,
1469167,3615644,,Cordillera de Yolaina,,,,,,
1469168,3615644,,Cordillera de Yolania,,,,,,
4354037,3615644,,Serranías de Yolaina,,,,,,
1469169,3615647,,Cerro Volcán de Yeluca,,,,,,
4354038,3615647,,Cerro Yeluca,,,,,,
15769276,3615647,wkdt,Q21053478,,,,,,
15258792,3615648,wkdt,Q21052085,,,,,,
15971323,3615648,,Cayo Yellow Tail,,,,,,
1469170,3615652,,Quebrada La Yaulada,,,,,,
4354039,3615652,,Quebrada Yaulada,,,,,,
1469171,3615653,,Yucica-Sur,,,,,,
1469172,3615653,,Yacica-Sur,,,,,,
4354040,3615653,,Yasica Sur,,,,,,
1469173,3615654,,Yacica,,,,,,
4354041,3615654,,Yasica Norte,,,,,,
1469174,3615655,,Yacica,,,,,,
4354042,3615655,,Río Yasica,,,,,,
1469175,3615661,,Yaoya,,,,,,
4354043,3615661,,Comarca Yaoya Abajo,,,,,,
1469176,3615662,,Yauya,,,,,,
1469177,3615662,,Río Yoya,,,,,,
4354044,3615662,,Río Yaoya,,,,,,
11215857,3615668,link,https://en.wikipedia.org/wiki/Yalag%C3%BCina,,,,,,
13866924,3615668,es,Municipio de Yalagüina,,,,,,
13866925,3615668,es,Yalagüina,,,,,,
2986551,3615669,link,https://en.wikipedia.org/wiki/Yalag%C3%BCina,,,,,,
4354045,3615669,,Yalagüina,,,,,,
1469178,3615670,,Yacalguás,,,,,,
1469179,3615670,,Rio Yacalwas,,,,,,
4354046,3615670,,Río Yakalwás,,,,,,
1469180,3615672,,Caño Yacalwas,,,,,,
4354047,3615672,,Caño Yakalwás,,,,,,
1469181,3615677,,Tabaltara,,,,,,
4354048,3615677,,Yabaltara,,,,,,
1469182,3615678,,Laguna Hununta,,,,,,
1469183,3615678,,Laguna de Wuonta,,,,,,
1469184,3615678,,Laguna de Huanta,,,,,,
1469185,3615678,,Laguna Huaunta,,,,,,
1469186,3615678,,Laguna de Huaonta,,,,,,
4354049,3615678,,Laguna de Wounta,,,,,,
1469187,3615679,,Huaunta,,,,,,
1469188,3615679,,Wuonta,,,,,,
1469189,3615679,,Huanta,,,,,,
1469190,3615679,,Wounta Plantation,,,,,,
4354050,3615679,,Wounta,,,,,,
7495421,3615682,link,https://en.wikipedia.org/wiki/Wiwil%C3%AD_de_Nueva_Segovia,,,,,,
7567144,3615682,,Municipio de Wiwilí,,,,,,
13866926,3615682,es,Wiwilí de Nueva Segovia,,,,,,
13866927,3615682,es,Municipio de Wiwilí de Nueva Segovia,,,,,,
1469191,3615683,,Guiquili,,,,,,
1469192,3615683,,Guiguilí,,,,,,
4354051,3615683,,Wiwilí,,,,,,
7183505,3615683,link,https://en.wikipedia.org/wiki/Wiwil%C3%AD_de_Nueva_Segovia,,,,,,
12095591,3615683,,Güigüilí,,,,,,
13866928,3615683,es,Wiwilí de Nueva Segovia,,,,,,
1469193,3615684,,Río Wiwasirpe,,,,,,
4354052,3615684,,Río Wiwás Sirpi,,,,,,
15424416,3615689,wkdt,Q21053472,,,,,,
15971324,3615689,,Cerro Wingku Pruka,,,,,,
1469194,3615691,,Río Güina,,,,,,
1469195,3615691,,Wuina,,,,,,
4354053,3615691,,Río Wina,,,,,,
1469196,3615692,,Güina,,,,,,
1469197,3615692,,Wuina,,,,,,
4354054,3615692,,Wina,,,,,,
1469198,3615693,,Wil Wil Tingni,,,,,,
1469199,3615693,,Caño Wilwil Tigni,,,,,,
4354055,3615693,,Caño Wilwil Tingni,,,,,,
1469200,3615694,,Willing Cay,,,,,,
4354056,3615694,,Sitio Willing Cay,,,,,,
1469201,3615695,,Caño Wiling Cay,,,,,,
4354057,3615695,,Caño Willing Cay,,,,,,
1469202,3615696,,Barra Cayo Willing,,,,,,
4354058,3615696,,Barra Willing Cay,,,,,,
15335223,3615699,wkdt,Q21053469,,,,,,
15971325,3615699,,Cerro Wiliquito,,,,,,
1469203,3615700,,Guilique,,,,,,
1469204,3615700,,Vilique,,,,,,
1469205,3615700,,Río Wilike Grande,,,,,,
4354059,3615700,,Río Wilike,,,,,,
1469206,3615704,,Peñas Blancas,,,,,,
4354060,3615704,,Cerro Waylawás,,,,,,
1469207,3615706,,Waylaska Tingni,,,,,,
4354061,3615706,,Waylasko Tingni,,,,,,
1469208,3615711,,Río Way Way,,,,,,
4354062,3615711,,Río Way,,,,,,
15905419,3615713,wkdt,Q21054907,,,,,,
15971326,3615713,,Wawule,,,,,,
1469209,3615714,,Río Huahuasán,,,,,,
1469210,3615714,,Río Wawashan,,,,,,
4354063,3615714,,Río Wawasang,,,,,,
1469211,3615715,,Cerro Victoria,,,,,,
4354064,3615715,,Cerro Wawasang,,,,,,
15451739,3615715,wkdt,Q21053459,,,,,,
1469212,3615716,,Banco Salva Todo,,,,,,
1469213,3615716,,Wawashan,,,,,,
1469214,3615716,,Huahuashán,,,,,,
1469215,3615716,,Save You All Bank,,,,,,
4354065,3615716,,Wawasang,,,,,,
1469216,3615717,,Río Huahua,,,,,,
4354066,3615717,,Río Wawa,,,,,,
1469217,3615718,,West Point,,,,,,
4354067,3615718,,Waula Point,,,,,,
1469218,3615719,,Cayo Agua,,,,,,
4354068,3615719,,Cayo Water,,,,,,
15568904,3615719,wkdt,Q21052082,,,,,,
1469219,3615720,,Waslala,,,,,,
1469220,3615720,,Waswali,,,,,,
4354069,3615720,,Waswalí Abajo,,,,,,
1469221,3615722,,Cerro Waspon,,,,,,
4354070,3615722,,Cerro Waspuw,,,,,,
1469222,3615725,,Río Huapue,,,,,,
1469223,3615725,,Río Waspuc,,,,,,
1469224,3615725,,Río Huaspuc,,,,,,
1469225,3615725,,Waspook,,,,,,
1469226,3615725,,Rio Waspue,,,,,,
4354071,3615725,,Río Waspuk,,,,,,
1469227,3615726,,Río Waspuko,,,,,,
4354072,3615726,,Río Waspuk,,,,,,
1469228,3615727,,Waspuko,,,,,,
4354073,3615727,,Waspuk,,,,,,
