AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1244056,2743463,,Oord,,,,,,
1244061,2743465,,Drijbersche Veld,,,,,,
4123767,2743465,,Drijberse Veld,,,,,,
1244062,2743466,,Schie,,,,,,
1244063,2743466,,Delfshavense Schie,,,,,,
1244064,2743466,,De Schie,,,,,,
4123768,2743466,,Delfshavensche Schie,,,,,,
1244065,2743467,,Aa,,,,,,
1244066,2743467,,Run,,,,,,
1244067,2743467,,A,,,,,,
1244068,2743467,,L’Aa,,,,,,
1244069,2743467,,Leie,,,,,,
1244070,2743467,,De Aa Rivière,,,,,,
1244071,2743467,,Leij,,,,,,
1244072,2743470,,Zwolschehoek,,,,,,
4123769,2743470,,Zwolse Hoek,,,,,,
1244073,2743472,,Zwolsche Bosch,,,,,,
4123770,2743472,,Boswachterij Zwolse Bos,,,,,,
1244074,2743473,,Zwolse Vaart,,,,,,
4123771,2743473,,Zwolsche Vaart,,,,,,
1244075,2743474,,’t Zwolse Diep,,,,,,
1244076,2743474,,Zwolse Diep,,,,,,
4123772,2743474,,Zwolsche Diep,,,,,,
1244077,2743476,nl,Zwolle,,,,,,
8612906,2743476,link,https://en.wikipedia.org/wiki/Zwolle,,,,,,
12094958,2743476,,Zwolle,,1,,,,
1607843,2743477,de,Zwolle,,,,,,
1607844,2743477,en,Zwolle,,,,,,
1607845,2743477,ca,Zwolle,,,,,,
1607846,2743477,fr,Zwolle,,,,,,
1607847,2743477,fy,Swol,,,,,,
1607848,2743477,id,Zwolle,,,,,,
1607849,2743477,it,Zwolle,,,,,,
1607850,2743477,li,Zwolle,,,,,,
1607851,2743477,nl,Zwolle,,,,,,
1607852,2743477,pl,Zwolle,,,,,,
1607853,2743477,ro,Zwolle,,,,,,
1607854,2743477,ru,Зволле,,,,,,
1607855,2743477,sv,Zwolle,,,,,,
1639857,2743477,es,Zwolle,,,,,,
1903684,2743477,fi,Zwolle,,,,,,
1903685,2743477,zh-CN,兹沃勒,,,,,,
1990495,2743477,eo,Zwolle,,,,,,
1990496,2743477,tr,Zwolle,,,,,,
2954878,2743477,link,https://en.wikipedia.org/wiki/Zwolle,,,,,,
3052213,2743477,link,https://ru.wikipedia.org/wiki/%D0%97%D0%B2%D0%BE%D0%BB%D0%BB%D0%B5,,,,,,
8294913,2743477,uk,Зволле,,,,,,
8294914,2743477,la,Svolla,,,,,,
8294915,2743477,hy,Զվոլե,,,,,,
8294916,2743477,lt,Zvolė,,,,,,
8294917,2743477,pnb,زولے,,,,,,
8294918,2743477,lv,Zvolle,,,,,,
8294919,2743477,th,ซโวลเลอ,,,,,,
8294920,2743477,sr,Зволе,,,,,,
8294921,2743477,mr,झ्वोला,,,,,,
8294922,2743477,ja,ズヴォレ,,,,,,
8294923,2743477,nds,Gemeen Zwolle,,,,,,
8294924,2743477,ka,ზვოლე,,,,,,
8294925,2743477,fa,زووله,,,,,,
8294926,2743477,ko,즈볼러,,,,,,
8294927,2743477,be,Горад Зволле,,,,,,
8294928,2743477,bg,Зволе,,,,,,
8294929,2743477,ar,زفوله,,,,,,
8294930,2743477,zh,兹沃勒,,,,,,
13438039,2743477,post,8011,,,,,,
13438040,2743477,post,8012,,,,,,
13438041,2743477,post,8013,,,,,,
13438042,2743477,post,8014,,,,,,
13438043,2743477,post,8015,,,,,,
13438044,2743477,post,8016,,,,,,
13438045,2743477,post,8017,,,,,,
13438046,2743477,post,8019,,,,,,
13438047,2743477,post,8021,,,,,,
13438048,2743477,post,8022,,,,,,
13438049,2743477,post,8023,,,,,,
13438050,2743477,post,8024,,,,,,
13438051,2743477,post,8025,,,,,,
13438052,2743477,post,8026,,,,,,
13438053,2743477,post,8028,,,,,,
13438054,2743477,post,8031,,,,,,
13438055,2743477,post,8032,,,,,,
13438056,2743477,post,8033,,,,,,
13438057,2743477,post,8034,,,,,,
13438058,2743477,post,8035,,,,,,
13438059,2743477,post,8041,,,,,,
13438060,2743477,post,8042,,,,,,
13438061,2743477,post,8043,,,,,,
13438062,2743477,post,8044,,,,,,
13438063,2743477,post,8045,,,,,,
13790791,2743477,unlc,NLZWO,,,,,,
14986535,2743477,wkdt,Q13189044,,,,,,
2954879,2743478,link,https://en.wikipedia.org/wiki/Zwolle%2C_Gelderland,,,,,,
15232048,2743478,wkdt,Q2177708,,,,,,
2954880,2743482,link,https://en.wikipedia.org/wiki/Zwinderen,,,,,,
13438064,2743482,post,7864,,,,,,
13790790,2743482,unlc,NLZWN,,,,,,
14980327,2743482,wkdt,Q2147440,,,,,,
7141420,2743489,link,https://en.wikipedia.org/wiki/Zwijnsbergen,,,,,,
15725551,2743490,wkdt,Q2003398,,,,,,
2426502,2743492,,Zwijndrecht,,1,,,,
4123773,2743492,,Gemeente Zwijndrecht,,,,,,
8612828,2743492,link,"https://en.wikipedia.org/wiki/Zwijndrecht,_Netherlands",,,,,,
10840803,2743492,nl,Zwijndrecht,,1,,,,
2029624,2743493,en,Zwijndrecht,,,,,,
2029625,2743493,de,Zwijndrecht,,,,,,
2029626,2743493,fr,Zwijndrecht,,,,,,
2029627,2743493,id,Zwijndrecht,,,,,,
2029628,2743493,it,Zwijndrecht,,,,,,
2029629,2743493,li,Zwijndrecht,,,,,,
2029630,2743493,nl,Zwijndrecht,,,,,,
2029631,2743493,sv,Zwijndrecht,,,,,,
2954881,2743493,link,https://en.wikipedia.org/wiki/Zwijndrecht%2C_Netherlands,,,,,,
3041459,2743493,ru,Звейндрехте,,,,,,
8717864,2743493,ar,زفايندريخت,,,,,,
8717865,2743493,hy,Զվայնդրեխտ,,,,,,
8717866,2743493,ru,Звейндрехт,,,,,,
8717867,2743493,zh,兹韦恩德雷赫特,,,,,,
11355359,2743493,la,Zuindracum,,,,,,
13438065,2743493,post,3331,,,,,,
13438066,2743493,post,3332,,,,,,
13438067,2743493,post,3333,,,,,,
13438068,2743493,post,3334,,,,,,
13438069,2743493,post,3335,,,,,,
13438070,2743493,post,3336,,,,,,
13790788,2743493,unlc,NLZWI,,,,,,
14981723,2743493,wkdt,Q33528808,,,,,,
2954882,2743495,link,https://en.wikipedia.org/wiki/Zwiggelte,,,,,,
13438071,2743495,post,9433,,,,,,
13790751,2743495,unlc,NLZGE,,,,,,
14982558,2743495,wkdt,Q2093643,,,,,,
1244079,2743501,,Sneek-Leeuward Waterway,,,,,,
1244080,2743501,,Zwettevaart,,,,,,
1244081,2743501,,Sneeker Trekvaart,,,,,,
1244082,2743501,,Zwette Canal,,,,,,
1244083,2743501,,Trekvaart van Sneek naar Leeuwarden,,,,,,
1244084,2743501,,Sneeker Vaart,,,,,,
1244085,2743501,,Swette Vaart,,,,,,
1244086,2743501,,Sneek Naar Leeuwarden,,,,,,
4123774,2743501,,Zwette,,,,,,
1244087,2743504,,De Zwet,,,,,,
1244088,2743504,,Zwetkanaal,,,,,,
1244089,2743504,,Zweth,,,,,,
4123775,2743504,,Zwethkanaal,,,,,,
1244090,2743505,,De Zweth,,,,,,
1244091,2743505,,Zwet,,,,,,
1244092,2743505,,De Zwet,,,,,,
7190463,2743505,link,https://en.wikipedia.org/wiki/Zweth,,,,,,
15678183,2743505,wkdt,Q4922781,,,,,,
15817279,2743506,wkdt,Q2536220,,,,,,
2431863,2743507,nl,Zweins,,,,,,
2431864,2743507,fy,Swyns,,,,,,
7056156,2743507,link,https://en.wikipedia.org/wiki/Zweins,,,,,,
13438072,2743507,post,8814,,,,,,
14972473,2743507,wkdt,Q2681337,,,,,,
1244093,2743510,,Zweelo,,,,,,
2954883,2743510,link,https://en.wikipedia.org/wiki/Zweeloo,,,,,,
13438073,2743510,post,7851,,,,,,
14983680,2743510,wkdt,Q231877,,,,,,
1244094,2743513,,Venkoelen,,,,,,
4123776,2743513,,Zwart Water,,,,,,
2954884,2743516,link,https://en.wikipedia.org/wiki/Zwartsluisje,,,,,,
14965214,2743516,wkdt,Q3485306,,,,,,
2954885,2743518,link,https://en.wikipedia.org/wiki/Zwartsluis,,,,,,
13438074,2743518,post,8064,,,,,,
13790792,2743518,unlc,NLZWS,,,,,,
14982344,2743518,wkdt,Q2196318,,,,,,
1244095,2743519,,Zwartschap,,,,,,
14965754,2743519,wkdt,Q19630937,,,,,,
7033267,2743525,link,https://en.wikipedia.org/wiki/Zwarte_Water,,,,,,
2954886,2743528,link,https://en.wikipedia.org/wiki/Zwartewaal,,,,,,
13438075,2743528,post,3238,,,,,,
13790793,2743528,unlc,NLZWW,,,,,,
15378712,2743528,wkdt,Q3029866,,,,,,
1244096,2743537,,Het Zwarte Paard,,,,,,
2954887,2743537,link,https://en.wikipedia.org/wiki/Zwarte_Paard,,,,,,
4123777,2743537,,Zwarte Paard,,,,,,
15215503,2743537,wkdt,Q2116785,,,,,,
15872963,2743539,wkdt,Q12013560,,,,,,
13790785,2743542,unlc,NLZWB,,,,,,
2954888,2743544,link,https://en.wikipedia.org/wiki/Zwartemeer,,,,,,
13438076,2743544,post,7894,,,,,,
15324674,2743544,wkdt,Q2114058,,,,,,
1244097,2743549,,Zwarte-Horstweijer,,,,,,
4123778,2743549,,Zwarte Horst,,,,,,
1244098,2743551,,Groene Punt,,,,,,
4123779,2743551,,Zwarte Hoek,,,,,,
2432194,2743553,nl,Zwarte Haan,,,,,,
2432195,2743553,fy,Swarte Haan,,,,,,
15856732,2743553,wkdt,Q640343,,,,,,
1244099,2743560,,De Zwarte Dennen,,,,,,
4123780,2743560,,Zwarte Dennen,,,,,,
13438077,2743561,post,3785,,,,,,
13790731,2743561,unlc,NLZBR,,,,,,
15838671,2743561,wkdt,Q3117076,,,,,,
14938548,2743565,wkdt,Q31210130,,,,,,
15926120,2743565,,Zwarte Berg,,,,,,
15763181,2743566,wkdt,Q31210140,,,,,,
15926121,2743566,,Zwarte Berg,,,,,,
14938772,2743567,wkdt,Q31210147,,,,,,
15926122,2743567,,Zwarte Berg,,,,,,
2954889,2743574,link,https://en.wikipedia.org/wiki/Zwanenburg,,,,,,
13438078,2743574,post,1161,,,,,,
13790784,2743574,unlc,NLZWA,,,,,,
14888150,2743574,wkdt,Q2855805,,,,,,
7544910,2743577,link,https://en.wikipedia.org/wiki/Zwanegat,,,,,,
14962525,2743577,wkdt,Q4994087,,,,,,
2954890,2743578,link,https://en.wikipedia.org/wiki/Zwammerdam,,,,,,
13438079,2743578,post,2471,,,,,,
13790763,2743578,unlc,NLZMM,,,,,,
14896644,2743578,wkdt,Q2946722,,,,,,
13438080,2743585,post,9299,,,,,,
16132441,2743585,link,https://en.wikipedia.org/wiki/Zwagerbosch,,,,,,
1244100,2743586,,Zwaanswijck,,,,,,
4123781,2743586,,Zwaanwijck,,,,,,
2954891,2743588,link,https://en.wikipedia.org/wiki/Zwaanshoek,,,,,,
13438081,2743588,post,2136,,,,,,
13790753,2743588,unlc,NLZHO,,,,,,
14966540,2743588,wkdt,Q2300048,,,,,,
2431730,2743590,nl,Zwaagwesteinde,,,,,,
2431731,2743590,fy,De Westerein,,,,,,
2697740,2743590,fy,De Westereen,1,,,,,
7132341,2743590,link,https://en.wikipedia.org/wiki/De_Westereen,,,,,,
13438082,2743590,post,9271,,,,,,
13789377,2743590,unlc,NLDWS,,,,,,
13790787,2743590,unlc,NLZWE,,,,,,
15226001,2743590,wkdt,Q1907265,,,,,,
2954892,2743592,link,https://en.wikipedia.org/wiki/Zwaagdijk-West,,,,,,
13438083,2743592,post,1685,,,,,,
13438084,2743592,post,1686,,,,,,
13790750,2743592,unlc,NLZGD,,,,,,
14968072,2743592,wkdt,Q2796101,,,,,,
1244101,2743593,,Zwaagdijk,,,,,,
13438085,2743593,post,1681,,,,,,
13438086,2743593,post,1682,,,,,,
13438087,2743593,post,1683,,,,,,
13438088,2743593,post,1684,,,,,,
15851860,2743593,wkdt,Q3158475,,,,,,
2954893,2743595,link,https://en.wikipedia.org/wiki/Zwaag,,,,,,
13438089,2743595,post,1689,,,,,,
13790704,2743595,unlc,NLZAG,,,,,,
15762981,2743595,wkdt,Q2269794,,,,,,
1244102,2743596,,Zuilenstein,,,,,,
