AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
642261,1252569,,Great Himalaya Range,,,,,,
642262,1252569,,Hsi-ma-la-ya Shan-mo,,,,,,
642263,1252569,,Himalaya,,,,,,
642264,1252569,,Himadri,,,,,,
642265,1252569,,Great Himalaya,,,,,,
642266,1252569,,Himalaya Shan,,,,,,
642267,1252569,,Great Himalayan Range,,,,,,
642268,1252569,,The Great Himalayas,,,,,,
642269,1252569,,Hsi-ma-la-ya Shan,,,,,,
15414699,1252569,wkdt,Q31652119,,,,,,
13638881,1282603,ne,Ektin,,,,,,
13638882,1282603,,Yektīm,,,,,,
7499467,1282604,link,https://en.wikipedia.org/wiki/Yarsa,,,,,,
7772633,1282604,,Yārsā,,,,,,
655119,1282608,,Yālbāng,,,,,,
4390361,1282608,,Yāngār,,,,,,
655120,1282609,,Yānāng Bhanjyāng,,,,,,
655121,1282609,,Ma-li Shan-k’ou,,,,,,
4390362,1282609,,Ma-ting Shan-k’ou,,,,,,
655122,1282610,,Yang Fu Ring,,,,,,
655123,1282610,,Yangphuring,,,,,,
4390363,1282610,,Yāmphodīn,,,,,,
655125,1282612,,Hsia-pa-la,,,,,,
4390364,1282612,,Xarba La,,,,,,
7528549,1282614,link,https://en.wikipedia.org/wiki/Wamitaksar,,,,,,
7772634,1282614,,Wāmitaksār,,,,,,
655126,1282615,,Olingchung Gola,,,,,,
655127,1282615,,Olangchuk Gola,,,,,,
655128,1282615,,Olanchungola,,,,,,
4390365,1282615,,Walungchung Gola,,,,,,
655129,1282616,,Walling,,,,,,
4390366,1282616,,Wāling,,,,,,
6875978,1282616,link,https://en.wikipedia.org/wiki/Waling,,,,,,
13449293,1282616,ne,Wāliṅ,,,,,,
15596759,1282616,wkdt,Q33522176,,,,,,
655130,1282617,,Dāmdwāli,,,,,,
4390367,1282617,,Wālī,,,,,,
13702311,1282617,ne,Damdawāli̇̄,,,,,,
655131,1282620,,Urai Lāgnā,,,,,,
655132,1282620,,Pai-lin Shan-k’ou,,,,,,
655133,1282620,,Wu-lei Shan-k’ou,,,,,,
655134,1282620,,Urai Pass,,,,,,
4390368,1282620,,Biling La,,,,,,
655135,1282621,,Upardang Gadhi,,,,,,
4390369,1282621,,Upardāng Garhi,,,,,,
13449294,1282621,ne,Upardāṅgaḍhi̇̄,,,,,,
13449295,1282623,ne,Tallo Umse,,,,,,
13449296,1282623,,Umse,,,,,,
655136,1282625,,Weng-po-la Shan-k’ou,,,,,,
655137,1282625,,Umbak Pass,,,,,,
4390370,1282625,,Umbhak Bhanjyāng,,,,,,
13827264,1282627,ne,Ole Jyulā,,,,,,
13827265,1282627,,Ulejula,,,,,,
655138,1282629,,Gadhi,,,,,,
655139,1282629,,Udaipur Garhi,,,,,,
655140,1282629,,Udaipur Gadhi,,,,,,
655141,1282629,,Udaipur,,,,,,
4390371,1282629,,Udayapur Garhi,,,,,,
13270710,1282629,ne,Udaypur Gaḍhi̇̄,,,,,,
655142,1282630,,Garhi,,,,,,
655143,1282630,,Udayapur District,,,,,,
655144,1282630,,Udaipur,,,,,,
655145,1282630,,Udaypur,,,,,,
655146,1282630,,Udaipur Garhi,,,,,,
655147,1282630,,Udayapur Garhi,,,,,,
2934482,1282630,link,https://en.wikipedia.org/wiki/Udayapur_District,,,,,,
4390372,1282630,,Udayapur,,,,,,
655148,1282631,,Udai,,,,,,
4390373,1282631,,Udain,,,,,,
13827266,1282631,ne,Udāi̇̄n,,,,,,
13638883,1282632,ne,Ṭũḍikhel,,,,,,
13638884,1282632,,Tūnrikhel,,,,,,
655149,1282633,,Tumlintar,,,,,,
4390374,1282633,,Tumlingtar,,,,,,
7055500,1282633,link,https://en.wikipedia.org/wiki/Tumlingtar,,,,,,
13638885,1282633,ne,Tumliṅṭār,,,,,,
13791813,1282633,unlc,NPTMI,,,,,,
13827267,1282634,ne,Tulsi̇̄pur,,,,,,
13827268,1282634,,Tulsīpur,,,,,,
5809795,1282635,link,https://en.wikipedia.org/wiki/Tulsipur%2C_Rapti,,,,,,
8109566,1282635,,Tulsīpur,,,,,,
15265916,1282635,wkdt,Q33508613,,,,,,
10786724,1282636,ne,Tulasi̇̄,,,,,,
10786725,1282636,,Tulsi,,,,,,
10786726,1282636,ne,Tulasī,,,,,,
655150,1282639,,Trisuli River,,,,,,
655151,1282639,,Trishuli River,,,,,,
4390375,1282639,,Chi-lung Ho,,,,,,
6892300,1282639,link,https://en.wikipedia.org/wiki/Trishuli_River,,,,,,
13449297,1282639,ne,Trishuli̇̄ Nadi̇̄,,,,,,
13449298,1282639,ne,Trishuli̇̄ Gaṅgā Nadi̇̄,,,,,,
655152,1282641,,Khinchit,,,,,,
655153,1282641,,Trisuli,,,,,,
4390376,1282641,,Trisūli Bāzār,,,,,,
13270711,1282642,ne,Trijuga River,,,,,,
13270712,1282642,ne,Tri̇̄jugā Nadi̇̄,,,,,,
655154,1282643,,Raj Path,,,,,,
655155,1282643,,Tribhuvan Rajpath,,,,,,
655156,1282643,,Tribhuvana Raj Path,,,,,,
655157,1282643,,Tribuwan Rajpath,,,,,,
4390377,1282643,,Tribhuwan Rajpath,,,,,,
13270713,1282643,ne,Tribhuvan Rājmārg,,,,,,
655158,1282644,en,Kathmandu Airport,,,,,,
655159,1282644,en,Tribhuvan International Airport,1,,,,,
655160,1282644,en,Gaucher Airport,,,,1,,
655161,1282644,en,Gauchar Airport,,,,1,,
1887822,1282644,icao,VNKT,,,,,,
1890206,1282644,iata,KTM,,,,,,
5806364,1282644,link,https://en.wikipedia.org/wiki/Tribhuvan_International_Airport,,,,,,
8493522,1282644,wuu,特里布万国际机场,,,,,,
8493523,1282644,ru,Аэропорт Трибхуван,,,,,,
8493524,1282644,ja,トリブバン国際空港,,,,,,
8493525,1282644,new,त्रिभुवन विमानस्थल,,,,,,
8493526,1282644,ne,त्रिभुवन अन्तर्राष्ट्रिय विमानस्थल,,,,,,
8493527,1282644,mr,त्रिभुवन आंतरराष्ट्रीय विमानतळ,,,,,,
8493528,1282644,hi,त्रिभुवन अन्तर्राष्ट्रीय विमानक्षेत्र,,,,,,
8493529,1282644,ko,트리부반 국제공항,,,,,,
8493530,1282644,fa,فرودگاه بین‌المللی تریبهوان,,,,,,
9352291,1282644,de,Flughafen Kathmandu,,,,,,
9352292,1282644,es,Aeropuerto Internacional de Katmandú,,,,,,
9352293,1282644,it,Aeroporto Internazionale Tribhuvan,,,,,,
9352294,1282644,fi,Tribhuvan kansainvälinen lentoasema,,,,,,
9352295,1282644,hu,Tribhuvan nemzetközi repülőtér,,,,,,
9352296,1282644,id,Bandar Udara Internasional Tribhuvan,,,,,,
9352297,1282644,no,Kathmandu internasjonale lufthavn,,,,,,
9352298,1282644,tg,Фурудгоҳи бин‌алмилалӣ трибҳуон,,,,,,
9352299,1282644,vi,Sân bay quốc tế Tribhuvan,,,,,,
9352300,1282644,pl,Port lotniczy Katmandu,,,,,,
9352301,1282644,ru,Трибхуван,,,,,,
9352302,1282644,zh,特里布万国际机场,,,,,,
655162,1282645,,Tribeni Gatt,,,,,,
4390378,1282645,,Tribeni Ghāt,,,,,,
655163,1282646,,Tribeni Gatt,,,,,,
4390379,1282646,,Tribeni Ghāt,,,,,,
655164,1282647,,Tribeni Gatt,,,,,,
4390380,1282647,,Tribeni,,,,,,
13270714,1282647,ne,Tribeṇi,,,,,,
655165,1282648,,Toridwari,,,,,,
655166,1282648,,Toridwāri Darā,,,,,,
4390381,1282648,,Toridwari Bhanjyāng,,,,,,
13702312,1282651,ne,Toli̇̄,,,,,,
13702313,1282651,,Toli,,,,,,
13702314,1282652,ne,Toli̇̄,,,,,,
13702315,1282652,,Toli,,,,,,
655167,1282653,,Tokna,,,,,,
4390382,1282653,,Tokha,,,,,,
11305567,1282653,link,https://en.wikipedia.org/wiki/Tokha,,,,,,
655168,1282654,,Tiptalā Bhanjyāng,,,,,,
655169,1282654,,Walung,,,,,,
655170,1282654,,Djotala,,,,,,
655171,1282654,,Amboia,,,,,,
655172,1282654,,Tiptala,,,,,,
