AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
3580237,30469,,Jibāl al Qamar,,,,,,
13190850,30469,,Jabal al Qamar,,,,,,
13190851,30469,ar,جبل القمر,,,,,,
13190852,30469,ar,جبال القمر,,,,,,
13190853,30469,,Jabal al Qamr,,,,,,
3110111,70669,,Shi‘b Shibitha,,,,,,
8238743,70669,,Wādī Shabathah,,,,,,
13190945,70669,,Shi‘b Shabathah,,,,,,
13190946,70669,ar,شعب شبثة,,,,,,
3111055,72349,,Wādī Nahrit,,,,,,
6535851,72349,ar,وادي نهرت,,,,,,
8238746,72349,,Wādī Nārayt,,,,,,
13190992,72349,ar,وادي ناريت,,,,,,
3237111,72603,,Wādī Mītan,,,,,,
12778075,72603,,Wādī Maytan,,,,,,
12778076,72603,ar,وادي ميتن,,,,,,
12778077,72603,,Wādī Mitān,,,,,,
3111571,73227,,Mahrah,,,,,,
8238750,73245,,Shi‘b Mahdoeet,,,,,,
8238751,73245,,Shi‘b Maḩdwīt,,,,,,
13191028,73245,,Shi‘b Mahdīt,,,,,,
13191029,73245,ar,شعب مهديت,,,,,,
3684946,106540,,Ghanīm ash Shaybah,,,,,,
13637918,106540,,Ghunaym ash Shaybah,,,,,,
13637919,106540,ar,غنيم الشيبة,,,,,,
3684947,106542,,Ghanīm,,,,,,
13637920,106542,ar,غنيم,,,,,,
50495,107702,,Wādī Baladī,,,,,,
13600340,107702,,Wudayy al Baladī,,,,,,
15915579,107702,ar,وادي بلدي,,,,,,
51998,108867,,Ar Rashid,,,,,,
51999,108867,,Rawashid,,,,,,
3161988,108867,ar,Āl Rāshid,,,,,,
162081,251133,,Wādī Shaḩan,,,,,,
4406817,251133,,Wādī Shiḩan,,,,,,
6550937,251133,ar,وادي شحن,,,,,,
12785246,251133,,Wādī Shiḥan,,,,,,
198724,285871,,Wadi Sarab,,,,,,
3223893,285871,ar,Wādī Şirāh,,,,,,
13935587,285871,,Wādī Şarāb,,,,,,
13935588,285871,ar,وادي صراب,,,,,,
13935589,285871,,Wādī Şrāb,,,,,,
3223894,285872,,Z̧uwayhir,,,,,,
4466586,285873,,Z̧uwayhir,,,,,,
13533565,285873,,Az̧ Z̧uwayhir,,,,,,
13533566,285873,ar,الظويهر,,,,,,
13533567,285873,,Aẓ Ẓuwayhir,,,,,,
4466587,285874,,Z̧uwayhir,,,,,,
198725,285875,,Zimaima,,,,,,
198726,285875,,Zumaymah,,,,,,
4466588,285875,,Qarn Zumaymah,,,,,,
13639241,285875,ar,قرن زميمة,,,,,,
13639242,285875,,Qarn Zimaymah,,,,,,
3223895,285876,,Ramlat Zumaym,,,,,,
13935590,285876,,Ramlat Umm az Zamāyim,,,,,,
13935591,285876,ar,رملة أم الزمايم,,,,,,
4466589,285877,,Zukayt,,,,,,
13602530,285877,ar,زكيت,,,,,,
198727,285878,,Tāwī Zahaib,,,,,,
198728,285878,,Ţawī Zuhayb,,,,,,
3223896,285878,,Zuhayb,,,,,,
198729,285879,ar,Z̧ufār,,,,,,
198730,285879,,Ḑufār,,,,,,
198731,285879,,Dhufar,,,,,,
198732,285879,,Dhofar Proper,,,,,,
198733,285879,,Dhaufar,,,,,,
198734,285879,,Dhufār Plain,,,,,,
4466590,285879,en,Dhofar,,,,,,
3223897,285880,,Wādī Zuaqti,,,,,,
13602531,285880,,Wādī az Zawāktī,,,,,,
13602532,285880,ar,وادي الزواكتي,,,,,,
4466591,285881,ar,Z̧iyān,,,,,,
4466592,285882,,Zilaft,,,,,,
13639243,285882,,Al ‘Uwaynah,,,,,,
13639244,285882,ar,العوينة,,,,,,
4466593,285883,,Zikt,,,,,,
13533568,285883,,Az Zikt,,,,,,
13533569,285883,ar,الزكت,,,,,,
198735,285884,,Wādī az Zubrah,,,,,,
3223898,285884,ar,Wādī Zibrá,,,,,,
13396191,285884,,Wādī az Zibrah,,,,,,
13396192,285884,ar,وادي الزبرة,,,,,,
198736,285885,,Zabara,,,,,,
4466594,285885,,Zibārah,,,,,,
4466595,285886,,Zerbaiy,,,,,,
198737,285887,,Ra’s Zaiwari,,,,,,
4466596,285887,,Ra’s Zaywarī,,,,,,
4466597,285888,,Zaymī,,,,,,
13533571,285888,,Az Zuhaymī,,,,,,
13533572,285888,ar,الزّهيمي,,,,,,
13533573,285888,,Az Zihaymī,,,,,,
198738,285889,,Ḑab‘,,,,,,
198739,285889,,Zaybah,,,,,,
4466598,285889,,Z̧ābi‘ah,,,,,,
198740,285890,,Ramlat az Zauliya,,,,,,
3223899,285890,,Ramlat az Zawlīyah,,,,,,
13935592,285890,ar,رملة الزولية,,,,,,
13935593,285890,,Ramlat az Zawliyyah,,,,,,
3223900,285891,,Zawlīyah,,,,,,
198741,285892,,Jabal Zaulaul,,,,,,
3223901,285892,,Jabal Zawlawl,,,,,,
13503224,285892,,Jabal Zalūl,,,,,,
13503225,285892,ar,جبل زلول,,,,,,
4466599,285894,,Zawājah,,,,,,
13533574,285894,,Az Zawājir,,,,,,
13533575,285894,ar,الزواجر,,,,,,
198746,285896,,Ras Darri,,,,,,
198747,285896,,Ras Dharri,,,,,,
198748,285896,,Ra’s Dtharri,,,,,,
4466600,285896,,Ra’s Z̧arrī,,,,,,
13935594,285896,,Ra’s az̧ Z̧arī,,,,,,
13935595,285896,ar,رأس الظري,,,,,,
13935596,285896,,Ra’s adh Dharī,,,,,,
4466601,285897,,Zanatiyāt,,,,,,
15983090,285897,,Zanātīyāt,,,,,,
15983091,285897,ar,زناتيات,,,,,,
15983092,285897,,Zanātiyyāt,,,,,,
4466602,285898,,Zammah,,,,,,
