AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1497757,3699893,,False Point Island,,,,,,
4658133,3699893,,Isla Vitorino,,,,,,
1497758,3699894,,Rio La Leona,,,,,,
4658134,3699894,,Quebrada La Leona,,,,,,
1497759,3699895,,Darién,,,,,,
1497760,3699895,,Isthmus of Darien,,,,,,
1497761,3699895,,Istmo del Darién,,,,,,
1497762,3699896,,Pantano Colorado,,,,,,
1497763,3699896,,Lago de Colorado,,,,,,
1497764,3699897,,Barrio del Chorrillo,,,,,,
1497765,3699897,,Chorillo,,,,,,
4658135,3699897,,Corregimiento El Chorillo,,,,,,
10652058,3699897,es,Corregimiento El Chorrillo,,,,,,
11761959,3699897,link,https://en.wikipedia.org/wiki/El_Chorrillo,,,,,,
1497766,3699899,,Punta Surrones,,,,,,
4658136,3699899,,Punta Zurrón,,,,,,
10652059,3699899,es,Punta Zurrones,,,,,,
1497767,3699901,,Quebrada Sumbona,,,,,,
4658137,3699901,,Quebrada Zumbona,,,,,,
10850122,3699902,es,Zumbador,,,,,,
1497768,3699906,,Zorra Island,,,,,,
4658138,3699906,,Isla Zorra,,,,,,
10850123,3699912,es,Río Zaratí,,,,,,
10850124,3699913,es,Río Zapotillo,,,,,,
11763973,3699914,link,https://en.wikipedia.org/wiki/Zapotillo,,,,,,
11769712,3699914,,Corregimiento Zapotillo,,,,,,
10850125,3699915,es,Zapotillo,,,,,,
11314451,3699915,link,https://en.wikipedia.org/wiki/Zapotillo,,,,,,
1497769,3699928,,Río Spapotal,,,,,,
4658139,3699928,,Río Zapotal,,,,,,
1497770,3699930,,Quebrada de Sapotas,,,,,,
4658140,3699930,,Quebrada Zapotal,,,,,,
1497771,3699931,,Cerro Filo de los Bongos,,,,,,
4658141,3699931,,Filo de Zapotal,,,,,,
10850126,3699936,es,Zapiringo,,,,,,
10850127,3699937,es,Río Zapillo,,,,,,
1497772,3699938,,Zape Arriba,,,,,,
4658142,3699938,,Zape Grande,,,,,,
1497773,3699939,,Zape Abajo,,,,,,
4658143,3699939,,Zape Chiquito,,,,,,
1497774,3699940,,Cayo Zapatilla,,,,,,
1497775,3699940,,Cayos Zapatillas,,,,,,
4658144,3699940,,Cayos Zapatilla,,,,,,
7185052,3699940,link,https://en.wikipedia.org/wiki/Cayos_Zapatilla,,,,,,
10850128,3699941,es,Río Zapaterito,,,,,,
15567470,3699942,wkdt,Q34788709,,,,,,
16002752,3699942,,Zapadilla Cay,,,,,,
1497776,3699946,,Zanguenga,,,,,,
4658145,3699946,,La Zanguenga,,,,,,
12146339,3699946,es,Zangüengas,,,,,,
13792190,3699946,unlc,PALZA,,,,,,
13792272,3699946,unlc,PAZAN,,,,,,
1497777,3699948,,Quebrada Sanqudero,,,,,,
4658146,3699948,,Quebrada Zancudero,,,,,,
1497778,3699950,,Quebrada Sambuyadora,,,,,,
4658147,3699950,,Quebrada Zambullidora,,,,,,
1497779,3699953,,Saino Island,,,,,,
1497780,3699953,,Island Zaino,,,,,,
4658148,3699953,,Isla Zaino,,,,,,
10652060,3699954,es,Río Saino,,,,,,
10652061,3699954,,Río Zahino,,,,,,
1497781,3699955,,Río Zahino,,,,,,
4658149,3699955,,Río Zaino,,,,,,
1497782,3699960,,Punta Dedo,,,,,,
4658150,3699960,,Punta Yurre,,,,,,
1497783,3699962,,Yuca Island,,,,,,
4658151,3699962,,Isla Yucca,,,,,,
1497789,3699966,,Quebrada Yerbazales,,,,,,
4658153,3699966,,Río Yerbazal,,,,,,
1497790,3699967,,Isla Los Negros,,,,,,
1497791,3699967,,Yerba Verde Island,,,,,,
4658154,3699967,,Isla Yerba Verde,,,,,,
1497792,3699968,,Cerro de Las Veguas,,,,,,
4658155,3699968,,Cerro de las Yeguas,,,,,,
1497793,3699969,,Cerro Yerba Buena,,,,,,
4658156,3699969,,Cerro de Yegua Buena,,,,,,
15544437,3699969,wkdt,Q31730545,,,,,,
12146340,3699974,es,Yayas Afuera,,,,,,
1497794,3699976,,Yayas Adentro,,,,,,
4658157,3699976,,Las Yayas Adentro,,,,,,
13792189,3699976,unlc,PALYA,,,,,,
11761612,3699979,link,https://en.wikipedia.org/wiki/Yaviza,,,,,,
11769713,3699979,,Corregimiento Yaviza,,,,,,
1497795,3699980,,Yavisa,,,,,,
2987750,3699980,link,https://en.wikipedia.org/wiki/Yaviza,,,,,,
4658158,3699980,,Yaviza,,,,,,
7484775,3699980,iata,PYV,,,,,,
13792236,3699980,unlc,PAPYV,,,,,,
1497796,3699981,,Río El Patal,,,,,,
1497797,3699981,,Río Vare,,,,,,
4658159,3699981,,Río Yaré,,,,,,
10652062,3699982,es,Río Yapé,,,,,,
10652063,3699982,,Río Yape,,,,,,
11761611,3699983,link,https://en.wikipedia.org/wiki/Yape,,,,,,
11769714,3699983,,Corregimiento Yape,,,,,,
10652064,3699984,es,Yape,,,,,,
11309951,3699984,link,https://en.wikipedia.org/wiki/Yape,,,,,,
1497798,3699985,,Tamba de Kantule,,,,,,
1497799,3699985,,Yantupo,,,,,,
4658160,3699985,,Yantupu,,,,,,
15298829,3699985,wkdt,Q34784380,,,,,,
10652065,3699986,es,Isla Yantupo,,,,,,
10652066,3699986,,Yantupo,,,,,,
15760980,3699987,wkdt,Q34784300,,,,,,
16002753,3699987,,Yampi Island,,,,,,
1497800,3699991,,Caño William,,,,,,
4658161,3699991,,Río Williams,,,,,,
1497801,3699992,,Wild Cane Cay,,,,,,
4658162,3699992,,Wild Cane Key,,,,,,
10652067,3699993,es,Wichubhualá,,,,,,
10652068,3699993,,Wichubualá,,,,,,
1497802,3699998,,Wargobtugua,,,,,,
1497803,3699998,,Warsotubgua,,,,,,
1497804,3699998,,Warsotupo,,,,,,
4658163,3699998,,Warsobtugua,,,,,,
1497805,3700001,,Ensenada Wanchi,,,,,,
4658164,3700001,,Bight Wanchi,,,,,,
1497806,3700002,,Walker Island,,,,,,
4658165,3700002,,Isla Walker,,,,,,
1497807,3700003,,Waguitupo,,,,,,
1497808,3700003,,Wuaguitupo,,,,,,
4658166,3700003,,Wakitupu,,,,,,
1497809,3700005,,Waisilatupo,,,,,,
4658167,3700005,,Waisalatupo,,,,,,
1497810,3700006,,Mandinga Point,,,,,,
1497811,3700006,,Punta Waisalamulo,,,,,,
1497812,3700006,,Punta Waisalamulhu,,,,,,
4658168,3700006,,Punta Waisatomulo,,,,,,
1497813,3700007,,Playon Chico Point,,,,,,
4658169,3700007,,Punta Waisalamulo,,,,,,
10850129,3700013,es,Vueltas Largas,,,,,,
10850130,3700013,,Vuelta Larga,,,,,,
1497814,3700014,,Cerro La Volteca,,,,,,
4658170,3700014,,Cerro Voltea,,,,,,
1497815,3700016,,El Volcán,,,,,,
1497816,3700016,,Corregimiento Hato del Volcán,,,,,,
4658171,3700016,,Corregimiento Volcán,,,,,,
1497817,3700017,,El Hato,,,,,,
1497818,3700017,,El Volcán,,,,,,
1497819,3700017,,El Hato del Volcán,,,,,,
1497820,3700017,,Hato de Volcan,,,,,,
1497821,3700017,,Hato del Volcán,,,,,,
4658172,3700017,,Volcán,,,,,,
7042946,3700017,link,https://en.wikipedia.org/wiki/Volc%C3%A1n%2C_Panama,,,,,,
1497822,3700018,,Cerro Volca,,,,,,
4658173,3700018,,Volca,,,,,,
10850131,3700020,es,Volante,,,,,,
1497823,3700021,,Quebrada Vizcaine,,,,,,
4658174,3700021,,Quebrada Vizcaíno,,,,,,
10652069,3700026,es,Punta Vivero,,,,,,
10652070,3700026,,Punta Viveros,,,,,,
1497824,3700028,,Viveros Island,,,,,,
4658175,3700028,,Isla Viveros,,,,,,
15334855,3700033,wkdt,Q33512197,,,,,,
10850132,3700034,es,Vista Hermosa,,,,,,
11763974,3700037,link,"https://en.wikipedia.org/wiki/Vista_Alegre,_Panama",,,,,,
12146341,3700037,,Corregimiento Vista Alegre,,,,,,
11296913,3700038,link,https://en.wikipedia.org/wiki/Vista_Alegre%2C_Panama,,,,,,
12146342,3700038,es,Vista Alegre,,,,,,
15220880,3700038,wkdt,Q33512189,,,,,,
15504383,3700044,wkdt,Q34863981,,,,,,
16002754,3700044,,Cerro Virulí,,,,,,
15666339,3700050,wkdt,Q31730562,,,,,,
16002755,3700050,,Cerro Virote,,,,,,
10850133,3700052,es,Río Virigua,,,,,,
10850134,3700054,es,Cerro Virigua,,,,,,
1497825,3700060,,Isla La Paloma,,,,,,
1497826,3700060,,Vino Tinto Island,,,,,,
4658176,3700060,,Isla Vino Tinto,,,,,,
1497827,3700063,,Santa Rita,,,,,,
4658177,3700063,,Vino Tinto,,,,,,
10850135,3700068,es,Villarreal,,,,,,
11762224,3700069,link,https://en.wikipedia.org/wiki/Villa_Rosario,,,,,,
12146343,3700069,,Corregimiento Villa Rosario,,,,,,
7066853,3700070,link,https://en.wikipedia.org/wiki/Villa_Rosario,,,,,,
7216254,3700070,,Villa Rosario,,,,,,
1497828,3700073,,Quebrada Villarreal,,,,,,
4658178,3700073,,Quebrada Villareal,,,,,,
10850136,3700077,es,Villalobos,,,,,,
11762223,3700079,link,"https://en.wikipedia.org/wiki/Villa_Carmen,_Panama",,,,,,
