AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1485411,3667131,,Brazo Tigre,,,,,,
1485412,3667131,,Paraná Tigre,,,,,,
1494586,3690600,,Hacienda Huamansaña,,,,,,
4581073,3690600,,Huamansaña,,,,,,
7957735,3690600,,Huananzaña,,,,,,
7957736,3690600,,Huamanzaña,,,,,,
7957737,3690600,,Humanzaña,,,,,,
1494587,3690601,,Punta de Pacasmayo,,,,,,
1494588,3690601,,Pacasmayo Point,,,,,,
4581075,3690601,,Punta Pacasmayo,,,,,,
10937007,3690602,,Tres de Octubre,,,,,,
10937008,3690602,es,3 De Octubre,,,,,,
11176390,3690605,es,Zorro Cote,,,,,,
11176391,3690605,es,Zorro-Cote,,,,,,
11176392,3690605,es,Cote,,,,,,
15114993,3690606,wkdt,Q31735353,,,,,,
15997122,3690606,,Cerro Zorro,,,,,,
1494589,3690608,,Puerto Villar,,,,,,
4581077,3690608,,Zorritos,,,,,,
13668654,3690608,link,https://en.wikipedia.org/wiki/Zorritos,,,,,,
13792407,3690608,unlc,PEZOR,,,,,,
15114991,3690609,wkdt,Q34865099,,,,,,
15997123,3690609,,Cerro Zorín,,,,,,
1494590,3690610,,Quebrada Songorita,,,,,,
4581080,3690610,,Quebrada Zongorita,,,,,,
1494592,3690614,,Río Sarumilla,,,,,,
4581082,3690614,,Río Zarumilla,,,,,,
7877580,3690614,,Río Bolsico,,,,,,
11313110,3690614,link,https://en.wikipedia.org/wiki/Zarumilla_River,,,,,,
1494593,3690615,,Zarumilla,,,,,,
4581083,3690615,,Provincia de Zarumilla,,,,,,
1494594,3690619,,Nuevo Zapote,,,,,,
1494595,3690619,,Sapoteyaco,,,,,,
1494596,3690619,,Sapote,,,,,,
4581087,3690619,,Zapote,,,,,,
1494597,3690621,,Pampa Zapote,,,,,,
4581088,3690621,,Pampa Zapotal,,,,,,
1494598,3690624,,Zapotal,,,,,,
4581089,3690624,,Sapotal,,,,,,
1494599,3690626,,Zapotal Hacienda,,,,,,
4581090,3690626,,Zapotal,,,,,,
15781846,3690629,wkdt,Q31735364,,,,,,
15997124,3690629,,Cerro Zapayalito,,,,,,
1494600,3690630,,Cerro Sapayal,,,,,,
4581092,3690630,,Cerro Zapayal,,,,,,
15461557,3690631,wkdt,Q31265595,,,,,,
15997125,3690631,,Cerro Zapayal,,,,,,
1494601,3690632,,Zapayal,,,,,,
4581094,3690632,,Ceybal,,,,,,
1494602,3690633,,Sapayal,,,,,,
4581095,3690633,,Zapayal,,,,,,
1494603,3690638,,Zapallal Hacienda,,,,,,
4581098,3690638,,Zapallal,,,,,,
1494604,3690649,,Rápidos de Yuya Pichis,,,,,,
4581100,3690649,,Rápido de Yuya Pichis,,,,,,
1494605,3690650,,Río Yutupiza,,,,,,
1494606,3690650,,Río Yutupis,,,,,,
1494607,3690650,,Río Yatopiza,,,,,,
4581102,3690650,,Río Yutopiza,,,,,,
1494608,3690652,,Yuscay Hacienda,,,,,,
1494609,3690652,,Yuscay,,,,,,
4581103,3690652,,San Francisco de Yuscay,,,,,,
1494610,3690654,,Yurimahuas,,,,,,
2987699,3690654,link,https://en.wikipedia.org/wiki/Yurimaguas,,,,,,
3043554,3690654,ru,Юримагуас,,,,,,
4581106,3690654,,Yurimaguas,,,,,,
7484092,3690654,iata,YMS,,,,,,
13792406,3690654,unlc,PEYMS,,,,,,
1494611,3690655,,Quebrada Yurayaco,,,,,,
4581107,3690655,,Quebrada Yurayco,,,,,,
1494612,3690659,,Quebrada Yurac,,,,,,
1494613,3690659,,Rio Yurayaco,,,,,,
4581108,3690659,,Río Yuracyacu,,,,,,
1494614,3690661,,Yura Yacu,,,,,,
1494615,3690661,,Yuracyaco,,,,,,
4581109,3690661,,Yuracyacu,,,,,,
2054421,3690663,,Río Yurac Apaga,,,,,,
4581112,3690663,,Río Yuracapaga,,,,,,
15114900,3690664,wkdt,Q31735375,,,,,,
15997145,3690664,,Cerro Yuque,,,,,,
1494616,3690665,,Napinaza,,,,,,
4581116,3690665,,Quebrada Yupinaza,,,,,,
2213246,3690670,,Quebrada de la Yuntas,,,,,,
4581117,3690670,,Quebrada Las Yuntas,,,,,,
1494617,3690672,,Yungay,,,,,,
4581119,3690672,,Provincia de Yungay,,,,,,
8089824,3690672,link,https://en.wikipedia.org/wiki/Yungay_Province,,,,,,
2987700,3690673,link,https://en.wikipedia.org/wiki/Yungay%2C_Peru,,,,,,
4581120,3690673,,Yungay,,,,,,
15574831,3690673,wkdt,Q919678,,,,,,
1494618,3690675,,Llunchicate,,,,,,
1494619,3690675,,Yunchicat,,,,,,
1494620,3690675,,Yunchicati,,,,,,
4581122,3690675,,Yunchicate,,,,,,
2054423,3690677,,Río Yuna Apaga,,,,,,
4581124,3690677,,Río Yanaapaga,,,,,,
1494621,3690679,,Yumbe Ciudad,,,,,,
4581125,3690679,,Yumbe,,,,,,
15114893,3690683,wkdt,Q31735393,,,,,,
15997149,3690683,,Cerro Yugo,,,,,,
1494622,3690686,,Yurdur,,,,,,
4581126,3690686,,Yudur,,,,,,
1494623,3690687,,Yacuruche,,,,,,
1494624,3690687,,Yucurruchi,,,,,,
4581127,3690687,,Yucuruche,,,,,,
10937009,3690688,es,Quebrada de Yucaspunta,,,,,,
1494625,3690691,,Quebrada Yubineto,,,,,,
4581130,3690691,,Río Yubineto,,,,,,
1494626,3690692,,Yuvineto,,,,,,
4581131,3690692,,Yubineto,,,,,,
1494627,3690696,,Yonan,,,,,,
4581135,3690696,,Yonán,,,,,,
