AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1067098,2194173,,Îlots de Bass,,,,,,
1067099,2194173,,Bass Islands,,,,,,
1067100,2194173,,Marotiri Islands,,,,,,
1067101,2194173,,Maretiri,,,,,,
1067102,2194173,,Bass Isles,,,,,,
1067103,2194173,,Morotiri,,,,,,
1067104,2194173,,Four Crowns,,,,,,
1067105,2194173,,Marutiri Island,,,,,,
1067106,2194173,,Bass Rocks,,,,,,
1067107,2194173,,Îles de Bass,,,,,,
4315247,2194173,,Îles Marotiri,,,,,,
1545918,4019878,,Vai Tepua,,,,,,
4314657,4019878,,Vaitepua,,,,,,
1545919,4019879,,Vai Temanu,,,,,,
4314659,4019879,,Vaitemanu,,,,,,
1545920,4019880,,Vai Teama,,,,,,
4314660,4019880,,Vaiteama,,,,,,
11839720,4019880,,Vaituama,,,,,,
1545921,4019881,,Vaipae,,,,,,
1545922,4019881,,Vai Take Bay,,,,,,
1545923,4019881,,Baie Invisible,,,,,,
1545924,4019881,,Invisible Bay,,,,,,
4314662,4019881,,Baie Vaitaka,,,,,,
1545925,4019882,,Vaitahu,,,,,,
1545926,4019882,,Resolution Bay,,,,,,
4314664,4019882,,Baie Vaitahu,,,,,,
1545927,4019884,,Vai Pio,,,,,,
4314676,4019884,,Vaipio,,,,,,
1545928,4019885,,Vai Paia,,,,,,
4314678,4019885,,Vaipaia,,,,,,
1545929,4019886,,Valley of Vai Take,,,,,,
4314680,4019886,,Vallée de Vaipae,,,,,,
1545930,4019887,,Vai Hoa,,,,,,
4314686,4019887,,Vaihoa,,,,,,
11839725,4019887,,Viahoa,,,,,,
11839728,4019888,,Vaietepana,,,,,,
11839727,4019890,,Ututete,,,,,,
1545931,4019892,,Huahuna,,,,,,
1545932,4019892,en,Massachusett Island,,,,1,,
1545933,4019892,,Ouahouka,,,,,,
1545934,4019892,en,Washington Island,,,,1,,
1545935,4019892,,Uauka,,,,,,
1545936,4019892,,Huahuka,,,,,,
1545937,4019892,,Hua-ka,,,,,,
1545938,4019892,fr,Île Ua Huka,,,,,,
1545939,4019892,,Uahuga,,,,,,
1545940,4019892,,Roahuga,,,,,,
2988942,4019892,link,https://en.wikipedia.org/wiki/Ua_Huka,,,,,,
4314712,4019892,,Ua Huka,,,,,,
11084087,4019892,en,Ua Huka Island,,,,,,
11084088,4019892,iata,UAH,,,,,,
15328918,4019892,wkdt,Q202299,,,,,,
15618201,4019893,wkdt,Q31744949,,,,,,
15959541,4019893,,Sommet Tumu Meae Ufa,,,,,,
1545941,4019894,,Tumaiai Rock,,,,,,
4314723,4019894,,Rocher Tumaiai,,,,,,
1545942,4019895,en,Traitors Bay,,,,,,
1545943,4019895,,Baie Vipaihai,,,,,,
1545944,4019895,,Vipihai,,,,,,
4314738,4019895,,Baie des Traîtres,,,,,,
11839495,4019895,,Vi-pi-hai,,,,,,
11839507,4019895,en,Taa Oa Bay,,,,,,
11839508,4019895,,Baie Taaoa,,,,,,
11839509,4019895,link,https://en.wikipedia.org/wiki/Ta%27a_Oa,,,,,,
1545945,4019896,,Hana Tetou,,,,,,
4314742,4019896,,Hana te Tou,,,,,,
1545946,4019897,,Tohapu,,,,,,
4314750,4019897,,Topahu,,,,,,
1545947,4019899,,Cape Martin,,,,,,
1545948,4019899,,Cap Martin,,,,,,
1545949,4019899,,Tikapo,,,,,,
4314783,4019899,,Cap Tikapo,,,,,,
1545950,4019900,,Hat Island,,,,,,
1545951,4019900,,Teuaua Island,,,,,,
1545952,4019900,,Ile Tenana,,,,,,
4314799,4019900,,Teuaua,,,,,,
1545953,4019901,,Tetutu Point,,,,,,
4314800,4019901,,Pointe Tetutu,,,,,,
1545954,4019903,,Hana Tepua,,,,,,
4314815,4019903,,Tepua,,,,,,
1545955,4019904,,Valley of Tepoepo,,,,,,
4314818,4019904,,Vallée de Tepeopo,,,,,,
1545956,4019905,,Teoho Tupa Point,,,,,,
4314826,4019905,,Pointe Teohotupa,,,,,,
1545957,4019906,,Teohote Papa Point,,,,,,
4314827,4019906,,Pointe Teohotepapa,,,,,,
1545958,4019907,,Sail Rock,,,,,,
1545959,4019907,,Teohote Kea,,,,,,
4314828,4019907,,Rocher Te-oho-te-kea,,,,,,
11839505,4019908,link,https://en.wikipedia.org/wiki/Temetiu,,,,,,
11839506,4019908,,Temetiu,,,,,,
1545960,4019910,,Tekoapa Rock,,,,,,
4314842,4019910,,Rocher Tekoapa,,,,,,
1545961,4019911,,Point Tekeo,,,,,,
4314843,4019911,,Pointe Tekeo,,,,,,
1545962,4019912,,Pointe Teihuae,,,,,,
4314845,4019912,,Pointe Teihuhaoe,,,,,,
1545963,4019913,,Tehote Papa Point,,,,,,
4314849,4019913,,Pointe Teho te Papa,,,,,,
8246177,4019913,,Pointe Teoho O Ta Papa,,,,,,
1545964,4019916,,Hiva Oa Point,,,,,,
1545965,4019916,,Cap Teaehoa,,,,,,
1545966,4019916,,Teaehoa Point,,,,,,
4314871,4019916,,Pointe Teaehoa,,,,,,
1545967,4019917,,Valley of Taua,,,,,,
4314887,4019917,,Vallée de Taua,,,,,,
1545968,4019918,,Taua Bay,,,,,,
4314888,4019918,,Anse Taua,,,,,,
15364665,4019920,wkdt,Q31744961,,,,,,
1545969,4019921,,Tamuko,,,,,,
4314912,4019921,,Tamuka,,,,,,
1545970,4019923,,Vaitahu,,,,,,
1545971,4019923,,Tau-ata,,,,,,
1545972,4019923,,Taou-ata,,,,,,
