AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1031968,2082730,,Pelleluhu Group,,,,,,
1031969,2082730,,Pelleluhun Islands,,,,,,
1031970,2082730,,Pellehuhu Islands,,,,,,
1031971,2082730,,Pelleluhu Islands,,,,,,
1031972,2082730,,Pelleluch Atoll,,,,,,
4116626,2082730,,Pelleluhu Atoll,,,,,,
1031973,2082731,,Tasman Islands,,,,,,
1031974,2082731,,Niumanno,,,,,,
1031975,2082731,,Nukumanu Islands,,,,,,
2939861,2082731,link,https://en.wikipedia.org/wiki/Nukumanu_Islands,,,,,,
4116627,2082731,,Nukumanu Atoll,,,,,,
1031976,2082732,en,Nada Islands,,,,1,,
1031977,2082732,,Laughlan Islands,,,,,,
4116628,2082732,,Laughlan Atoll,,,,,,
7914437,2082732,,Budibudi Islands,,,,,,
13792685,2082732,unlc,PGLLA,,,,,,
13963509,2082732,en,Laughlin Islands,,,,1,,
1031978,2082733,,Heina Group,,,,,,
1031979,2082733,,Heina Islands,,,,,,
4116629,2082733,,Heina Atoll,,,,,,
1031980,2082736,,Zunzumau,,,,,,
4116630,2082736,,Zunzumua,,,,,,
1031981,2082737,,Tongue Point,,,,,,
1031982,2082737,,Zungen Spitze,,,,,,
4116631,2082737,,Zungen Point,,,,,,
14869452,2082738,wkdt,Q34788982,,,,,,
15924752,2082738,,Zumbale Island,,,,,,
1031983,2082739,,Zumagu Point,,,,,,
4116632,2082739,,Zumaga Point,,,,,,
1031984,2082741,,Zorogo,,,,,,
4116633,2082741,,Zoroge,,,,,,
1031985,2082758,,Zenac,,,,,,
4116634,2082758,,Zenag,,,,,,
7485118,2082758,iata,ZEN,,,,,,
13792892,2082758,unlc,PGZEN,,,,,,
1031986,2082763,,Zari,,,,,,
1031987,2082763,,Zaribiria,,,,,,
4116635,2082763,,Zare,,,,,,
1031988,2082771,,Lakubep,,,,,,
4116636,2082771,,Zakubep,,,,,,
1031989,2082772,,Zaka,,,,,,
4116637,2082772,,Zaka Mission,,,,,,
1031990,2082774,,Zagomazuha,,,,,,
4116638,2082774,,Zagomzuhu,,,,,,
1031991,2082775,,Zagaheme,,,,,,
4116639,2082775,,Zagahemi,,,,,,
1031992,2082779,,Yuwil,,,,,,
4116640,2082779,,Yuwil Hamlets,,,,,,
1031993,2082782,,Yuvu Creek,,,,,,
4116641,2082782,,Yuva Creek,,,,,,
1031994,2082787,,Yurua,,,,,,
4116642,2082787,,Yurau,,,,,,
1031995,2082788,,Boboleva Creek,,,,,,
1031996,2082788,,Yapuri River,,,,,,
1031997,2082788,,Yapuru Creek,,,,,,
4116643,2082788,,Yupuru River,,,,,,
1031998,2082791,,Youlpa,,,,,,
4116644,2082791,,Yuolpa,,,,,,
1031999,2082792,,Guap Island,,,,,,
4116645,2082792,,Yuo Island,,,,,,
15098888,2082792,wkdt,Q34788626,,,,,,
1032000,2082794,,Yuo Island,,,,,,
4116646,2082794,,Yuo,,,,,,
1032001,2082799,,Yundago,,,,,,
4116647,2082799,,Yungago,,,,,,
1032002,2082809,,Yum River,,,,,,
4116649,2082809,,Wai Yum,,,,,,
1032003,2082810,,Yaluiai Island,,,,,,
4116650,2082810,,Yuluiai Island,,,,,,
15734078,2082810,wkdt,Q34788590,,,,,,
1032004,2082813,,Lolo Island,,,,,,
1032005,2082813,,Ravao,,,,,,
2939862,2082813,link,https://en.wikipedia.org/wiki/Yule_Island,,,,,,
4116651,2082813,,Yule Island,,,,,,
13792784,2082813,unlc,PGRKU,,,,,,
1032006,2082814,,Kovio,,,,,,
4116653,2082814,,Mount Yule,,,,,,
1032007,2082815,,Rinteyao,,,,,,
1032008,2082815,,Wagana River,,,,,,
4116654,2082815,,Yula River,,,,,,
1032009,2082819,,Yakyuk,,,,,,
4116655,2082819,,Yukyuk,,,,,,
1032010,2082826,,Yuerima,,,,,,
4116656,2082826,,Yueriman,,,,,,
1032011,2082827,,Dorfer River,,,,,,
1032012,2082827,,Yuit,,,,,,
4116657,2082827,,Yuat River,,,,,,
1032013,2082830,,Ysabel Pass,,,,,,
4116658,2082830,,Ysabel Passage,,,,,,
1032014,2082831,,Ysabel Passage,,,,,,
1032015,2082831,,Ysabell Fahrt,,,,,,
1032016,2082831,,Ysabel Pass,,,,,,
4116659,2082831,,Ysabel Channel,,,,,,
1032017,2082833,,Yuwong,,,,,,
4116660,2082833,,Yowong,,,,,,
1032018,2082834,,Huheni,,,,,,
1032019,2082834,,Jolas Island,,,,,,
1032020,2082834,,Houen Island,,,,,,
4116661,2082834,,Yovo Island,,,,,,
15541032,2082834,wkdt,Q34788142,,,,,,
1032021,2082842,,Yoro,,,,,,
4116662,2082842,,Yoro Cocoa Scheme,,,,,,
1032022,2082851,,Dome Mountain,,,,,,
4116663,2082851,,Yonkie Dome,,,,,,
15151988,2082851,wkdt,Q31745789,,,,,,
1032023,2082853,,Yongite,,,,,,
4116664,2082853,,Yongiti,,,,,,
1032024,2082854,,Yongiti,,,,,,
1032025,2082854,,Yongetei,,,,,,
4116665,2082854,,Yongitei,,,,,,
1032026,2082855,,Yanipa,,,,,,
4116667,2082855,,Yonapa,,,,,,
1032027,2082861,,Iombi,,,,,,
4116668,2082861,,Yombi,,,,,,
1032028,2082863,,Jomba Island,,,,,,
1032029,2082863,,Jombai Island,,,,,,
4116669,2082863,,Yomba Island,,,,,,
14888298,2082863,wkdt,Q34787996,,,,,,
1032030,2082865,,Yaloge,,,,,,
4116670,2082865,,Yologe,,,,,,
1032031,2082868,,Saipa,,,,,,
1032032,2082868,,Wagobi,,,,,,
1032033,2082868,,Saipa 1,,,,,,
1032034,2082868,,Saiba,,,,,,
4116671,2082868,,Yokopi,,,,,,
1032035,2082873,,Yugoso,,,,,,
4116672,2082873,,Yogoso,,,,,,
1032036,2082876,,Yahobe,,,,,,
4116673,2082876,,Yogobe,,,,,,
1032037,2082877,,Vogo,,,,,,
4116674,2082877,,Yogo,,,,,,
1032038,2082886,,Yabu Point,,,,,,
4116675,2082886,,Yobu Point,,,,,,
1032039,2082892,,Yirkon,,,,,,
4116676,2082892,,Yirkin,,,,,,
1032040,2082893,,Yiriwandi,,,,,,
