AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1406969,3424932,fr,Collectivité Territoriale de Saint-Pierre et Miquelon,,,,,,
1406970,3424932,,Territoire des Îles Saint-Pierre et Miquelon,,,,,,
1406971,3424932,,Department of Saint Pierre and Miquelon,,,,,,
1406972,3424932,,Département de Saint-Pierre et Miquelon,,,,,,
1406973,3424932,,Territory of Saint Pierre and Miquelon,,,,,,
1406974,3424932,,Territoire de Saint Pierre et Miquelon,,,,,,
2256400,3424932,fr,Saint-Pierre et Miquelon,,1,,,,
2419514,3424932,am,ቅዱስ ፒዬር እና ሚኩኤሎን,1,,,,,
2419515,3424932,ar,سانت بيير وميكولون,1,,,,,
2419516,3424932,bg,Сен Пиер и Мигелон,1,,,,,
2419517,3424932,bn,সেন্ট পিয়ের ও মিকুয়েলন,1,,,,,
2419518,3424932,ca,Saint Pierre i Miquelon,1,,,,,
2419519,3424932,cs,Svatý Pierre a Miquelon,1,,,,,
2419520,3424932,cy,Saint Pierre a Miquelon,1,,,,,
2419521,3424932,da,Saint Pierre og Miquelon,1,,,,,
2419522,3424932,de,St. Pierre und Miquelon,1,,,,,
2419523,3424932,el,Σαιντ Πιέρ και Μικελόν,1,,,,,
2419524,3424932,en,Saint Pierre and Miquelon,1,,,,,
2419525,3424932,eo,Sent-Piero kaj Mikelono,1,,,,,
2419526,3424932,es,San Pedro y Miquelón,1,,,,,
2419527,3424932,et,Saint Pierre ja Miquelon,1,,,,,
2419528,3424932,eu,Saint-Pierre eta Mikelune,1,,,,,
2419529,3424932,fa,سنت پیر و میکلون,1,,,,,
2419530,3424932,fi,Saint-Pierre ja Miquelon,1,,,,,
2419531,3424932,fr,Saint-Pierre-et-Miquelon,1,,,,,
2419532,3424932,ga,Saint Pierre agus Miquelon,1,,,,,
2419533,3424932,gl,San Pedro e Miguelón,1,,,,,
2419534,3424932,he,סנט פייר ומיקלון,1,,,,,
2419535,3424932,hi,सेंट पिएरे और मिक्वेलन,1,,,,,
2419536,3424932,hr,Sveti Petar i Miguel,1,,,,,
2419537,3424932,hu,Saint Pierre és Miquelon,1,,,,,
2419538,3424932,id,Saint Pierre dan Miquelon,1,,,,,
2419539,3424932,is,Sankti Pierre og Miquelon,1,,,,,
2419540,3424932,it,Saint Pierre e Miquelon,1,,,,,
2419541,3424932,ja,サンピエール島・ミクロン島,1,,,,,
2419542,3424932,ka,სენტ-პიერი და მიქელონი,1,,,,,
2419543,3424932,ko,세인트피에르-미케롱,,,,,,
2419544,3424932,lt,Sen Pjeras ir Mikelonas,1,,,,,
2419545,3424932,lv,Senpjēra un Mikelona,1,,,,,
2419546,3424932,mk,Сент Пјер и Микелан,1,,,,,
2419547,3424932,ms,Saint Pierre and Miquelon,1,,,,,
2419548,3424932,mt,Saint Pierre and Miquelon,1,,,,,
2419549,3424932,nb,St. Pierre og Miquelon,1,,,,,
2419550,3424932,nl,Saint Pierre en Miquelon,1,,,,,
2419551,3424932,nn,St. Pierre og Miquelon,1,,,,,
2419552,3424932,pl,Saint-Pierre i Miquelon,1,,,,,
2419553,3424932,pt,Saint Pierre e Miquelon,1,,,,,
2419554,3424932,ro,Sfântul Pierre și Miquelon,1,,,,,
2419555,3424932,ru,Сен-Пьер и Микелон,,,,,,
2419556,3424932,se,Saint Pierre ja Miquelon,1,,,,,
2419557,3424932,sk,Saint Pierre a Miquelon,1,,,,,
2419558,3424932,sl,Saint Pierre in Miquelon,1,,,,,
2419559,3424932,sr,Сен Пјер и Микелон,1,,,,,
2419560,3424932,sv,S:t Pierre och Miquelon,1,,,,,
2419561,3424932,th,แซงปีแยร์และมีเกอลง,1,,,,,
2419562,3424932,tr,Saint Pierre ve Miquelon,1,,,,,
2419563,3424932,uk,Сен-Пʼєр і Мікелон,1,,,,,
2419564,3424932,ur,سینٹ پیئر اور میکلیئون,1,,,,,
2419565,3424932,vi,Saint Pierre và Miquelon,1,,,,,
2419566,3424932,zh,圣皮埃尔和密克隆,1,,,,,
3059487,3424932,fr,St-Pierre et Miquelon,,,,,,
3075957,3424932,link,https://en.wikipedia.org/wiki/Saint_Pierre_and_Miquelon,,,,,,
7089997,3424932,af,Sint-Pierre en Miquelon,1,,,,,
7089998,3424932,ak,Saint Pierre ne Miquelon,1,,,,,
7089999,3424932,az,Seynt Piyer və Mikelon,1,,,,,
7090000,3424932,bm,Piyɛri-Senu-ni-Mikelɔŋ,1,,,,,
7090001,3424932,br,Sant-Pêr-ha-Mikelon,1,,,,,
7090002,3424932,bs,Sen Pjer i Mikelon,1,,,,,
7090003,3424932,ee,Saint Pierre kple Mikelɔn nutome,1,,,,,
7090004,3424932,ff,See Piyeer e Mikeloo,1,,,,,
7090005,3424932,fo,Saint Pierre og Miquelon,1,,,,,
7090006,3424932,gu,સેંટ પીએરે એન્ડ મિકીલોન,1,,,,,
7090007,3424932,ha,San Piyar Da Mikelan,1,,,,,
7090008,3424932,ki,Santapieri na Mikeloni,1,,,,,
7090009,3424932,kl,Saint Pierre aamma Miquelon,1,,,,,
7090010,3424932,kn,ಸೇಂಟ್ ಪಿಯರೆ ಮತ್ತು ಮಿಕೆಲನ್,1,,,,,
7090011,3424932,lg,Senti Piyere ne Mikeloni,1,,,,,
7090012,3424932,ln,Sántu pététo mpé Mikelɔ,1,,,,,
7090013,3424932,lu,Santu pététo ne Mikelu,1,,,,,
7090014,3424932,mg,Saint-Pierre-et-Miquelon,1,,,,,
7090015,3424932,ml,സെന്‍റ് പിറേയും മിക്വലണും,1,,,,,
7090016,3424932,mr,सेंट पियरे आणि मिक्वेलोन,1,,,,,
7090017,3424932,nd,Saint Pierre and Miquelon,1,,,,,
7090018,3424932,ne,सेन्ट पिर्रे र मिक्केलोन,1,,,,,
7090019,3424932,or,ସେଣ୍ଟ ପିଏରେ ଏବଂ ମିକ୍ବାଲୋନ୍,1,,,,,
7090020,3424932,rm,Saint Pierre e Miquelon,1,,,,,
7090021,3424932,rn,Sempiyeri na Mikeloni,1,,,,,
7090022,3424932,sg,Sên-Pyêre na Mikelöon,1,,,,,
7090023,3424932,sn,Saint Pierre and Miquelon,1,,,,,
7090024,3424932,so,Saint Pierre and Miquelon,1,,,,,
7090025,3424932,sw,Santapieri na Mikeloni,1,,,,,
7090026,3424932,ta,செயின்ட் பியர் மற்றும் மிக்வேலான்,1,,,,,
7090027,3424932,te,సెంట్ పియెర్ మరియు మికెలాన్,1,,,,,
7090028,3424932,ti,ቅዱስ ፒዬር እና ሚኩኤሎን,1,,,,,
7090029,3424932,to,Seini Piea mo Mikaloni,1,,,,,
7090030,3424932,yo,Orílẹ́ède Pẹẹri ati mikuloni,1,,,,,
7090031,3424932,zu,i-Saint Pierre kanye ne-Miquelon,1,,,,,
10301326,3424932,link,http://id.loc.gov/authorities/names/n83017162,,,,,,
13264849,3424932,ko,생피에르에 미클롱,,,,,,
13264850,3424932,ko,생피에르앤드미클롱,1,,,,,
7159078,3424933,link,https://en.wikipedia.org/wiki/Saint_Pierre_Island,,,,,,
7323792,3424933,,Île Saint-Pierre,,,,,,
1649359,3424934,de,Saint-Pierre,,,,,,
1649389,3424934,en,Saint-Pierre,,,,,,
1649421,3424934,fr,Saint-Pierre,,,,,,
1649461,3424934,it,Saint-Pierre,,,,,,
1649525,3424934,da,Saint Pierre,,,,,,
1649677,3424934,el,Saint-Pierre,,,,,,
1649747,3424934,es,Saint-Pierre,,,,,,
1649784,3424934,fi,Saint-Pierre,,,,,,
1649821,3424934,pt,Saint-Pierre,,,,,,
1649855,3424934,sv,Saint-Pierre,,,,,,
1922404,3424934,pl,Saint-Pierre,,,,,,
1922405,3424934,id,Saint-Pierre,,,,,,
1922406,3424934,io,St Pierre,,,,,,
1922407,3424934,ko,생피에르,,,,,,
2729582,3424934,post,97500,,,,,,
2984663,3424934,link,https://en.wikipedia.org/wiki/Saint-Pierre%2C_Saint_Pierre_and_Miquelon,,,,,,
3058161,3424934,link,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BD-%D0%9F%D1%8C%D0%B5%D1%80_%28%D0%A1%D0%B5%D0%BD-%D0%9F%D1%8C%D0%B5%D1%80_%D0%B8_%D0%9C%D0%B8%D0%BA%D0%B5%D0%BB%D0%BE%D0%BD%29,,,,,,
8543054,3424934,iata,FSP,,,,,,
13795094,3424934,unlc,PMFSP,,,,,,
3075959,3424935,link,"https://en.wikipedia.org/wiki/Saint-Pierre,_Saint-Pierre_and_Miquelon",,,,,,
5463449,3424935,,Saint-Pierre,,1,,,,
1406976,3424936,,Platte Pointe,,,,,,
4332801,3424936,,Pointe Plate,,,,,,
15431909,3424937,wkdt,Q34828539,,,,,,
15969326,3424937,,Cap Percé,,,,,,
3075958,3424938,link,https://en.wikipedia.org/wiki/Miquelon-Langlade,,,,,,
5463448,3424938,,Miquelon-Langlade,,1,,,,
12187503,3424938,,Commune de Miquelon-Langlade,,,,,,
12187504,3424938,post,97500,,,,,,
15213709,3424939,wkdt,Q34792356,,,,,,
15969327,3424939,,Île Miquelon,,,,,,
1406977,3424940,,Cap Miquelon,,,,,,
4332802,3424940,,Cap du Nid à l’Aigle,,,,,,
4332803,3424941,,Miquelon,,,,,,
7482131,3424941,iata,MQC,,,,,,
7512775,3424941,link,https://en.wikipedia.org/wiki/Miquelon%2C_Miquelon-Langlade,,,,,,
13795095,3424941,unlc,PMMQC,,,,,,
15379700,3424941,wkdt,Q1932388,,,,,,
7164031,3424942,link,https://en.wikipedia.org/wiki/L%27%C3%8Ele-aux-Marins,,,,,,
7323793,3424942,,Île aux Marins,,,,,,
