AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
15560664,4030691,wkdt,Q35452832,,,,,,
15960121,4030691,,Water Valley,,,,,,
1547080,4030693,,Tahoutumah,,,,,,
4316464,4030693,,Tahoutoumah,,,,,,
1547081,4030695,,Sandy Islets,,,,,,
4316465,4030695,,Sandy Islands,,,,,,
15762775,4030696,wkdt,Q35271972,,,,,,
1547082,4030697,,Saint Paul Point,,,,,,
1547083,4030697,,Saint Paul’s,,,,,,
4316466,4030697,,Saint Pauls Point,,,,,,
2256619,4030699,fr,Îles Pitcairn,1,,,,,
2419467,4030699,am,ፒትካኢርን,1,,,,,
2419468,4030699,ar,جزر بيتكيرن,1,,,,,
2419469,4030699,bg,Питкайрн,1,,,,,
2419470,4030699,bn,পিটকেয়ার্ন,1,,,,,
2419471,4030699,cs,Pitcairnovy ostrovy,1,,,,,
2419472,4030699,cy,Pitcairn,1,,,,,
2419473,4030699,da,Pitcairn,1,,,,,
2419474,4030699,de,Pitcairn,1,,,,,
2419475,4030699,el,Πίτκερν,1,,,,,
2419476,4030699,en,Pitcairn Islands,1,,,,,
2419477,4030699,eo,Pitkarna Insulo,1,,,,,
2419478,4030699,es,Islas Pitcairn,1,,,,,
2419479,4030699,et,Pitcairn,1,,,,,
2419480,4030699,fa,جزایر پیت‌کرن,1,,,,,
2419481,4030699,fi,Pitcairn,1,,,,,
2419482,4030699,fr,Pitcairn,,1,,,,
2419483,4030699,ga,Pitcairn,1,,,,,
2419484,4030699,he,פיטקרן,1,,,,,
2419485,4030699,hi,पिटकैर्न,1,,,,,
2419486,4030699,hr,Pitcairn,1,,,,,
2419487,4030699,hu,Pitcairn-szigetek,1,,,,,
2419488,4030699,id,Kepulauan Pitcairn,1,,,,,
2419489,4030699,is,Pitcairn,1,,,,,
2419490,4030699,it,Pitcairn,1,,,,,
2419491,4030699,ja,ピトケアン島,1,,,,,
2419492,4030699,ko,핏케언섬,1,,,,,
2419493,4030699,lt,Pitkernas,1,,,,,
2419494,4030699,lv,Pitkērna,1,,,,,
2419495,4030699,mk,Питкарн,1,,,,,
2419496,4030699,ms,Pitcairn,1,,,,,
2419497,4030699,mt,Pitcairn,1,,,,,
2419498,4030699,nb,Pitcairn,1,,,,,
2419499,4030699,nl,Pitcairneilanden,1,,,,,
2419500,4030699,nn,Pitcairn,1,,,,,
2419501,4030699,pl,Pitcairn,1,,,,,
2419502,4030699,pt,Pitcairn,1,,,,,
2419503,4030699,ro,Pitcairn,1,,,,,
2419504,4030699,ru,Питкэрн,1,,,,,
2419505,4030699,se,Pitcairn,1,,,,,
2419506,4030699,sk,Pitcairnove ostrovy,1,,,,,
2419507,4030699,sl,Pitcairn,1,,,,,
2419508,4030699,sr,Питкерн,1,,,,,
2419509,4030699,sv,Pitcairn,1,,,,,
2419510,4030699,th,พิตแคร์น,1,,,,,
2419511,4030699,tr,Pitcairn,1,,,,,
2419512,4030699,uk,Острови Піткерн,1,,,,,
2419513,4030699,zh,皮特凯恩群岛,1,,,,,
2426520,4030699,ca,Pitcairn,,1,,,,
4316467,4030699,,"Pitcairn, Henderson, Ducie and Oeno Islands",,,,,,
5423960,4030699,link,https://en.wikipedia.org/wiki/Pitcairn_Islands,,,,,,
7090032,4030699,af,Pitcairn,1,,,,,
7090033,4030699,ak,Pitcairn,1,,,,,
7090034,4030699,az,Pitkarn,1,,,,,
7090035,4030699,bm,Pitikarini,1,,,,,
7090036,4030699,br,Enez Pitcairn,1,,,,,
7090037,4030699,bs,Pitcairn,1,,,,,
7090038,4030699,ca,Illes Pitcairn,1,,,,,
7090039,4030699,ee,Pitkairn ƒudomekpo nutome,1,,,,,
7090040,4030699,eu,Pitcairn uharteak,1,,,,,
7090041,4030699,ff,Pitkern,1,,,,,
7090042,4030699,fo,Pitcairn,1,,,,,
7090043,4030699,gl,Pitcairn,1,,,,,
7090044,4030699,gu,પીટકૈર્ન,1,,,,,
7090045,4030699,ha,Pitakarin,1,,,,,
7090046,4030699,ki,Pitkairni,1,,,,,
7090047,4030699,kn,ಪಿಟ್‌ಕೈರ್ನ್,1,,,,,
7090048,4030699,lg,Pitikeeni,1,,,,,
7090049,4030699,ln,Pikairni,1,,,,,
7090050,4030699,lu,Pikairni,1,,,,,
7090051,4030699,mg,Pitkairn,1,,,,,
7090052,4030699,ml,പിറ്റ്കെയ്ന്‍,1,,,,,
7090053,4030699,mr,पिटकैर्न,1,,,,,
7090054,4030699,nd,Pitcairn,1,,,,,
7090055,4030699,ne,पिटकाइर्न,1,,,,,
7090056,4030699,or,ପିଟକାଇରିନ୍,1,,,,,
7090057,4030699,rm,Pitcairn,1,,,,,
7090058,4030699,rn,Pitikeyirini,1,,,,,
7090059,4030699,sg,Pitikêrni,1,,,,,
7090060,4030699,si,පිට්කෙය්න් දූපත්,1,,,,,
7090061,4030699,sn,Pitcairn,1,,,,,
7090062,4030699,so,Pitcairn,1,,,,,
7090063,4030699,sw,Pitkairni,1,,,,,
7090064,4030699,ta,பிட்கெய்ர்ன்,1,,,,,
7090065,4030699,te,పిట్కెర్న్,1,,,,,
7090066,4030699,ti,ፒትካኢርን,1,,,,,
7090067,4030699,to,ʻOtumotu Pitikeni,1,,,,,
7090068,4030699,ur,پٹکائرن جزائر,1,,,,,
7090069,4030699,vi,Quần đảo Pitcairn,1,,,,,
7090070,4030699,yo,Orílẹ́ède Pikarini,1,,,,,
7090071,4030699,zu,i-Pitcairn Islands,1,,,,,
8046222,4030699,,Pitcairn Islands,,,,,,
1547084,4030700,,Pitcairn’s Island,,,,,,
1547085,4030700,,Pitcairn,,,,,,
1547086,4030700,,Occas Island,,,,,,
1982643,4030700,en,Pitcairn Islands,,,,,,
1982644,4030700,fr,Îles Pitcairn,,,,,,
1982645,4030700,de,Pitcairninseln,,,,,,
1982646,4030700,pl,Pitcairn,,,,,,
1982647,4030700,es,Islas Pitcairn,,,,,,
