AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
12415905,4049922,,Quebrada Rincon,,,,,,
15398081,4049922,wkdt,Q35246678,,,,,,
12714547,4050096,,Cano Boqueron,,,,,,
12755573,4050096,,Cano Boquernon,,,,,,
12335962,4050324,,Zoorico Park,,,,,,
12678363,4050324,,Parque Zoologico,,,,,,
8090551,4562478,link,https://en.wikipedia.org/wiki/Parque_de_la_Abolici%C3%B3n,,,,,,
12378253,4562478,,Abolition Park,,,,,,
12621172,4562478,,Parque de la Abolicion,,,,,,
12673681,4562481,,Academia San Jose,,,,,,
12515762,4562482,,Inmaculate Conception Academy,,,,,,
8093444,4562483,link,https://en.wikipedia.org/wiki/Aceitunas,,,,,,
15483640,4562483,wkdt,Q1813870,,,,,,
10929141,4562485,,Adjuntas Pueblo,,,,,,
10929142,4562485,,Adjuntas,1,1,,,,
13795096,4562485,unlc,PRADJ,,,,,,
15677259,4562486,wkdt,Q31869692,,,,,,
7131688,4562487,link,https://en.wikipedia.org/wiki/Adjuntas%2C_Puerto_Rico,,,,,,
12376034,4562487,,Las Adjuntas,,,,,,
12605140,4562487,,La Ciudad del Gigante Dormido,,,,,,
12676264,4562487,,La Suiza de Puerto Rico,,,,,,
12378254,4562491,,Custom House,,,,,,
12519716,4562491,,Old Spanish Customs House,,,,,,
12760852,4562491,,Edificio de Aduana,,,,,,
15516659,4562492,wkdt,Q31870013,,,,,,
1892975,4562494,icao,TJPS,,,,,,
1892976,4562494,iata,PSE,,,,,,
3001403,4562494,link,https://en.wikipedia.org/wiki/Mercedita_Airport,,,,,,
5892490,4562494,,Aeropuerto Mercedita,,,,,,
5892491,4562494,,Mercedita Airport,1,,,,,
12515775,4562494,,Aeropuerto Internaciona l Mercedia,,,,,,
12515841,4562495,,Santa Isabel Airport,,,,,,
12625928,4562495,,Santa Isabel Auxilia ry Airdrome,,,,,,
5905498,4562496,iata,CPX,,,,,,
5905499,4562496,icao,TJCP,,,,,,
5905500,4562496,link,https://en.wikipedia.org/wiki/Benjam%C3%ADn_Rivera_Noriega_Airport,,,,,,
5905501,4562496,en,Benjamín Rivera Noriega Airport,,,,,,
8462366,4562496,fr,Aéroport Benjamín Rivera Noriega,,,,,,
12719123,4562496,,Aeropuerto de Culebra,,,,,,
8236781,4562497,link,https://en.wikipedia.org/wiki/Dorado_Airport,,,,,,
8236782,4562497,iata,DDP,,,,,,
12564703,4562497,,Dorado Airport,,,,,,
12714564,4562497,,Dorado Auxiliary Airdrome,,,,,,
3001404,4562498,link,https://en.wikipedia.org/wiki/Humacao_Airport,,,,,,
5807252,4562498,iata,HUC,,,,,,
11085578,4562498,en,Humacao Airport,,,,,,
11085579,4562498,faac,X63,,,,,,
12373440,4562498,,Aeropuerto Humacao,,,,,,
12602885,4562498,,Aeropuerto Culebra de Aviacion,,,,,,
12602886,4562498,,Aeropuerto de Humacao,,,,,,
12519717,4562500,,Salinas Auxiliary Airdrome,,,,,,
3001405,4562502,link,https://en.wikipedia.org/wiki/Aguada%2C_Puerto_Rico,,,,,,
8300442,4562502,bpy,আগুৱাডা,,,,,,
8300443,4562502,uk,Агуада,,,,,,
8300444,4562502,ru,Агуада,,,,,,
8300445,4562502,zh,阿瓜達,,,,,,
9339871,4562502,sr,Агвада,,,,,,
11373531,4562502,fa,اگوادا، پوئرتو ریکو,,,,,,
11373532,4562502,ur,اگوادا، پورٹو ریکو,,,,,,
13795097,4562502,unlc,PRAGU,,,,,,
15823140,4562502,wkdt,Q55138431,,,,,,
8234655,4562503,link,"https://en.wikipedia.org/wiki/Aguada,_Puerto_Rico",,,,,,
12602861,4562504,,Parque de Colon,,,,,,
12602862,4562504,,Monumiento Descubrimiento de Puerto Rico,,,,,,
12755569,4562504,,Aguada Parque de Colon,,,,,,
3001406,4562506,link,https://en.wikipedia.org/wiki/Aguadilla%2C_Puerto_Rico,,,,,,
7482641,4562506,iata,BQN,,,,,,
8217487,4562506,uk,Агуаділья,,,,,,
8217488,4562506,bpy,আগুৱাডিলা,,,,,,
8217489,4562506,ru,Агуадилья,,,,,,
8217490,4562506,zh,阿瓜迪亚,,,,,,
8718464,4562506,sr,Агвадиља,,,,,,
11350570,4562506,fa,اگوادیلا، پویرتو ریکو,,,,,,
11350571,4562506,kk,Агуадилья,,,,,,
11350572,4562506,ur,اگوادیلا، پورٹو ریکو,,,,,,
12341900,4562506,,Guadiya,,,,,,
12564543,4562506,,Guadilla,,,,,,
12714383,4562506,en,Aguadilla,1,,,,,
13795105,4562506,unlc,PRBQN,,,,,,
15826515,4562506,wkdt,Q2416572,,,,,,
3001407,4562508,link,https://en.wikipedia.org/wiki/Aguadilla_Mall,,,,,,
12331092,4562511,,Bahia de Aguadilla,,,,,,
12331093,4562511,,Bahia Aguadilla,,,,,,
12373276,4562511,,El Picerto de Layouada,,,,,,
12415809,4562511,,Aguadilla Bay,,,,,,
8234656,4562512,link,"https://en.wikipedia.org/wiki/Aguadilla,_Puerto_Rico",,,,,,
12378256,4562512,,La Villa de Ojo de Agua,,,,,,
12420766,4562512,,Guadiya,,,,,,
12626581,4562512,,Guadilla,,,,,,
12760855,4562512,,La Villa del Ojo de Agua,,,,,,
3001408,4562516,link,https://en.wikipedia.org/wiki/Aguas_Buenas%2C_Puerto_Rico,,,,,,
3332262,4562516,,Aguas Buenas,1,,,,,
12678344,4562516,,La Ciudad de las Aguas Claras,,,,,,
12564489,4562517,,Parcelas Aguas Claras,,,,,,
12719149,4562520,,Puerto Argelino Beach,,,,,,
15411942,4562520,wkdt,Q49322843,,,,,,
12373359,4562527,,Punta Agueratia,,,,,,
12714476,4562527,,Punta de Aigade,,,,,,
12755512,4562527,,Punta Aquiereada,,,,,,
12755513,4562527,,La Punta de Layouada,,,,,,
12755514,4562527,,Punta del Aguada,,,,,,
12714384,4562529,,Jatibonicu,,,,,,
3001409,4562531,link,https://en.wikipedia.org/wiki/Aibonito%2C_Puerto_Rico,,,,,,
12449267,4562531,,La Ciudad de las Flores,,,,,,
12620790,4562531,,La Suiza de Puerto Rico,,,,,,
12540283,4562534,,Albergue de Ninos,,,,,,
2417913,4562535,es,Alcaldia de San Juan,,,,,,
12678345,4562535,,San Juan City Hall,,,,,,
15475409,4562535,wkdt,Q16933135,,,,,,
8513431,4562538,en,Fungy Bowl,,,,1,,
15200853,4562538,wkdt,Q31877532,,,,,,
12714385,4562539,,Aldea Cintron,,,,,,
12602712,4562540,,Alegria,,,,,,
12673682,4562542,,Colonia Algarrobo,,,,,,
12673683,4562542,,Hacienda Algarrobos,,,,,,
8513489,4562545,en,Algodones Bay,,,,,,
12515763,4562545,,Bahia Algodones,,,,,,
12755405,4562545,,Bahia de Algodones,,,,,,
12461453,4562546,,Algodon,,,,,,
12564609,4562546,,Algodonos,,,,,,
12564610,4562546,,Point Algodones,,,,,,
12602713,4562550,,Almacigo Bajo,,,,,,
12415804,4562552,,Caldera Basin,,,,,,
12673724,4562552,,The Basin,,,,,,
12755403,4562552,,Bahia de Almodovar,,,,,,
12415895,4562553,,Punta Almodóba,,,,,,
12755515,4562553,,Punta Almodóbar,,,,,,
12755516,4562553,,Navarro Point,,,,,,
12755397,4562556,,Comunidad Altagracia,,,,,,
12335891,4562559,,Alta Vista,,,,,,
12461452,4562560,,Alta Vista,,,,,,
15749926,4562561,wkdt,Q31794297,,,,,,
15859768,4562562,wkdt,Q31794301,,,,,,
15577396,4562563,wkdt,Q31794305,,,,,,
12621173,4562596,,American University of Puerto Rico,,,,,,
7185560,4562600,link,https://en.wikipedia.org/wiki/A%C3%B1asco%2C_Puerto_Rico,,,,,,
8324244,4562600,bpy,আন্নাসকো,,,,,,
8324245,4562600,uk,Аньяско,,,,,,
8324246,4562600,zh,阿尼亞斯科,,,,,,
9367982,4562600,sr,Ањаско,,,,,,
12564490,4562600,,Anasco,,,,,,
13795099,4562600,unlc,PRANA,,,,,,
15832860,4562600,wkdt,Q2184990,,,,,,
12373277,4562603,,Bahia de Anasco,,,,,,
12564670,4562604,,Balnearin de Anasco,,,,,,
15711808,4562604,wkdt,Q49320105,,,,,,
8234657,4562605,link,"https://en.wikipedia.org/wiki/A%C3%B1asco,_Puerto_Rico",,,,,,
12760853,4562605,,Donde los dioses Mueren,,,,,,
12373444,4562606,,El Ancon,,,,,,
12415971,4562606,,High Breaker,,,,,,
12540355,4562606,,Dita Rock,,,,,,
12755611,4562606,,Piedra Dita,,,,,,
15857695,4562606,wkdt,Q49637504,,,,,,
12519718,4562612,,Angel Ramos Foundation Visitors Center,,,,,,
12673684,4562613,,Angeles,,,,,,
12335946,4562614,,Vereda Angelito,,,,,,
12378255,4562619,,Palacio Rojo,,,,,,
12564492,4562623,,Anton Ruiz,,,,,,
15612566,4562623,wkdt,Q49344398,,,,,,
5905909,4562624,iata,ARE,,,,,,
5905910,4562624,link,https://en.wikipedia.org/wiki/Antonio_%28Nery%29_Juarbe_Pol_Airport,,,,,,
5905911,4562624,icao,TJAB,,,,,,
5905912,4562624,faac,ABO,,,,,,
8831113,4562624,,Antonio (Nery) Juarbe Pol Airport,,,,,,
12760854,4562628,,Arbolada,,,,,,
12564493,4562631,,Area Recreativa El Canuelo,,,,,,
12602714,4562631,,Área Recreativa El Cañuelo,,,,,,
12673685,4562634,,Area de Recreo El Yunque,,,,,,
7486150,4562635,iata,ARE,,,,,,
12373274,4562635,,Arecivo,,,,,,
12564494,4562635,,El Arecibo,,,,,,
12602715,4562635,,La Ribera del A recibo,,,,,,
12673686,4562635,,Arrec2 bo,,,,,,
12725335,4562635,,La Villa del Capitan Correa,,,,,,
12755399,4562635,,Arezibo,,,,,,
12755400,4562635,,Ariezibo,,,,,,
13795100,4562635,unlc,PRARE,,,,,,
5756873,4562640,link,https://en.wikipedia.org/wiki/Arecibo%2C_Puerto_Rico,,,,,,
8309807,4562640,he,ארסיבו,,,,,,
8309808,4562640,lt,Aresibas,,,,,,
8309809,4562640,th,อาเรซีโบ,,,,,,
8309810,4562640,bpy,আরেকিবো,,,,,,
8309811,4562640,mk,Аресибо,,,,,,
8309812,4562640,uk,Аресібо,,,,,,
8309813,4562640,zh,阿雷西沃,,,,,,
8717357,4562640,sr,Аресибо,,,,,,
11359673,4562640,ur,اریسیبو، پورٹو ریکو,,,,,,
12602716,4562646,,Calero,,,,,,
12484820,4562650,,West Point,,,,,,
12564699,4562650,,Punta Oeste,,,,,,
15689543,4562656,wkdt,Q31889190,,,,,,
15809608,4562657,wkdt,Q49613247,,,,,,
12331090,4562658,,Arrecife Baul,,,,,,
12564495,4562658,,Baul Reef,,,,,,
15792040,4562658,wkdt,Q49613249,,,,,,
15304514,4562659,wkdt,Q31889218,,,,,,
15331104,4562660,wkdt,Q31889234,,,,,,
8513503,4562661,en,Corona Reef,,,,,,
12602863,4562662,,Arrecife Carona Carrillo,,,,,,
12755570,4562662,,Carona Carrillo Reef,,,,,,
15460455,4562662,wkdt,Q31889242,,,,,,
12714387,4562663,,Enmedio Reef,,,,,,
15670814,4562663,wkdt,Q31889249,,,,,,
12507951,4562664,,Fanduco Reef,,,,,,
15500606,4562664,wkdt,Q31983059,,,,,,
12602717,4562665,,Guayama Reef,,,,,,
13795101,4562665,unlc,PRARR,,,,,,
15490181,4562665,wkdt,Q31889256,,,,,,
12507952,4562666,,Guayanilla Reef,,,,,,
15319476,4562666,wkdt,Q31889266,,,,,,
15579670,4562667,wkdt,Q31889275,,,,,,
12714388,4562668,,Lima Reef,,,,,,
15739317,4562668,wkdt,Q31889281,,,,,,
15401069,4562669,wkdt,Q31889288,,,,,,
15577186,4562670,wkdt,Q31889295,,,,,,
12755401,4562671,,Mata Caballos Reef,,,,,,
