AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
4399375,248739,,Wādī al Kāfir,,,,,,
162141,251150,,Wādī ‘Īsá,,,,,,
4409181,251150,,Naẖal Shemu’el,,,,,,
6924279,281069,,Bi’r Zawalān,,,,,,
192581,281070,,Umm Jerra,,,,,,
4463109,281070,,Umm Jarrah,,,,,,
192582,281071,,Dhahrat Umm ‘Amir,,,,,,
4463110,281071,,Ḑahrat Umm ‘Āmir,,,,,,
15607967,281071,wkdt,Q31247694,,,,,,
192583,281072,,Umm el-Kilab,,,,,,
2810518,281072,ar,أُم الكِلاب,,,,,,
4463111,281072,,Umm al Kilāb,,,,,,
192584,281073,,‘Ajjul,,,,,,
192585,281073,,Tel Ajur,,,,,,
192586,281073,,Tell el ‘Ujūl,,,,,,
192587,281073,,Tall el ‘Ujūl,,,,,,
4463112,281073,,Tall al ‘Ujūl,,,,,,
7538165,281073,link,https://en.wikipedia.org/wiki/Tall_al-Ajjul,,,,,,
15629661,281073,wkdt,Q31247700,,,,,,
192588,281074,,Sheikh Umm an Nasr,,,,,,
4463113,281074,,Shaykh Umm an Naşr,,,,,,
192589,281075,,Sheikh Ubaiyid,,,,,,
192590,281075,,Sheikh ‘Ubeiyid,,,,,,
4463114,281075,,Shaykh ‘Ubayyid,,,,,,
192591,281076,,Sheikh Suleiman,,,,,,
4463115,281076,,Shaykh Sulaymān,,,,,,
192592,281077,,Sheikh Shubani,,,,,,
4463116,281077,,Shaykh Shabānī,,,,,,
192593,281078,,Sheikh Sa‘d al Ansar,,,,,,
4463117,281078,,Shaykh Sa‘d al Anşār,,,,,,
192594,281079,,Ash Shaykh Raḑwān,,,,,,
192595,281079,,Esh Sheikh Radwān,,,,,,
192596,281079,,Redwam,,,,,,
192597,281079,,Esh Sheikh Redwān,,,,,,
192598,281079,,Ash Shaykh Riḑwān,,,,,,
192599,281079,,Tall ash Sheikh Radwan,,,,,,
192600,281079,,Arduan,,,,,,
4463118,281079,,Tall Ash Shaykh Riḑwān,,,,,,
192601,281080,,Sheikh Muhammad al-Yamani,,,,,,
4463119,281080,,Shaykh Muḩammad al Yamanī,,,,,,
192602,281081,,Sheikh Muhammad,,,,,,
4463120,281081,,Shaykh Muḩammad,,,,,,
192603,281082,,Sheikh Muhammad,,,,,,
4463121,281082,,Shaykh Muḩammad,,,,,,
192604,281083,,Sheikh Hasan,,,,,,
4463122,281083,,Shaykh Ḩasan,,,,,,
192605,281084,,Sheikh Dawud,,,,,,
4463123,281084,,Shaykh Dāwūd,,,,,,
192606,281085,,Sheikh an Naqiya,,,,,,
4463124,281085,,Shaykh an Naqīyah,,,,,,
192607,281086,,Maghazi,,,,,,
2810519,281086,ar,مخيم المغازي,,,,,,
2810520,281086,,Mukhayyam Shaykh al Maghāzī,,,,,,
2922449,281086,link,https://en.wikipedia.org/wiki/Maghazi_%28camp%29,,,,,,
4463125,281086,,Mukhayyam al Maghāzī,,,,,,
6634263,281086,,Al Maghaze,,,,,,
192608,281087,,Sheikh al Mughazi,,,,,,
192609,281087,,Sheikh el Mughazi,,,,,,
192610,281087,,El Mughāzi,,,,,,
4463126,281087,,Shaykh al Maghāzī,,,,,,
192611,281088,,Sheikha Umm adh Dhahir,,,,,,
4463127,281088,,Shaykhah Umm aḑ Ḑāhir,,,,,,
192612,281089,,Sheikha Sara,,,,,,
4463128,281089,,Shaykhah Sārah,,,,,,
192613,281090,,Sheikh Ahmad,,,,,,
4463129,281090,,Shaykh Aḩmad,,,,,,
192614,281091,,Sheikha Amina,,,,,,
4463130,281091,,Shaykhah Amīnah,,,,,,
192615,281092,,Sheikh ‘Aliya,,,,,,
4463131,281092,,Shaykhah ‘Alīyah,,,,,,
192616,281093,,Shoket es Sufi,,,,,,
2810521,281093,ar,شوكة الصوفي,,,,,,
4463132,281093,,Shawkat aş Şūfī,,,,,,
6594310,281093,,Shūkat aş Şūfī,,,,,,
15586270,281094,wkdt,Q31247706,,,,,,
15983053,281094,,Tall as Sanām,,,,,,
6924283,281095,,Saknat az Zarqā’,,,,,,
192617,281096,,Tell Ridan,,,,,,
4463133,281096,,Tall Rīdān,,,,,,
15788601,281096,wkdt,Q31247712,,,,,,
192618,281097,,Rashīda Station,,,,,,
192619,281097,,Rashiea,,,,,,
4463134,281097,,Rashīdah,,,,,,
7513010,281098,link,https://en.wikipedia.org/wiki/Rafiah_Yam,,,,,,
7569243,281098,,Rafiaẖ Yam,,,,,,
192620,281100,,Tel Rafiaḥ,,,,,,
192621,281100,,Tell Rafaḥ,,,,,,
4463135,281100,,Tall Rafaḩ,,,,,,
15713230,281100,wkdt,Q31247718,,,,,,
192622,281101,,Rafah,,,,,,
