AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1093417,2261446,,Zebreira,,,,,,
4122307,2261446,,Zibreira,,,,,,
13796069,2261446,unlc,PTZIB,,,,,,
13668938,2261447,link,https://en.wikipedia.org/wiki/Zibreira,,,,,,
13671754,2261447,,Zibreira,,,,,,
7130063,2261451,link,https://en.wikipedia.org/wiki/Z%C3%AAzere_River,,,,,,
7319166,2261451,,Rio Zêzere,,,,,,
14889070,2261455,wkdt,Q31249028,,,,,,
15925468,2261455,,Zemaneira,,,,,,
14969059,2261481,wkdt,Q53625575,,,,,,
15925471,2261481,,Zambujeiro,,,,,,
1093418,2261484,,Zambugeira dos Carros,,,,,,
4122309,2261484,,Zambujeira dos Carros,,,,,,
4122310,2261486,,Zambujeira do Mar,,,,,,
1093419,2261522,,Ribeira de Xarrama,,,,,,
4122311,2261522,,Rio do Xarrama,,,,,,
15201487,2261530,wkdt,Q31796681,,,,,,
15925472,2261530,,Pico da Volta da Malhada,,,,,,
1093420,2261542,,Ponte Salazar,,,,,,
4122317,2261542,,Ponte Vinte e Cinco de Abril,,,,,,
1093421,2261571,,Vimieiro,,,,,,
4122319,2261571,,Vimeiro,,,,,,
1093422,2261572,,Vimieiro,,,,,,
4122320,2261572,,Vimeiro,,,,,,
7319168,2261577,,Vila Viçosa,,,,,,
13796020,2261577,unlc,PTVIV,,,,,,
1093423,2261578,,Ficalho,,,,,,
1093424,2261578,,Villa Verde,,,,,,
4122321,2261578,,Vila Verde de Ficalho,,,,,,
1093425,2261582,,Vila Verde dos Francos,,,,,,
4122322,2261582,,Vila Verde,,,,,,
1093426,2261584,,Rodao,,,,,,
1093427,2261584,,Vila Velha de Rodam,,,,,,
13796064,2261584,unlc,PTVVR,,,,,,
1093428,2261589,,Ribeira de Vilas Ruivas,,,,,,
1093429,2261598,,Vila Real de San António,,,,,,
1930492,2261598,de,Vila Real de Santo António,,,,,,
1930493,2261598,es,Vila Real de Santo António,,,,,,
1930494,2261598,pl,Vila Real de Santo António,,,,,,
1930495,2261598,en,Vila Real de Santo António,,,,,,
1930496,2261598,el,Βίλα Ρεάλ ντε Σάντο Αντόνιο,,,,,,
1930497,2261598,it,Vila Real de Santo António,,,,,,
1930498,2261598,nl,Vila Real de Santo António,,,,,,
1930499,2261598,pt,Vila Real de Santo António,,,,,,
1930500,2261598,ro,Vila Real de Santo António,,,,,,
2002438,2261598,tr,Vila Real de Santo António,,,,,,
4122327,2261598,,Vila Real de Santo António,,,,,,
