AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
756183,1558749,,Sonserol,,,,,,
756184,1558749,,Sonsoru-shotō,,,,,,
756185,1558749,,Saint Andrew Islands,,,,,,
756186,1558749,,Saint Andrew,,,,,,
756187,1558749,,Sonsoru To,,,,,,
756188,1558749,,Songosor-Inseln,,,,,,
3600103,1558749,,Sonsorol Islands,,,,,,
5810488,1558749,sov,Dongosaro,1,,,,,
756442,1558892,,Ngeruangel,,,,,,
756443,1558892,,Ngaruangl Island,,,,,,
756444,1558892,,Ngerwangel,,,,,,
756445,1558892,,Ngaruang,,,,,,
3600105,1558892,,Ngaruangl,,,,,,
756956,1559316,,Unkerseri,,,,,,
756957,1559316,,Unkaseri,,,,,,
756958,1559316,,Unkaseri Island,,,,,,
3600110,1559316,,Ngkesill,,,,,,
5894470,1559316,,Ngeruktabel Islands,,,,,,
15897233,1559316,wkdt,Q35309198,,,,,,
756960,1559318,,Ked-ra-tund,,,,,,
756961,1559318,,Mount Tuns,,,,,,
756962,1559318,,Tsunsu Mountain,,,,,,
756963,1559318,,Tsunsu-San,,,,,,
3600112,1559318,,Mount Tsunsu,,,,,,
15268265,1559318,wkdt,Q31206163,,,,,,
1059,1559323,,Sansoral,,,,,,
756974,1559323,,Banna To,,,,,,
756975,1559323,,Sanserol,,,,,,
756976,1559323,,Banna,,,,,,
756977,1559323,,Sonesor,,,,,,
756978,1559323,sov,Dongosaro,1,,,,,
756979,1559323,,Sonrol,,,,,,
756980,1559323,,Sonserol,,,,,,
756981,1559323,,Sonsorol Islands,,,,,,
756982,1559323,,Sonsorol Island,,,,,,
756983,1559323,,Sonsol,,,,,,
756984,1559323,,Sonseron,,,,,,
756985,1559323,,Sonsoru To,,,,,,
756986,1559323,,Saint André,,,,,,
756987,1559323,,Saint Andrew,,,,,,
756988,1559323,,Soisol,,,,,,
756989,1559323,,Sonsonrrol,,,,,,
756990,1559323,,Sonzerol,,,,,,
756991,1559323,,Puru,,,,,,
756992,1559323,,Sonzeral,,,,,,
756993,1559323,,Songosor,,,,,,
756994,1559323,,Sontserol,,,,,,
756995,1559323,,Sonsoral,,,,,,
756996,1559323,,Souserol,,,,,,
756997,1559323,,San Andres,,,,,,
756998,1559323,,Songosor-Inseln,,,,,,
3600116,1559323,pau,Sonsorol,1,,,,,
756999,1559324,,Sanryo-To,,,,,,
757000,1559324,,Sanryo,,,,,,
757001,1559324,,Sanryo Island,,,,,,
3600117,1559324,,Ngedesakr,,,,,,
15323020,1559324,wkdt,Q35308845,,,,,,
757013,1559335,,Gabatouru River,,,,,,
757014,1559335,,Ngkebeduul,,,,,,
3600123,1559335,,Nkebeduul,,,,,,
757015,1559336,,Schoman Harbor,,,,,,
757016,1559336,,Rock Islands,,,,,,
757017,1559336,,Schonian Harbor,,,,,,
757018,1559336,,Olobetapel Lagoon,,,,,,
3600124,1559336,,Sebeseb,,,,,,
5881652,1559338,,Jebukol,,,,,,
5894455,1559340,,Ulong Islands,,,,,,
14914189,1559340,wkdt,Q31206173,,,,,,
757023,1559344,,West Entrance Nishi,,,,,,
757024,1559344,,West Entrance,,,,,,
757025,1559344,,Tehelengerael,,,,,,
757026,1559344,,Nishi,,,,,,
757027,1559344,,Telepedele Ngerael,,,,,,
3600126,1559344,,Telebadel ra Ngerael,,,,,,
757034,1559347,,Kesill Island,,,,,,
757035,1559347,,Ngkesiil Island,,,,,,
757036,1559347,,Geseru-tō,,,,,,
757037,1559347,,Ngkesiil,,,,,,
757038,1559347,,Geseru,,,,,,
757039,1559347,,Ngethil,,,,,,
757040,1559347,,Ng Kesill Island,,,,,,
757041,1559347,,Ngethil Island,,,,,,
3600129,1559347,,Ngkesill,,,,,,
15673875,1559347,wkdt,Q35309184,,,,,,
757042,1559350,,Arumuzu,,,,,,
757043,1559350,,Ngarmid,,,,,,
757044,1559350,,Armid,,,,,,
757045,1559350,,Arumizu,,,,,,
3600130,1559350,,Ngermid,,,,,,
5834511,1559351,,Kloulklubed - US post-WW2 built,,,,,,
5891499,1559352,,Mecherchar Islands,,,,,,
757046,1559353,,Ngargersiul,,,,,,
3600131,1559353,,Dngeronger,,,,,,
5891495,1559356,,Rock Islands,,,,,,
757047,1559357,,Nordwest Riff,,,,,,
757048,1559357,,Hokusei-shō,,,,,,
757049,1559357,,Northwest Reef,,,,,,
757050,1559357,,Look-out Islands,,,,,,
757051,1559357,,Garairu,,,,,,
757052,1559357,,Good Look-out Islands,,,,,,
757053,1559357,,Good Islands,,,,,,
757054,1559357,,Lookout Island,,,,,,
757055,1559357,,Good Island,,,,,,
757056,1559357,,Good,,,,,,
3600132,1559357,,Ngerael,,,,,,
757057,1559358,,Ngell-Einfahrt,,,,,,
757058,1559358,,Geru-suidō,,,,,,
757059,1559358,,Ngell Durchfahrt,,,,,,
757060,1559358,,Toachel Ngel,,,,,,
757061,1559358,,Toagel Ngel,,,,,,
757062,1559358,,Ngel-Einfahrt,,,,,,
757063,1559358,,Ngell Channel,,,,,,
3600133,1559358,,Toachel ra Ngel,,,,,,
757064,1559362,,Nggasagang,,,,,,
757065,1559362,,Amarakarakkuru,,,,,,
757066,1559362,,Nghesehang,,,,,,
757067,1559362,,Aramarakarakkuru,,,,,,
757068,1559362,,Gaskan,,,,,,
757069,1559362,,Ngaragebukl,,,,,,
757070,1559362,,Ngasachang,,,,,,
757071,1559362,,Aramarakarakuru,,,,,,
757072,1559362,,Gasakan,,,,,,
3600134,1559362,,Ngchesechang,,,,,,
15737319,1559367,wkdt,Q31206181,,,,,,
757094,1559373,,Beliliou,,,,,,
757095,1559373,,Peleliu,,,,,,
3600136,1559373,,Peleliu Airport,,,,,,
5827498,1559373,faac,C23,,,,,,
757097,1559386,,Ngarapalas,,,,,,
757098,1559386,,Garaparasu To,,,,,,
757099,1559386,,Ngarapalas Island,,,,,,
757100,1559386,,Carapellas,,,,,,
757101,1559386,,Caraparasu To,,,,,,
757102,1559386,,Garabarasu-tō,,,,,,
757103,1559386,,Ngerbelas,,,,,,
3600138,1559386,,Ngerebelas,,,,,,
15749560,1559386,wkdt,Q35308923,,,,,,
5894448,1559389,,Eil Malk,,,,,,
15469300,1559389,wkdt,Q31206190,,,,,,
757116,1559397,,Ngadert Island,,,,,,
757117,1559397,,Ngadert,,,,,,
3600143,1559397,,Ngedert,,,,,,
15222188,1559397,wkdt,Q35308831,,,,,,
757122,1559400,,Ngarbaged-rengul,,,,,,
757123,1559400,,Neustadt,,,,,,
757124,1559400,,Arubaketsu,,,,,,
757125,1559400,,Ngarbaged,,,,,,
757126,1559400,,Arabaketsu,,,,,,
757127,1559400,,Ngarbeched,,,,,,
3600146,1559400,,Ngerbeched,,,,,,
757128,1559402,,Ngemay,,,,,,
757129,1559402,,Ngemai,,,,,,
757130,1559402,,Ngamai-Bucht,,,,,,
757131,1559402,,Ngamai-Bueht,,,,,,
757132,1559402,,Namai-wan,,,,,,
3600147,1559402,,Namai Bay,,,,,,
5891496,1559405,,Mecheerchar Islands,,,,,,
757143,1559407,,Warren Hastings,,,,,,
757144,1559407,,Pulo,,,,,,
757145,1559407,,Paolo,,,,,,
757146,1559407,sov,Melieli,1,,,,,
757147,1559407,,Warren Hastings Island,,,,,,
757148,1559407,,Bur,,,,,,
757149,1559407,,Palolo,,,,,,
757150,1559407,,Meriel,,,,,,
757151,1559407,,Pulo Mariere,,,,,,
757152,1559407,,Merieres,,,,,,
757153,1559407,,Isle du Courant,,,,,,
757154,1559407,,Paulo Mariere,,,,,,
757155,1559407,,Merir Island,,,,,,
