AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
13394743,3434138,es,Isla Santa Isabel,,,,,,
13394744,3434138,,Isla Entre Ríos,,,,,,
13449453,3436530,es,Tres de Mayo,,,,,,
13449454,3436530,,3 De Mayo,,,,,,
15910850,3436530,link,"https://en.wikipedia.org/wiki/Tres_de_Mayo,_Paraguay",,,,,,
1409546,3436531,,Aliguata,,,,,,
1409547,3436531,,Zenteno,,,,,,
1409548,3436531,,Alihuata,,,,,,
4412682,3436531,,Fortín Zenteno,,,,,,
13339857,3436532,es,Zeballos-Cué,,,,,,
13339858,3436532,,Zeballos-cué,,,,,,
13395435,3436533,es,Zarza,,,,,,
13339859,3436534,es,Zarate Isla,,,,,,
13449455,3436535,es,Arroyo Zanja Pé,,,,,,
13449456,3436535,,Arroyo Zanza pé,,,,,,
13395436,3436537,es,Zanjita,,,,,,
11286815,3436539,link,https://en.wikipedia.org/wiki/Zanja_Pyt%C3%A1,,,,,,
11392987,3436539,,Zanja Pyta,,,,,,
13395437,3436541,es,Arroyo Zanja Jhú,,,,,,
13395438,3436541,es,Arroyo Zanja Jhu,,,,,,
13395439,3436542,es,Zanja Jhú,,,,,,
1409549,3436545,,Fortín Juan de Zalazar,,,,,,
1409550,3436545,,Juan de Zalazar,,,,,,
4412683,3436545,,Fortín Zalazar,,,,,,
1409551,3436546,,Yuty,,,,,,
4412684,3436546,,Estación Yuty,,,,,,
7189387,3436547,link,https://en.wikipedia.org/wiki/Yuty,,,,,,
7325218,3436547,,Yuty,,,,,,
13395440,3436550,es,Arroyo Yuquyty,,,,,,
1409552,3436551,,Yuquyry,,,,,,
4412685,3436551,,Estación Yuquyry,,,,,,
1409553,3436552,,Yuquyry,,,,,,
4412686,3436552,,Arroyo Yuquyry,,,,,,
13395441,3436553,es,Arroyo Yuquyry,,,,,,
1409554,3436554,,Rio Yuquerí,,,,,,
1409555,3436554,,Río Yuquery,,,,,,
1409556,3436554,,Rio Yugueri,,,,,,
4412687,3436554,,Arroyo Yuquyry,,,,,,
13395442,3436557,es,Yukerí,,,,,,
13395443,3436557,,Yukirí,,,,,,
13449457,3436558,es,Arroyo Y-tutí,,,,,,
13449458,3436558,,Arroyo Ytuti,,,,,,
13449459,3436559,es,Arroyo Ytú,,,,,,
13395444,3436560,es,Arroyo Ytú,,,,,,
13395445,3436561,es,Arroyo Ytororó,,,,,,
1409559,3436563,,Arroyo Itay,,,,,,
4412689,3436563,,Arroyo Ytay,,,,,,
1409560,3436564,,Río Itambey,,,,,,
1409561,3436564,,Ytambey,,,,,,
1409562,3436564,,Río Itaimbey,,,,,,
4412690,3436564,,Río Ytambey,,,,,,
13395446,3436564,es,Río Itambeý,,,,,,
13449460,3436566,es,Arroyo Ysaú,,,,,,
1409563,3436569,,Ybucú,,,,,,
4412691,3436569,,Ypucú,,,,,,
1409564,3436570,,Lago Ipoa,,,,,,
1409565,3436570,,Laguna Ypoa,,,,,,
1409566,3436570,,Laguna Ipoa,,,,,,
4412692,3436570,,Lago Ypoa,,,,,,
13395447,3436571,es,Esteros del Ypoa,,,,,,
13395448,3436571,,Estero del Ypoa,,,,,,
1409567,3436574,,Ypoty,,,,,,
1409568,3436574,,Rio Ypeti,,,,,,
4412693,3436574,,Río Ypety,,,,,,
13449461,3436574,es,Río Ypetĩ,,,,,,
1409569,3436575,,Ype-ju,,,,,,
4412694,3436575,,Ypé Jhú,,,,,,
13339860,3436575,es,Ype Jhú,,,,,,
1409570,3436578,,Ypecarujha,,,,,,
4412695,3436578,,Ypecuarujhá,,,,,,
1409571,3436580,,Rio Ipanemi,,,,,,
1409572,3436580,,Río Ypané-mí,,,,,,
4412696,3436580,,Arroyo Ypané-mi,,,,,,
1409573,3436582,,Rio Ipane,,,,,,
4412697,3436582,,Río Ypané,,,,,,
11316147,3436582,link,https://en.wikipedia.org/wiki/Ypan%C3%A9_River,,,,,,
7189011,3436583,link,https://en.wikipedia.org/wiki/Ypan%C3%A9,,,,,,
7325219,3436583,,Ypane,,,,,,
13395449,3436583,es,Ypané,,,,,,
13796149,3436583,unlc,PYYPE,,,,,,
1409574,3436584,,Lago Ipacarai,,,,,,
1409575,3436584,,Laguna Ypagarai,,,,,,
1409576,3436584,,Laguna Ipacaray,,,,,,
1409577,3436584,,Lago Ypacaray,,,,,,
4412698,3436584,,Lago Ypacarai,,,,,,
7194915,3436584,link,https://en.wikipedia.org/wiki/Ypacara%C3%AD_Lake,,,,,,
1409578,3436585,,Ipacarai,,,,,,
1409579,3436585,,Ypacaray,,,,,,
4412699,3436585,,Ypacarai,,,,,,
7186042,3436585,link,https://en.wikipedia.org/wiki/Ypacara%C3%AD,,,,,,
13796148,3436585,unlc,PYYCI,,,,,,
13449462,3436586,es,Arroyo Yougüi,,,,,,
1409580,3436587,,Arroyo Ytigre,,,,,,
1409581,3436587,,Y Ñaró,,,,,,
4412700,3436587,,Arroyo Yñaró,,,,,,
13395450,3436589,es,Arroyo Y-Jhovy,,,,,,
1409582,3436590,,Ijhoby,,,,,,
4412701,3436590,,Y-jhovy,,,,,,
13449463,3436591,es,Arroyo Yjhovy,,,,,,
13449464,3436591,,Arroyo Yihovy,,,,,,
1409583,3436593,,Rio Yhú,,,,,,
4412702,3436593,,Arroyo Yhú,,,,,,
13395451,3436594,es,Arroyo Yhu,,,,,,
13449465,3436595,es,Yhú,,,,,,
13449466,3436595,,Ihú,,,,,,
13639500,3436595,link,https://en.wikipedia.org/wiki/Yh%C3%BA,,,,,,
1409584,3436596,,Ihú,,,,,,
4412703,3436596,,Yhú,,,,,,
7171406,3436597,link,https://en.wikipedia.org/wiki/Yh%C3%BA,,,,,,
7325220,3436597,,Yhu,,,,,,
13449467,3436598,es,Arroyo Yhoyvy-I,,,,,,
13449468,3436598,,Arroyo Yhoyuy-i,,,,,,
13449469,3436599,es,Arroyo Yhoyvy-Guazú,,,,,,
13449470,3436599,,Arroyo Yhoyuy-guazú,,,,,,
1409585,3436600,,Yhugumi,,,,,,
4412704,3436600,,Arroyo Yhaguy-mí,,,,,,
13395452,3436600,es,Arroyo Yhagüy-Mí,,,,,,
1409586,3436601,,Arroyo Yhaguy,,,,,,
1409587,3436601,,Arroyo Yhaguy-Guazú,,,,,,
4412705,3436601,,Río Yhagüy,,,,,,
13395453,3436601,es,Río Yhaguy,,,,,,
1409588,3436604,,Arroyo Jhacá Guazú,,,,,,
1409589,3436604,,Yhacanguazu,,,,,,
4412706,3436604,,Arroyo Yhacanguazú,,,,,,
13449471,3436604,es,Arroyo Yhacá Guazú,,,,,,
