AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
45059,102340,,Sabkhat al Khufūs,,,,,,
45060,102340,,Sabkhat Lukhfus,,,,,,
3680964,102340,,Sabkhat Sawdā’ Nathīl,,,,,,
11841093,102340,ar,سبخة سوداء نثيل,,,,,,
45062,102341,,Sa‘udā Nathīl,,,,,,
45063,102341,,Sagh’ain,,,,,,
45064,102341,,Sowda Nathīl,,,,,,
11841094,102341,,Sawdā’ Nathīl,,,,,,
11841095,102341,ar,سوداء نثيل,,,,,,
3683414,104929,,Burq al Khufūs,,,,,,
15873678,104929,wkdt,Q31206848,,,,,,
48199,105379,,Hazm Jau es Salamah,,,,,,
48200,105379,,Jawb as Salāmah,,,,,,
3683844,105379,,Jaww as Salāmah,,,,,,
11841096,105379,ar,جو السلامة,,,,,,
52405,109153,,Al Mashākhīl,,,,,,
3687427,109153,,Sabkhat al Mashākhīl,,,,,,
13445949,109153,ar,سبخة المشاخيل,,,,,,
201172,289484,,Ain Khalid,,,,,,
1846413,289484,ar,عيْن خَالِد,,,,,,
4468881,289484,ar,‘Ayn Khālid,,,,,,
11850346,289484,ar,عين خالد,,,,,,
201173,289485,,Zugain al Bahath,,,,,,
201174,289485,,Az Zugain,,,,,,
1846414,289485,ar,اَلزُّغَيْن,,,,,,
4468882,289485,,Az Zughayn,,,,,,
1846416,289487,ar,عُقْلَة زُوَيِّد,,,,,,
4468884,289487,,‘Uqlat Zuwayyid,,,,,,
11850347,289487,,‘Uqlat Zuwayd,,,,,,
11850348,289487,ar,عقلة زويد,,,,,,
201176,289488,,Zugain al Bahath,,,,,,
201177,289488,,Zughayn al Baḩath,,,,,,
1846417,289488,ar,زُغَيْن اَلْبَحْث,,,,,,
4468885,289488,,Zughayn al Baḩth,,,,,,
11850349,289488,,‘Ayn az Zughayn,,,,,,
11850350,289488,ar,عين الزغين,,,,,,
201178,289489,,Dohat az Zekrit,,,,,,
201179,289489,,Zekrit Bay,,,,,,
201180,289489,,Dawḩat az Zikrīt,,,,,,
201181,289489,,Duhat ez Zekrit,,,,,,
201182,289489,,Zikrit Bay,,,,,,
4468886,289489,,Dawḩat Zikrīt,,,,,,
10849147,289489,ar,دوحة زكريت,,,,,,
201183,289490,,Bir Zekrit,,,,,,
1846419,289490,ar,بِئْر زِكْرِيت,,,,,,
4468887,289490,ar,Bi’r Zikrīt,,,,,,
10849148,289490,,Zikrīt,,,,,,
10849149,289490,,Zekrit,,,,,,
201184,289491,,Zekrit,,,,,,
1846420,289491,ar,زِكْرِيت,,,,,,
4468888,289491,ar,Zikrīt,,,,,,
15440362,289491,wkdt,Q31206856,,,,,,
201185,289492,,Zarqah,,,,,,
201186,289492,,Zarkah,,,,,,
1846421,289492,ar,زَرْقَاء,,,,,,
4468889,289492,,Zarqā’,,,,,,
201187,289493,,Zārah al Mafjar,,,,,,
201188,289493,,Zara al Mafjar,,,,,,
1846422,289493,ar,زَرْع اَلْمَفْجَر,,,,,,
4468890,289493,,Zar‘ al Mafjar,,,,,,
201189,289494,,Joghbi,,,,,,
201190,289494,,Jaghbi,,,,,,
201191,289494,,Al Jaghbī,,,,,,
