AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
13701314,935121,fr,Plateau Wickers,,,,,,
13701315,935122,fr,Vue Belle,,,,,,
519033,935123,,Ravine à Vincendo,,,,,,
4311992,935123,,Ravine Vincendo,,,,,,
13701316,935124,fr,Pointe Marcellin,,,,,,
13701317,935124,,Pointe à Vincendo,,,,,,
519034,935125,,Piton à Vincendo,,,,,,
4311993,935125,,Piton Vincendo,,,,,,
15682835,935125,wkdt,Q31800175,,,,,,
7057679,935126,link,https://en.wikipedia.org/wiki/Vincendo,,,,,,
7118971,935126,,Vincendo,,,,,,
15277128,935126,wkdt,Q614830,,,,,,
15364654,935128,wkdt,Q3389388,,,,,,
15959145,935128,,Piton de Villers,,,,,,
519035,935129,,Piton,,,,,,
4311994,935129,,Village du Piton,,,,,,
13701318,935129,fr,Le Piton Saint-Leu,,,,,,
13701319,935131,fr,Ravine de la Veuve,,,,,,
13701320,935132,fr,Le Verger Hémery,,,,,,
13701321,935132,,Verger Hemery,,,,,,
13701322,935135,fr,L’Union,,,,,,
13701323,935135,,Union,,,,,,
14938835,935136,wkdt,Q31800207,,,,,,
15959146,935136,,Piton des Trous Blancs,,,,,,
13701324,935137,fr,Ravine du Trou,,,,,,
13701325,935138,fr,Piton Trois Têtes,,,,,,
13701326,935139,fr,Les Trois Roches,,,,,,
13701327,935139,,Trois Roches,,,,,,
15720047,935140,wkdt,Q31800220,,,,,,
15959147,935140,,Trois Petits Bonhommes,,,,,,
13701328,935141,fr,Trois Mares les Hauts,,,,,,
13701329,935141,,Trois Mares-les Hauts,,,,,,
13701330,935143,fr,Piton des Trois Mares,,,,,,
519036,935144,,Les Trois Bassins,,,,,,
4311995,935144,,Ravine des Trois Bassins,,,,,,
13701331,935144,fr,Ravine des Trois-Bassins,,,,,,
13701332,935145,fr,Pointe des Trois-Bassins,,,,,,
13701333,935145,,Pointe des Trois Bassins,,,,,,
519037,935146,,Les Trois-Bassins,,,,,,
2417023,935146,post,97426,,,,,,
13796191,935146,unlc,REX3R,,,,,,
13701334,935149,fr,Piton Trésor,,,,,,
13701335,935150,fr,Rempart du Tremblet,,,,,,
13701336,935152,fr,Pointe du Tremblet,,,,,,
13701337,935153,fr,Le Tremblet,,,,,,
13701338,935153,,Tremblet,,,,,,
519038,935154,,Piton de Tortue,,,,,,
4311996,935154,,Piton Tortue,,,,,,
13701339,935155,fr,Piton Textor,,,,,,
13701340,935156,fr,Ravine Tête Dure,,,,,,
13701341,935157,fr,Terre Sainte,,,,,,
519039,935158,,Piton de Terre Rouge,,,,,,
519040,935158,,Piton Terre-Rouge,,,,,,
4311997,935158,,Pitons de Terre Rouge,,,,,,
15414780,935158,wkdt,Q31800257,,,,,,
15647453,935159,wkdt,Q31800265,,,,,,
15959148,935159,,Piton Terre Rouge,,,,,,
13701342,935160,fr,Ravine Terre Rouge,,,,,,
13701343,935160,,Bras de Terre Rouge,,,,,,
13701344,935161,fr,Terre Rouge,,,,,,
13701345,935162,fr,Terre Plate,,,,,,
15292049,935163,wkdt,Q34812075,,,,,,
15959149,935163,,Terre Carrère,,,,,,
15610934,935164,wkdt,Q31800281,,,,,,
15959150,935164,,Pointe Terre,,,,,,
13701346,935166,fr,Terrain Élisa,,,,,,
4311998,935167,,Piton de Tangues,,,,,,
4311999,935167,,Piton des Treize Cantons,,,,,,
15223205,935167,wkdt,Q31800289,,,,,,
13701347,935168,fr,Piton Tanane,,,,,,
13701348,935168,,Piton Tanan,,,,,,
13701349,935171,fr,Plaine des Tamarins,,,,,,
519042,935172,,Ravine de Takamaka,,,,,,
4312000,935172,,Ravine Takamaka,,,,,,
519043,935173,,Piton de Takamaka,,,,,,
4312001,935173,,Piton Takamaka,,,,,,
519044,935174,,Brûlé de la Table,,,,,,
4312002,935174,,Brûlé de Takamaka,,,,,,
13701350,935175,fr,Takamaka,,,,,,
16076583,935175,link,"https://en.wikipedia.org/wiki/Takamaka,_R%C3%A9union",,,,,,
15794455,935176,wkdt,Q34811752,,,,,,
15959151,935176,,Taïbit,,,,,,
519045,935177,,Table Point,,,,,,
4312003,935177,,Pointe de la Table,,,,,,
13701351,935178,fr,Ravine Tabac,,,,,,
519046,935182,,Stella,,,,,,
4312004,935182,,Stella Matutina,,,,,,
13701352,935183,fr,Bois Noirs,,,,,,
13701353,935183,,Sous les Bois Noirs,,,,,,
13701354,935186,fr,Piton des Songes,,,,,,
15436143,935187,wkdt,Q31800322,,,,,,
15959152,935187,,Piton Selez,,,,,,
519047,935188,,Piton Saint François,,,,,,
4312005,935188,,Piton Sec Patates,,,,,,
15255271,935188,wkdt,Q31800328,,,,,,
13701355,935189,fr,Ravine Sèche,,,,,,
13701356,935191,fr,Ravine Sèche,,,,,,
13701357,935194,fr,Ravine Sèche,,,,,,
13701358,935195,fr,Bras Sec,,,,,,
13701359,935196,fr,Bras Sec,,,,,,
15213608,935197,wkdt,Q34793689,,,,,,
15959153,935197,,Îlet Savannah,,,,,,
519048,935198,,Savannah Usine,,,,,,
4312006,935198,,Savannah,,,,,,
13701360,935199,fr,Ravine Savane Cimetière,,,,,,
15537122,935200,wkdt,Q31800335,,,,,,
15959154,935200,,Piton Sartave,,,,,,
14848598,935203,wkdt,Q34879501,,,,,,
15959155,935203,,Montée Sano,,,,,,
13796184,935205,unlc,RESLH,,,,,,
13826919,935205,,Saline-les Hauts,,,,,,
519049,935206,,Ravine des Salines,,,,,,
4312007,935206,,Ravine de la Saline,,,,,,
13701361,935207,fr,Piton Sahales,,,,,,
13701362,935207,,Pitons Sales,,,,,,
13701363,935209,fr,Cirque de Salazie,,,,,,
519050,935210,,Salazie Village,,,,,,
2417016,935210,post,97433,,,,,,
2929553,935210,link,https://en.wikipedia.org/wiki/Salazie,,,,,,
4312008,935210,,Salazie,,,,,,
8319468,935210,uk,Салазі,,,,,,
519051,935212,,Les Salazes,,,,,,
4312009,935212,,Chaîne des Salazes,,,,,,
15691301,935212,wkdt,Q34851642,,,,,,
2417032,935214,post,97410,1,,,,,
2729412,935214,post,97432,,,,,,
3038720,935214,ru,Сент-Пьер,,,,,,
4312010,935214,,Saint-Pierre,,,,,,
7003764,935214,post,97445 CEDEX,,,,,,
7003767,935214,post,97446 CEDEX,,,,,,
7003770,935214,post,97447 CEDEX,,,,,,
7003771,935214,post,97448 CEDEX,,,,,,
7003772,935214,post,97449 CEDEX,,,,,,
7003773,935214,post,97451 CEDEX,,,,,,
7003774,935214,post,97452 CEDEX,,,,,,
7003775,935214,post,97453 CEDEX,,,,,,
7003776,935214,post,97454 CEDEX,,,,,,
7003777,935214,post,97455 CEDEX,,,,,,
7003778,935214,post,97456 CEDEX,,,,,,
7003779,935214,post,97457 CEDEX,,,,,,
7003780,935214,post,97458 CEDEX,,,,,,
7003781,935214,post,97459 CEDEX,,,,,,
7003836,935214,post,97751 CEDEX,,,,,,
7083141,935214,post,97851 CEDEX,,,,,,
7083142,935214,post,97852 CEDEX,,,,,,
7083143,935214,post,97853 CEDEX,,,,,,
8488690,935214,iata,ZSE,,,,,,
8488691,935214,en,Saint-Pierre,,,,,,
11261362,935214,fr,Saint-Pierre,1,,,,,
13796192,935214,unlc,REZSE,,,,,,
519052,935215,,Saint Phillippe,,,,,,
2417031,935215,post,97442,,,,,,
4312011,935215,,Saint-Philippe,,,,,,
13796187,935215,unlc,RESPH,,,,,,
519053,935216,,Etang Saint Paul,,,,,,
4312012,935216,,Étang de Saint-Paul,,,,,,
13701364,935217,fr,Le Brûlé de Saint-Paul,,,,,,
13701365,935217,,Brûlé de Saint-Paul,,,,,,
13701366,935218,fr,Bras de Saint-Paul,,,,,,
519054,935219,,Saint Paul Bay,,,,,,
519055,935219,,Grande Rade,,,,,,
4312013,935219,,Baie de Saint-Paul,,,,,,
2417022,935221,post,97422,,,,,,
2729407,935221,post,97411,1,,,,,
2729408,935221,post,97423,,,,,,
2729409,935221,post,97434,,,,,,
2729410,935221,post,97435,,,,,,
2729411,935221,post,97460,,,,,,
4312014,935221,,Saint-Paul,,,,,,
7083144,935221,post,97861 CEDEX,,,,,,
7083145,935221,post,97862 CEDEX,,,,,,
7083146,935221,post,97863 CEDEX,,,,,,
7083147,935221,post,97864 CEDEX,,,,,,
7083148,935221,post,97865 CEDEX,,,,,,
7083149,935221,post,97866 CEDEX,,,,,,
7083150,935221,post,97867 CEDEX,,,,,,
7083151,935221,post,97868 CEDEX,,,,,,
13796188,935221,unlc,RESPL,,,,,,
2417030,935223,post,97450,,,,,,
3038721,935223,ru,Сен-Луи,,,,,,
4312015,935223,,Saint-Louis,,,,,,
7002122,935223,post,97421,,,,,,
7083152,935223,post,97872 CEDEX,,,,,,
7083153,935223,post,97899 CEDEX,,,,,,
13796185,935223,unlc,RESLO,,,,,,
13701367,935224,fr,Le Brûlé de Saint-Leu,,,,,,
13701368,935224,,Brûlé de Saint-Leu,,,,,,
2417021,935225,post,97436,,,,,,
2729405,935225,post,97416,1,,,,,
2729406,935225,post,97424,,,,,,
3038722,935225,ru,Санкт-Леу,,,,,,
4312016,935225,,Saint-Leu,,,,,,
13344354,935225,ko,생뢰,,,,,,
13796173,935225,unlc,RELEU,,,,,,
13701369,935226,fr,Pointe de la Cayenne,,,,,,
13701370,935226,,Pointe Saint-Joseph,,,,,,
2417029,935227,post,97480,,,,,,
3038723,935227,ru,Сент-Джозеф,,,,,,
4312017,935227,,Saint-Joseph,,,,,,
13796183,935227,unlc,RESJH,,,,,,
13701371,935228,fr,Petite Rivière Saint-Jean,,,,,,
519056,935229,,Rivière Saint Jean,,,,,,
4312018,935229,,Grande Rivière Saint-Jean,,,,,,
13701372,935230,fr,Saint-Gilles les Hauts,,,,,,
13701373,935230,,Saint-Gilles-les Hauts,,,,,,
13796170,935230,unlc,REGUL,,,,,,
519057,935231,,Saint Gilles,,,,,,
4312019,935231,,Saint-Gilles-les Bains,,,,,,
13701374,935231,fr,Saint-Gilles les Bains,,,,,,
13796182,935231,unlc,RESGL,,,,,,
519058,935232,,Ravine de Saint Gilles,,,,,,
4312020,935232,,Ravine Saint-Gilles,,,,,,
519059,935234,,Rivière Saint François,,,,,,
519060,935234,,Ravine Saint François,,,,,,
4312021,935234,,Ravine de Saint-François,,,,,,
13701375,935234,fr,Ravine Saint-François,,,,,,
519061,935236,,Mornes Saint Francois,,,,,,
4312022,935236,,Mornes de Saint-François,,,,,,
13701376,935236,fr,Morne de Saint-François,,,,,,
13701377,935237,fr,Morne de Saint-François,,,,,,
13701378,935237,,Morne Saint-François,,,,,,
15859579,935237,wkdt,Q17494158,,,,,,
13701379,935239,fr,Saint-François,,,,,,
13701380,935240,fr,Saint-François,,,,,,
519062,935241,,Rivière de Saint Etienne,,,,,,
4312023,935241,,Rivière Saint-Étienne,,,,,,
519063,935242,,Canal Etienne,,,,,,
4312024,935242,,Canal Saint-Étienne,,,,,,
13701381,935243,fr,Plateau Sainte-Thérèse,,,,,,
13701382,935244,fr,Sainte-Thérèse,,,,,,
519064,935245,,Bras Sainte Suzanne,,,,,,
4312025,935245,,Rivière Sainte-Suzanne,,,,,,
13701383,935246,fr,Bras de Sainte-Suzanne,,,,,,
519065,935247,,Bras de Sainte Suzanne,,,,,,
4312026,935247,,Bras Sainte-Suzanne,,,,,,
2417018,935248,post,97441,,,,,,
4312027,935248,,Sainte-Suzanne,,,,,,
13796189,935248,unlc,RESSZ,,,,,,
13701384,935249,fr,Piton de Sainte-Rose,,,,,,
15398516,935249,wkdt,Q31800379,,,,,,
519066,935250,,Petit Brule de Sainte Rose,,,,,,
4312028,935250,,Brûlé de Sainte-Rose,,,,,,
2417015,935251,post,97439,,,,,,
4312029,935251,,Sainte-Rose,,,,,,
13701385,935253,fr,Pointe Sainte-Marie,,,,,,
519067,935254,,Rivière Sainte-Marie,,,,,,
4312030,935254,,Bras Sainte-Marie,,,,,,
2417017,935255,post,97438,,,,,,
3038724,935255,ru,Сент-Мари,,,,,,
4312031,935255,,Sainte-Marie,,,,,,
13796186,935255,unlc,RESMA,,,,,,
519068,935256,,Rivière Sainte Marguerite,,,,,,
4312032,935256,,Bras Sainte-Marguerite,,,,,,
13701386,935256,fr,Ravine Sainte-Marguerite,,,,,,
7003809,935257,post,97491 CEDEX,,,,,,
7003810,935257,post,97492 CEDEX,,,,,,
7003811,935257,post,97493 CEDEX,,,,,,
7003812,935257,post,97494 CEDEX,,,,,,
7003813,935257,post,97495 CEDEX,,,,,,
7003814,935257,post,97496 CEDEX,,,,,,
7003815,935257,post,97497 CEDEX,,,,,,
7118972,935257,,Sainte-Clotilde,,,,,,
13796168,935257,unlc,RECLO,,,,,,
519069,935259,,Ravine Sainte Anne,,,,,,
4312033,935259,,Rivière Sainte-Anne,,,,,,
519070,935260,,Village Sainte Anne,,,,,,
4312034,935260,,Sainte-Anne,,,,,,
11990438,935260,de,Sainte Anne (La Reunion),,,,,,
13796165,935260,unlc,REANN,,,,,,
16076582,935260,link,"https://en.wikipedia.org/wiki/Sainte-Anne,_R%C3%A9union",,,,,,
519071,935261,,Rivière de Saint Denis,,,,,,
4312035,935261,,Rivière Saint-Denis,,,,,,
6890919,935261,link,https://en.wikipedia.org/wiki/Rivi%C3%A8re_Saint-Denis,,,,,,
1595626,935264,de,Saint-Denis,,,,,,
1595627,935264,en,Saint-Denis,,,,,,
1595628,935264,fi,Saint-Denis,,,,,,
1595629,935264,fr,Saint-Denis,,,,,,
1595630,935264,io,Saint-Denis,,,,,,
1649464,935264,it,Saint-Denis,,,,,,
1649528,935264,da,St. Denis,,,,,,
1649682,935264,el,Saint-Denis,,,,,,
1649750,935264,es,Saint-Denis,,,,,,
1649824,935264,pt,Saint-Denis,,,,,,
1649858,935264,sv,Saint-Denis,,,,,,
1922390,935264,pl,Saint-Denis,,,,,,
1922391,935264,fi,Saint-Denis de la Réunion,,,,,,
1922392,935264,no,Saint-Denis,,,,,,
1922393,935264,sw,Saint-Denis,,,,,,
2000235,935264,he,סנט דניס,,,,,,
2000236,935264,ja,サン・ドゥニ,,,,,,
2417033,935264,post,97400,1,,,,,
2729403,935264,post,97417,,,,,,
2729404,935264,post,97490,,,,,,
