AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
397656,672867,,Moravica,,,,,,
397657,672867,,Maraviţa,,,,,,
397658,672867,,Moravicza,,,,,,
4339370,672867,,Moraviţa,,,,,,
7553172,672867,link,https://en.wikipedia.org/wiki/Moravi%C5%A3a,,,,,,
399143,675496,,Porţile de Fier,,,,,,
399144,675496,,Gvozdena Vrata,,,,,,
399145,675496,,Eisernes Tor,,,,,,
399146,675496,,La Cazane,,,,,,
399147,675496,,Trecători Porţile de Fier,,,,,,
399148,675496,,Ðerdap,,,,,,
399149,675496,en,Iron Gate of the Danube,,,,,,
399150,675496,,Porţile de Fer,,,,,,
399151,675496,,Dealul Klisura,,,,,,
399152,675496,,Eisenernes Tor,,,,,,
399153,675496,,Klissura Derdap,,,,,,
399154,675496,,Vaskapu,,,,,,
399155,675496,en,Iron Gates,,,,,,
1614434,675496,es,Puertas de Hierro,,,,,,
1913513,675496,pl,Żelazna Brama,,,,,,
1913514,675496,de,Eisernes Tor,,,,,,
1913515,675496,en,Iron Gate,,,,,,
1913516,675496,da,Jernporten,,,,,,
1913517,675496,eo,Fera Pordo,,,,,,
1913518,675496,et,Raudvärav,,,,,,
1913519,675496,he,שערי הברזל,,,,,,
1913520,675496,nl,IJzeren Poort,,,,,,
1913521,675496,no,Jernporten,,,,,,
1999927,675496,fr,Portes de Fer,,,,,,
2925713,675496,link,https://en.wikipedia.org/wiki/Iron_Gate_%28Danube%29,,,,,,
3049216,675496,link,https://ru.wikipedia.org/wiki/%D0%96%D0%B5%D0%BB%D0%B5%D0%B7%D0%BD%D1%8B%D0%B5_%D0%B2%D0%BE%D1%80%D0%BE%D1%82%D0%B0,,,,,,
6129439,675496,,Iron Gates,,,,,,
6129440,675496,,Iron Gate of the Danube,,,,,,
403126,682504,,Cazane,,,,,,
403127,682504,,Kazan Pass,,,,,,
403128,682504,,Cazane Defile,,,,,,
403129,682504,,Kazanske Klisure,,,,,,
403130,682504,,Strâmtoarea Cazane,,,,,,
4343022,682504,,Kazan,,,,,,
403267,682722,,Caraş,,,,,,
403268,682722,,Rîu Caraş,,,,,,
2808557,682722,,Karaş,,,,,,
4343111,682722,sr,Râu Caraş,,,,,,
6892928,682722,link,https://en.wikipedia.org/wiki/Kara%C5%A1,,,,,,
4343767,684724,sr,Kanal Brzava,,,,,,
404633,685194,,Begeiul,,,,,,
404634,685194,,Begheiul,,,,,,
404635,685194,,Rîul Bega,,,,,,
404636,685194,,Rîu Bega,,,,,,
404637,685194,,Bega,,,,,,
2808558,685194,sr,Begej,,,,,,
4343996,685194,sr,Râul Bega,,,,,,
405117,686243,,Aranka,,,,,,
405118,686243,,Aranca,,,,,,
4344329,686243,,Zlatica,,,,,,
409544,691517,,Tysa,,,,,,
409545,691517,,Tisza,,,,,,
4371489,691517,sr,Tisa,,,,,,
6131505,691517,sr,Tisza,,,,,,
6131506,691517,sr,Tysa,,,,,,
4429917,725863,sr,Visočica,,,,,,
4429955,725902,sr,Vidlič,,,,,,
8671912,725902,link,https://en.wikipedia.org/wiki/Vidli%C4%8D,,,,,,
12258733,725902,bg,Vidlich,,,,,,
12258734,725902,bg,Видлич,,,,,,
4432734,728776,sr,Nišava,,,,,,
7187295,728776,link,https://en.wikipedia.org/wiki/Ni%C5%A1ava,,,,,,
11622988,728776,es,Río Nišava,,,,,,
11622989,728776,bg,Нишава,,,,,,
11622990,728776,el,Νίσαβα,,,,,,
11622991,728776,ro,Râul Nișava,,,,,,
11622992,728776,sr,Нишава,,,,,,
11622993,728776,pl,Niszawa,,,,,,
11622994,728776,pt,Rio Nišava,,,,,,
11622995,728776,ru,Нишава,,,,,,
438154,729085,,Milevska,,,,,,
4433033,729085,sr,Milevska Planina,,,,,,
6895817,729085,link,https://en.wikipedia.org/wiki/Milevska_Planina,,,,,,
12197411,729085,bg,Милевска Планина,,,,,,
4434919,731026,sr,Vrŭkh Grob,,,,,,
12197435,731026,bg,Karacher Grob,,,,,,
12197436,731026,bg,Карачер Гроб,,,,,,
2810446,731637,sr,Jerma,,,,,,
4435527,731637,sr,Erma,,,,,,
4437101,733262,sr,Berkovska Planina,,,,,,
12258796,733262,bg,Берковска Планина,,,,,,
482360,783758,,Kereš,,,,,,
482361,783758,,Sárga Patak,,,,,,
482363,783758,,Žuti Potok,,,,,,
482364,783758,,Kiriš,,,,,,
482365,783758,,Körös,,,,,,
482366,783758,,Körös Patak,,,,,,
4671043,783758,sr,Kőrös-éri-főcsatorna,,,,,,
6157686,783758,sr,Kereš,,,,,,
8693006,783758,link,https://en.wikipedia.org/wiki/K%C3%B6r%C3%B6s-%C3%A9r,,,,,,
4671048,783760,sr,Zvonce,,,,,,
8082169,783760,link,https://en.wikipedia.org/wiki/Zvonce,,,,,,
15644705,783760,wkdt,Q676424,,,,,,
4671049,783761,sr,Zvizdar,,,,,,
7181105,783761,link,https://en.wikipedia.org/wiki/Zvizdar,,,,,,
4671050,783762,sr,Zvižd,,,,,,
4671055,783763,sr,Opština Zvezdara,,,,,,
4671056,783764,sr,Zvezdan,,,,,,
7179122,783764,link,https://en.wikipedia.org/wiki/Zvezdan_%28Zaje%C4%8Dar%29,,,,,,
4671057,783765,sr,Zvezdan,,,,,,
15781331,783765,wkdt,Q31210595,,,,,,
4671065,783768,sr,Zvečka,,,,,,
8081245,783768,link,https://en.wikipedia.org/wiki/Zve%C4%8Dka,,,,,,
15227679,783768,wkdt,Q3177361,,,,,,
4671074,783773,sr,Žuželjica,,,,,,
8094800,783773,link,https://en.wikipedia.org/wiki/%C5%BDu%C5%BEeljica,,,,,,
15242772,783773,wkdt,Q3101314,,,,,,
4671077,783774,sr,Žuti Vrh,,,,,,
