AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
6191,49518,fr,République du Rwanda,,,,,,
6192,49518,,République Rwandaise,,,,,,
6193,49518,,Rwandese Republic,,,,,,
6194,49518,,Ruanda,,,,,,
6195,49518,,Résidence du Ruanda,,,,,,
1556365,49518,am,ሩዋንዳ,,,,,,
1556366,49518,ar,رواندا,,,,,,
1556367,49518,bg,Руанда,,,,,,
1556368,49518,ca,Rwanda,,,,,,
1556369,49518,cs,Rwanda,,,,,,
1556370,49518,cy,Rwanda,,,,,,
1556371,49518,da,Rwanda,,,,,,
1556372,49518,de,Ruanda,,,,,,
1556373,49518,el,Ρουάντα,,,,,,
1556374,49518,en,Rwanda,,1,,,,
1556375,49518,eo,Ruando,,,,,,
1556376,49518,es,Ruanda,1,1,,,,
1556377,49518,et,Rwanda,,,,,,
1556378,49518,eu,Ruanda,,,,,,
1556379,49518,fa,رواندا,,,,,,
1556380,49518,fi,Ruanda,,,,,,
1556381,49518,fo,Ruanda,,,,,,
1556382,49518,fr,Rwanda,,1,,,,
1556383,49518,ga,Ruanda,,,,,,
1556384,49518,he,רואנדה,,,,,,
1556385,49518,hi,रूआण्डा,,,,,,
1556386,49518,hr,Ruanda,,,,,,
1556387,49518,hu,Ruanda,,,,,,
1556388,49518,hy,Ռուանդա,,,,,,
1556389,49518,id,Rwanda,,,,,,
1556390,49518,is,Rúanda,,,,,,
1556391,49518,it,Ruanda,,,,,,
1556392,49518,ja,ルワンダ,,,,,,
1556393,49518,ka,რუანდა,,,,,,
1556394,49518,km,រវ៉ាន់ដា,,,,,,
1556395,49518,ko,르완다,,,,,,
1556396,49518,lo,ລາວັນດາ,,,,,,
1556397,49518,lt,Ruanda,,,,,,
1556398,49518,lv,Ruanda,,,,,,
1556399,49518,mk,Руанда,,,,,,
1556400,49518,ms,Rwanda,,,,,,
1556401,49518,mt,Rwanda,,,,,,
1556402,49518,nb,Rwanda,,,,,,
1556403,49518,nl,Rwanda,,,,,,
1556404,49518,nn,Rwanda,,,,,,
1556405,49518,pl,Rwanda,,,,,,
1556406,49518,ps,روندا,,,,,,
1556407,49518,pt,Ruanda,,,,,,
1556408,49518,ro,Rwanda,,,,,,
1556409,49518,ru,Руанда,,,,,,
1556410,49518,sk,Rwanda,,,,,,
1556411,49518,sl,Ruanda,,,,,,
1556412,49518,sq,Ruanda,,,,,,
1556413,49518,sr,Руанда,,,,,,
1556414,49518,sv,Rwanda,,,,,,
1556415,49518,th,รวันดา,,,,,,
1556416,49518,tr,Ruanda,,,,,,
1556417,49518,uk,Руанда,,,,,,
1556418,49518,vi,Ru-an-đa,,,,,,
1556419,49518,zh,卢旺达,,,,,,
1979084,49518,af,Rwanda,,,,,,
1979085,49518,an,Ruanda,,,,,,
1979086,49518,ast,Ruanda,,,,,,
1979087,49518,bs,Ruanda,,,,,,
1979088,49518,frp,Rouanda,,,,,,
1979089,49518,gl,Ruanda - Rwanda,,,,,,
1979090,49518,hi,रवांडा,,,,,,
1979091,49518,io,Ruanda,,,,,,
1979092,49518,jv,Rwanda,,,,,,
1979093,49518,kg,Rwanda,,,,,,
1979094,49518,kw,Rwanda,,,,,,
1979095,49518,la,Ruanda,,,,,,
1979096,49518,nds,Ruanda,,,,,,
1979097,49518,no,Rwanda,,,,,,
1979098,49518,oc,Rwanda,,,,,,
1979099,49518,pam,Rwanda,,,,,,
1979100,49518,qu,Rwanda,,,,,,
1979101,49518,ro,Ruanda,,,,,,
1979102,49518,rw,Rwanda,,1,,,,
1979103,49518,hbs,Ruanda,,,,,,
1979104,49518,sw,Rwanda,,,,,,
1979105,49518,tg,Руанда,,,,,,
1979106,49518,th,ประเทศรวันดา,,,,,,
1979107,49518,tl,Ruwanda,,,,,,
1979108,49518,ug,رۋاندا,,,,,,
1979109,49518,vi,Rwanda,,,,,,
1979110,49518,vo,Ruandän,,,,,,
2197518,49518,en,Republic of Rwanda,,,,,,
2418981,49518,be,Руанда,,,,,,
2418982,49518,bn,রুয়ান্ডা,1,,,,,
2418983,49518,bo,རུ་ཝན་ཌ།,,,,,,
2418984,49518,ca,Ruanda,,,,,,
2418985,49518,et,Ruanda,,,,,,
2418986,49518,fa,روواندا,,,,,,
2418987,49518,gl,Ruanda,,,,,,
2418988,49518,hi,रवाण्डा,,,,,,
2418989,49518,ia,Ruanda,,,,,,
2418990,49518,ja,ルワンダ共和国,,,,,,
2418991,49518,ln,Rwanda,1,,,,,
2418992,49518,ml,റുവാണ്ട,,,,,,
2418993,49518,se,Rwanda,,,,,,
2418994,49518,ur,روانڈا,,,,,,
2418995,49518,vi,Ru-an-đa (Rwanda),,,,,,
2919998,49518,link,https://en.wikipedia.org/wiki/Rwanda,,,,,,
3047222,49518,link,https://ru.wikipedia.org/wiki/%D0%A0%D1%83%D0%B0%D0%BD%D0%B4%D0%B0,,,,,,
3603430,49518,rw,Republika y’u Rwanda,,,,,,
7090400,49518,ak,Rwanda,1,,,,,
7090401,49518,az,Rvanda,1,,,,,
7090402,49518,bm,Ruwanda,1,,,,,
7090403,49518,br,Rwanda,1,,,,,
7090404,49518,ee,Rwanda nutome,1,,,,,
7090405,49518,ff,Ruwanndaa,1,,,,,
7090406,49518,gu,રવાંડા,1,,,,,
7090407,49518,ha,Ruwanda,1,,,,,
7090408,49518,ki,Rwanda,1,,,,,
7090409,49518,kl,Rwanda,1,,,,,
7090410,49518,kn,ರುವಾಂಡಾ,1,,,,,
7090411,49518,ku,ڕواندا,1,,,,,
7090412,49518,lg,Rwanda,1,,,,,
7090413,49518,lu,Rwanda,1,,,,,
7090414,49518,mg,Roanda,1,,,,,
7090415,49518,mr,रवांडा,1,,,,,
7090416,49518,my,ရဝန်ဒါ,1,,,,,
7090417,49518,nd,Ruwanda,1,,,,,
7090418,49518,ne,रवाण्डा,1,,,,,
7090419,49518,or,ରାୱାଣ୍ଡା,1,,,,,
7090420,49518,rm,Ruanda,1,,,,,
7090421,49518,rn,u Rwanda,1,,,,,
7090422,49518,sg,Ruandäa,1,,,,,
7090423,49518,sn,Rwanda,1,,,,,
7090424,49518,so,Ruwanda,1,,,,,
7090425,49518,ta,ருவான்டா,1,,,,,
7090426,49518,te,ర్వాండా,1,,,,,
7090427,49518,ti,ሩዋንዳ,1,,,,,
7090428,49518,to,Luanitā,1,,,,,
7090429,49518,yo,Orílẹ́ède Ruwanda,1,,,,,
7090430,49518,zu,i-Rwanda,1,,,,,
8792562,49518,link,http://id.loc.gov/authorities/names/n81025976,,,,,,
6199,49520,,Birunga,,,,,,
6200,49520,,Virunga,,,,,,
6201,49520,,Birunga Range,,,,,,
6202,49520,,M’fumbiro,,,,,,
6203,49520,,Mufumbiro Range,,,,,,
6204,49520,,Mufumbiro,,,,,,
6205,49520,,Virungu,,,,,,
3603447,49520,,Mufumbiro Mountains,,,,,,
6206,49521,,Muvogero,,,,,,
6207,49521,,Chizinga,,,,,,
6208,49521,,Tshinzinga,,,,,,
6209,49521,,River Chisinga,,,,,,
6210,49521,,Cshisinga,,,,,,
3603448,49521,,Kizinga,,,,,,
5466196,49521,,Cyizinga,,,,,,
6218,49524,,Volcan Muhabura,,,,,,
6219,49524,,Volcan Muhavura,,,,,,
3603450,49524,,Muhavura,,,,,,
6220,49525,,Vigaga,,,,,,
6222,49525,,Kirurumu,,,,,,
3603451,49525,,Kiruruma,,,,,,
6223,49526,,Volcan Karisimbi,,,,,,
6224,49526,,Mount Karisimbra,,,,,,
1958400,49526,es,Monte Karisimbi,,,,,,
1958401,49526,en,Mount Karisimbi,,,,,,
1958402,49526,de,Karisimbi,,,,,,
1958403,49526,bg,Карисимби,,,,,,
1958404,49526,lt,Karisimbis,,,,,,
1958405,49526,sk,Karisimbi,,,,,,
1958406,49526,sv,Karisimbi,,,,,,
2036471,49526,pt,Monte Karisimbi,,,,,,
2920849,49526,link,https://en.wikipedia.org/wiki/Mount_Karisimbi,,,,,,
143568,201359,,Nzaza,,,,,,
143569,201359,,Nsaza,,,,,,
5774258,201359,,Zaza,,,,,,
143570,201361,,Yanza,,,,,,
5599666,201361,,Yanze,,,,,,
5599667,201361,,Yanxe,,,,,,
2801789,201362,,Winka,,,,,,
4121920,201362,,Kuwinka,,,,,,
15133902,201362,wkdt,Q31704583,,,,,,
143571,201365,,Ile Waho,,,,,,
2801790,201365,,Ile Iwawa,,,,,,
4121921,201365,,Île Wahu,,,,,,
15441038,201365,wkdt,Q34793610,,,,,,
143573,201366,,Yumwe,,,,,,
143574,201366,,Vumwa,,,,,,
5774259,201366,,Vumwe,,,,,,
3216157,201369,,Urwindi,,,,,,
3216158,201369,,Uruwindi,,,,,,
5774260,201370,,Uruumanza,,,,,,
5774261,201370,,Ururumanza,,,,,,
5774262,201371,,Urugondo,,,,,,
5774263,201371,,Urugando,,,,,,
143575,201372,,Urufunzo-Akagera,,,,,,
5774264,201372,,Nkungu,,,,,,
143576,201373,,Uruanda,,,,,,
5826047,201373,,Urwanda,,,,,,
15417142,201375,wkdt,Q34793467,,,,,,
15925429,201375,,Île Udushivire,,,,,,
5774265,201377,,Tunduti,,,,,,
5774266,201377,,Tunoluti,,,,,,
5599668,201383,,Kibumba,,,,,,
5599669,201383,,Tshumba,,,,,,
143577,201384,,Tshonyonyo,,,,,,
5599670,201384,,Cyonyonyo,,,,,,
5774267,201385,,Cyobe,,,,,,
5774268,201385,,Tshobe,,,,,,
143578,201386,,Tshinzovo,,,,,,
5774269,201386,,Cyinzovu,,,,,,
5774270,201386,,Tshinzovu,,,,,,
143579,201387,,Tshimpondwe,,,,,,
5599671,201387,,Cyimpondwe,,,,,,
5599672,201387,,Kimpondwe,,,,,,
143580,201390,,Tshatshika,,,,,,
5599673,201390,,Cyacika,,,,,,
143581,201394,,Île Tembabagoyi,,,,,,
4121922,201394,,Île Tembabagoye,,,,,,
15438314,201394,wkdt,Q34793355,,,,,,
143582,201396,,Tima,,,,,,
4121923,201396,,Tema,,,,,,
15548568,201398,wkdt,Q34793325,,,,,,
15925430,201398,,Île Tarera,,,,,,
5599674,201405,,Bizi,,,,,,
5599675,201405,,Sizi,,,,,,
5490738,201406,,Sinabyaye,,,,,,
5490739,201406,,Sinabaye,,,,,,
5490740,201406,,Synabyaye,,,,,,
143583,201409,,Sogwe,,,,,,
143584,201409,,Songwe,,,,,,
5774271,201409,,Shyogwe,,,,,,
143585,201414,,Shuri,,,,,,
5774272,201414,,Sholi,,,,,,
5774273,201414,,Shori,,,,,,
15506682,201416,wkdt,Q34793217,,,,,,
15925431,201416,,Île Shangwe,,,,,,
143586,201417,,Shaboa,,,,,,
143587,201417,,Shabua,,,,,,
143588,201417,,Shabwa,,,,,,
2801791,201417,,Shabva,,,,,,
4121924,201417,,Shyara,,,,,,
15554520,201418,wkdt,Q34793192,,,,,,
15925432,201418,,Île Shabalole,,,,,,
143589,201419,,Setshoko,,,,,,
5774274,201419,,Secoko,,,,,,
2801792,201421,,Sekana,,,,,,
4121925,201421,,Lac Sekana,,,,,,
143590,201425,,Isavi,,,,,,
5774275,201425,,Save,,,,,,
143591,201426,,Satinje,,,,,,
143592,201426,,Satinshi,,,,,,
143593,201426,,Satinskyi,,,,,,
143594,201426,,Satenskyi,,,,,,
143595,201426,,Sabinskyi,,,,,,
143596,201426,,Satinski,,,,,,
143597,201426,,Satinkski,,,,,,
4121926,201426,,Satinsyi,,,,,,
15264229,201427,wkdt,Q34793174,,,,,,
15925433,201427,,Île Sasa,,,,,,
143598,201430,,Sanja,,,,,,
143599,201430,,Bugindi,,,,,,
4121927,201430,,Sandja,,,,,,
15876792,201430,wkdt,Q31704618,,,,,,
143600,201433,,Ryirabirande,,,,,,
3216159,201433,,Nyirabirande,,,,,,
5774276,201434,,Rwungo,,,,,,
5774277,201434,,Rwungu,,,,,,
143601,201435,,Congoro,,,,,,
143602,201435,,Lwondo,,,,,,
4121928,201435,,Rwondo,,,,,,
143603,201436,,Rwinzoga,,,,,,
5774278,201436,,Rwinzovu,,,,,,
5774279,201436,,Rwinzoka,,,,,,
143604,201438,,Rwinkavu,,,,,,
143605,201438,,Rwingwavu,,,,,,
5663027,201438,,Rwinkwavu,,,,,,
5663028,201439,,Rwinkuba,,,,,,
