AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
3157093,34711,,Wādī Khabb,,,,,,
13390426,34711,ar,وادي خب,,,,,,
13390427,34711,,Wādī Khubb,,,,,,
3583589,34772,,Al ‘Ulayīn,,,,,,
7078137,34772,link,https://en.wikipedia.org/wiki/Al_%60Ulayin,,,,,,
3583592,34797,,Wādī al ‘Araḑ,,,,,,
4543,34877,,Wādī Ḑamd,,,,,,
3583607,34877,,Wādī Ḑamad,,,,,,
13190860,34877,ar,وادي ضمد,,,,,,
3583608,34878,ar,Qiţābir,,,,,,
7077809,34878,link,https://en.wikipedia.org/wiki/Qitabir,,,,,,
3583613,34906,,Al Ma‘āyin,,,,,,
7074213,34906,link,https://en.wikipedia.org/wiki/Al_Ma%60ayin,,,,,,
3583614,34907,,Wādī Mighyālah,,,,,,
6702270,34936,,Jazīrat ‘Āshiq,,,,,,
6702271,34936,,Ashik,,,,,,
6702272,34936,,‘Āshiq,,,,,,
15498548,34936,wkdt,Q32130114,,,,,,
17067,69778,,‘Urūq az Zaza,,,,,,
3109597,69778,,‘Urūq az Zayzá,,,,,,
13141221,69778,,‘Urūq az Zayzā,,,,,,
13141222,69778,ar,عروق الزيزا,,,,,,
13190907,69778,,‘Urūq az Zayzā’,,,,,,
13190908,69778,ar,عروق الزيزاء,,,,,,
3159737,69869,,Umm an Narb,,,,,,
3236343,70073,ar,Thār,,,,,,
13391295,70073,,Jabal ath Thār,,,,,,
13391296,70073,ar,جبل الثار,,,,,,
3657981,71070,,Jabal Sarīr,,,,,,
3658066,71647,,Rahwān,,,,,,
7073474,71647,link,https://en.wikipedia.org/wiki/Rahwan,,,,,,
3658241,72924,,Wādī Marwān,,,,,,
3658288,73257,,Maḩāţah,,,,,,
7075753,73257,link,https://en.wikipedia.org/wiki/Mahatah,,,,,,
3658305,73405,,Wādī Ma‘bār,,,,,,
19858,73826,,Al Kharkhayr,,,,,,
19859,73826,,Kharkhir,,,,,,
3111874,73826,,‘Urūq al Kharkhayr,,,,,,
12778084,73826,ar,عروق الخرخير,,,,,,
12778085,73826,,‘Urūq al Kharkhīr,,,,,,
3658556,75202,,Wādī Ḩanakah,,,,,,
21787,76604,,‘Uruq adh Dhahiya,,,,,,
3113488,76604,,‘Urūq Ḑaḩyah,,,,,,
12778114,76604,ar,عروق ضحية,,,,,,
3658981,78415,,Wādī Ana,,,,,,
3659074,79040,,Al Ma‘ārīf,,,,,,
3115488,79881,ar,Wādī Thu‘bān,,,,,,
3115489,79881,,Wadi ‘Alb,,,,,,
32267,89949,,Umm al ‘Ahid,,,,,,
32268,89949,,Mushāsh Umm al ‘Abīd,,,,,,
32269,89949,,Umm al ‘Abīd,,,,,,
3669905,89949,ar,Mishāsh Umm ‘Abīd,,,,,,
32531,90162,,Birkat ath Thulaymah,,,,,,
3670112,90162,,Birkat ath Thulaymā’,,,,,,
13500243,90162,ar,بركة الثليماء,,,,,,
3671355,91607,,Samāḩ,,,,,,
3671356,91608,,Samāḩ,,,,,,
3671800,92093,,Fayḑat ar Rāghūth,,,,,,
3671910,92255,,Khabrat al Qayşūmah,,,,,,
36204,93907,,Quwayrāt al Maḩānī,,,,,,
3673371,93908,,Khabrat al Maḩānī,,,,,,
37321,95079,,Birkat el Djumeima,,,,,,
37322,95079,,Al-Gúmejma,,,,,,
37324,95079,,Al Jumaymah,,,,,,
37325,95079,,Al Jumaima,,,,,,
3674339,95079,,Birkat al Jumaymah,,,,,,
13500267,95079,ar,بركة الجميمة,,,,,,
3674526,95299,,Jalţat ar Rāghūth,,,,,,
37997,95852,,Birāk al Qā‘,,,,,,
37998,95852,,Birkat al Haytam,,,,,,
3675039,95852,,Birāk al Haytam,,,,,,
13500270,95852,ar,براك الهيتم,,,,,,
3675653,96585,,Ghār al Milḩ,,,,,,
