AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1038707,2101556,,Santa Isabel,,,,,,
1038708,2101556,,Gizo,,,,,,
1038709,2101556,,Shortland,,,,,,
1038710,2101556,,Ysabel,,,,,,
1038711,2101556,,Shortlands,,,,,,
1038712,2101556,,Western District,,,,,,
2939998,2101556,link,https://en.wikipedia.org/wiki/Western_Province_%28Solomon_Islands%29,,,,,,
3051061,2101556,link,https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%BF%D0%B0%D0%B4%D0%BD%D0%B0%D1%8F_%D0%BF%D1%80%D0%BE%D0%B2%D0%B8%D0%BD%D1%86%D0%B8%D1%8F,,,,,,
4254166,2101556,,Western Province,,,,,,
7977476,2101556,,Western,,,,,,
11761541,2101556,fr,Province occidentale,,,,,,
15368390,2101556,wkdt,Q150325,,,,,,
1038713,2101559,,Nusa Zonga Island,,,,,,
1038714,2101559,,Nususonga Island,,,,,,
1038715,2101559,,Nususongo,,,,,,
4254167,2101559,,Nusa Zonga,,,,,,
15501741,2101560,wkdt,Q34788950,,,,,,
15956210,2101560,,Zoli Island,,,,,,
1038716,2101562,,Njokolo,,,,,,
1038717,2101562,,Zokulu,,,,,,
4254168,2101562,,Zokolo,,,,,,
14891194,2101563,wkdt,Q34788946,,,,,,
15956211,2101563,,Zizirae Island,,,,,,
15620656,2101564,wkdt,Q34788941,,,,,,
15956212,2101564,,Zizihu Island,,,,,,
1038718,2101568,,Zieta Village,,,,,,
1038719,2101568,,Zieta,,,,,,
4254169,2101568,,Ziata,,,,,,
1038720,2101570,,Cape Nialahau,,,,,,
4254170,2101570,,Cape Zele’e,,,,,,
15759032,2101572,wkdt,Q34788714,,,,,,
15956213,2101572,,Zazaghana Island,,,,,,
1038721,2101573,,Zavari,,,,,,
4254171,2101573,,Zavare,,,,,,
1038722,2101582,,Zamore,,,,,,
4254172,2101582,,Zamote,,,,,,
15620589,2101583,wkdt,Q34785567,,,,,,
15956214,2101583,,Zamore Island,,,,,,
1038723,2101584,,Zambanavarungga,,,,,,
4254173,2101584,,Zambanarungga,,,,,,
1038724,2101593,,Andina,,,,,,
2939999,2101593,link,https://en.wikipedia.org/wiki/Yandina%2C_Solomon_Islands,,,,,,
4254174,2101593,,Yandina,,,,,,
7486321,2101593,iata,XYA,,,,,,
1038725,2101594,,Vara Creek,,,,,,
4254175,2101594,,Wright Creek,,,,,,
1038726,2101599,,Wolverene Channel,,,,,,
4254176,2101599,,Wolverine Channel,,,,,,
1038727,2101604,,Hoe,,,,,,
4254177,2101604,,Wilson Island,,,,,,
15471946,2101604,wkdt,Q34787123,,,,,,
1038728,2101606,,Wickham Entrance,,,,,,
4254178,2101606,,Wickham Passage,,,,,,
1038729,2101607,,Mbotuana,,,,,,
4254179,2101607,,Wickham Island,,,,,,
1038730,2101608,,Wickham Harbour,,,,,,
4254180,2101608,,Wickham Anchorage,,,,,,
1038731,2101609,,Tautuvera,,,,,,
4254181,2101609,,White River,,,,,,
15707627,2101610,wkdt,Q31707675,,,,,,
15956215,2101610,,White Cliff,,,,,,
1038732,2101614,,Kondakanimboko,,,,,,
4254182,2101614,,West Cape,,,,,,
1038733,2101621,,Wough Bay,,,,,,
4254184,2101621,,Waugh Bay,,,,,,
1038734,2101622,,Malukei,,,,,,
4254185,2101622,,Watson Island,,,,,,
1038735,2101625,,Waro’au,,,,,,
4254186,2101625,,Waro’ai,,,,,,
1038736,2101657,,Royalist Harbour,,,,,,
4254192,2101657,,Waisisi Harbour,,,,,,
1038737,2101661,,Wairokai Bay,,,,,,
4254193,2101661,,Wairokai Harbour,,,,,,
1038738,2101663,,Raeao,,,,,,
4254194,2101663,,Wairimane,,,,,,
1038739,2101672,,Waidaha River,,,,,,
4254195,2101672,,Wairaha,,,,,,
1038740,2101676,,Weipaine,,,,,,
4254196,2101676,,Waipaina,,,,,,
1038741,2101692,,Moki,,,,,,
4254201,2101692,,Waima’aka,,,,,,
1038742,2101697,,Viavusa,,,,,,
4254203,2101697,,Waihusa,,,,,,
1038743,2101706,,Komachu Island,,,,,,
4254206,2101706,,Wahere Island,,,,,,
15165762,2101708,wkdt,Q31248889,,,,,,
15956216,2101708,,Waena,,,,,,
1038744,2101711,,Vuhuruka Island,,,,,,
4254207,2101711,,Vuvuruka Island,,,,,,
15893062,2101728,wkdt,Q31248894,,,,,,
15956217,2101728,,Mount Vuro,,,,,,
1038745,2101733,,Vurasahimbi,,,,,,
4254208,2101733,,Vurasahumbi River,,,,,,
1038746,2101765,,Vara Bay,,,,,,
4254209,2101765,,Vura Bay,,,,,,
1038747,2101780,,Vuninma Point,,,,,,
4254210,2101780,,Vunima Point,,,,,,
15332302,2101782,wkdt,Q31248899,,,,,,
15956218,2101782,,Vungana,,,,,,
1038748,2101795,,Neal Island,,,,,,
4254211,2101795,,Vulelua Island,,,,,,
1038749,2101796,,Vularu,,,,,,
4254212,2101796,,Vulavu,,,,,,
1038750,2101798,,Kuluhano Island,,,,,,
1038751,2101798,,Kuluhana,,,,,,
4254213,2101798,,Vulahana Island,,,,,,
1038752,2101803,,Vugulonga,,,,,,
1038753,2101803,,Vugolonga,,,,,,
4254214,2101803,,Vugholonga,,,,,,
1038754,2101805,,Vugoe,,,,,,
4254215,2101805,,Vughoe,,,,,,
1038755,2101807,,Vau,,,,,,
4254216,2101807,,Vuavao,,,,,,
15425132,2101808,wkdt,Q31707694,,,,,,
15956219,2101808,,Vuasa,,,,,,
15776496,2101814,wkdt,Q31707713,,,,,,
15956220,2101814,,Vovolapula Peak,,,,,,
1038756,2101816,,Vovoke Cove,,,,,,
1038757,2101816,,Webster Cove,,,,,,
4254217,2101816,,Vovohe Cove,,,,,,
1038758,2101820,,Otana Point,,,,,,
4254218,2101820,,Votana Point,,,,,,
1038759,2101822,,Worosu,,,,,,
4254219,2101822,,Vorusu Island,,,,,,
1038760,2101833,,Warambari Bay,,,,,,
4254220,2101833,,Vorambari Bay,,,,,,
1038761,2101840,,Mount Vongti,,,,,,
1038762,2101840,,Mount Vongi,,,,,,
4254222,2101840,,Vongge Peak,,,,,,
15523518,2101840,wkdt,Q31707731,,,,,,
1038763,2101842,,Osman Boat Channel,,,,,,
1038764,2101842,,Osman’s Boat Channel,,,,,,
4254223,2101842,,Vonga Passage,,,,,,
1038765,2101845,,Wanawa Lagoon,,,,,,
1038766,2101845,,Wana Wana Lagoon,,,,,,
4254224,2101845,,Vonavona Lagoon,,,,,,
1038767,2101846,,Parara,,,,,,
1038768,2101846,,Wanawana Island,,,,,,
4254225,2101846,,Vonavona Island,,,,,,
7540994,2101846,link,https://en.wikipedia.org/wiki/Vonavona,,,,,,
1038769,2101848,,Volinavua,,,,,,
4254226,2101848,,Volonavua,,,,,,
1038770,2101850,,Reilonga,,,,,,
4254227,2101850,,Volivoli,,,,,,
1038771,2101863,,Viuvomba Headlands,,,,,,
4254228,2101863,,Viughomba Headlands,,,,,,
1038772,2101864,,Vitoral Island,,,,,,
4254229,2101864,,Vitora Island,,,,,,
1038773,2101874,,Pupuraka,,,,,,
4254230,2101874,,Visale Peak,,,,,,
2940000,2101875,link,https://en.wikipedia.org/wiki/Visale,,,,,,
4254231,2101875,,Visale,,,,,,
1038774,2101876,,Veisali,,,,,,
1038775,2101876,,Visale Mission,,,,,,
4254232,2101876,,Visale,,,,,,
13332256,2101880,iata,VIU,,,,,,
13339408,2101880,,Viru,,,,,,
1038776,2101885,,Mount Vinavina,,,,,,
4254233,2101885,,Mount Vinuvinu,,,,,,
15621333,2101885,wkdt,Q34928164,,,,,,
15363027,2101888,wkdt,Q31707770,,,,,,
15956221,2101888,,Mount Vina Roni,,,,,,
8087078,2101889,link,https://en.wikipedia.org/wiki/Vilu,,,,,,
8108523,2101889,,Vilu,,,,,,
1038777,2101891,,South Point,,,,,,
4254234,2101891,,Vila Point,,,,,,
1038778,2101896,,Viku Point,,,,,,
4254235,2101896,,Viko Point,,,,,,
1038779,2101897,,Viketangana,,,,,,
4254236,2101897,,Viketongana Island,,,,,,
1038780,2101900,,Hungino Island,,,,,,
1038781,2101900,,Hungimo Island,,,,,,
4254237,2101900,,Vikenara Island,,,,,,
2940001,2101907,link,https://en.wikipedia.org/wiki/Mount_Veve,,,,,,
4254238,2101907,,Mount Veve,,,,,,
1038782,2101910,,Ereru Island,,,,,,
4254239,2101910,,Veuru Island,,,,,,
1038783,2101911,,Euru,,,,,,
1038784,2101911,,Veuvu,,,,,,
1038785,2101911,,Euro,,,,,,
4254240,2101911,,Veuru,,,,,,
1038786,2101920,,Veravaru Entrance,,,,,,
4254241,2101920,,Veravera Entrance,,,,,,
1038787,2101926,,Saunatu,,,,,,
1038788,2101926,,Saunata,,,,,,
4254242,2101926,,Veravaolu,,,,,,
1038789,2101939,,Veramambi,,,,,,
4254243,2101939,,Veramambe,,,,,,
1038790,2101940,,Veramakula,,,,,,
4254244,2101940,,Veramakuru,,,,,,
8099204,2101942,link,https://en.wikipedia.org/wiki/Veralevuha,,,,,,
8108524,2101942,,Veralevuha,,,,,,
15779906,2101942,wkdt,Q7920870,,,,,,
1038791,2101948,,Longu,,,,,,
