AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
153496,241123,,Findlay,,,,,,
4313174,241123,,Zoroaster Shoal,,,,,,
153497,241124,,Zanguilles Point,,,,,,
4313175,241124,,Pointe Zanguilles,,,,,,
2921801,241125,link,https://en.wikipedia.org/wiki/Wizard_Reef,,,,,,
4313176,241125,,Wizard Reef,,,,,,
13524429,241126,en,Wizard Island,,,,,,
153498,241128,fr,Ile Picard,,,,,,
4313177,241128,en,West Island,,,,,,
153499,241129,,Vigilant,,,,,,
4313178,241129,,Vigilant Shoal,,,,,,
153500,241130,,Port Victoria,,,,,,
4313179,241130,,Victoria Harbour,,,,,,
153502,241131,,Port Victoria,,,,,,
1596117,241131,de,Victoria,,,,,,
1596118,241131,en,Victoria,,,,,,
1596119,241131,es,Victoria,,,,,,
1596120,241131,ca,Victòria,,,,,,
1596121,241131,da,Victoria,,,,,,
1596122,241131,fi,Victoria,,,,,,
1596123,241131,fr,Victoria,,,,,,
1596124,241131,id,Victoria,,,,,,
1596125,241131,ja,ヴィクトリア,,,,,,
1596126,241131,ko,빅토리아,,,,,,
1596127,241131,no,Victoria,,,,,,
1596128,241131,pl,Victoria,,,,,,
1596129,241131,pt,Victoria,,,,,,
1596130,241131,ru,Виктория,,,,,,
1596131,241131,hbs,Victoria,,,,,,
1596132,241131,sk,Victoria,,,,,,
1596133,241131,sv,Victoria,,,,,,
1630254,241131,lt,Viktorija,,,,,,
1635921,241131,nl,Victoria,,,,,,
1649465,241131,it,Victoria,,,,,,
1649686,241131,el,Βικτόρια,,,,,,
1900311,241131,am,ቪክቶሪያ፥ ሲሸልስ,,,,,,
1900312,241131,sw,Victoria,,,,,,
1900313,241131,vo,Victoria,,,,,,
1986999,241131,cs,Victoria,,,,,,
1987000,241131,nov,Viktoria,,,,,,
1987001,241131,ur,وکٹوریا,,,,,,
2921802,241131,link,https://en.wikipedia.org/wiki/Victoria%2C_Seychelles,,,,,,
4313180,241131,,Victoria,,,,,,
8618437,241131,,Mahé,,,,,,
9351136,241131,ar,فيكتوريا,,,,,,
9351137,241131,arz,فيكتوريا,,,,,,
9351138,241131,be,Горад Вікторыя,,,,,,
9351139,241131,bg,Виктория,,,,,,
9351140,241131,bo,ཝིག་ཐོ་རི་ཡ།,,,,,,
9351141,241131,ce,Виктори,,,,,,
9351142,241131,ckb,ڤیکتۆریا، سیشێل,,,,,,
9351143,241131,cv,Виктори,,,,,,
9351144,241131,el,Βικτώρια,,,,,,
9351145,241131,eo,Viktorio,,,,,,
9351146,241131,fa,ویکتوریا,,,,,,
9351147,241131,fy,Fiktoria,,,,,,
9351148,241131,he,ויקטוריה,,,,,,
9351149,241131,ht,Viktorya,,,,,,
9351150,241131,hy,Վիկտորիա,,,,,,
9351151,241131,ka,ვიქტორია,,,,,,
9351152,241131,lv,Viktorija,,,,,,
9351153,241131,mk,Викторија,,,,,,
9351154,241131,mr,व्हिक्टोरिया,,,,,,
9351155,241131,nn,Victoria på Seychellane,,,,,,
9351156,241131,oc,Victòria,,,,,,
9351157,241131,os,Виктори,,,,,,
9351158,241131,pa,ਵਿਕਟੋਰੀਆ,,,,,,
9351159,241131,pnb,وکٹوریہ,,,,,,
9351160,241131,sl,Viktorija,,,,,,
9351161,241131,so,Fiktoria,,,,,,
9351162,241131,sr,Викторија,,,,,,
9351163,241131,th,วิกตอเรีย,,,,,,
9351164,241131,udm,Виктория,,,,,,
9351165,241131,uk,Вікторія,,,,,,
9351166,241131,wo,Wiktoria,,,,,,
9351167,241131,zh,维多利亚,,,,,,
11379044,241131,ky,Виктория,,,,,,
11379045,241131,ta,விக்டோரியா,,,,,,
11379046,241131,uz,Viktoriya,,,,,,
11379047,241131,vep,Viktorii,,,,,,
11379048,241131,yue,維多利亞,,,,,,
13797790,241131,unlc,SCMAW,,,,,,
13797791,241131,unlc,SCPOV,,,,,,
13797794,241131,unlc,SCVIC,,,,,,
15638422,241131,wkdt,Q3940,,,,,,
153503,241133,,Isle Vache,,,,,,
153504,241133,,Vache Island,,,,,,
4313181,241133,,Île aux Vaches,,,,,,
15551060,241133,wkdt,Q34790171,,,,,,
153505,241137,,Les Trois Freres,,,,,,
4313182,241137,,Trois Frères,,,,,,
153506,241138,,Les Trois Dames,,,,,,
4313183,241138,,Trois Dames,,,,,,
153507,241140,,La Tortue Rock,,,,,,
153508,241140,en,Tortue Rock,,,,,,
4313184,241140,,Roche Tortue,,,,,,
153509,241142,,Thérèse Island,,,,,,
2921803,241142,link,https://en.wikipedia.org/wiki/Th%C3%A9r%C3%A8se_Island,,,,,,
4313185,241142,,Île Thérèse,,,,,,
15480546,241142,wkdt,Q28687,,,,,,
153510,241145,,Point Matoopa,,,,,,
4313186,241145,,Cape Ternay,,,,,,
15500852,241145,wkdt,Q34833423,,,,,,
153511,241146,,Port Ternay,,,,,,
4313187,241146,,Baie Ternay,,,,,,
8422910,241150,link,"https://en.wikipedia.org/wiki/Takamaka,_Seychelles",,,,,,
2187637,241151,nb,Takamaka,,,,,,
2187638,241151,nn,Takamaka,,,,,,
2921804,241151,link,https://en.wikipedia.org/wiki/Takamaka%2C_Seychelles,,,,,,
5650111,241151,,Takamaka,,,,,,
9394531,241151,ro,Districtul Takamaka,,,,,,
9394532,241151,zh,塔卡瑪卡區,,,,,,
14911330,241151,wkdt,Q2287379,,,,,,
153512,241153,,Cap Malheureux,,,,,,
4313188,241153,,Pointe du Sud,,,,,,
13524428,241155,en,Southwest Island,,,,,,
153513,241156,en,Main Island,,,,,,
13524435,241156,fr,Grande Terre,,,,,,
13536125,241157,fr,Île du Sud,,,,,,
153514,241159,,Souris islet,,,,,,
4313190,241159,,Souris Island,,,,,,
15264141,241162,wkdt,Q31709141,,,,,,
15959344,241162,,Mount Simpson,,,,,,
153515,241163,,Silhouette Island,,,,,,
2921805,241163,link,https://en.wikipedia.org/wiki/Silhouette_Island,,,,,,
4313191,241163,,Silhouette,,,,,,
13536852,241164,en,Signal Hill,,,,,,
153516,241165,,Sherard Osborn,,,,,,
4313192,241165,,Sherard Osborn Patch,,,,,,
153517,241167,,Requin,,,,,,
4313193,241167,,Shark Rock,,,,,,
5713581,241168,link,https://en.wikipedia.org/wiki/Morne_Seychellois,,,,,,
5722930,241168,,Morne Seychellois,,,,,,
153518,241170,,Colony of the Seychelles,,,,,,
1556131,241170,af,Seychelle,,,,,,
1556132,241170,am,ሲሼልስ,,,,,,
1556133,241170,ar,سيشل,,,,,,
1556134,241170,bg,Сейшели,,,,,,
1556135,241170,ca,Seychelles,,,,,,
1556136,241170,cs,Seychely,,,,,,
1556137,241170,cy,Seychelles,,,,,,
1556138,241170,da,Seychellerne,,,,,,
1556139,241170,de,Seychellen,,,,,,
1556140,241170,el,Σεϋχέλλες,,,,,,
1556141,241170,en,Seychelles,,,,,,
1556142,241170,eo,Sejŝeloj,,,,,,
1556143,241170,es,Seychelles,1,1,,,,
