AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
154094,243097,,Kulbus,,,,,,
4357459,243097,,Koulbous,,,,,,
231401,333581,,Ras Kasar,,,,,,
231402,333581,,Ras Kassar,,,,,,
2811147,333581,,Ra’s Kasr,,,,,,
4526254,333581,,Ras Qassār,,,,,,
11315164,333581,link,https://en.wikipedia.org/wiki/Ras_Kasar,,,,,,
232311,335296,,Hafta,,,,,,
232312,335296,,Torrente Hafta,,,,,,
2811148,335296,,Khawr Hafta,,,,,,
4526954,335296,,Khor Haftā,,,,,,
2811149,335643,,Jebel Gulsa,,,,,,
4527089,335643,,Jabal Gulsa,,,,,,
15437264,335643,wkdt,Q31249726,,,,,,
233064,336807,,Gergaf,,,,,,
233065,336807,,Khor Gergef,,,,,,
233066,336807,,Torrente Gargaf,,,,,,
233067,336807,,Gerguf,,,,,,
233068,336807,,Khor Gergaf,,,,,,
233069,336807,,Gherghef,,,,,,
4527477,336807,,Khawr Gergaf,,,,,,
235046,340407,,Koraiteb,,,,,,
235047,340407,,Rocce Curateb,,,,,,
235048,340407,,Rocca Curateb,,,,,,
4528841,340407,,Curateb,,,,,,
236923,343881,,Torrente Andraeb,,,,,,
236924,343881,,Andraib,,,,,,
2811151,343881,,Anderab,,,,,,
4530159,343881,,Khor Anderaib,,,,,,
237715,345585,,Torrente Acrab,,,,,,
237716,345585,,Khor Akrab,,,,,,
2541702,345585,,Khawr Akrab,,,,,,
4530823,345585,,Acrab,,,,,,
237897,345901,,Khawr Abū Allaga,,,,,,
237898,345901,,Khor Abu Allaga,,,,,,
237899,345901,,Torrente Abalagà,,,,,,
4530931,345901,,Abalaga,,,,,,
256713,363411,,Khor Shiab,,,,,,
256714,363411,,Khor Shiyāb,,,,,,
256715,363411,,Wadi Shiab,,,,,,
4699376,363411,,Khawr Shiyāb,,,,,,
256716,363412,,Northern Province,,,,,,
256717,363412,,Ash Shimaliyya,,,,,,
4699377,363412,,Al Mudīrīyah ash Shamālīyah,,,,,,
256718,363413,,Jebel Kardos,,,,,,
2814054,363413,,Jabal Kurdūs,,,,,,
4699378,363413,,Jabal Kardos,,,,,,
15299522,363413,wkdt,Q31709231,,,,,,
256722,363415,,Jebel Hemeitra,,,,,,
256723,363415,,Gebel Ḥimeitra,,,,,,
2814055,363415,,Jabal Ḩumaytirah,,,,,,
4699380,363415,ar,Jibāl Hōmētrā,,,,,,
15301100,363415,wkdt,Q31709242,,,,,,
256724,363416,,Maḩaţţat Faras,,,,,,
2923302,363416,link,https://en.wikipedia.org/wiki/Faras,,,,,,
4699381,363416,,Faras,,,,,,
256725,363417,,Dongola,,,,,,
256726,363417,,Dunkula,,,,,,
256727,363417,,Donkola,,,,,,
256728,363417,,Donqola,,,,,,
1615871,363417,de,Dunqula,,,,,,
1615872,363417,en,Dongola,,,,,,
1615873,363417,ar,دنقلا,,,,,,
1615874,363417,ca,Ciutat de Dongola,,,,,,
1615875,363417,cs,Dongola,,,,,,
1615876,363417,pl,Dongola,,,,,,
1926449,363417,fa,دنقلا,,,,,,
2923303,363417,link,https://en.wikipedia.org/wiki/Dongola,,,,,,
3047749,363417,link,https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BD%D0%B3%D0%BE%D0%BB%D0%B0,,,,,,
3259916,363417,,Dunqulah,,,,,,
7483141,363417,iata,DOG,,,,,,
10397391,363417,,Dunqulā,,,,,,
11470494,363417,arz,دنقله,,,,,,
11470495,363417,be,Горад Дангола,,,,,,
11470496,363417,el,Ντόνγκολα,,,,,,
11470497,363417,ja,ドンゴラ,,,,,,
11470498,363417,ko,동골라,,,,,,
11470499,363417,mr,डोंगोला,,,,,,
11470500,363417,uk,Донгола,,,,,,
11470501,363417,ru,Донгола,,,,,,
11470502,363417,zh,棟古拉,,,,,,
13797801,363417,unlc,SDDOG,,,,,,
256729,363418,,Khor Azabba,,,,,,
4699382,363418,,Khawr Azabba,,,,,,
256730,363419,,Zarzur,,,,,,
4699383,363419,,Zurzūr,,,,,,
256731,363420,,Ez Zuruq,,,,,,
