AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
14858130,450293,wkdt,Q32246606,,,,,,
15912946,450293,,Gåshällan,,,,,,
2294226,450296,no,Sørbølekobbarna,,,,,,
2294227,450296,no,Sörbölekobbarna,1,,,,,
3566772,450296,,Sörbölekobbarna,,,,,,
14858079,450301,wkdt,Q32235707,,,,,,
15912947,450301,,Flakaskär,,,,,,
15270990,450305,wkdt,Q32300213,,,,,,
15912948,450305,,Nygrundet,,,,,,
15160453,450306,wkdt,Q32281115,,,,,,
15912949,450306,,Lillskärsudden,,,,,,
2290410,450307,no,Sørmjøle Havsbad,,,,,,
2290411,450307,no,Sörmjöle Havsbad,1,,,,,
3566773,450307,,Sörmjöle Havsbad,,,,,,
2292956,450312,no,Støckesgrundet,,,,,,
2292957,450312,no,Stöckesgrundet,1,,,,,
3566774,450312,,Stöckesgrundet,,,,,,
15823534,450319,wkdt,Q32263953,,,,,,
15912950,450319,,Karthällan,,,,,,
14858127,450327,wkdt,Q31884352,,,,,,
15912952,450327,,Antrevet,,,,,,
2292484,450336,no,Sødra Sydostbrotten,,,,,,
2292485,450336,no,Södra Sydostbrotten,1,,,,,
3566782,450336,,Södra Sydostbrotten,,,,,,
15720776,450341,wkdt,Q32265256,,,,,,
15912965,450341,,Killingskärudden,,,,,,
15346271,450342,wkdt,Q32231497,,,,,,
15912966,450342,,Diskgrundet,,,,,,
2264224,450343,no,Bredøgern,,,,,,
2264225,450343,no,Bredögern,1,,,,,
3566812,450343,,Bredögern,,,,,,
14858062,450343,wkdt,Q32228033,,,,,,
15744266,450346,wkdt,Q34794380,,,,,,
15912967,450346,,Öster-Hällskäret,,,,,,
15724900,450347,wkdt,Q32256011,,,,,,
15912968,450347,,Hästskäret,,,,,,
2262840,450349,no,Baggøn,,,,,,
2262841,450349,no,Baggön,1,,,,,
3566813,450349,,Baggön,,,,,,
14858038,450352,wkdt,Q32278715,,,,,,
15912969,450352,,Lilla Hällskär,,,,,,
2264054,450353,no,Baggøøgern,,,,,,
2264055,450353,no,Baggöögern,1,,,,,
3566814,450353,,Baggöögern,,,,,,
14858120,450355,wkdt,Q32240879,,,,,,
15912970,450355,,Glanskäret,,,,,,
15091602,450356,wkdt,Q32266054,,,,,,
15912971,450356,,Klippan,,,,,,
2291378,450358,no,Vitøgern,,,,,,
2291379,450358,no,Vitögern,1,,,,,
3566815,450358,,Vitögern,,,,,,
14858076,450361,wkdt,Q32301623,,,,,,
15912972,450361,,Nör-Tärnögern,,,,,,
15616025,450365,wkdt,Q32287068,,,,,,
15912973,450365,,Långrevskäret,,,,,,
2279798,450369,no,Nørd-Petersgrundet,,,,,,
2279799,450369,no,Nörd-Petersgrundet,1,,,,,
3566816,450369,,Nörd-Petersgrundet,,,,,,
2294094,450371,no,Utbørtingen,,,,,,
2294095,450371,no,Utbörtingen,1,,,,,
3566817,450371,,Utbörtingen,,,,,,
15310802,450372,wkdt,Q32264028,,,,,,
15912974,450372,,Kas,,,,,,
7173379,450375,link,https://en.wikipedia.org/wiki/Sofiehem,,,,,,
7297999,450375,,Sofiehem,,,,,,
15643169,450377,wkdt,Q32277697,,,,,,
15912975,450377,,Lill-Sandskär,,,,,,
15604861,450379,wkdt,Q32236088,,,,,,
15912976,450379,,Flisbergsgrundet,,,,,,
2281961,450382,no,Rovøgern,,,,,,
2281962,450382,no,Rovögern,1,,,,,
3566818,450382,,Rovögern,,,,,,
15577917,450390,wkdt,Q32229577,,,,,,
15912977,450390,,Buten,,,,,,
14858070,450395,wkdt,Q32280937,,,,,,
15912978,450395,,Lillklyvan,,,,,,
2283016,450396,no,Løvølandet,,,,,,
2283017,450396,no,Lövölandet,1,,,,,
3566819,450396,,Lövölandet,,,,,,
2278458,450401,no,Lill-Halørsgrundet,,,,,,
2278459,450401,no,Lill-Halörsgrundet,1,,,,,
3566820,450401,,Lill-Halörsgrundet,,,,,,
15092578,450401,wkdt,Q32277605,,,,,,
2293476,450402,no,Stor-Halørsgrundet,,,,,,
2293477,450402,no,Stor-Halörsgrundet,1,,,,,
3566821,450402,,Stor-Halörsgrundet,,,,,,
2269306,450403,no,Halørsskatan,,,,,,
2269307,450403,no,Halörsskatan,1,,,,,
3566822,450403,,Halörsskatan,,,,,,
14858044,450403,wkdt,Q32248155,,,,,,
2285402,450404,no,Røssgrundet,,,,,,
2285403,450404,no,Rössgrundet,1,,,,,
3566823,450404,,Rössgrundet,,,,,,
