AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
10643913,1880131,link,https://en.wikipedia.org/wiki/Tanjong_Pagar,,,,,,
10653003,1880131,,Tanjong Pagar,,,,,,
13798915,1880131,unlc,SGTPG,,,,,,
973029,1880132,,Straat Singapoera,,,,,,
973030,1880132,,Straits of Singapore,,,,,,
973031,1880132,,Straat Singapore,,,,,,
973032,1880132,,Selat Singapura,,,,,,
2298976,1880132,fr,Détroit de Singapour,1,,,,,
7153314,1880132,link,https://en.wikipedia.org/wiki/Singapore_Strait,,,,,,
973033,1880133,,Yuchi,,,,,,
4686877,1880133,,Sungai Yuchi,,,,,,
973034,1880135,,Yio Chu Kang Village,,,,,,
4686878,1880135,,Yio Chu Kang,,,,,,
973035,1880137,,Yow Toe,,,,,,
973036,1880137,,Yew Tee Village,,,,,,
4686879,1880137,,Yew Tee,,,,,,
7168446,1880137,link,https://en.wikipedia.org/wiki/Yew_Tee_MRT_Station,,,,,,
973037,1880138,,Yan Kit Village,,,,,,
4686880,1880138,,Yan Kit,,,,,,
973038,1880142,,Sungai Whompoe,,,,,,
4686881,1880142,,Sungai Whampoa,,,,,,
2938757,1880155,link,https://en.wikipedia.org/wiki/Mount_Vernon%2C_Singapore,,,,,,
4686882,1880155,,Mount Vernon,,,,,,
973039,1880157,,Pulau Unam,,,,,,
4686883,1880157,,Pulau Unum,,,,,,
973040,1880159,,Ulu Bedok Village,,,,,,
4686884,1880159,,Ulu Bedok,,,,,,
4686885,1880162,,Pulau Ubin,,,,,,
13598986,1880163,link,https://en.wikipedia.org/wiki/Tyersall_Park,,,,,,
13603522,1880163,,Tyersall Park,,,,,,
973041,1880168,,Tuas Village,,,,,,
4686886,1880168,,Tuas,,,,,,
13598982,1880168,link,https://en.wikipedia.org/wiki/Tuas,,,,,,
13798918,1880168,unlc,SGTUA,,,,,,
15733996,1880168,wkdt,Q7850658,,,,,,
973042,1880176,,Toa Payoh,,,,,,
2938759,1880176,link,https://en.wikipedia.org/wiki/Toa_Payoh_New_Town,,,,,,
4686887,1880176,,Toa Payoh New Town,,,,,,
13798917,1880176,unlc,SGTPY,,,,,,
15464331,1880176,wkdt,Q2734905,,,,,,
973043,1880177,,Tiong Baharu,,,,,,
4686888,1880177,,Tiong Bahru Estate,,,,,,
13635214,1880177,link,https://en.wikipedia.org/wiki/Tiong_Bahru,,,,,,
15528424,1880178,wkdt,Q31266122,,,,,,
16004696,1880178,,Bukit Tinggi,,,,,,
2256578,1880179,en,Bukit Timah Hill,,,,,,
2938760,1880179,link,https://en.wikipedia.org/wiki/Bukit_Timah,,,,,,
9389768,1880179,bg,Букит Тимах,,,,,,
