AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
15566405,2411321,wkdt,Q31527053,,,,,,
15969047,2411321,,Weather Post,,,,,,
15221343,2411323,wkdt,Q31454489,,,,,,
15969049,2411323,,Upper Valley Crater,,,,,,
15427982,2411325,wkdt,Q31266136,,,,,,
15969050,2411325,,Travellers Hill,,,,,,
15679539,2411330,wkdt,Q31454490,,,,,,
15969053,2411330,,Table Crater,,,,,,
15518428,2411331,wkdt,Q31454491,,,,,,
15969054,2411331,,Street Crater,,,,,,
14896524,2411333,wkdt,Q31454492,,,,,,
15969056,2411333,,Spoon Crater,,,,,,
1133403,2411341,,South Pyramid,,,,,,
4329964,2411341,,South Pyramid Rock,,,,,,
15233494,2411343,wkdt,Q31266138,,,,,,
15969058,2411343,,South Gannet Hill,,,,,,
15223056,2411345,wkdt,Q31454493,,,,,,
15969059,2411345,,South East Crater,,,,,,
15389973,2411348,wkdt,Q31527057,,,,,,
15969060,2411348,,Sisters Peak,,,,,,
15414705,2411352,wkdt,Q31454494,,,,,,
15969064,2411352,,Saddle Crater,,,,,,
15825627,2411361,wkdt,Q31527067,,,,,,
15969067,2411361,,Powers Peak,,,,,,
1133404,2411364,,Pillar Rock,,,,,,
4329978,2411364,,Pillar Rocks,,,,,,
15271075,2411366,wkdt,Q31454495,,,,,,
15969068,2411366,,Perfect Crater,,,,,,
5648841,2411367,,Green Mountain,,,,,,
5904327,2411367,link,https://en.wikipedia.org/wiki/Green_Mountain,,,,,,
15214506,2411388,wkdt,Q31266140,,,,,,
15969076,2411388,,Lady Hill,,,,,,
15708272,2411389,wkdt,Q34936940,,,,,,
15590730,2411390,wkdt,Q31454496,,,,,,
15969078,2411390,,Horse Shoe Crater,,,,,,
15909749,2411394,wkdt,Q31454497,,,,,,
15969087,2411394,,Green Top Crater,,,,,,
2944282,2411397,link,https://en.wikipedia.org/wiki/Georgetown%2C_Ascension_Island,,,,,,
4330009,2411397,,Georgetown,,,,,,
7485269,2411397,iata,ASI,,,,,,
11566939,2411397,az,Corctaun,,,,,,
11566940,2411397,hy,Ջորջթաուն,,,,,,
11566941,2411397,ja,ジョージタウン,,,,,,
11566942,2411397,ko,조지타운,,,,,,
11566943,2411397,lt,Džordžtaunas,,,,,,
11566944,2411397,lv,Džordžtauna,,,,,,
11566945,2411397,nn,Georgetown på Ascension,,,,,,
11566946,2411397,sr,Џорџтаун,,,,,,
11566947,2411397,ta,ஜார்ஜ் டவுன்,,,,,,
11566948,2411397,th,จอร์จทาวน์,,,,,,
11566949,2411397,uk,Джорджтаун,,,,,,
11566950,2411397,ur,جارج ٹاؤن، جزیرہ اسینشن,,,,,,
11566951,2411397,ru,Джорджтаун,,,,,,
11566952,2411397,zh,乔治敦,,,,,,
13798920,2411397,unlc,SHASC,,,,,,
13798921,2411397,unlc,SHASI,,,,,,
15472100,2411401,wkdt,Q31454498,,,,,,
15969095,2411401,,East Crater,,,,,,
15442016,2411402,wkdt,Q31454499,,,,,,
15969096,2411402,,Devils Riding School,,,,,,
15616817,2411403,wkdt,Q31454501,,,,,,
15969098,2411403,,Devils Cauldron,,,,,,
15545819,2411404,wkdt,Q31454502,,,,,,
15969100,2411404,,Dark Slope Crater,,,,,,
1133405,2411405,,Dampier Springs,,,,,,
4330018,2411405,,Dampiers Springs,,,,,,
1133406,2411406,,Crystall Bay,,,,,,
4330019,2411406,,Crystal Bay,,,,,,
15618468,2411409,wkdt,Q31527084,,,,,,
15969103,2411409,,Crater Cliff,,,,,,
15536369,2411412,wkdt,Q34841565,,,,,,
15969104,2411412,,Collyer Point,,,,,,
1133407,2411413,,Coconut Bay,,,,,,
4330020,2411413,,Cocoanut Bay,,,,,,
15457752,2411417,wkdt,Q34836654,,,,,,
15969105,2411417,,Catherine Point,,,,,,
15530859,2411419,wkdt,Q31454503,,,,,,
15969107,2411419,,Butt Crater,,,,,,
15659690,2411420,wkdt,Q31925249,,,,,,
15969110,2411420,,Bottle Point,,,,,,
15635933,2411423,wkdt,Q31917252,,,,,,
15969113,2411423,,Boatswainbird Island,,,,,,
15685615,2411427,wkdt,Q31912290,,,,,,
15969124,2411427,,Bates Point,,,,,,
1133408,2411429,,Island of Ascension,,,,,,
1630954,2411429,en,Ascension Island,,,,,,
1630955,2411429,es,Isla Ascensión,,,,,,
1630956,2411429,de,Ascension,,,,,,
1630957,2411429,ast,Islla Ascensión,,,,,,
1630958,2411429,fi,Ascension Island,,,,,,
1630959,2411429,fr,Ascension,,,,,,
1630960,2411429,gl,Illa de Ascensión,,,,,,
1630961,2411429,ja,アセンション島,,,,,,
1630962,2411429,ko,어센션 섬,,,,,,
1630963,2411429,nl,Ascension,,,,,,
1630964,2411429,no,Ascension,,,,,,
1630965,2411429,pl,Wyspa Wniebowstąpienia,,,,,,
1630966,2411429,pt,Ascensão,,,,,,
1630967,2411429,sl,Ascension,,,,,,
1630968,2411429,sv,Ascension,,,,,,
1630969,2411429,tl,Pulo ng Ascension,,,,,,
1630970,2411429,zh,阿森松岛,,,,,,
1635883,2411429,eu,Ascension Uhartea,,,,,,
1635884,2411429,it,Ascensione,,,,,,
1899616,2411429,be,Выспа Ўшэсьця,,,,,,
1899617,2411429,cs,Ascension,,,,,,
1899618,2411429,he,אסנשן,,,,,,
1899619,2411429,hbs,Otok Ascension,,,,,,
1899620,2411429,sk,Ascension,,,,,,
1899621,2411429,sr,Акнезијско острво,,,,,,
1986596,2411429,ro,Ascension,,,,,,
1986597,2411429,ru,Остров Вознесения,,,,,,
2944283,2411429,link,https://en.wikipedia.org/wiki/Ascension_Island,,,,,,
