AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1347237,3164599,,Julijska Benecija,,,,,,
1347238,3164599,,South Slavic Region of Istria,,,,,,
1347239,3164599,,Beneška-Slovenija,,,,,,
1347240,3164599,,Slovenia Veneziana,,,,,,
1347241,3164599,,The Marches,,,,,,
1347242,3164599,,Venecia Julia,,,,,,
1347243,3164599,,Julian March,,,,,,
1347244,3164599,,Venetian Slovenia,,,,,,
4662356,3164599,,Venezia Giulia,,,,,,
1347813,3166475,,Slovenija,,,,,,
4662773,3166475,en,Slovenia,,,,,,
1350161,3174089,,Monte Mangart,,,,,,
1350162,3174089,,Veliki Mangrt,,,,,,
1350163,3174089,,Manhart,,,,,,
1350164,3174089,,Mangart,,,,,,
1350165,3174089,,Mangarat,,,,,,
3075005,3174089,de,Mangart,,,,,,
5713515,3174089,link,https://en.wikipedia.org/wiki/Mangart,,,,,,
1360929,3186234,,Raščica,,,,,,
4671037,3186234,,Rašica,,,,,,
7136218,3186234,link,https://en.wikipedia.org/wiki/Ra%C5%A1ica%2C_Velike_La%C5%A1%C4%8De,,,,,,
1360935,3186238,,Bach Molla,,,,,,
1360936,3186239,,Merse,,,,,,
4671040,3186239,,Mrše,,,,,,
7034829,3186239,link,https://en.wikipedia.org/wiki/Mr%C5%A1e,,,,,,
15724116,3186239,wkdt,Q556353,,,,,,
7038751,3186254,link,https://en.wikipedia.org/wiki/%C5%BDvir%C4%8De,,,,,,
7216488,3186254,,Žvirče,,,,,,
15510637,3186254,wkdt,Q2682619,,,,,,
7045750,3186269,link,https://en.wikipedia.org/wiki/%C5%BDvab,,,,,,
7216489,3186269,,Žvab,,,,,,
15373293,3186269,wkdt,Q2527886,,,,,,
1360963,3186270,de,Seisenberg,,,,,,
1360964,3186270,,Žužemperk,,,,,,
1933893,3186270,en,Žužemberk,,,,,,
1933894,3186270,cs,Žužemberk,,,,,,
1933895,3186270,it,Žužemberk,,,,,,
1933896,3186270,ja,ジュジェンベルク,,,,,,
1933897,3186270,nl,Žužemberk,,,,,,
1933898,3186270,ro,Žužemberk,,,,,,
1933899,3186270,sl,Občina Žužemberk,,,,,,
1933900,3186270,sv,Žužemberk,,,,,,
4671072,3186270,,Žužemberk,,,,,,
6157690,3186270,,Seisenberg,,,,,,
13799383,3186270,unlc,SIZUZ,,,,,,
7047984,3186285,link,https://en.wikipedia.org/wiki/%C5%BDupelevec,,,,,,
7216490,3186285,,Župelevec,,,,,,
14971955,3186285,wkdt,Q1822781,,,,,,
1360988,3186304,,Gorjanci,,,,,,
1360989,3186304,,Uskočke Planine,,,,,,
1360990,3186304,,Gorjanci Mountains,,,,,,
1360991,3186304,,Žumberačke Planine,,,,,,
1360992,3186304,,Uskoken Gebirge,,,,,,
1360993,3186304,,Uskok,,,,,,
4671098,3186304,,Žumberačka Gora,,,,,,
7496474,3186304,link,https://en.wikipedia.org/wiki/%C5%BDumberak_Mountains,,,,,,
7059722,3186323,link,https://en.wikipedia.org/wiki/%C5%BDubina,,,,,,
7216495,3186323,,Žubina,,,,,,
15543801,3186323,wkdt,Q2469182,,,,,,
1361016,3186341,,Zrkovci,,,,,,
4671129,3186341,,Zrkorci,,,,,,
11303542,3186341,link,https://en.wikipedia.org/wiki/Zrkovci,,,,,,
15693750,3186341,wkdt,Q2280086,,,,,,
1361021,3186346,,Lukački Zrin,,,,,,
1361022,3186346,,Zrinj,,,,,,
4671133,3186346,,Zrin Lukački,,,,,,
1361039,3186363,,Znojila,,,,,,
1361040,3186363,,Znojile,,,,,,
4671152,3186363,,Znojile pri Krki,,,,,,
7162468,3186363,link,https://en.wikipedia.org/wiki/Znojile_pri_Krki,,,,,,
15522101,3186363,wkdt,Q731317,,,,,,
7541421,3186364,link,https://en.wikipedia.org/wiki/Znojile%2C_Tolmin,,,,,,
7575780,3186364,,Znojile,,,,,,
7547260,3186370,link,https://en.wikipedia.org/wiki/Zminec,,,,,,
7575781,3186370,,Zminec,,,,,,
