AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
363467,607008,,Zordragger Bay,,,,,,
363468,607008,,Zorgdragers-Bay,,,,,,
363469,607008,,Nordbaien,,,,,,
4058707,607008,,Zorgdragerfjorden,,,,,,
8677663,607008,link,https://en.wikipedia.org/wiki/Zorgdragerfjorden,,,,,,
15739384,607009,wkdt,Q31870332,,,,,,
15920236,607009,,Kapp Ziehen,,,,,,
363470,607010,,Ziegler Island,,,,,,
4058710,607010,,Zieglerøya,,,,,,
8687080,607010,link,https://en.wikipedia.org/wiki/Ziegler%C3%B8ya,,,,,,
363471,607011,,Cape Ziepel,,,,,,
4058712,607011,,Zeipelodden,,,,,,
363472,607012,,Plateau Zeipel,,,,,,
4058713,607012,,Zeipelfjella,,,,,,
363473,607013,,Zeil Islands,,,,,,
4058716,607013,,Zeiløyane,,,,,,
363474,607014,,Capo Wreede,,,,,,
4058733,607014,,Kapp Wrede,,,,,,
15394223,607014,wkdt,Q31870307,,,,,,
363475,607015,,Kapp Worsley,,,,,,
4058735,607015,,Worsleyneset,,,,,,
363476,607016,,Worsley Glacier,,,,,,
363477,607016,,Worsleybre,,,,,,
4058737,607016,,Worsleybreen,,,,,,
363478,607017,,Kap Schneider,,,,,,
363479,607017,,Schneider-Insel,,,,,,
363480,607017,,Cape Wordie,,,,,,
4058738,607017,,Wordieodden,,,,,,
363481,607018,,Wordie Bay,,,,,,
4058740,607018,,Wordiebukta,,,,,,
363482,607019,,Wolkenhauer Berg,,,,,,
4058744,607019,,Wolkenhauerfjellet,,,,,,
14851098,607019,wkdt,Q31531824,,,,,,
15844347,607020,wkdt,Q31870298,,,,,,
15920241,607020,,Kapp Wojeikow,,,,,,
363483,607021,,Nansen Glacier,,,,,,
363484,607021,,Villybreen,,,,,,
4058750,607021,,Willybreen,,,,,,
8695542,607021,link,https://en.wikipedia.org/wiki/Willybreen,,,,,,
363485,607022,,Waajgats Eyland,,,,,,
363486,607022,,Tommøya,,,,,,
363487,607022,,Vilhelmsøya,,,,,,
363488,607022,,Isle Guillaume,,,,,,
363489,607022,,Isle Thumb Point,,,,,,
363490,607022,,King William Island,,,,,,
363491,607022,,Waygat Island,,,,,,
363492,607022,,Viljamsøya,,,,,,
363493,607022,,WilhelmInsel,,,,,,
363494,607022,,Isola di Guglielmo,,,,,,
363495,607022,,William Island,,,,,,
363496,607022,,William I Island,,,,,,
2924715,607022,link,https://en.wikipedia.org/wiki/Wilhelm%C3%B8ya,,,,,,
4058752,607022,,Wilhelmøya,,,,,,
15781913,607023,wkdt,Q31870246,,,,,,
15920247,607023,,Kapp Weyprecht,,,,,,
11311111,607024,link,https://en.wikipedia.org/wiki/Werenskioldfjellet,,,,,,
11390311,607024,,Werenskioldfjellet,,,,,,
8689449,607025,link,https://en.wikipedia.org/wiki/Kapp_Weissenfels,,,,,,
8797290,607025,,Kapp Weissenfels,,,,,,
363497,607026,,Kap Walther,,,,,,
4058781,607026,,Kapp Walter,,,,,,
15237823,607026,wkdt,Q31870230,,,,,,
15848779,607027,wkdt,Q31870221,,,,,,
15920251,607027,,Kapp Waldburg,,,,,,
363498,607028,,Bay Wosse,,,,,,
363499,607028,,Vossebay,,,,,,
363500,607028,,Baye Wossen,,,,,,
4058795,607028,,Vossebukta,,,,,,
363501,607029,,Otterøya,,,,,,
363502,607029,,Otter Islands,,,,,,
363503,607029,de,Insel von Otter,,,,,,
4058800,607029,,Von Otterøyane,,,,,,
6104934,607029,no,Von Otterøyane,,,,,,
363504,607030,,Mount Volger,,,,,,
4058803,607030,,Volgerberget,,,,,,
15638638,607030,wkdt,Q31531840,,,,,,
363505,607031,,Windy Bay,,,,,,
