AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
408915,690747,,Ulička,,,,,,
408916,690747,,Ul’cheska,,,,,,
408917,690747,,Uliczka,,,,,,
408918,690747,,Ulichska,,,,,,
408919,690747,,Ulyčka,,,,,,
408920,690747,,Ulychpa,,,,,,
4371082,690747,,Ulichka,,,,,,
410242,692521,,Stinka,,,,,,
410243,692521,,Khrebet Slinka,,,,,,
4371986,692521,,Khrebet Stinka,,,,,,
413194,696421,,Potiská Nížina,,,,,,
4374023,696421,,Potiskaya Nizmennost’,,,,,,
418544,703352,,Latoritsa,,,,,,
418545,703352,,Latorza,,,,,,
418546,703352,,Latoritsya,,,,,,
4377689,703352,,Latorica,,,,,,
7161077,703352,link,https://en.wikipedia.org/wiki/Latorica,,,,,,
7980254,703352,uk,Latorytsya,,,,,,
7980255,703352,uk,Латориця,,,,,,
429236,723046,,Klečenov,,,,,,
2926648,723046,link,https://en.wikipedia.org/wiki/Ko%C5%A1ick%C3%BD_Kle%C4%8Denov,,,,,,
4426244,723046,,Košický Klečenov,,,,,,
15207547,723047,wkdt,Q31551620,,,,,,
15982528,723047,,Zvonárka,,,,,,
2926649,723049,link,https://en.wikipedia.org/wiki/%C5%BDup%C4%8Dany,,,,,,
4426252,723049,,Župčany,,,,,,
2926650,723050,link,https://en.wikipedia.org/wiki/Zubn%C3%A9,,,,,,
4426256,723050,,Zubné,,,,,,
15425534,723053,wkdt,Q31551654,,,,,,
15982533,723053,,Zlatý Stôl,,,,,,
2926651,723055,link,https://en.wikipedia.org/wiki/Zlatn%C3%ADk,,,,,,
4426267,723055,,Zlatník,,,,,,
2926652,723056,link,https://en.wikipedia.org/wiki/Zlat%C3%A9,,,,,,
4426270,723056,,Zlaté,,,,,,
429237,723057,,Zlatá Itka,,,,,,
2926653,723057,link,https://en.wikipedia.org/wiki/Zlat%C3%A1_Idka,,,,,,
4426271,723057,,Zlatá Idka,,,,,,
5580377,723057,hu,Aranyida,,,,,,
7190424,723058,link,https://en.wikipedia.org/wiki/Zlat%C3%A1_Ba%C5%88a,,,,,,
7325550,723058,,Zlatá Baňa,,,,,,
7495941,723060,link,https://en.wikipedia.org/wiki/%C5%BDipov,,,,,,
2926654,723061,link,https://en.wikipedia.org/wiki/%C5%BD%C3%ADp,,,,,,
4426275,723061,,Žíp,,,,,,
429238,723064,,Zsor,,,,,,
4426284,723064,,Žiar,,,,,,
8676326,723064,link,https://en.wikipedia.org/wiki/%C5%BDiar%2C_Rev%C3%BAca_District,,,,,,
429239,723065,,Klečenov,,,,,,
4426286,723065,,Zemplínsky Klečenov,,,,,,
429240,723066,,Baranč,,,,,,
