AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
4126933,2274442,,Peleya,,,,,,
1132158,2402687,,Gbenge Hills,,,,,,
4313361,2402687,,Gbenabe Hills,,,,,,
10389397,2402687,en,Gbengbe Hills,,,,,,
15299579,2402687,wkdt,Q31568586,,,,,,
10266938,2402688,en,Zozo,,,,,,
1132159,2402689,,Zimi,,,,,,
4313362,2402689,,Zimmi,,,,,,
7137635,2402689,link,https://en.wikipedia.org/wiki/Zimmi%2C_Sierra_Leone,,,,,,
10389398,2402690,en,Yuya,,,,,,
10266939,2402691,en,Yuvini,,,,,,
15859977,2402691,wkdt,Q31267067,,,,,,
10389399,2402692,en,Yurika Wharf,,,,,,
1132160,2402693,,Yuruka Wharf,,,,,,
4313363,2402693,,Yurika,,,,,,
10229937,2402694,en,Yungula,,,,,,
10389400,2402695,en,Yundunduyi,,,,,,
10266940,2402696,en,Yumbuma,,,,,,
10389401,2402697,en,Yumbukoro,,,,,,
10229938,2402698,en,Yumbu,,,,,,
10229939,2402700,en,Yuabu,,,,,,
10229940,2402701,en,Yoyi,,,,,,
15514271,2402701,wkdt,Q31267069,,,,,,
10266941,2402702,en,Yoyema,,,,,,
10266942,2402703,en,Yoye,,,,,,
15391349,2402703,wkdt,Q31267071,,,,,,
10229941,2402704,en,Yoya,,,,,,
1132161,2402706,,Yovuhun,,,,,,
4313364,2402706,,Yovohun,,,,,,
8675019,2402709,link,https://en.wikipedia.org/wiki/York_Island_%28Sierra_Leone%29,,,,,,
8802874,2402709,,York Island,,,,,,
10155188,2402710,en,York,,,,,,
15911290,2402710,link,"https://en.wikipedia.org/wiki/York,_Sierra_Leone",,,,,,
10229942,2402711,en,York,,,,,,
10389402,2402712,en,Yoria,,,,,,
10229943,2402713,en,Yumboma,,,,,,
10229944,2402713,,Yoombarmo,,,,,,
10229945,2402714,en,Yonkonia,,,,,,
7489878,2402715,link,https://en.wikipedia.org/wiki/Yonibana,,,,,,
7566384,2402715,,Yonibana,,,,,,
15589292,2402715,wkdt,Q289747,,,,,,
10389403,2402716,en,Yoni,,,,,,
10266943,2402717,en,Yoni,,,,,,
1132162,2402718,,Yon,,,,,,
4313365,2402718,,Yoni,,,,,,
10266944,2402719,en,Yoni,,,,,,
10229946,2402720,en,Yoni,,,,,,
1132163,2402721,,Yoki,,,,,,
4313366,2402721,,Yoni,,,,,,
10229947,2402722,en,Yoni,,,,,,
10266945,2402723,en,Yonni,,,,,,
10266946,2402723,,Yoni,,,,,,
1132164,2402724,,Yongoro,,,,,,
4313367,2402724,,Yongro,,,,,,
10229948,2402725,en,Yongoima,,,,,,
10389404,2402726,en,Yongo,,,,,,
10389405,2402727,en,Yongo,,,,,,
15522432,2402727,wkdt,Q31267073,,,,,,
10389406,2402728,en,Yongaro,,,,,,
10229949,2402729,en,Yonfon,,,,,,
10266947,2402730,en,Yondu,,,,,,
1132165,2402731,,Yondobani,,,,,,
4313368,2402731,,Yondobane,,,,,,
10229950,2402732,en,Yomolo,,,,,,
10389407,2402733,en,Yomforia,,,,,,
1132166,2402734,,Yomboro,,,,,,
4313369,2402734,,Yomboro Konta,,,,,,
1132167,2402735,,Duladi,,,,,,
4313370,2402735,,Yomboro Duladi,,,,,,
10229951,2402736,en,Lake Yomboro,,,,,,
10266948,2402737,en,Yomboma,,,,,,
15878304,2402737,wkdt,Q31267075,,,,,,
10229952,2402738,en,Senjekoro,,,,,,
10229953,2402738,,Yomboia,,,,,,
10229954,2402739,en,Jombohun,,,,,,
10229955,2402739,,Yombohun,,,,,,
10229956,2402740,en,Yombohun,,,,,,
1132168,2402741,,Yamankoro,,,,,,
4313371,2402741,,Yomankoro,,,,,,
10389408,2402742,en,Yomanja,,,,,,
10229957,2402743,en,Yomadugu,,,,,,
1132169,2402744,,Yomudu,,,,,,
4313372,2402744,,Yomadu,,,,,,
10389409,2402745,en,Yokodu,,,,,,
10266949,2402746,en,Yoke,,,,,,
10229958,2402747,en,Yoka-iri,,,,,,
10229959,2402750,en,Yogomaia,,,,,,
10266950,2402751,en,Yogbofo,,,,,,
10229960,2402752,en,Yogbodu,,,,,,
10155189,2402753,en,Yof,,,,,,
