AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
2004010,3166645,es,Serravalle,,,,,,
2004011,3166645,fr,Serravalle,,,,,,
2004012,3166645,pl,Serravalle,,,,,,
2004013,3166645,de,Serravalle,,,,,,
2004014,3166645,en,Serravalle,,,,,,
2004015,3166645,it,Serravalle,,,,,,
2004016,3166645,nl,Serravalle,,,,,,
2004017,3166645,no,Serravalle,,,,,,
2004018,3166645,pt,Serravalle,,,,,,
2004019,3166645,ru,Серравалле,,,,,,
3055921,3166645,link,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D1%80%D0%B0%D0%B2%D0%B0%D0%BB%D0%BB%D0%B5,,,,,,
4662833,3166645,,Serravalle,,,,,,
8743787,3166645,ar,سيرافاللي,,,,,,
8743788,3166645,fa,سرواله,,,,,,
8743789,3166645,he,סראוואלה,,,,,,
8743790,3166645,ja,セラヴァッレ,,,,,,
8743791,3166645,ko,세라발레,,,,,,
8743792,3166645,la,Olnanum,,,,,,
8743793,3166645,lt,Seravalė,,,,,,
8743794,3166645,os,Серравалле,,,,,,
8743795,3166645,sr,Серавале,,,,,,
8743796,3166645,uk,Серравалле,,,,,,
8743797,3166645,vec,Seravałe,,,,,,
8743798,3166645,zh,塞拉瓦莱,,,,,,
13799900,3166645,unlc,SMSRV,,,,,,
1347860,3166650,,Serravalle,,1,,,,
2977802,3166650,link,https://en.wikipedia.org/wiki/Serravalle_%28San_Marino%29,,,,,,
5650930,3166650,,Castello di Serravalle,,,,,,
5701841,3166650,link,https://en.wikipedia.org/wiki/Serravalle_(San_Marino),,,,,,
11761557,3166650,fr,Serravalle,,,,,,
14909205,3166650,wkdt,Q185412,,,,,,
1348307,3168068,it,Repubblica di San Marino,,,,,,
1348308,3168068,,Most Serene Republic of San Marino,,,,,,
1555627,3168068,am,ሳን ማሪኖ,,,,,,
1555628,3168068,ar,سان مارينو,,,,,,
1555629,3168068,bg,Сан Марино,,,,,,
1555630,3168068,cs,San Marino,,,,,,
1555631,3168068,cy,San Marino,,,,,,
1555632,3168068,da,San Marino,,,,,,
1555633,3168068,de,San Marino,,,,,,
1555634,3168068,el,Άγιος Μαρίνος,,,,,,
1555635,3168068,en,San Marino,,,,,,
1555636,3168068,eo,San-Marino,,,,,,
1555637,3168068,es,San Marino,1,1,,,,
1555638,3168068,et,San Marino,,,,,,
1555639,3168068,fa,سان‌مارینو,1,,,,,
1555640,3168068,fi,San Marino,,,,,,
1555641,3168068,fr,Saint-Marin,,,,,,
1555642,3168068,ga,San Mairíne,,,,,,
1555643,3168068,he,סאן מארינו,,,,,,
1555644,3168068,hi,सैन मेरीनो,,,,,,
1555645,3168068,hr,San Marino,,,,,,
1555646,3168068,hu,San Marino,,,,,,
1555647,3168068,hy,Սան Մարինո,,,,,,
1555648,3168068,id,San Marino,,,,,,
1555649,3168068,is,San Marínó,,,,,,
1555650,3168068,it,San Marino,,1,,,,
1555651,3168068,ja,サンマリノ,,,,,,
1555652,3168068,ka,სან-მარინო,,,,,,
1555653,3168068,ko,산마리노,,,,,,
1555654,3168068,lt,San Marinas,,,,,,
1555655,3168068,lv,Sanmarīno,,,,,,
1555656,3168068,mk,Сан Марино,,,,,,
1555657,3168068,ms,San Marino,,,,,,
1555658,3168068,mt,San Marino,,,,,,
1555659,3168068,nb,San Marino,,,,,,
1555660,3168068,nl,San Marino,,,,,,
1555661,3168068,nn,San Marino,,,,,,
1555662,3168068,pl,San Marino,,,,,,
1555663,3168068,pt,San Marino,,,,,,
1555664,3168068,ro,San Marino,,,,,,
1555665,3168068,ru,Сан-Марино,,,,,,
1555666,3168068,sk,San Maríno,,,,,,
1555667,3168068,sl,San Marino,,,,,,
1555668,3168068,sr,Сан Марино,,,,,,
1555669,3168068,sv,San Marino,,,,,,
1555670,3168068,ta,சான் மெரினோ,1,,,,,
1555671,3168068,th,ซานมารีโน,,,,,,
1555672,3168068,tr,San Marino,,,,,,
