AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1086657,2243937,,Vallée de Siné,,,,,,
1086658,2243937,,Vallée de Maoure,,,,,,
1086659,2243937,,Vallée de Naouré,,,,,,
1086660,2243937,,Vallée de Mboune,,,,,,
1086661,2243937,,Vallée de Mboul,,,,,,
1086662,2243937,,Vallée de Naoudé,,,,,,
1086663,2243937,,Vallée de Mboung,,,,,,
4102570,2243937,,Vallée de Mboun,,,,,,
1086664,2243938,,Vallée du Loumbel,,,,,,
4102571,2243938,,Vallée du Loumbol,,,,,,
2186593,2243939,en,Ziguinchor,1,1,,,,
2943280,2243939,link,https://en.wikipedia.org/wiki/Ziguinchor_Region,,,,,,
5649661,2243939,,Région de Ziguinchor,,,,,,
8111044,2243939,fr,Basse Casamance,,,,1,,
9348786,2243939,de,Region Ziguinchor,,,,,,
9348787,2243939,en,Ziguinchor Region,,,,,,
9348788,2243939,es,Región de Ziguinchor,,,,,,
9348789,2243939,it,Regione di Ziguinchor,,,,,,
9348790,2243939,ar,زينغشور,,,,,,
9348791,2243939,bg,Зигиншор,,,,,,
9348792,2243939,ca,Regió de Ziguinchor,,,,,,
9348793,2243939,eu,Ziguinchor eskualdea,,,,,,
9348794,2243939,gl,Rexión de Ziguinchor,,,,,,
9348795,2243939,id,Region Ziguinchor,,,,,,
9348796,2243939,ja,ジガンショール州,,,,,,
9348797,2243939,ko,지긴쇼르 주,,,,,,
9348798,2243939,lt,Ziginšoro regionas,,,,,,
9348799,2243939,sco,Ziguinchor Region,,,,,,
9348800,2243939,wo,Diiwaanu Siggcoor,,,,,,
9348801,2243939,ru,Зигиншор,,,,,,
9348802,2243939,zh,济金绍尔区,,,,,,
11723192,2243939,fr,Ziguinchor,1,,,,,
15746223,2243939,wkdt,Q822692,,,,,,
1086665,2243940,,Zigiunchor,,,,,,
1086666,2243940,,Zighinkor,,,,,,
1086667,2243940,,Zinguinhor,,,,,,
1606190,2243940,de,Ziguinchor,,,,,,
1606191,2243940,es,Ziguinchor,,,,,,
1606192,2243940,fr,Ziguinchor,,,,,,
1606193,2243940,pl,Ziguinchor,,,,,,
1923497,2243940,en,Ziguinchor,,,,,,
1923498,2243940,ja,ジガンショール,,,,,,
1923499,2243940,pt,Ziguinchor,,,,,,
1923500,2243940,sv,Ziguinchor,,,,,,
2943281,2243940,link,https://en.wikipedia.org/wiki/Ziguinchor,,,,,,
3040767,2243940,ru,Зигиншор,,,,,,
4102572,2243940,,Ziguinchor,,,,,,
7481736,2243940,iata,ZIG,,,,,,
8296522,2243940,lt,Ziginšoras,,,,,,
8296523,2243940,eo,Ziginĉor,,,,,,
8296524,2243940,ko,지긴쇼르,,,,,,
8296525,2243940,zh,济金绍尔,,,,,,
11364333,2243940,ur,زیگینچور,,,,,,
11364334,2243940,vep,Ziginšor,,,,,,
13799928,2243940,unlc,SNZIG,,,,,,
1883839,2243942,icao,GOGG,,,,,,
1888769,2243942,iata,ZIG,,,,,,
5805413,2243942,link,https://en.wikipedia.org/wiki/Ziguinchor_Airport,,,,,,
11261515,2243942,en,Ziguinchor Airport,,,,,,
1086668,2243943,,Département de Ziguinchor,,,,,,
4102573,2243943,,Ziguinchor,,,,,,
8084107,2243943,link,https://en.wikipedia.org/wiki/Ziguinchor_Department,,,,,,
16079263,2243943,en,Ziguinchor,,1,,,,
1086669,2243946,,Youbé-Paté,,,,,,
4102574,2243946,,Youpé Paté,,,,,,
1086670,2243953,,Yoro Peulh,,,,,,
4102575,2243953,,Yoro Peul,,,,,,
1086671,2243956,,Keur Yoro,,,,,,
4102576,2243956,,Yoro,,,,,,
1086672,2243958,,Yoroforé,,,,,,
4102577,2243958,,Yonoféré,,,,,,
1086673,2243968,,Youkhoulène,,,,,,
4102578,2243968,,Yokoulène,,,,,,
1086674,2243969,,Diokoul,,,,,,
4102579,2243969,,Yokoul,,,,,,
1086675,2243971,,Ile d’Yof,,,,,,
4102580,2243971,,Île de Yof,,,,,,
7951237,2243971,,Île de Yoff,,,,,,
14950348,2243971,wkdt,Q34791299,,,,,,
1086676,2243972,,Baie d’Yof,,,,,,
4102581,2243972,,Baie de Yof,,,,,,
7033189,2243972,link,https://en.wikipedia.org/wiki/Baie_de_Yof,,,,,,
1086677,2243973,,Yoff,,,,,,
2943282,2243973,link,https://en.wikipedia.org/wiki/Yoff,,,,,,
4102582,2243973,,Yof,,,,,,
13799927,2243973,unlc,SNYDK,,,,,,
2417002,2243974,abbr,BA160,,,,,,
4102583,2243974,,Yof,,,,,,
1086678,2243975,,Youdi,,,,,,
4102584,2243975,,Yodi,,,,,,
1086679,2243977,,Yombel,,,,,,
4102585,2243977,,Yeumbeul,,,,,,
1086680,2243979,,Yervaye,,,,,,
1086681,2243979,,Yarouaye,,,,,,
4102586,2243979,,Yerwaye,,,,,,
1086683,2243985,,Ierma,,,,,,
2357069,2243985,,Verma,,,,,,
4102587,2243985,,Yerma,,,,,,
1086685,2243989,,Saré,,,,,,
4102588,2243989,,Yéra Dioula,,,,,,
4102589,2243989,,Saré Ngaye,,,,,,
2528466,2243990,,Yéo,,,,,,
4102590,2243990,,Yéa,,,,,,
1086686,2243991,,Yenne-Todé,,,,,,
1086687,2243991,,Yen Tode,,,,,,
4102591,2243991,,Yène Todé,,,,,,
1086688,2243992,,Yemma,,,,,,
4102592,2243992,,Yénima,,,,,,
1086689,2243993,,Yen,,,,,,
1086690,2243993,,Yenne-sur-Mer,,,,,,
1086691,2243993,,Yène,,,,,,
4102593,2243993,,Yène Kaw,,,,,,
1086692,2243994,,Yenndounane,,,,,,
4102594,2243994,,Yendounane,,,,,,
1086693,2243995,,Yenedane,,,,,,
4102595,2243995,,Yendam,,,,,,
2357070,2244013,,Yassiré Lake,,,,,,
4102596,2244013,,Yassiné Laké,,,,,,
1086694,2244014,,Forêt Classée de Yacine,,,,,,
4102597,2244014,,Forêt Classée de Yassine,,,,,,
2357071,2244018,,Yarimalé,,,,,,
4102598,2244018,,Yarimalo,,,,,,
2528467,2244029,,Yaoualdé Sintiou,,,,,,
4102599,2244029,,Yaoualdé Sinntiou,,,,,,
1086695,2244031,,Yaoualdé Sinthiou,,,,,,
1086696,2244031,,Yaoualdé Sinntiou,,,,,,
4102600,2244031,,Yaoualdé,,,,,,
1086697,2244033,,Tiangol Loumbinol,,,,,,
4102601,2244033,,Tiangol Yane Mérou,,,,,,
1086698,2244037,,Gaman Sek,,,,,,
4102602,2244037,,Yamane Sek,,,,,,
1086700,2244039,,Yamane Sogue,,,,,,
2528468,2244039,,Yamane Sogg,,,,,,
4102603,2244039,,Yamane,,,,,,
1086701,2244043,,Yalalble,,,,,,
4102604,2244043,,Yalalbé,,,,,,
8003563,2244043,,Diolol Yalalbé,,,,,,
1086702,2244050,,Yafa Roubo,,,,,,
4102605,2244050,,Yafa Rouba,,,,,,
1086703,2244052,,Yadourou,,,,,,
4102606,2244052,,Yadiourou,,,,,,
1086704,2244054,,Yad,,,,,,
1086705,2244054,,Yade,,,,,,
4102607,2244054,,Yade Peul,,,,,,
8084450,2244055,link,https://en.wikipedia.org/wiki/Yaboyabo,,,,,,
8106017,2244055,,Yaboyabo,,,,,,
15726212,2244055,wkdt,Q8046388,,,,,,
1086706,2244056,,Yabatine,,,,,,
2528469,2244056,,Yaboutil Diop,,,,,,
4102608,2244056,,Yatbil Diop,,,,,,
2528470,2244058,,Wouroli,,,,,,
4102609,2244058,,Gué de Wouroli,,,,,,
2528471,2244063,,Wenndia,,,,,,
4102610,2244063,,Wondio,,,,,,
1086707,2244066,,Ouassadou,,,,,,
4102611,2244066,,Wassadougou,,,,,,
1086708,2244068,,Ouassadou,,,,,,
4102612,2244068,,Wassadou,,,,,,
1086709,2244070,,Ouakal,,,,,,
1086710,2244070,,Warhal,,,,,,
4102613,2244070,,Wakhal,,,,,,
2357072,2244074,,Wanbo Mare,,,,,,
4102614,2244074,,Wambo Mare,,,,,,
2211200,2244075,,Wanba,,,,,,
4102615,2244075,,Wamba,,,,,,
2528472,2244078,,Walankinndi,,,,,,
4102616,2244078,,Wallan Kindi,,,,,,
1086711,2244079,,Ouack Oungouna,,,,,,
1086712,2244079,,Quack Oumgouna,,,,,,
1086713,2244079,,Ouak Ngouna,,,,,,
1086714,2244079,,Wack Ngouna,,,,,,
4102617,2244079,,Wak-Ngouna,,,,,,
15238396,2244082,wkdt,Q31267772,,,,,,
15923415,2244082,,Wakali Guindé,,,,,,
2357073,2244084,,Wadanba,,,,,,
4102618,2244084,,Wadamba,,,,,,
2211201,2244091,,Vinntou Tilé,,,,,,
4102619,2244091,,Vèndou Tilé,,,,,,
2211202,2244092,,Vinndou Lao,,,,,,
4102620,2244092,,Vèndou Lao,,,,,,
1086715,2244094,,Tiangol Winndé Dioye,,,,,,
4102621,2244094,,Tiangol Vinndé Diohi,,,,,,
2357074,2244095,,Tiângol Vinndé Diohi,,,,,,
4102622,2244095,,Tiângol Vindé Diohi,,,,,,
1086716,2244097,,Vindéboki,,,,,,
2528473,2244097,,Vinndeboki,,,,,,
4102623,2244097,,Vèndou Boki,,,,,,
2528474,2244098,,Vinndé Ajouka,,,,,,
4102624,2244098,,Vindé Djouma,,,,,,
1086717,2244099,,Bosséabé,,,,,,
1086718,2244099,,Windou Bosseabe,,,,,,
1086719,2244099,,Vindou-Bosseaba,,,,,,
6918447,2244099,,Vindou-Bosséabé,,,,,,
2211203,2244101,,Vindé Pélel,,,,,,
4102625,2244101,,Vèndé Pélel,,,,,,
2211204,2244102,,Vindé Mahondé,,,,,,
4102626,2244102,,Vèndé Mahondé,,,,,,
2211205,2244103,,Vindé Boki,,,,,,
4102627,2244103,,Vèndé Boki,,,,,,
1086720,2244108,,Vilanéne,,,,,,
4102628,2244108,,Vilanèm,,,,,,
2528475,2244110,,Vèndou Tiengoli,,,,,,
4102629,2244110,,Vidou Tiengôli,,,,,,
1086721,2244112,pt,Cabo Verde,,,,,,
1086722,2244112,en,Cape Verde,,,,,,
1086723,2244112,,Kap Verde,,,,,,
4102630,2244112,,Cap Vert,,,,,,
5760980,2244112,link,https://en.wikipedia.org/wiki/Cap-Vert,,,,,,
2528476,2244117,,Vénouamé,,,,,,
4102631,2244117,,Vénouané,,,,,,
1086724,2244119,,Colomba,,,,,,
1086725,2244119,,Kaléma,,,,,,
1086726,2244119,,Kaléma Marigot,,,,,,
4102632,2244119,,Véniaké,,,,,,
1086727,2244122,,Wendou Seno,,,,,,
2528477,2244122,,Vèndou Sénou,,,,,,
4102633,2244122,,Vèndou Séno,,,,,,
2528478,2244132,,Vèndou Moutchétéki,,,,,,
4102634,2244132,,Vèndou Mourtéki,,,,,,
1086729,2244133,,Oueydou-Makam,,,,,,
1086730,2244133,,Vendou Maka,,,,,,
1086731,2244133,,Wendou Maka,,,,,,
1086732,2244133,,Venndou Makam,,,,,,
4102635,2244133,,Vèndou Makam,,,,,,
2528479,2244134,,Vèndou Koumba Har,,,,,,
4102636,2244134,,Vèndou Koumba Khar,,,,,,
1086733,2244139,,Tiangol Venndou Gaoudi,,,,,,
4102637,2244139,,Tiângol Véndou Gaoudi,,,,,,
1086734,2244143,,Venndou Boulbi,,,,,,
4102638,2244143,,Vèndou Boulbi,,,,,,
2528480,2244148,,Vèndou Bam,,,,,,
4102639,2244148,,Vèndou Mbam,,,,,,
1086735,2244151,,Wendou Delo,,,,,,
