AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
15285634,49530,wkdt,Q34788936,,,,,,
15914878,49530,,Ziva Zecundru,,,,,,
6235,49532,,Zhehàn,,,,,,
3644776,49532,,Monte Zhehan,,,,,,
3644777,49532,,Bur Zehàn,,,,,,
6236,49535,,Zbuel,,,,,,
3644778,49535,,Zauel,,,,,,
15402871,49536,wkdt,Q31572528,,,,,,
15914879,49536,,Zamur,,,,,,
6912633,49537,so,Yuusufow,,,,,,
6237,49538,,Pointa Iunda,,,,,,
2499265,49538,,Geeska Yuunda,,,,,,
2499266,49538,,Yunda,,,,,,
3644779,49538,so,Yuunda,,,,,,
3644780,49539,so,Yuuga,,,,,,
6637138,49540,so,Yuubka,,,,,,
6706471,49541,so,Yusuf Daar,,,,,,
6239,49542,,Joofle,,,,,,
6240,49542,,Yufleh,,,,,,
6241,49542,,Jōflé,,,,,,
3644781,49542,,Yufle,,,,,,
6912634,49542,so,Yufle,,,,,,
15259624,49542,wkdt,Q8060314,,,,,,
6912635,49543,so,Yufle,,,,,,
6242,49544,,Las Juhurun,,,,,,
6243,49544,,Laz Juhurun,,,,,,
3644782,49544,,Yucurun,,,,,,
6991623,49544,so,Yucurun,,,,,,
3644783,49546,so,Yubluluc,,,,,,
6244,49547,,Yubeh,,,,,,
3644784,49547,,Yube,,,,,,
6912636,49547,so,Yube,,,,,,
13636169,49547,link,https://en.wikipedia.org/wiki/Yubbe,,,,,,
13636170,49547,,Yobe,,,,,,
13636171,49547,,Yubbe Tug,,,,,,
6245,49549,,Yusale,,,,,,
3644785,49549,,Yubale,,,,,,
3644786,49549,,Yubaleh,,,,,,
6912637,49550,so,Yowyaale,,,,,,
6912638,49552,so,Yoos,,,,,,
6247,49553,,Jura,,,,,,
3644787,49553,,Gal Yoora,,,,,,
6912639,49553,so,Gal Yoora,,,,,,
6248,49556,,Jōntoy,,,,,,
6249,49556,,Yoontow,,,,,,
6250,49556,,Ionti,,,,,,
6252,49556,,Joontoy,,,,,,
6253,49556,,Ionte,,,,,,
3644788,49556,,Yoontoy,,,,,,
6912640,49557,so,Yoonis Dheere,,,,,,
15341265,49557,wkdt,Q31572577,,,,,,
6706472,49558,so,Yoolax,,,,,,
6706473,49559,so,Yooco Yuub,,,,,,
6991624,49560,so,Yooco Dhabardheer,,,,,,
3644789,49561,so,Yooco,,,,,,
6254,49562,,Uadi Joho,,,,,,
3644790,49562,so,Yooco,,,,,,
3644791,49563,so,Yooco,,,,,,
6255,49564,,Bur Joho,,,,,,
3644792,49564,so,Yooco,,,,,,
6256,49566,,Isola Iundu Iundu,,,,,,
