AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
11020892,3375272,en,Warakabra Rapids,,,,,,
1394247,3380748,,Saut Parabisongou,,,,,,
1394248,3380748,,Penabisoengoe-val,,,,,,
1394249,3380748,,Penabisoengoe Vallen,,,,,,
1394250,3380748,,Saut Panabisongou,,,,,,
1394251,3380748,,Val Panabisoengoe,,,,,,
4411245,3380748,,Panabi Soungou Soula,,,,,,
11021274,3380748,fr,Panabi Langa Soula,,,,,,
1395252,3382643,,De Commewijnekreek,,,,,,
1395253,3382643,,Kleine Commewijne Kreek,,,,,,
1395254,3382643,,Commewijne Creek,,,,,,
1395255,3382643,,Klein Commewijne Rivier,,,,,,
1395256,3382643,,Commewijne Kreek,,,,,,
1395257,3382643,,Commewijne River,,,,,,
4411761,3382643,,Kleine Commewijne Rivier,,,,,,
10848030,3382646,nl,Zoutoa Kreek,,,,,,
1395258,3382647,,Vliet Zorg,,,,,,
4411762,3382647,,Zorgvliet,,,,,,
8109654,3382648,,Zorg en Hoop,,,,,,
5887322,3382649,iata,ORG,,,,,,
5887721,3382649,icao,SMZO,,,,,,
5892052,3382649,,Zorg en Hoop,,,,,,
5892053,3382649,en,Zorg en Hoop Airport,1,,,,,
7191234,3382649,link,https://en.wikipedia.org/wiki/Zorg_en_Hoop_Airport,,,,,,
13799968,3382649,unlc,SRORG,,,,,,
1395259,3382650,,Kanneweri Kreek,,,,,,
1395260,3382650,,Zonnevisch-Kreek,,,,,,
4411763,3382650,,Zonnevis Kreek,,,,,,
1395261,3382655,,Doewatta,,,,,,
4411764,3382655,,Zoewatta,,,,,,
7135962,3382655,link,https://en.wikipedia.org/wiki/Zoewatta,,,,,,
15100370,3382655,wkdt,Q576206,,,,,,
10848031,3382657,nl,Zoelen,,,,,,
1395262,3382659,,Leiding 17,,,,,,
1395263,3382659,,Leiding 17a,,,,,,
4411765,3382659,,Leiding Zeventien,,,,,,
1395264,3382661,,Leiding 7a,,,,,,
4411766,3382661,,Leiding Zeven a,,,,,,
1395265,3382662,,Leiding 7,,,,,,
4411767,3382662,,Leiding Zeven,,,,,,
1395266,3382663,,Leiding 6,,,,,,
4411768,3382663,,Leiding Zes,,,,,,
1395267,3382665,,Zaou Tabriki,,,,,,
4411769,3382665,,Zaoe Tabriki,,,,,,
15763275,3382665,wkdt,Q34788704,,,,,,
10935913,3382666,nl,Zand Kreek,,,,,,
1395268,3382669,,Zanderij,,,,,,
4411770,3382669,,Zanderij II,,,,,,
15910868,3382669,link,https://en.wikipedia.org/wiki/Zanderij,,,,,,
1395269,3382670,,Zanderij I,,,,,,
1395270,3382670,,Zandery,,,,,,
4411771,3382670,,Zanderij,,,,,,
6903683,3382670,link,https://en.wikipedia.org/wiki/Zanderij,,,,,,
8103510,3382670,iata,PBM,,,,,,
11800998,3382670,en,Zanderij,,,,,,
13799975,3382670,unlc,SRZDJ,,,,,,
10935914,3382671,nl,Zaja Kreek,,,,,,
1395271,3382672,,Woksteling Jacobs Eiland,,,,,,
4411772,3382672,,Worsteling Jacobs Eiland,,,,,,
15098786,3382672,wkdt,Q34787545,,,,,,
1395272,3382673,,Governor Light’s Cataract,,,,,,
1395273,3382673,,Wonotobo Falls,,,,,,
1395274,3382673,,Great Cataracts,,,,,,
1395275,3382673,,Watervallen van Wonotobbe,,,,,,
1395276,3382673,,Governor Light’s Falls,,,,,,
1395277,3382673,,Wonatabo Fall,,,,,,
1395278,3382673,,Governor Lights Fall,,,,,,
1395279,3382673,,Wonatobo Falls,,,,,,
1395280,3382673,,Mavari Wonotopo,,,,,,
1395281,3382673,,Wonotobo Fall,,,,,,
1395282,3382673,,Wanotobo,,,,,,
1395283,3382673,,Wonotobo Cataract,,,,,,
4411773,3382673,,Wonotobo Vallen,,,,,,
1395284,3382674,,Wanosoro,,,,,,
