AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
8661439,226055,,Urungo,,,,,,
8661440,226055,,Urongo,,,,,,
150787,226059,,Unyama,,,,,,
7106627,226059,,River Unyama,,,,,,
4220204,227146,,Okosho,,,,,,
4220253,227335,,Nyawa,,,,,,
151253,227823,,River Nyimur,,,,,,
151254,227823,,Limur,,,,,,
151255,227823,,Namur,,,,,,
151256,227823,,Nyimur,,,,,,
151257,227823,,River Nyimwur,,,,,,
4220324,227823,,Nimur,,,,,,
151466,229068,,Maruto,,,,,,
4220487,229068,,Moruto,,,,,,
151522,229327,,Patuko,,,,,,
4220535,229327,,Matoko,,,,,,
7106641,229327,,Jabal Matoko,,,,,,
151645,230022,,Lonyili,,,,,,
151646,230022,,Lanyili,,,,,,
4220683,230167,,Lipan,,,,,,
151719,230240,,Lachilia,,,,,,
8617494,232693,,Kakal,,,,,,
4221505,235432,,Agorro Mountains,,,,,,
8517419,235432,,Agoro Mountains,,,,,,
152713,235450,,Aggu,,,,,,
152714,235450,,Agu,,,,,,
8413174,341197,,Cantiere,,,,,,
8413175,341197,,Kantiere,,,,,,
256719,363414,,Gharb al Istiwaiyya,,,,,,
256720,363414,,Province of West Equatoria,,,,,,
256721,363414,,Western Equatoria,,,,,,
4699379,363414,,Al Mudīrīyah al Istiwā’īyah al Gharbīyah,,,,,,
256741,363437,,Khor Zumbi,,,,,,
4699391,363437,,Khawr Zumbi,,,,,,
256753,363453,,Khor Zoggo,,,,,,
3259917,363453,,Khawr Zoggo,,,,,,
256758,363470,,Khor Zengu,,,,,,
4699402,363470,,Khawr Zengu,,,,,,
256761,363478,,Khor Zazi,,,,,,
3259918,363478,,Khawr Zazi,,,,,,
256763,363480,,Khor Zeini,,,,,,
3259920,363480,,Khawr Zaynī,,,,,,
256764,363481,,Jebel Zeini,,,,,,
3259921,363481,,Jabal Zaynī,,,,,,
256785,363503,,Khor Ngol,,,,,,
256786,363503,,Raqaba ez Zarqa,,,,,,
256787,363503,,Gnol,,,,,,
3259922,363503,,Raqabat az Zarqā’,,,,,,
3259923,363503,,Ngol,,,,,,
256797,363515,,Meshra‘ ez Zerāf,,,,,,
4699432,363515,,Mashra‘ az Zarāf,,,,,,
6999758,363515,,Meshra‘ Zeraf,,,,,,
256799,363517,,Bahr ez Zeraf,,,,,,
4699434,363517,,Baḩr az Zarāf,,,,,,
6925827,363517,en,Bahr ez Zeraf,,,,,,
6925829,363517,,Bahr El Zeraf,,,,,,
7488620,363517,link,https://en.wikipedia.org/wiki/Bahr_el_Zeraf,,,,,,
256801,363522,,Khor Zangu,,,,,,
3259925,363522,,Khawr Zangu,,,,,,
