AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1133213,2410722,,Pico Vila Verde,,,,,,
5436621,2410722,,Vilaverde,,,,,,
1133214,2410731,,Rio Umbugu,,,,,,
5436622,2410731,,Rio Umbugo,,,,,,
2944263,2410737,link,https://en.wikipedia.org/wiki/Trindade_%28S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe%29,,,,,,
3058382,2410737,link,https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%B8%D0%BD%D0%B8%D0%B4%D0%B0%D0%B4_%28%D0%A1%D0%B0%D0%BD-%D0%A2%D0%BE%D0%BC%D0%B5_%D0%B8_%D0%9F%D1%80%D0%B8%D0%BD%D1%81%D0%B8%D0%BF%D0%B8%29,,,,,,
5436623,2410737,,Trindade,,,,,,
13800003,2410737,unlc,STTRI,,,,,,
1133215,2410738,,Traz os Montes,,,,,,
5436624,2410738,,Trás os Montes,,,,,,
1133216,2410740,,Ilheos Dois Irmãos,,,,,,
1133217,2410740,,The Brothers,,,,,,
5436625,2410740,,Pedras Tinhosas,,,,,,
7549189,2410740,link,https://en.wikipedia.org/wiki/Pedras_Tinhosas,,,,,,
1133218,2410741,,Little Brother,,,,,,
1133219,2410741,,Hermano Chico,,,,,,
1133220,2410741,,Irmão Pequeno,,,,,,
4314600,2410741,,Tinhosa Pequena,,,,,,
6889789,2410741,link,https://en.wikipedia.org/wiki/Tinhosa_Pequena,,,,,,
15797535,2410741,wkdt,Q944832,,,,,,
1133221,2410742,,Great Brother,,,,,,
1133222,2410742,,Irmão Grande,,,,,,
1133223,2410742,,Hermano Grande,,,,,,
4314601,2410742,,Tinhosa Grande,,,,,,
6889586,2410742,link,https://en.wikipedia.org/wiki/Tinhosa_Grande,,,,,,
1133224,2410750,,Morro Sintra,,,,,,
5436626,2410750,,Sintra,,,,,,
15394012,2410750,wkdt,Q31587313,,,,,,
1133225,2410753,,Seven Stones,,,,,,
5436627,2410753,,Sete Pedras,,,,,,
15496723,2410755,wkdt,Q31587332,,,,,,
15959486,2410755,,Sela do Camelo,,,,,,
1133226,2410758,pt,República Democrática de São Tomé e Príncipe,,,,,,
1133227,2410758,,Province of Sao Tome and Principe,,,,,,
1133228,2410758,,Saint Thomas and Prince,,,,,,
1133229,2410758,,Colónia de São Tomé e Príncipe,,,,,,
1133230,2410758,,São Thomé and Principe,,,,,,
1133231,2410758,,Saint Thomas and Principe,,,,,,
1133232,2410758,,Província de São Tomé e Príncipe,,,,,,
1555311,2410758,af,Sao Tome en Principe,,,,,,
1555312,2410758,am,ሳኦ ቶሜ እና ፕሪንሲፔ,,,,,,
1555313,2410758,ar,سان تومي وبرينسيبي,,,,,,
1555314,2410758,bg,Сао Томе и Принципе,,,,,,
1555315,2410758,cs,Svatý Tomáš,,,,,,
1555316,2410758,cy,Sao Tome a Principe,,,,,,
1555317,2410758,da,São Tomé og Príncipe,,,,,,
1555318,2410758,de,São Tomé und Príncipe,,,,,,
1555319,2410758,el,Σάο Τομέ και Πρίνσιπε,,,,,,
1555320,2410758,en,Sao Tome and Principe,,,,,,
1555321,2410758,eo,Sao-Tomeo kaj Principeo,,,,,,
1555322,2410758,es,Santo Tomé y Príncipe,1,1,,,,
1555323,2410758,et,Sao Tomé ja Principe,,,,,,
1555324,2410758,eu,Sao Tomé eta Principe,,,,,,
1555325,2410758,fa,سائوتومه و پرینسیپه,1,,,,,
1555326,2410758,fi,São Tomé ja Príncipe,1,,,,,
1555327,2410758,fo,Sao Tome og Prinsipi,,,,,,
1555328,2410758,fr,Sao Tomé-et-Principe,,,,,,
1555329,2410758,ga,Sao Tome agus Principe,,,,,,
1555330,2410758,he,סאו טומה ופרינסיפה,,,,,,
1555331,2410758,hi,साउ-तोम-प्रिंसिप,,,,,,
1555332,2410758,hr,Sveti Toma i Prinsipe,,,,,,
1555333,2410758,hu,Sao Tomé és Príncipe,1,,,,,
1555334,2410758,hy,Սան-Թոմե-Փրինսիպի,,,,,,
1555335,2410758,id,Sao Tome dan Principe,,,,,,
1555336,2410758,is,Saó Tóme og Prinsípe,,,,,,
1555337,2410758,it,São Tomé e Príncipe,1,,,,,
1555338,2410758,ja,サントメ・プリンシペ,,,,,,
1555339,2410758,ka,საო-ტომე და პრინსიპი,,,,,,
1555340,2410758,ko,상투메 프린시페,1,,,,,
1555341,2410758,lt,San Tomė ir Principė,,,,,,
1555342,2410758,lv,Santome un Prinsipi,,,,,,
1555343,2410758,mk,Сао Томе и Принчипе,1,,,,,
1555344,2410758,ms,Sao Tome dan Principe,,,,,,
1555345,2410758,mt,Sao Tome and Principe,,,,,,
1555346,2410758,nb,São Tomé og Príncipe,1,,,,,
1555347,2410758,nl,Sao Tomé en Principe,,,,,,
1555348,2410758,nn,Sao Tome og Principe,,,,,,
1555349,2410758,pl,Wyspy Świętego Tomasza i Książęca,,,,,,
1555350,2410758,pt,São Tomé e Príncipe,,,,,,
1555351,2410758,ro,Sao Tome și Principe,1,,,,,
1555352,2410758,ru,Сан-Томе и Принсипи,,,,,,
1555353,2410758,sk,Svätý Tomáš a Princove ostrovy,,,,,,
1555354,2410758,sl,Sao Tome in Principe,,,,,,
1555355,2410758,sq,Sao Tome e Prinsipe,,,,,,
1555356,2410758,sr,Сао Томе и Принципи,,,,,,
1555357,2410758,sv,São Tomé och Príncipe,,,,,,
1555358,2410758,sw,Sao Tome na Principe,,,,,,
1555359,2410758,th,เซาโตเมและปรินซิเป,,,,,,
1555360,2410758,tr,Sao Tome ve Principe,,,,,,
1555361,2410758,uk,Сан-Томе і Прінсіпі,,,,,,
1555362,2410758,vi,Xao Tô-mê và Prin-xi-pê,,,,,,
1555363,2410758,zh,圣多美和普林西比,,,,,,
1979656,2410758,fr,São Tomé-et-Principe,,,,,,
1979657,2410758,en,São Tomé and Príncipe,1,1,,,,
1979658,2410758,af,São Tomé en Principe,,,,,,
1979659,2410758,am,ሳን ቶሜ እና ፕሪንሲፔ,,,,,,
1979660,2410758,an,San Tomé y Prenzipe,,,,,,
1979661,2410758,ar,ساو تومي وبرينسيبي,,,,,,
1979662,2410758,ast,Santu Tomás y Príncipe,,,,,,
1979663,2410758,bg,Сао Томе и Принсипи,,,,,,
1979664,2410758,bs,Sao Tome i Principe,,,,,,
1979665,2410758,ca,São Tomé i Príncipe,,,,,,
