AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
12828350,3582789,link,"https://en.wikipedia.org/wiki/Zaragoza,_La_Libertad",,,,,,
12828351,3582789,,Zaragoza,,,,,,
13144883,3582789,,Municipio de Zaragoza,,,,,,
7189570,3582790,link,https://en.wikipedia.org/wiki/Zaragoza%2C_La_Libertad,,,,,,
7323979,3582790,,Zaragoza,,,,,,
13800072,3582790,unlc,SVZAR,,,,,,
1457317,3582792,,Caserío Zapúa,,,,,,
4344876,3582792,,Zapúa,,,,,,
1457318,3582793,,Hacienda Zapotitán,,,,,,
4344877,3582793,,Zapotitán,,,,,,
1457319,3582795,,Isla Zamorán,,,,,,
4344878,3582795,,Isla Zamorancito,,,,,,
15389928,3582795,wkdt,Q31935249,,,,,,
1457320,3582796,,El Zamorán,,,,,,
1457321,3582796,,Zamorano,,,,,,
4344879,3582796,,Zamorán,,,,,,
1457322,3582797,,Hacienda Zanoran,,,,,,
1457323,3582797,,El Zamorán,,,,,,
1457324,3582797,,Hacienda Zamorán,,,,,,
1457325,3582797,,Salinas El Zamorancito,,,,,,
1457326,3582797,,Samorán,,,,,,
1457327,3582797,,Salinas El Zamorán,,,,,,
4344880,3582797,,Zamorán,,,,,,
1457328,3582799,,La Zambombera,,,,,,
1457329,3582799,,La Sambombera,,,,,,
4344881,3582799,,Zambombera,,,,,,
1457330,3582800,,Río de la Preza,,,,,,
1457331,3582800,,Quebrada de la Presa,,,,,,
1457332,3582800,,Quebrada Zacuapa,,,,,,
4344882,3582800,,Río Zacuapa,,,,,,
1457333,3582801,,Isla Punta Zacate,,,,,,
4344883,3582801,,Isla Zacatillo,,,,,,
15807000,3582801,wkdt,Q2895032,,,,,,
1457334,3582802,,Punta Sacatepeque,,,,,,
4344884,3582802,,Punta Zacatepeque,,,,,,
15302993,3582802,wkdt,Q31937709,,,,,,
12828352,3582803,link,https://en.wikipedia.org/wiki/Zacatecoluca%2C_La_Pa%E2%80%A6,,,,,,
12828353,3582803,,Zacatecoluca,,,,,,
13144884,3582803,,Municipio de Zacatecoluca,,,,,,
1457335,3582805,,Zacateccoluca,,,,,,
2986282,3582805,link,https://en.wikipedia.org/wiki/Zacatecoluca%2C_La_Paz,,,,,,
4344885,3582805,,Zacatecoluca,,,,,,
13800071,3582805,unlc,SVZAC,,,,,,
1457336,3582806,,El Zacatal,,,,,,
4344886,3582806,,Zacatal,,,,,,
1457337,3582808,,Cantón Sacamil,,,,,,
1457338,3582808,,Sacamil,,,,,,
4344887,3582808,,Zacamil,,,,,,
1457339,3582809,,El Zacamil,,,,,,
4344888,3582809,,Zacamil,,,,,,
1457340,3582810,,El Yurique,,,,,,
4344889,3582810,,Yurique,,,,,,
12828354,3582811,link,https://en.wikipedia.org/wiki/Yucuaiqu%C3%ADn,,,,,,
12828355,3582811,,Yucuaiquín,,,,,,
13144885,3582811,,Municipio de Yucuaiquín,,,,,,
7198061,3582812,link,https://en.wikipedia.org/wiki/Yucuaiqu%C3%ADn,,,,,,
7323980,3582812,,Yucuaiquín,,,,,,
1457341,3582813,,Río Gualindo,,,,,,
1457342,3582813,,Río Yububa,,,,,,
4344890,3582813,,Río Yubulba,,,,,,
12828356,3582816,link,https://en.wikipedia.org/wiki/Yoloaiqu%C3%ADn,,,,,,
12828357,3582816,,Yoloaiquín,,,,,,
13144886,3582816,,Municipio de Yoloaiquín,,,,,,
7541842,3582817,link,https://en.wikipedia.org/wiki/Yoloaiqu%C3%ADn,,,,,,
7566965,3582817,,Yoloaiquín,,,,,,
12828358,3582818,link,https://en.wikipedia.org/wiki/Yayantique,,,,,,
12828359,3582818,,Yayantique,,,,,,
13144887,3582818,,Municipio de Yayantique,,,,,,
1457343,3582819,,Cerro de Yayantique,,,,,,
4344891,3582819,,Cerro Yayantique,,,,,,
15529732,3582819,wkdt,Q31588135,,,,,,
7501401,3582820,link,https://en.wikipedia.org/wiki/Yayantique,,,,,,
7566966,3582820,,Yayantique,,,,,,
12828360,3582823,link,https://en.wikipedia.org/wiki/Yamabal,,,,,,
12828361,3582823,,Yamabal,,,,,,
13144888,3582823,,Municipio de Yamabal,,,,,,
7550948,3582824,link,https://en.wikipedia.org/wiki/Yamabal,,,,,,
7566967,3582824,,Yamabal,,,,,,
15650415,3582826,wkdt,Q31588151,,,,,,
15970034,3582826,,Cerro Volcancillo,,,,,,
1457344,3582827,,El Volcancillo,,,,,,
4344892,3582827,,Volcancillo,,,,,,
1457345,3582828,,El Volcancillo,,,,,,
4344893,3582828,,Volcancillo,,,,,,
1457346,3582829,,Cantón Volcancillo,,,,,,
1457347,3582829,,Volcancillo,,,,,,
4344894,3582829,,El Volcancillo,,,,,,
1457348,3582830,,Valle Virginia,,,,,,
4344895,3582830,,Virginia,,,,,,
1457349,3582832,,Río Comapa,,,,,,
4344896,3582832,,Río Viejo,,,,,,
12828362,3582834,link,"https://en.wikipedia.org/wiki/Victoria,_Caba%C3%B1as",,,,,,
12828363,3582834,,Victoria,,,,,,
13144889,3582834,,Municipio de Victoria,,,,,,
1457350,3582835,,Chocoaique,,,,,,
1457351,3582835,,Villa Victoria,,,,,,
1457352,3582835,,Villa Victorias,,,,,,
4344897,3582835,,Victoria,,,,,,
7043651,3582835,link,https://en.wikipedia.org/wiki/Victoria%2C_Caba%C3%B1as,,,,,,
1457353,3582836,,Cantón Victoria,,,,,,
1457354,3582836,,Las Victorias,,,,,,
4344898,3582836,,Victoria,,,,,,
15445885,3582838,wkdt,Q31454525,,,,,,
15970035,3582838,,Cerro Verde,,,,,,
12828364,3582839,link,"https://en.wikipedia.org/wiki/Verapaz,_El_Salvador",,,,,,
12828365,3582839,,Verapaz,,,,,,
13144890,3582839,,Municipio de Verapaz,,,,,,
2986283,3582840,link,https://en.wikipedia.org/wiki/Verapaz%2C_El_Salvador,,,,,,
4344899,3582840,,Verapaz,,,,,,
1457355,3582841,,Caserío Veracruz,,,,,,
4344900,3582841,,Veracruz,,,,,,
1457356,3582843,,Valle Vera Cruz,,,,,,
1457357,3582843,,Valle de Vera Cruz,,,,,,
4344901,3582843,,Veracruz,,,,,,
1457358,3582847,,Caserío Venecia,,,,,,
1457359,3582847,,Venecia,,,,,,
4344902,3582847,,Finca Venecia,,,,,,
1457360,3582848,,Finca Venecia,,,,,,
4344903,3582848,,Venecia,,,,,,
1457361,3582849,,Río Ocote Manchón,,,,,,
1457362,3582849,,Río del Agua Caliente,,,,,,
4344904,3582849,,Río Venado,,,,,,
1457363,3582854,,Caserío Valle Nuevo,,,,,,
4344905,3582854,,Valle Nuevo,,,,,,
1457364,3582858,,Caserío Valle Nuevo,,,,,,
4344906,3582858,,Valle Nuevo,,,,,,
1457365,3582861,,Cantón Valle Nuevo,,,,,,
4344907,3582861,,Valle Nuevo,,,,,,
1457366,3582865,,Valle La Aguja,,,,,,
4344908,3582865,,Valle Jocotillo,,,,,,
1457367,3582866,,El Valle Grande,,,,,,
4344909,3582866,,Valle Grande,,,,,,
1457368,3582867,,El Portzuelo,,,,,,
4344910,3582867,,Valle El Portezuelo,,,,,,
1457369,3582868,,Caserío Aceituno,,,,,,
1457370,3582868,,Aceituno,,,,,,
4344911,3582868,,Valle El Aceituno,,,,,,
1457371,3582869,,Mascarón,,,,,,
1457372,3582869,,Valle Mascarón,,,,,,
4344912,3582869,,Valle del Mascarón,,,,,,
1457373,3582870,,Valle Jesus,,,,,,
4344913,3582870,,Valle de Jesús,,,,,,
1457374,3582871,,Campana,,,,,,
4344914,3582871,,Valle Campana,,,,,,
1457375,3582874,,Caserío Valeriana,,,,,,
1457376,3582874,,Valeriana,,,,,,
4344915,3582874,,Valeriano,,,,,,
1457377,3582877,,Vado Viejo,,,,,,
4344916,3582877,,Vado Nuevo,,,,,,
1457378,3582879,,Volcán Usulután,,,,,,
4344917,3582879,,Volcán de Usulután,,,,,,
5759130,3582879,link,https://en.wikipedia.org/wiki/Usulut%C3%A1n_%28volcano%29,,,,,,
12828366,3582880,link,https://en.wikipedia.org/wiki/Usulut%C3%A1n,,,,,,
12828367,3582880,,Usulután,,,,,,
13144891,3582880,,Municipio de Usulután,,,,,,
2184472,3582882,,Usulután,1,1,,,,
5650257,3582882,,Departamento de Usulután,,,,,,
5701501,3582882,link,https://en.wikipedia.org/wiki/Usulut%C3%A1n_Department,,,,,,
11723187,3582882,fr,Usulután,,,,,,
2986284,3582883,link,https://en.wikipedia.org/wiki/Usulut%C3%A1n,,,,,,
3043372,3582883,ru,Усулутане,,,,,,
4344918,3582883,,Usulután,,,,,,
11554095,3582883,ca,Usulutan,,,,,,
11554096,3582883,el,Ουσουλουτάν,,,,,,
11554097,3582883,he,אוסולוטאן,,,,,,
11554098,3582883,hi,उसुलुतान,,,,,,
11554099,3582883,ko,우술루탄,,,,,,
11554100,3582883,lt,Usulutanas,,,,,,
11554101,3582883,nah,Ocelotlan,,,,,,
11554102,3582883,sr,Усулутан,,,,,,
11554103,3582883,ur,اوسولوتآن,,,,,,
11554104,3582883,ru,Усулутан,,,,,,
11554105,3582883,zh,烏蘇盧坦,,,,,,
13800070,3582883,unlc,SVUSU,,,,,,
1457379,3582886,,Río Guajiniquil,,,,,,
1457380,3582886,,Rio Quajiniquil,,,,,,
1457381,3582886,,Río Pescado,,,,,,
4344919,3582886,,Río Unire,,,,,,
12828368,3582887,link,https://en.wikipedia.org/wiki/Uluazapa,,,,,,
12828369,3582887,,Uluazapa,,,,,,
13144892,3582887,,Municipio de Uluazapa,,,,,,
7063907,3582888,link,https://en.wikipedia.org/wiki/Uluazapa,,,,,,
7119480,3582888,,Uluazapa,,,,,,
1457382,3582891,,Cerro de Tutultepeque,,,,,,
1457383,3582891,,Cerro Redondo,,,,,,
4344920,3582891,,Cerro Tutultepeque,,,,,,
1457384,3582892,,Hacienda Tutultepeque,,,,,,
1457385,3582892,,Tultultepeque,,,,,,
4344921,3582892,,Tutultepeque,,,,,,
1457386,3582893,,Tutianapán,,,,,,
1457387,3582893,,Quebrada Tutianapa,,,,,,
4344922,3582893,,Río Tutianapa,,,,,,
12828370,3582895,link,https://en.wikipedia.org/wiki/Tur%C3%ADn,,,,,,
12828371,3582895,,Turín,,,,,,
13144893,3582895,,Municipio de Turín,,,,,,
7052094,3582896,link,https://en.wikipedia.org/wiki/Tur%C3%ADn,,,,,,
7119481,3582896,,Turín,,,,,,
1457388,3582897,,Tunalmiles,,,,,,
4344923,3582897,,Los Tunalmiles,,,,,,
1457389,3582898,,Cantón Tulima,,,,,,
4344924,3582898,,Tulima,,,,,,
1457390,3582902,,La Trinchera,,,,,,
1457391,3582902,,Las Trincheras,,,,,,
4344925,3582902,,Trinchera,,,,,,
1457392,3582904,,Las Tres Ceibas,,,,,,
4344926,3582904,,Tres Ceibas,,,,,,
1457393,3582905,,Las Tres Ceibas,,,,,,
4344927,3582905,,Tres Ceibas,,,,,,
1457394,3582909,,Isla La Tortuga,,,,,,
4344928,3582909,,Isla Tortuga,,,,,,
15469379,3582909,wkdt,Q31935235,,,,,,
1457395,3582910,,Tortolito,,,,,,
4344929,3582910,,Tortolico,,,,,,
1457397,3582911,,Río Torelas,,,,,,
4344930,3582911,,Río Torola,,,,,,
12828372,3582912,link,https://en.wikipedia.org/wiki/Torola,,,,,,
13144894,3582912,,Municipio de Torola,,,,,,
1457398,3582913,,Towla,,,,,,
2986285,3582913,link,https://en.wikipedia.org/wiki/Torola,,,,,,
4344931,3582913,,Torola,,,,,,
1457399,3582915,,Cantón Tonala,,,,,,
4344932,3582915,,Tonalá,,,,,,
12828373,3582916,link,https://en.wikipedia.org/wiki/Tonacatepeque,,,,,,
12828374,3582916,,Tonacatepeque,,,,,,
13144895,3582916,,Municipio de Tonacatepeque,,,,,,
7176219,3582918,link,https://en.wikipedia.org/wiki/Tonacatepeque,,,,,,
7323981,3582918,,Tonacatepeque,,,,,,
1457400,3582919,,Río Urbina,,,,,,
1457401,3582919,,Río Tonayate,,,,,,
1457402,3582919,,Río de Tomayate,,,,,,
4344933,3582919,,Río Tomayate,,,,,,
1457403,3582920,,Estero de Tecoluca,,,,,,
1457404,3582920,,Estero de Toluca,,,,,,
4344934,3582920,,Estero Toluca,,,,,,
1457405,3582925,,El Tizate,,,,,,
4344935,3582925,,Tizate,,,,,,
1457406,3582926,,Río Ajuluco,,,,,,
4344936,3582926,,Río Tizapa,,,,,,
1457407,3582928,,Río Tirihuapa,,,,,,
4344937,3582928,,Río Titihuapa,,,,,,
1457408,3582930,,Río Tiquizate,,,,,,
1457409,3582930,,Río Tiquisate,,,,,,
4344938,3582930,,Río Chorrero Blanco,,,,,,
1457410,3582931,,Isla de las Peñitas,,,,,,
1457411,3582931,,Isla Teotipa,,,,,,
4344939,3582931,,Isla Tipa,,,,,,
15784908,3582931,wkdt,Q31935231,,,,,,
