AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
15352080,3513087,wkdt,Q31333567,,,,,,
2808154,3513101,,Welgelegen,,,,,,
4224042,3513101,,Welgeleden,,,,,,
1435315,3513144,,Boven Prinsen,,,,,,
1435316,3513144,,Boven Prinsen Kwartier,,,,,,
4224054,3513144,,Upper Prince’s Quarter,,,,,,
14950156,3513156,wkdt,Q31333583,,,,,,
1435357,3513236,,Simsons Bay,,,,,,
1435358,3513236,,Simsonbaai,,,,,,
4224078,3513236,,Simson Bay Village,,,,,,
1435359,3513237,,Simson Baai,,,,,,
1435360,3513237,,Simsons Bay,,,,,,
1435361,3513237,,Simson Baai Lagoen,,,,,,
1435362,3513237,,Simpsons Baai,,,,,,
1435363,3513237,,Baie Simson,,,,,,
1435364,3513237,,Simson,,,,,,
1435365,3513237,,Baie Simpson,,,,,,
1435366,3513237,,Simsons-baai,,,,,,
2808155,3513237,,Simson Bay,,,,,,
4224079,3513237,,Simpson Bay,,,,,,
5663251,3513304,,Sint Peter Hill,,,,,,
5663252,3513304,,Saint Peter Hill,,,,,,
15660146,3513304,wkdt,Q31592572,,,,,,
2808156,3513306,,Saint Peter,,,,,,
4224099,3513306,,St. Peters,,,,,,
1435400,3513310,,Kanaal van Sint Bartholomey,,,,,,
1435401,3513310,,Kanaal van Sint Bartholemy,,,,,,
1435402,3513310,,Kanaal van Saint Barthélemy,,,,,,
1435403,3513310,,Kanaal van Sint Barth’s,,,,,,
1435404,3513310,,Canal de Saint Barthélemy,,,,,,
4224100,3513310,,Saint Barthélemy Channel,,,,,,
2808157,3513318,,Ravine Rogue,,,,,,
4224105,3513318,,Ravine Rouge,,,,,,
2808158,3513343,,Retreat,,,,,,
4224110,3513343,,Retreat Estate,,,,,,
1435415,3513347,,Roode Baai,,,,,,
4224111,3513347,,Red Pond Bay,,,,,,
1435423,3513356,,Man-of-war,,,,,,
1435424,3513356,,Man-of-War Rock,,,,,,
4224115,3513356,,Proselyte Rif,,,,,,
1435425,3513358,en,Princess Juliana International Airport,1,,,,,
1435426,3513358,nl,Luchthaven Prinses Juliana,,,,,,
1892995,3513358,icao,TNCM,,,,,,
1892996,3513358,iata,SXM,,,,,,
7092178,3513358,link,https://en.wikipedia.org/wiki/Princess_Juliana_International_Airport,,,,,,
8513175,3513358,fr,Aéroport international Princess Juliana,1,,,,,
8513176,3513358,zh,朱麗安娜公主國際機場,,,,,,
8513177,3513358,ru,Аэропорт Принцессы Юлианы,,,,,,
8513178,3513358,pt,Aeroporto Internacional Princesa Juliana,,,,,,
8513179,3513358,ja,プリンセス・ジュリアナ国際空港,,,,,,
8513180,3513358,ko,프린세스 줄리아나 국제공항,,,,,,
8513181,3513358,fa,فرودگاه بین‌المللی پرینسس جولیانا,,,,,,
8513182,3513358,ar,مطار الأميرة جوليانا الدولي,,,,,,
8719834,3513358,es,Aeropuerto Internacional Princesa Juliana,,,,,,
8719835,3513358,it,Aeroporto Internazionale Principessa Giuliana,,,,,,
8719836,3513358,cs,Mezinárodní letiště princezny Juliany,,,,,,
8719837,3513358,fi,Prinsessa Julianan lentoasema,,,,,,
8719838,3513358,he,נמל התעופה הנסיכה יוליאנה,,,,,,
8719839,3513358,hu,Princess Juliana nemzetközi repülőtér,,,,,,
8719840,3513358,id,Bandar Udara Internasional Putri Juliana,,,,,,
8719841,3513358,ms,Lapangan Terbang Antarabangsa Princess Juliana,,,,,,
8719842,3513358,nn,Prinsesse Juliana internasjonale lufthamn,,,,,,
8719843,3513358,no,Prinsesse Juliana internasjonale lufthavn,,,,,,
8719844,3513358,tr,Prenses Juliana Uluslararası Havaalanı,,,,,,
8719845,3513358,vi,Sân bay quốc tế Princess Juliana,,,,,,
8719846,3513358,pl,Port lotniczy Princess Juliana,,,,,,
9709418,3513358,de,Princess Juliana International Airport,,,,,,
9709419,3513358,de,Prinzessin Juliana Flughafen,,,,,,
11364446,3513358,lt,Princesės Julianos tarptautinis oro uostas,,,,,,
11710924,3513358,en,St Maarten International Airport,,,,,,
11710925,3513358,fr,Aéroport international de Saint Martin,,,,,,
13800075,3513358,unlc,SXSXM,,,,,,
15477436,3513358,wkdt,Q723325,,,,,,
1435434,3513373,,Point Blanche Baai,,,,,,
4224121,3513373,,Point Blanche Bay,,,,,,
1435439,3513392,en,Filipsburg,,,,,,
1435440,3513392,,Great Bay,,,,,,
2698004,3513392,ru,Филипсбург,,,,,,
2985653,3513392,link,https://en.wikipedia.org/wiki/Philipsburg%2C_Sint_Maarten,,,,,,
3058166,3513392,link,https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%B8%D0%BF%D1%81%D0%B1%D1%83%D1%80%D0%B3_%28%D0%A1%D0%B8%D0%BD%D1%82-%D0%9C%D0%B0%D0%B0%D1%80%D1%82%D0%B5%D0%BD%29,,,,,,
5763776,3513392,en,Philipsburg,1,,,,,
5763777,3513392,no,Philipsburg,,,,,,
11407942,3513392,be,Горад Філіпсбург,,,,,,
11407943,3513392,bg,Филипсбург,,,,,,
11407944,3513392,el,Φίλιπσμπουργκ,,,,,,
11407945,3513392,fa,فیلیپسبورگ، سینت مارتن,,,,,,
11407946,3513392,ja,フィリップスブルフ,,,,,,
11407947,3513392,ka,ფილიპსბურგი,,,,,,
11407948,3513392,ko,필립스뷔르흐,,,,,,
11407949,3513392,lt,Filipsburgas,,,,,,
11407950,3513392,sr,Филипсбург,,,,,,
11407951,3513392,ta,பிலிப்சுபர்கு,,,,,,
11407952,3513392,th,ฟีลิปส์บืร์ค,,,,,,
11407953,3513392,uk,Філіпсбург,,,,,,
11407954,3513392,ur,فلپسبرگ,,,,,,
11407955,3513392,zh,菲利普斯堡,,,,,,
13800074,3513392,unlc,SXPHI,,,,,,
15617040,3513392,wkdt,Q30958,,,,,,
1435443,3513397,,Pelikaan Point,,,,,,
4224124,3513397,,Pelikaan Punt,,,,,,
1435469,3513453,,Oostenberg,,,,,,
4224140,3513453,,Naked Boy,,,,,,
15349752,3513453,wkdt,Q31592587,,,,,,
1435471,3513457,,Anse aux Mulets,,,,,,
4224142,3513457,,Mullet Pond Bay,,,,,,
1435478,3513470,,Mollibeday Rots,,,,,,
1435479,3513470,,Mal Aborder,,,,,,
4224146,3513470,,Molly Beday,,,,,,
1435493,3513513,,Anse des Mahaux,,,,,,
4224157,3513513,,Mahó Bay,,,,,,
2808159,3513514,,Madame’s,,,,,,
4224158,3513514,,Madame’s Estate,,,,,,
1435495,3513522,,Beneden Prinsen,,,,,,
1435496,3513522,,Beneden Prinsen Kwartier,,,,,,
4224160,3513522,,Lower Prince’s Quarter,,,,,,
7487731,3513522,link,https://en.wikipedia.org/wiki/Lower_Prince%27s_Quarter,,,,,,
1435497,3513529,,Klein Key,,,,,,
4224161,3513529,,Little Key,,,,,,
1435498,3513533,,Kleine Baai,,,,,,
1435499,3513533,,Klein Baai,,,,,,
4224162,3513533,,Little Bay,,,,,,
1435504,3513541,,Steenbaai,,,,,,
4224166,3513541,,Lay Bay,,,,,,
1435555,3513664,,Poulets,,,,,,
1435556,3513664,,Hen and Chicks,,,,,,
4224202,3513664,,Hen and Chicken,,,,,,
1435560,3513676,,Pelikan,,,,,,
1435561,3513676,,Pélican,,,,,,
1435562,3513676,,Guana Cay,,,,,,
1435563,3513676,,Guano Cay,,,,,,
2808160,3513676,,Guana Key,,,,,,
4224206,3513676,,Guana Key of Pelikan,,,,,,
15592182,3513677,wkdt,Q34908711,,,,,,
15951591,3513677,,Guana Bay Point,,,,,,
1435564,3513678,,Guana Baai,,,,,,
4224207,3513678,,Guana Bay,,,,,,
1435565,3513681,,Groote Zoutpan,,,,,,
1435566,3513681,,Great Salt Pond,,,,,,
4224208,3513681,,Grote Zoutpan,,,,,,
1435576,3513702,,Grande Bay,,,,,,
1435577,3513702,,Grande Baie,,,,,,
1435578,3513702,,Groot Baai,,,,,,
1435579,3513702,,Groote Baai,,,,,,
4224212,3513702,,Great Bay,,,,,,
1435588,3513720,,Gibb’s Baai,,,,,,
4224218,3513720,,Gibb’s Bay,,,,,,
1435589,3513721,,Geneve Baai,,,,,,
4224219,3513721,,Geneve Bay,,,,,,
4224223,3513737,,Fort Hill,,,,,,
4224239,3513794,,Duth Cul de Sac,,,,,,
4224240,3513794,,Cul de Sac,,,,,,
1435634,3513818,,Koolbaai Berg,,,,,,
4224247,3513818,,Colebay Hill,,,,,,
15330331,3513818,wkdt,Q31333602,,,,,,
1435635,3513819,,Kool Baai,,,,,,
4224248,3513819,,Cole Bay,,,,,,
14850738,3513835,wkdt,Q31333621,,,,,,
15951593,3513835,,Cay Bay Hill,,,,,,
1435640,3513836,,Kay Bay,,,,,,
1435641,3513836,,Kay-Baai,,,,,,
4224253,3513836,,Cay Bay,,,,,,
1435652,3513851,,Anse des Bourgaux,,,,,,
4224257,3513851,,Burgeux Bay,,,,,,
1435664,3513899,,Witte Kaap,,,,,,
1435665,3513899,,Pointe Blanche,,,,,,
4224269,3513899,,Point Blanche,,,,,,
2808161,3513909,,Betty’s,,,,,,
4224270,3513909,,Betty’s Estate,,,,,,
1435674,3513944,,Back Baai,,,,,,
4224279,3513944,,Back Bay,,,,,,
5901034,3513954,link,https://en.wikipedia.org/wiki/Fort_Amsterdam_%28Sint_Maarten%29,,,,,,
6127896,3513954,,Fort Amsterdam,,,,,,
15468261,3513954,wkdt,Q5470723,,,,,,
12095699,6985411,link,https://nl.wikipedia.org/wiki/Cole_Bay,,,,,,
12095700,6985411,,Cole Bay,,,,,,
12095701,6985411,nl,Koolbaai,,,,,,
15867358,6985411,wkdt,Q2112636,,,,,,
13800073,6985429,unlc,SXCAB,,,,,,
15495997,6985441,wkdt,Q31333637,,,,,,
16050002,6985441,,Saint Peter Battery,,,,,,
14847886,6985447,wkdt,Q31333653,,,,,,
16050003,6985447,,Guana Hill,,,,,,
5677923,7609695,nl,Land Sint Maarten,,,,,,
5677924,7609695,en,Country of Sint Maarten,,,,,,
5677925,7609695,,Sint Maarten,,,,,,
5700235,7609695,link,https://en.wikipedia.org/wiki/Sint_Maarten,,,,,,
6910429,7609695,fr,Saint-Martin,1,1,,,,
6910430,7609695,fr,État de Saint-Martin,,,,,,
6910431,7609695,fr,Saint-Martin (Royaume des Pays-Bas),,,,,,
6910530,7609695,es,Isla de San Martín,1,,,,,
6910531,7609695,es,San Martín,,1,,,,
6910532,7609695,pt,Ilha de São Martinho,1,,,,,
6910533,7609695,pt,São Martinho,,1,,,,
6998111,7609695,ru,Синт-Мартен,1,,,,,
6998112,7609695,uk,Сінт-Мартен,1,,,,,
7090970,7609695,en,Sint Maarten,1,,,,,
7323010,7609695,it,Sint Maarten,,,,,,
7977095,7609695,nl,Sint Maarten,1,,,,,
7977096,7609695,de,Sint Maarten,1,,,,,
8103240,7609695,en,Sint Maarten (Dutch Part),,,,,,
8513183,7609695,iata,SXM,,,,,,
8616081,7609695,el,Άγιος Μαρτίνος,1,,,,,
8616482,7609695,ko,신트마르텐,,,,,,
8655679,7609695,ja,シント・マールテン,1,,,,,
9861311,7609695,zh,圣马丁岛,1,1,,,,
