AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
518826,934820,,Libe,,,,,,
518827,934820,,Zibe River,,,,,,
4311833,934820,,Zibe,,,,,,
518828,934821,,White Imbuluzi,,,,,,
518829,934821,,White Umbuluzi,,,,,,
4311834,934821,,White Umbuluzi River,,,,,,
518830,934823,,Vonde Kop,,,,,,
4311835,934823,,Vondo Kop,,,,,,
518831,934824,,Vlagati Kop,,,,,,
4311836,934824,,Vilakati Kop,,,,,,
518832,934825,,Vigisijula,,,,,,
518833,934825,,Vig Isiyula,,,,,,
4311837,934825,,Vikisijula,,,,,,
518834,934827,,Usutu Mission,,,,,,
4311838,934827,,Usutu,,,,,,
518835,934828,,Umtilane,,,,,,
518836,934828,,Mtilane River,,,,,,
4311839,934828,,Umtilane River,,,,,,
518837,934829,,Umsundu,,,,,,
4311840,934829,,Umshundu,,,,,,
15412733,934829,wkdt,Q31592632,,,,,,
518838,934830,,Ulambongwenya,,,,,,
518839,934830,,Umlambongwenya,,,,,,
4311841,934830,,Umlambongwenya River,,,,,,
518840,934831,,Umkomozana,,,,,,
4311842,934831,,Umkomozana River,,,,,,
518841,934833,,Umbuyana,,,,,,
4311843,934833,,Umbuyana River,,,,,,
15236298,934837,wkdt,Q31592694,,,,,,
15959132,934837,,Umbanjane Kop,,,,,,
518842,934840,,Tahaneni,,,,,,
4311844,934840,,Tshaneni,,,,,,
7072615,934840,link,https://en.wikipedia.org/wiki/Tshaneni,,,,,,
15289208,934840,wkdt,Q7849602,,,,,,
518843,934841,,Swasieland,,,,,,
518845,934841,,Ngwane,,,,,,
1555035,934841,am,ሱዋዚላንድ,,,,,,
1555036,934841,ar,سوازيلاند,,,,,,
1555037,934841,bg,Суазиленд,,,,,,
1555038,934841,ca,Swazilàndia,,,,,,
1555039,934841,cs,Svazijsko,,,,,,
1555040,934841,cy,Swaziland,,,,,,
1555041,934841,da,Swaziland,,,,,,
1555042,934841,de,Swasiland,,,,,,
1555043,934841,el,Ζουαζηλάνδη,1,,,,,
1555044,934841,en,Swaziland,,,,,,
1555045,934841,eo,Svazilando,,,,,,
1555046,934841,es,Suazilandia,1,1,,,,
1555047,934841,et,Svaasimaa,,,,,,
1555048,934841,eu,Swazilandia,,,,,,
1555049,934841,fa,سوازیلند,,,,,,
1555050,934841,fi,Swazimaa,,,,,,
1555051,934841,fo,Svasiland,,,,,,
1555052,934841,fr,Swaziland,1,1,,,,
1555053,934841,ga,An tSuasalainn,,,,,,
1555054,934841,he,סוואזילנד,,,,,,
1555055,934841,hi,सुआजीलैंड,,,,,,
1555056,934841,hr,Svazi,,,,,,
1555057,934841,hu,Szváziföld,,,,,,
1555058,934841,hy,Սվազիլենդ,,,,,,
1555059,934841,id,Swaziland,,,,,,
1555060,934841,is,Svasíland,,,,,,
1555061,934841,it,Swaziland,,,,,,
1555062,934841,ja,スワジランド,,,,,,
1555063,934841,ka,სვაზილენდი,,,,,,
1555064,934841,km,សូហ្ស៉ីឡង់,,,,,,
1555065,934841,ko,스와질랜드,,,,,,
1555066,934841,lo,ສະວາຊິແລນ,,,,,,
1555067,934841,lt,Svazilendas,,,,,,
1555068,934841,lv,Svazilenda,,,,,,
1555069,934841,mk,Свазиленд,,,,,,
1555070,934841,ms,Swaziland,,,,,,
1555071,934841,mt,Sważiland,,,,,,
1555072,934841,nb,Swaziland,,,,,,
1555073,934841,nl,Swaziland,,,,,,
1555074,934841,nn,Swaziland,,,,,,
1555075,934841,pl,Suazi,,,,,,
1555076,934841,pt,Suazilândia,,,,,,
1555077,934841,ro,Swaziland,,,,,,
1555078,934841,ru,Свазиленд,,,,,,
1555079,934841,sk,Svazijsko,,,,,,
1555080,934841,sl,Svazi,,,,,,
1555081,934841,sq,Svazilandë,,,,,,
1555082,934841,sr,Свазиленд,,,,,,
1555083,934841,sv,Swaziland,,,,,,
1555084,934841,th,สวาซิแลนด์,,,,,,
1555085,934841,tr,Svaziland,,,,,,
1555086,934841,uk,Свазіленд,,,,,,
1555087,934841,vi,Xoa-di-len,,,,,,
1555088,934841,zh,斯威士兰,,,,,,
1618784,934841,es,Swazilandia,,,,,,
1618785,934841,af,Swaziland,,,,,,
1618786,934841,am,ስዋዚላንድ,,,,,,
1618787,934841,an,Swazilandia,,,,,,
1618788,934841,ang,Swasiland,,,,,,
1618789,934841,ar,سوازيلند,,,,,,
1618790,934841,bg,Свазиленд,,,,,,
1618791,934841,bs,Svazi,,,,,,
1618792,934841,gd,Dùthaich nan Suasaidh,,,,,,
1618793,934841,gl,Suacilandia - Swaziland,,,,,,
1618794,934841,he,סווזילנד,,,,,,
1618795,934841,hi,स्वाज़ीलैण्ड,,,,,,
1618796,934841,io,Swazilando,,,,,,
1618797,934841,ko,스와질란드,,,,,,
1618798,934841,ku,Swazîlenda,,,,,,
1618799,934841,kw,Pow Swati,,,,,,
1618800,934841,lt,Svazilandas,,,,,,
1618801,934841,nds,Swasiland,,,,,,
1618802,934841,no,Swaziland,,,,,,
1618803,934841,oc,Swaziland,,,,,,
1618804,934841,sa,स्वाजीलैंड,,,,,,
1618805,934841,hbs,Svazilend,,,,,,
1618806,934841,sq,Suazilendi,,,,,,
1618807,934841,ss,Umbuso weSwatini,,,,,,
1618808,934841,th,ประเทศสวาซิแลนด์,,,,,,
1618809,934841,tl,Suwasilandya,,,,,,
1618810,934841,tr,Swaziland,,,,,,
1618811,934841,uk,Свазиленд,,,,,,
1618812,934841,vi,Swaziland,,,,,,
1632762,934841,el,Σουαζιλάνδη,,,,,,
1632763,934841,la,Swazia,,,,,,
1632764,934841,sw,Uswazi,,,,,,
1632765,934841,ug,سۋازىلېند,,,,,,
1894152,934841,br,Swaziland,,,,,,
1894153,934841,cy,Gwlad Swasi,,,,,,
1894154,934841,ilo,Suasilandia,,,,,,
1894155,934841,pam,Swaziland,,,,,,
1894156,934841,tg,Свазиленд,,,,,,
1977757,934841,ast,Swazilandia,,,,,,
1977758,934841,frp,Souazilande,,,,,,
1977759,934841,nov,Swazilande,,,,,,
1977760,934841,qu,Swasilandya,,,,,,
1977761,934841,qu,Swasisuyu,,,,,,
1977762,934841,vo,Svasiyän,,,,,,
2418353,934841,be,Свазіленд,1,,,,,
2418354,934841,bn,সোয়াজিল্যান্ড,1,,,,,
2418355,934841,cs,Swazijsko,1,,,,,
2418356,934841,fa,سوازیلاند,1,,,,,
2418357,934841,gl,Suacilandia,1,,,,,
2418358,934841,hi,स्वाज़ीलैंड,1,,,,,
2418359,934841,hr,Svaziland,1,,,,,
2418360,934841,ia,Swazilandia,1,,,,,
2418361,934841,ja,スワジランド王国,1,,,,,
2418362,934841,se,Svazieana,1,,,,,
2418363,934841,ur,سوازی لینڈ,1,,,,,
2920047,934841,link,https://en.wikipedia.org/wiki/Swaziland,,,,,,
4311845,934841,,Kingdom of Swaziland,,,,,,
7091003,934841,ak,Swaziland,1,,,,,
7091004,934841,az,Svazilənd,1,,,,,
7091005,934841,bm,Swazilandi,1,,,,,
7091006,934841,bs,Svazilend,1,,,,,
7091007,934841,ee,Swaziland nutome,1,,,,,
7091008,934841,ff,Swaasilannda,1,,,,,
7091009,934841,gu,સ્વાઝિલેન્ડ,1,,,,,
7091010,934841,ha,Suwazilan,1,,,,,
7091011,934841,ki,Uswazi,1,,,,,
7091012,934841,kl,Swazilandi,1,,,,,
7091013,934841,kn,ಸ್ವಾಜಿಲ್ಯಾಂಡ್,1,,,,,
7091014,934841,ku,سوازیلاند,1,,,,,
7091015,934841,lg,Swazirandi,1,,,,,
7091016,934841,ln,Swazilandi,1,,,,,
7091017,934841,lu,Swazilandi,1,,,,,
7091018,934841,mg,Soazilandy,1,,,,,
7091019,934841,ml,സ്വാസിലാന്‍റ്,1,,,,,
7091020,934841,mr,स्वाझिलँड,1,,,,,
7091021,934841,nd,Swaziland,1,,,,,
7091022,934841,ne,स्वाजिल्याण्ड,1,,,,,
7091023,934841,or,ସ୍ବାଜିଲାଣ୍ଡ,1,,,,,
7091024,934841,rm,Swaziland,1,,,,,
7091025,934841,rn,Suwazilandi,1,,,,,
7091026,934841,sg,Swäzïlânde,1,,,,,
7091027,934841,sn,Swaziland,1,,,,,
7091028,934841,so,Iswaasilaand,1,,,,,
7091029,934841,ta,ஸ்வாஸிலாண்ட்,1,,,,,
7091030,934841,te,స్వాజీలేండ్,1,,,,,
7091031,934841,ti,ሱዋዚላንድ,1,,,,,
7091032,934841,to,Suasileni,1,,,,,
7091033,934841,yo,Orílẹ́ède Saṣiland,1,,,,,
7091034,934841,zu,i-Swaziland,1,,,,,
8046214,934841,,Swaziland,,,,,,
13694806,934841,uk,Королі́вство Есваті́ні,,,,,,
13694807,934841,uk,Королі́вство Е-Cваті́ні,,,,,,
13694808,934841,uk,Нгване,,,,,,
13694809,934841,uk,Нґване,,,,,,
13694811,934841,be,Эсваціні,,,,,,
13694812,934841,bg,Кралство Есватини,,,,,,
13694813,934841,fr,eSwatini,,,,,,
13694814,934841,ro,Regatul eSwatini,,,,,,
13694815,934841,pt,Reino de eSwatini,,,,,,
13694955,934841,fr,Royaume du Swaziland,,,,,,
13701312,934841,,Eswatini,1,,,,,
13701313,934841,,Kingdom of Eswatini,,,,,,
13858018,934841,en,Eswatini,1,,,,2018,
518846,934843,,Stokoto River,,,,,,
518847,934843,,Stokoto,,,,,,
4311846,934843,,Stokodo River,,,,,,
518848,934845,,Statweni,,,,,,
4311847,934845,,Stataweni,,,,,,
518849,934846,,Spekboom,,,,,,
518850,934846,,Spekboom River,,,,,,
4311848,934846,,Spekboomrivier,,,,,,
518851,934849,,Sivuli Hill,,,,,,
4311849,934849,,Sivule Hill,,,,,,
518852,934850,,Sibobela,,,,,,
4311850,934850,,Sitobela,,,,,,
518853,934851,,Stegi,,,,,,
1615350,934851,es,Siteki,,,,,,
2929527,934851,link,https://en.wikipedia.org/wiki/Siteki,,,,,,
4311851,934851,,Siteki,,,,,,
11760605,934851,fr,Siteki,,,,,,
14988108,934851,wkdt,Q2300140,,,,,,
518854,934852,,Sipofanenibrug,,,,,,
518855,934852,,Sipofaneni Bridge,,,,,,
518856,934852,,Spofanene,,,,,,
518857,934852,,Sipofaneni,,,,,,
2929528,934852,link,https://en.wikipedia.org/wiki/Siphofaneni,,,,,,
4311852,934852,,Siphofaneni,,,,,,
518858,934853,,Sepanga Kop,,,,,,
4311853,934853,,Sipanga Kop,,,,,,
15566055,934854,wkdt,Q31592755,,,,,,
15959133,934854,,Sinyamatulu,,,,,,
518859,934855,,Sinceni,,,,,,
4311854,934855,,Singceni,,,,,,
518860,934856,,Simoniet,,,,,,
4311855,934856,,Simoniet River,,,,,,
518861,934857,,Similane Kop,,,,,,
4311856,934857,,Simelane Kop,,,,,,
518862,934859,,Isekupi,,,,,,
518863,934859,,Isikupi,,,,,,
518864,934859,,Secupa Kop,,,,,,
4311857,934859,,Sikupa Kop,,,,,,
2929529,934862,link,https://en.wikipedia.org/wiki/Sidvokodvo,,,,,,
13800093,934862,unlc,SZ7DS,,,,,,
518865,934863,,Sidokodo,,,,,,
4311858,934863,,Sidokodo River,,,,,,
518866,934864,,Sigunusa,,,,,,
2929530,934864,link,https://en.wikipedia.org/wiki/Sicunusa,,,,,,
4311859,934864,,Sicunusa,,,,,,
15535923,934864,wkdt,Q7507699,,,,,,
518867,934865,,Sibowe,,,,,,
4311860,934865,,Sibowe River,,,,,,
518868,934867,,Hlatikulu District,,,,,,
2185647,934867,,Shiselweni,1,1,,,,
5650092,934867,,Shiselweni District,,,,,,
5700617,934867,link,https://en.wikipedia.org/wiki/Shiselweni_District,,,,,,
11760602,934867,fr,Shiselweni,,,,,,
15352681,934867,wkdt,Q845934,,,,,,
518869,934869,,Seyama Kop,,,,,,
4311861,934869,,Sayama Kop,,,,,,
2929531,934870,link,https://en.wikipedia.org/wiki/Sandlane,,,,,,
4311862,934870,,Sandlane,,,,,,
15365091,934870,wkdt,Q7416397,,,,,,
518870,934871,,Salugase,,,,,,
4311863,934871,,Salugase River,,,,,,
518871,934879,,Poponyana River,,,,,,
518872,934879,,Poponyana,,,,,,
4311864,934879,,Poponyane,,,,,,
1615375,934881,es,Piggs Peak,,,,,,
2929532,934881,link,https://en.wikipedia.org/wiki/Piggs_Peak,,,,,,
4311865,934881,,Piggs Peak,,,,,,
14975591,934881,wkdt,Q1950487,,,,,,
518873,934882,,The Peak,,,,,,
4311866,934882,,Piggs Peak,,,,,,
518874,934884,,Nyonani Kop,,,,,,
4311867,934884,,Nyonyane Kop,,,,,,
15141221,934884,wkdt,Q31592889,,,,,,
518875,934886,,Nyonyana,,,,,,
4311868,934886,,Nyonyana River,,,,,,
518876,934887,,Nyetane,,,,,,
518877,934887,,Inyetyan,,,,,,
4311869,934887,,Nyetane River,,,,,,
518878,934891,,Ntungulu Kop,,,,,,
4311870,934891,,Ntungula Kop,,,,,,
518879,934892,,Mtotosha Kop,,,,,,
4311871,934892,,Ntototsha Kop,,,,,,
518880,934894,,Ntandes,,,,,,
518881,934894,,Ntondosi,,,,,,
4311872,934894,,Ntondozi,,,,,,
518882,934895,,Intabinezimpise,,,,,,
518883,934895,,Ntabinezimpise,,,,,,
4311873,934895,,Ntabinezimpisi,,,,,,
518884,934898,,Ntababomvu,,,,,,
4311874,934898,,Ntababomvu Hills,,,,,,
518885,934899,,Nsongweni,,,,,,
4311875,934899,,Nsongweni River,,,,,,
518886,934900,,Nsoka,,,,,,
2929533,934900,link,https://en.wikipedia.org/wiki/Nsoko,,,,,,
4311876,934900,,Nsoko,,,,,,
15277347,934900,wkdt,Q7067578,,,,,,
518887,934902,,Nsagana,,,,,,
4311877,934902,,Nsagana River,,,,,,
518888,934905,,Kutjeni Hill,,,,,,
518889,934905,,Nkutshu,,,,,,
4311878,934905,,Nkutshu Hill,,,,,,
518890,934908,,N’Komazana,,,,,,
4311879,934908,,N’Komazana River,,,,,,
518891,934910,,Mkabana,,,,,,
4311880,934910,,Nkabane,,,,,,
518892,934912,,Nhloya,,,,,,
4311881,934912,,Nhloya River,,,,,,
518893,934913,,Goedgegun,,,,,,
2929534,934913,link,https://en.wikipedia.org/wiki/Nhlangano,,,,,,
4311882,934913,,Nhlangano,,,,,,
11760606,934913,fr,Nhlangano,,,,,,
13800101,934913,unlc,SZNHL,,,,,,
14944195,934913,wkdt,Q2029702,,,,,,
518894,934915,,Ingwenya,,,,,,
4311883,934915,,Ngwenya,,,,,,
518895,934916,,Ngwempisana River,,,,,,
4311884,934916,,Ngwempisana,,,,,,
518896,934917,,Ngwede,,,,,,
4311885,934917,,Ngwede River,,,,,,
518898,934918,,Ingwavuma River,,,,,,
518899,934918,,Inguavuma,,,,,,
518900,934918,,Ingwavuma,,,,,,
518901,934918,,Ingwovuma River,,,,,,
518902,934918,,Ingwovuma,,,,,,
518903,934918,,Nggwavuma,,,,,,
518904,934918,,Ngwavuma River,,,,,,
4311886,934918,,Ngwavuma,,,,,,
7536924,934918,link,https://en.wikipedia.org/wiki/Ngwavuma,,,,,,
518905,934920,,Mgqongqane,,,,,,
518906,934920,,Ngqongqane Kop,,,,,,
4311887,934920,,Ngqongqane,,,,,,
2929535,934921,link,https://en.wikipedia.org/wiki/Ngonini,,,,,,
4311888,934921,,Ngonini,,,,,,
15421520,934921,wkdt,Q15262270,,,,,,
518907,934923,,Ngadwako,,,,,,
4311889,934923,,Ngadwako River,,,,,,
518908,934924,,Ndumbi,,,,,,
4311890,934924,,Ndumbi River,,,,,,
518909,934925,,Ndoban-doba,,,,,,
4311891,934925,,Ndoban-doba River,,,,,,
714,934927,,Mzimpofu,,,,,,
4311892,934927,,Mzimphofu,,,,,,
518910,934928,,Mzimneni,,,,,,
4311893,934928,,Mzimneni River,,,,,,
518911,934929,,Mzimneni,,,,,,
4311894,934929,,Mzimneni River,,,,,,
518912,934930,,Umzimneni River,,,,,,
518913,934930,,Umzimneni,,,,,,
518914,934930,,Mzimneni,,,,,,
4311895,934930,,Mzimneni River,,,,,,
518915,934931,,Mvangalini,,,,,,
4311896,934931,,Mvangatini,,,,,,
518916,934932,,Muweni,,,,,,
4311897,934932,,Muweni River,,,,,,
518917,934933,,Mtombe,,,,,,
4311898,934933,,Mtombe River,,,,,,
518918,934934,,Umtintegwa River,,,,,,
518919,934934,,Umtintegwa,,,,,,
4311899,934934,,Mtindekwa River,,,,,,
518920,934935,,Mtimpili,,,,,,
4311900,934935,,Mtimpili River,,,,,,
518921,934936,,Mtendekwa,,,,,,
4311901,934936,,Mtendekwa River,,,,,,
518922,934938,,Msuzwane,,,,,,
4311902,934938,,Msuzwane River,,,,,,
518923,934939,,Msulutane,,,,,,
4311903,934939,,Msulutane River,,,,,,
518924,934942,,Mshange Hill,,,,,,
4311904,934942,,Mshange,,,,,,
518925,934944,,Mponono River,,,,,,
4311905,934944,,Mponono,,,,,,
518926,934945,,Mpofu,,,,,,
4311906,934945,,Mpofu River,,,,,,
518927,934948,,Mozane,,,,,,
4311907,934948,,Mozane River,,,,,,
518928,934949,,Mozane,,,,,,
518929,934949,,Mozane River,,,,,,
518930,934949,,Mozaan River,,,,,,
518931,934949,,Mozaan,,,,,,
4311908,934949,,Mozana,,,,,,
518932,934950,,Mozaankop,,,,,,
4311909,934950,,Mozane,,,,,,
15421515,934951,wkdt,Q31593207,,,,,,
15959134,934951,,Mouaween Kop,,,,,,
518933,934952,,Motjana,,,,,,
518934,934952,,Motjana River,,,,,,
4311910,934952,,Motjane,,,,,,
4311911,934955,,Mnyame,,,,,,
518935,934957,,Umloseni Kop,,,,,,
4311912,934957,,Mloteni Kop,,,,,,
15510721,934957,wkdt,Q31593237,,,,,,
2929536,934959,link,https://en.wikipedia.org/wiki/Mliba,,,,,,
4311913,934959,,Mliba,,,,,,
15694431,934959,wkdt,Q6885719,,,,,,
8091251,934960,link,https://en.wikipedia.org/wiki/Mlawula,,,,,,
8108762,934960,,Mlawula,,,,,,
15461376,934960,wkdt,Q6885679,,,,,,
518936,934961,,Mlaula,,,,,,
4311914,934961,,Mlaula River,,,,,,
518937,934962,,Mkutshane,,,,,,
518938,934962,,Umkutshan,,,,,,
4311915,934962,,Mkutshane River,,,,,,
518939,934963,,Mkumbana,,,,,,
4311916,934963,,Mkumbana River,,,,,,
2929537,934965,link,https://en.wikipedia.org/wiki/Mhlumeni,,,,,,
4311917,934965,,Mhlumeni,,,,,,
15636171,934965,wkdt,Q15253288,,,,,,
