AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
29117,86087,,Jafjaf aş Şaghīr,,,,,,
29118,86087,,Jef-Jef es Serhir,,,,,,
29119,86087,,Gefgef es Seghir,,,,,,
3663562,86087,fr,Jef-Jef es Seghir,,,,,,
5935250,86087,fr,Jef-Jef es Serhir,,,,,,
5935251,86087,fr,Gefgef es Seghir,,,,,,
7949613,86087,,جفجف الصغير,,,,,,
2808560,241463,fr,Ouadi Zringa,,,,,,
5722948,241463,fr,Ouadi Zéringa,,,,,,
13145133,241464,fr,Zoumbat,,,,,,
13145134,241468,fr,Zona,,,,,,
13145135,241471,fr,Ziziep,,,,,,
13145136,241472,fr,Zéli,,,,,,
13145137,241473,fr,Zanapté,,,,,,
153708,241478,,Zafay,,,,,,
153709,241478,,Saafaye,,,,,,
4356700,241478,,Zafai,,,,,,
5722954,241479,fr,Yrouso Danienga,,,,,,
5722955,241480,fr,Youtou,,,,,,
153710,241482,,Youmdjemal,,,,,,
4356704,241482,,Yomadjamal,,,,,,
5722959,241483,fr,Yokou,,,,,,
153711,241485,,Lac Yora,,,,,,
153712,241485,,Yoa,,,,,,
5722960,241485,fr,Lac Yoa,,,,,,
6129738,241485,fr,Lac Yora,,,,,,
6129739,241485,fr,Yoa,,,,,,
6894284,241485,link,https://en.wikipedia.org/wiki/Lake_Yoa,,,,,,
5663320,241486,fr,Gara Yèskia,,,,,,
15274803,241486,wkdt,Q31594145,,,,,,
5722961,241487,fr,Yégé Oganga,,,,,,
13145138,241489,fr,Yaouada,,,,,,
13145139,241489,fr,Yawada,,,,,,
153713,241490,,Lawada,,,,,,
153714,241490,,Yaouda,,,,,,
4356709,241490,,Yawada,,,,,,
13145140,241490,fr,Yaouada,,,,,,
153715,241491,,Wādī Yarri,,,,,,
153716,241491,,Wād Yarri,,,,,,
5722962,241491,,Yarré,,,,,,
13145141,241493,fr,Yar,,,,,,
153717,241499,,Ouorlo,,,,,,
4356712,241499,,Worlo,,,,,,
5722965,241501,fr,Wihili,,,,,,
15752033,241501,wkdt,Q31333972,,,,,,
13145142,241503,fr,Ouadi Ouaya Ouaya,,,,,,
13145143,241503,fr,Ouadi Waya Waya,,,,,,
153718,241504,,Ouaya,,,,,,
4356713,241504,,Waya Waya,,,,,,
13145144,241504,fr,Ouaya-Ouaya,,,,,,
153719,241506,,Ouadi Ouasi,,,,,,
4356714,241506,,Ouadi Wasi,,,,,,
5722967,241510,fr,Wari,,,,,,
13145145,241513,fr,Ouabéné,,,,,,
13145146,241513,fr,Wabéné,,,,,,
5722970,241514,fr,Ouadi Tunisi,,,,,,
153720,241515,,Troti,,,,,,
5722971,241515,,Troli,,,,,,
13145147,241516,fr,Troké,,,,,,
13145148,241516,fr,Troka,,,,,,
13145149,241517,fr,Troa Toua,,,,,,
13145150,241517,fr,Troatoua,,,,,,
153721,241518,,Troané,,,,,,
4356717,241518,,Troan,,,,,,
13145151,241519,fr,Troa Kitilé,,,,,,
13145152,241520,fr,Troa Kébir,,,,,,
5722975,241524,fr,Tozkeï,,,,,,
5722976,241524,fr,Tozkey,,,,,,
13145153,241528,fr,Toutoubo,,,,,,
13145154,241529,fr,Toutouba,,,,,,
153722,241531,,Ouadi Touza,,,,,,
4356719,241531,,Ouadi Tousa,,,,,,
13145155,241535,fr,Touroko,,,,,,
13145156,241537,fr,Tourmoundi,,,,,,
3220862,241539,fr,Tourkou,,,,,,
13145157,241541,fr,Tourka,,,,,,
13145158,241542,fr,Tourguéssi,,,,,,
13145159,241542,fr,Tourgési,,,,,,
13145160,241545,fr,Ouadi Touré,,,,,,
13145161,241546,fr,Touré,,,,,,
153723,241548,,Oued Tourbatono,,,,,,
5722977,241548,fr,Ouadi Tourbatono,,,,,,
6129741,241548,fr,Oued Tourbatono,,,,,,
5722978,241550,fr,Toura,,,,,,
13145162,241553,fr,Touniougour,,,,,,
13145163,241557,fr,Touna,,,,,,
13145164,241560,fr,Rahat Toumo,,,,,,
153724,241562,,Tokol-Toukouli,,,,,,
4356727,241562,,Toukoul Toukouli,,,,,,
153725,241566,,Touango,,,,,,
5722980,241566,,Touhanga,,,,,,
5722981,241567,fr,Tougouni,,,,,,
13145165,241569,fr,Hadjer Tougoul,,,,,,
153726,241570,,Ouadi Girdi,,,,,,
4356730,241570,,Ouadi Touékiligo,,,,,,
13145166,241574,fr,Toubo,,,,,,
153727,241575,,Toror,,,,,,
4356731,241575,,Touar,,,,,,
153728,241579,,Oued Totor,,,,,,
5722984,241579,,Ouadi Totor,,,,,,
