AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
518204,933907,,Ile de Sable,,,,,,
518205,933907,,Tromelin,,,,,,
518206,933907,,Tromelin Island,,,,,,
518207,933907,,Sandy Island,,,,,,
1907896,933907,en,Tromelin Island,,,,,,
1907897,933907,fr,Île Tromelin,,,,,,
1907898,933907,es,Isla Tromelin,,,,,,
1907899,933907,de,Tromelin,,,,,,
1907900,933907,ca,Illa de Tromelin,,,,,,
1907901,933907,cs,Tromelin,,,,,,
1907902,933907,et,Tromelin,,,,,,
1907903,933907,it,Tromelin,,,,,,
1907904,933907,ja,トロメリン島,,,,,,
1907905,933907,nl,Tromelin,,,,,,
1907906,933907,pt,Tromelin,,,,,,
1907907,933907,sk,Tromelin,,,,,,
1994725,933907,eo,Tromelino,,,,,,
1994726,933907,ro,Insula Tromelin,,,,,,
3049999,933907,link,https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%BE%D0%BC%D0%BB%D0%B5%D0%BD_%28%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B2%29,,,,,,
7752603,933907,no,Tromelinøya,,,,,,
518208,933908,fr,Île Tromelin,,,,,,
2929501,933908,link,https://en.wikipedia.org/wiki/Tromelin_Island,,,,,,
1641858,933909,en,Europa Island,,,,,,
1641859,933909,pl,Europa,,,,,,
1641860,933909,es,Isla Europa,,,,,,
1641861,933909,de,Europa,,,,,,
1641862,933909,eo,Eŭropinsulo,,,,,,
1641863,933909,fr,Île Europa,,,,,,
1641864,933909,it,Europa,,,,,,
1641865,933909,ja,ユローパ島,,,,,,
1641866,933909,nl,Europa-eiland,,,,,,
1641867,933909,no,Europaøya,,,,,,
1641868,933909,pt,Ilha Europa,,,,,,
1641869,933909,tr,Europe Adası,,,,,,
1641870,933909,uk,Європа,,,,,,
1786398,933909,cs,Ostrov Europa,,,,,,
1903598,933909,ast,Europa,,,,,,
1903599,933909,hr,Europa,,,,,,
1903600,933909,ru,Европа,,,,,,
1989693,933909,ro,Insula Europa,,,,,,
1989694,933909,sk,Europa,,,,,,
1989695,933909,sv,Europa,,,,,,
2929502,933909,link,https://en.wikipedia.org/wiki/Europa_Island,,,,,,
3050000,933909,link,https://ru.wikipedia.org/wiki/%D0%95%D0%B2%D1%80%D0%BE%D0%BF%D0%B0_%28%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B2%29,,,,,,
518211,933910,fr,Île Europa,,,,,,
519331,936201,,Baxos da India,,,,,,
519332,936201,,Baixo da Judia,,,,,,
519333,936201,,Récifs Bassas da India,,,,,,
519334,936201,,Europa Rocks,,,,,,
519335,936201,,Basse de Judie,,,,,,
519336,936201,,Bassas-de- India,,,,,,
13523709,936201,link,https://en.wikipedia.org/wiki/Bassas_da_India,,,,,,
1992814,936202,en,Bassas da India,,,,,,
1992815,936202,de,Bassas da India,,,,,,
1992816,936202,pl,Bassas da India,,,,,,
1992817,936202,es,Bassas da India,,,,,,
1992818,936202,fr,Bassas da India,,,,,,
1992819,936202,cs,Bassas da India,,,,,,
1992820,936202,eo,Bassas da India,,,,,,
1992821,936202,hr,Bassas da India,,,,,,
1992822,936202,it,Bassas da India,,,,,,
1992823,936202,ja,バサス・ダ・インディア,,,,,,
1992824,936202,nl,Bassas da India,,,,,,
1992825,936202,no,Bassas da India,,,,,,
1992826,936202,pt,Bassas da Índia,,,,,,
1992827,936202,ro,Bassas da India,,,,,,
1992828,936202,sk,Bassas da India,,,,,,
1992829,936202,sv,Bassas da India,,,,,,
2920019,936202,link,https://en.wikipedia.org/wiki/Bassas_da_India,,,,,,
519337,936203,,Dark Head,,,,,,
519338,936203,,North Cape,,,,,,
519339,936203,,Cape Vertical,,,,,,
4315709,936203,,Cap Vertical,,,,,,
15649779,936203,wkdt,Q34829034,,,,,,
519340,936204,,Cape Verdoyant,,,,,,
4315712,936204,,Cap Verdoyant,,,,,,
15489919,936204,wkdt,Q34829007,,,,,,
15582894,936207,wkdt,Q31602525,,,,,,
15959815,936207,,Mont des Têtes Grises,,,,,,
519341,936212,,Chenal du Sud,,,,,,
4315743,936212,,Canal du Sud,,,,,,
519342,936213,,Le Styx,,,,,,
4315745,936213,,Styx,,,,,,
15460565,936214,wkdt,Q35423675,,,,,,
15959822,936214,,Val des Sternes,,,,,,
519343,936216,,Dark Head,,,,,,
4315750,936216,,Pointe Sombre,,,,,,
519344,936218,,Cap Seince,,,,,,
4315757,936218,,Pointe Seince,,,,,,
519345,936219,,Red Crag,,,,,,
4315772,936219,,Morne Rouge,,,,,,
519346,936223,,Cap du Gallieni,,,,,,
4315788,936223,,Cap de la Reconnaissance,,,,,,
15567646,936223,wkdt,Q34827400,,,,,,
519347,936225,,Île de la Prise de Possession,,,,,,
519348,936225,,Possession Island,,,,,,
519349,936225,,Île du Roi Charles,,,,,,
519350,936225,,Île Possession,,,,,,
519351,936225,,Prise de Possession Island,,,,,,
4315799,936225,,Île de la Possession,,,,,,
8101769,936225,link,https://en.wikipedia.org/wiki/%C3%8Ele_de_la_Possession,,,,,,
519352,936227,,Îles des Pingouins,,,,,,
519353,936227,,Île Inaccessible,,,,,,
519354,936227,,Isle of Pingouins,,,,,,
519355,936227,,Île Française,,,,,,
519356,936227,,Penguin Island,,,,,,
4315804,936227,,Île des Pingouins,,,,,,
7499974,936227,link,https://en.wikipedia.org/wiki/%C3%8Ele_des_Pingouins,,,,,,
15264754,936228,wkdt,Q35423637,,,,,,
15959868,936228,,Val des Pierriers,,,,,,
519357,936232,,Windy Bay,,,,,,
4315815,936232,,Baie du Petit Caporal,,,,,,
519358,936234,,Roche Percée,,,,,,
4315818,936234,,Rocher Percé,,,,,,
519359,936235,,Roche Penchée,,,,,,
4315819,936235,,Rocher Percé,,,,,,
519360,936236,,Baie du Mâle,,,,,,
519361,936236,,Bull Bay,,,,,,
519362,936236,,Baie de l’Abondance,,,,,,
4315829,936236,,Baie du Pacha,,,,,,
519363,936238,,Monts des Nuées,,,,,,
4315842,936238,,Arête des Nuées,,,,,,
15398395,936238,wkdt,Q31602553,,,,,,
15163558,936239,wkdt,Q31602567,,,,,,
15959880,936239,,Crête du Nouvel An,,,,,,
15323419,936242,wkdt,Q34828497,,,,,,
15959881,936242,,Cap Nord,,,,,,
519364,936243,,Chenal du Nord,,,,,,
4315851,936243,,Canal du Nord,,,,,,
519365,936244,,Baie du Noël,,,,,,
4315854,936244,,Crique de Noël,,,,,,
15734001,936245,wkdt,Q34828516,,,,,,
15959886,936245,,Cap Négligé,,,,,,
519366,936246,,Ship Cove,,,,,,
519367,936246,,Baie du Navire,,,,,,
4315856,936246,,Crique du Navire,,,,,,
15328572,936247,wkdt,Q35433883,,,,,,
15959888,936247,,Vallée du Naufrage,,,,,,
519368,936252,,Moines Point,,,,,,
4315869,936252,,Pointe des Moines,,,,,,
519369,936253,,Rivière Marinette,,,,,,
4315871,936253,,Rivière Moby Dick,,,,,,
15251450,936258,wkdt,Q34827369,,,,,,
15959895,936258,,Cap de la Meurthe,,,,,,
519370,936259,,Cap Max Douguet,,,,,,
519371,936259,,Max Douguet Point,,,,,,
4315876,936259,,Pointe Max Douguet,,,,,,
15305348,936261,wkdt,Q34827838,,,,,,
15959903,936261,,Cap du Marquis de Castries,,,,,,
519372,936263,,Pic Marion,,,,,,
4315883,936263,,Mont Marion-Dufresne,,,,,,
519373,936264,,Campinchi Bay,,,,,,
4315884,936264,,Baie du Marin,,,,,,
519374,936266,,Malpassée Rivière,,,,,,
4315890,936266,,Malpassée,,,,,,
519375,936273,,Mont Lesquin,,,,,,
4315915,936273,,Pic Lesquin,,,,,,
519376,936276,,Cinq Géants,,,,,,
4315918,936276,,Les Cinq Géants,,,,,,
519377,936277,,Rocheren Bec d’Aigle,,,,,,
4315919,936277,,Les Aiguilles,,,,,,
15687311,936277,wkdt,Q31602633,,,,,,
15482730,936278,wkdt,Q31602647,,,,,,
15959926,936278,,Le Pignon Rouge,,,,,,
519378,936281,,Le Haut Roc,,,,,,
4315924,936281,,Le Grand Roc,,,,,,
15331238,936291,wkdt,Q31602674,,,,,,
15959945,936291,,La Tour Blanche,,,,,,
15575691,936292,wkdt,Q31602689,,,,,,
15959946,936292,,La Tour,,,,,,
15774503,936295,wkdt,Q31454551,,,,,,
15959948,936295,,La Selle Mexicaine,,,,,,
15349251,936296,wkdt,Q31454552,,,,,,
15959949,936296,,La Selle Anglaise,,,,,,
519379,936298,,Pyramid Rock,,,,,,
519380,936298,,Rocher Pyramidal,,,,,,
4315944,936298,,La Pyramide,,,,,,
15869708,936309,wkdt,Q31602702,,,,,,
15959956,936309,,La Citadelle,,,,,,
15156625,936313,wkdt,Q31602729,,,,,,
15959959,936313,,La Bonne Mère,,,,,,
15444839,936315,wkdt,Q31602743,,,,,,
15959961,936315,,Monts Jules Verne,,,,,,
519381,936318,,Brisant du Comus,,,,,,
519382,936318,,Rochers de la Meurthe,,,,,,
519383,936318,,Brisant de la Meurthe,,,,,,
519384,936318,,Brisants du Comus,,,,,,
519385,936318,,Brisants de la Meurthe,,,,,,
