AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1120106,2356619,,Pendjari,,,,,,
1120107,2356619,,Kounné Rivière,,,,,,
1120108,2356619,,Pins’héri,,,,,,
1120109,2356619,,Penjari,,,,,,
1572,2363260,,Soholo,,,,,,
1121491,2363260,,Zowla,,,,,,
1121492,2363260,,Seluga,,,,,,
1121493,2363260,,Zowola Kpogere,,,,,,
1121494,2363260,,Zoola Kpoguédé,,,,,,
4258517,2363260,,Zowola Kpoguédé,,,,,,
1121495,2363261,,Zoolagan,,,,,,
4258518,2363261,,Zowolagan,,,,,,
1121496,2363268,,Zoubaïa,,,,,,
4258519,2363268,,Zoubaya,,,,,,
1121497,2363269,,Kpota Kopé,,,,,,
4258520,2363269,,Zotchi Kpota,,,,,,
1121498,2363270,,Zopomahé,,,,,,
4258521,2363270,,Zopomarhé,,,,,,
1121499,2363282,,Kpoguédé,,,,,,
4258522,2363282,,Zokouvé Kpoguédé,,,,,,
1121500,2363284,,Sogbepémé,,,,,,
1121501,2363284,,Zogbépimé,,,,,,
4258523,2363284,,Zogbépémé,,,,,,
1121502,2363285,,Kondoivé,,,,,,
4258524,2363285,,Zogbé Kopé,,,,,,
1121503,2363286,,Ozopekopé,,,,,,
4258525,2363286,,Zogbé Kopé,,,,,,
1121504,2363288,,Popoin Doumé,,,,,,
4258526,2363288,,Zogbedji Papédomé,,,,,,
1121505,2363293,,Akinfénou,,,,,,
4258527,2363293,,Ziwo,,,,,,
1121506,2363297,,Zoviémé,,,,,,
4258528,2363297,,Ziovémé,,,,,,
1121507,2363300,,Atatikopé,,,,,,
4258529,2363300,,Zikpé,,,,,,
1121508,2363303,,Zéglé,,,,,,
4258530,2363303,,Zéglégan,,,,,,
1121509,2363312,,Zaliwé,,,,,,
4258531,2363312,,Zalivé,,,,,,
1121510,2363315,,Yousakofé,,,,,,
4258532,2363315,,Youssakofé,,,,,,
1121511,2363316,,Iounabé,,,,,,
4258533,2363316,,Younabé,,,,,,
1121512,2363322,,Joto,,,,,,
4258534,2363322,,Yoto,,,,,,
1121513,2363334,,Yoméchin,,,,,,
1121514,2363334,,Yométchen,,,,,,
4258535,2363334,,Yométchin,,,,,,
1121515,2363336,,Yokoé Ablégan,,,,,,
4258536,2363336,,Yokoé,,,,,,
1121516,2363338,,Iobo,,,,,,
4258537,2363338,,Yobo,,,,,,
1121517,2363345,,Yenntandi,,,,,,
4258538,2363345,,Yentandi,,,,,,
1121518,2363349,,Yélemmpa,,,,,,
4258539,2363349,,Yélempa,,,,,,
1121519,2363352,,Jege,,,,,,
4258540,2363352,,Yégué,,,,,,
1121520,2363353,,Jege,,,,,,
4258541,2363353,,Yégué,,,,,,
1121521,2363354,,Jébou-Jébou,,,,,,
4258542,2363354,,Yébou Yébou,,,,,,
1121522,2363357,,Yanone,,,,,,
1121523,2363357,,Sayota,,,,,,
4258543,2363357,,Yawéni,,,,,,
1121524,2363358,,Iawaka,,,,,,
4258544,2363358,,Yawaka,,,,,,
7159906,2363358,link,https://en.wikipedia.org/wiki/Yawaka,,,,,,
14897870,2363358,wkdt,Q8050447,,,,,,
7147329,2363361,link,https://en.wikipedia.org/wiki/Yapoutando,,,,,,
7323446,2363361,,Yapoutando,,,,,,
15255751,2363361,wkdt,Q8049123,,,,,,
7124487,2363362,link,https://en.wikipedia.org/wiki/Yaoute,,,,,,
7323447,2363362,,Yaouté,,,,,,
1121525,2363367,,Ayaouo Kopé,,,,,,
1121526,2363367,,Ayahohou Kopé,,,,,,
4258545,2363367,,Yanou Kopé,,,,,,
7159002,2363369,link,https://en.wikipedia.org/wiki/Yankassia,,,,,,
7323448,2363369,,Yankassia,,,,,,
15640414,2363369,wkdt,Q8048722,,,,,,
1121527,2363372,,Jambule,,,,,,
1121528,2363372,,Yamboulé,,,,,,
1121529,2363372,,Yemboulé,,,,,,
1121530,2363372,,Yammboul,,,,,,
4258546,2363372,,Yamboul,,,,,,
1121531,2363377,,Forêt d’Iakouéou,,,,,,
4258547,2363377,,Forêt d’Yakouéou,,,,,,
1121532,2363378,,Yacoubokopé,,,,,,
4258548,2363378,,Yakoubokopé,,,,,,
7185775,2363379,link,https://en.wikipedia.org/wiki/Yakassi,,,,,,
7323449,2363379,,Yakassi,,,,,,
15784399,2363379,wkdt,Q3571349,,,,,,
1121533,2363385,,Iagboué,,,,,,
4258549,2363385,,Yagboué,,,,,,
7162526,2363390,link,https://en.wikipedia.org/wiki/Yachiboule,,,,,,
7323450,2363390,,Yachiboulé,,,,,,
7148858,2363391,link,https://en.wikipedia.org/wiki/Yabido,,,,,,
7323451,2363391,,Yabido,,,,,,
15427416,2363391,wkdt,Q8046373,,,,,,
1121534,2363392,,Iabé,,,,,,
4258550,2363392,,Yabé,,,,,,
1121535,2363399,,Ououto,,,,,,
4258551,2363399,,Wouto,,,,,,
1121536,2363400,,Woame,,,,,,
4258552,2363400,,Woumé,,,,,,
1121537,2363403,,Nutsouto,,,,,,
4258553,2363403,,Wotsouto,,,,,,
1121538,2363408,,Séva,,,,,,
4258554,2363408,,Wonougba Séva,,,,,,
1121539,2363410,,Ouamé,,,,,,
4258555,2363410,,Womé,,,,,,
1121540,2363412,,Ouokpavé,,,,,,
4258556,2363412,,Wokpavé,,,,,,
1121541,2363413,,Rhoukopé,,,,,,
4258557,2363413,,Wo Kopé,,,,,,
1121542,2363415,,Wokambo,,,,,,
1121543,2363415,,Wokammbo,,,,,,
1121544,2363415,,Ouarkambou,,,,,,
1121545,2363415,,Wokambu,,,,,,
4258558,2363415,,Warkambou,,,,,,
1121546,2363422,,Wiané,,,,,,
4258559,2363422,,Wianné,,,,,,
6909738,2363424,link,https://en.wikipedia.org/wiki/Weripi,,,,,,
6922189,2363424,,Wéripi,,,,,,
1121547,2363426,,Wenngou,,,,,,
4258560,2363426,,Wengou,,,,,,
1121548,2363432,,Ouatam,,,,,,
4258561,2363432,,Wato,,,,,,
6896036,2363433,link,https://en.wikipedia.org/wiki/Watalangue,,,,,,
6922190,2363433,,Watalangue,,,,,,
15755630,2363433,wkdt,Q7972977,,,,,,
1121549,2363434,,Savimé,,,,,,
1121550,2363434,,Wasouké,,,,,,
4258562,2363434,,Wassouké,,,,,,
1121551,2363438,,Uarde,,,,,,
1121552,2363438,,Ouardé,,,,,,
4258563,2363438,,Warté,,,,,,
1121553,2363441,,Wapammbouni,,,,,,
4258564,2363441,,Wapambouni,,,,,,
6910236,2363441,link,https://en.wikipedia.org/wiki/Wapambouni,,,,,,
15260855,2363441,wkdt,Q7968227,,,,,,
7043883,2363443,link,https://en.wikipedia.org/wiki/Wango,,,,,,
7111983,2363443,,Wango,,,,,,
15582667,2363443,wkdt,Q3566145,,,,,,
6907386,2363446,link,https://en.wikipedia.org/wiki/Wangbale,,,,,,
6922191,2363446,,Wangbalé,,,,,,
6908327,2363447,link,https://en.wikipedia.org/wiki/Wande_Nadoum,,,,,,
6922192,2363447,,Wandé Nadoum,,,,,,
6904399,2363450,link,https://en.wikipedia.org/wiki/Waman,,,,,,
6922193,2363450,,Waman,,,,,,
15577260,2363450,wkdt,Q7966896,,,,,,
6905542,2363459,link,https://en.wikipedia.org/wiki/Wakade,,,,,,
6922194,2363459,,Wakadé,,,,,,
1121554,2363461,,Wagram,,,,,,
4258565,2363461,,Wagam,,,,,,
6903320,2363461,link,https://en.wikipedia.org/wiki/Wagam,,,,,,
15313737,2363461,wkdt,Q7959470,,,,,,
6900233,2363462,link,https://en.wikipedia.org/wiki/Wadiado,,,,,,
6922195,2363462,,Wadiado,,,,,,
15207631,2363462,wkdt,Q7959274,,,,,,
1121555,2363466,,Woutou,,,,,,
4258566,2363466,,Voutou,,,,,,
1121556,2363468,,Voukopé,,,,,,
4258567,2363468,,Vouto,,,,,,
1121557,2363469,,Woutegblé,,,,,,
4258568,2363469,,Voutégblé,,,,,,
