AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
569739,1131187,,Pomir,,,,,,
569740,1131187,,Pamir Knot,,,,,,
569741,1131187,,Pamir Mountains,,,,,,
569742,1131187,,P’a-mi-erh,,,,,,
569743,1131187,,Pamir Ranges,,,,,,
569744,1131187,,Gory Pamir,,,,,,
569745,1131187,,P’a-mi-erh-kao-yüan,,,,,,
569746,1131187,,Pamir Plateau,,,,,,
1903902,1131187,de,Pamir,,,,,,
1903903,1131187,pl,Pamir,,,,,,
1903904,1131187,es,Pamir,,,,,,
1903905,1131187,fr,Pamir,,,,,,
1903906,1131187,en,Pamir Mountains,,,,,,
1903907,1131187,bg,Памир,,,,,,
1903908,1131187,et,Pamiir,,,,,,
1903909,1131187,fa,کوههای پامیر,,,,,,
1903910,1131187,fi,Pamir,,,,,,
1903911,1131187,it,Pamir,,,,,,
1903912,1131187,ja,パミール高原,,,,,,
1903913,1131187,nl,Pamir,,,,,,
1903914,1131187,ro,Pamir,,,,,,
1903915,1131187,ru,Памир,,,,,,
1903916,1131187,sv,Pamir,,,,,,
1903917,1131187,zh,帕米爾高原,,,,,,
3612732,1131187,,Pamirs,,,,,,
9171175,1131187,link,https://en.wikipedia.org/wiki/Pamir_Mountains,,,,,,
2039660,1143928,fa,دَروَاز,,,,,,
3622484,1143928,ps,Darvāz,,,,,,
5927778,1143928,,Darvāz,,,,,,
612398,1161914,,Zarafshān Alai,,,,,,
3718944,1161914,,Zeravshanskiy Khrebet,,,,,,
7558852,1161914,,Qatorkŭhi Zarafshon,,,,,,
7558853,1161914,,қаторкӯҳи 3арафшон,,,,,,
612414,1161925,,Pik Soglasiya,,,,,,
2930394,1161925,link,https://en.wikipedia.org/wiki/Concord_Peak,,,,,,
3745124,1161925,,Concord Peak,,,,,,
15394421,1161925,wkdt,Q5158843,,,,,,
612434,1161932,,Matchinskiy Gornyy Uzel,,,,,,
3820738,1161932,,Gornyy Uzel Matcha,,,,,,
15435420,1161932,wkdt,Q31471467,,,,,,
612466,1161948,uz,Hisor Tizmasi,,,,,,
612467,1161948,,Gissarskiy Khrebet,,,,,,
612468,1161948,,Gissar Mountains,,,,,,
612469,1161948,,Khrebet Gissarski,,,,,,
3884716,1161948,tg,Qatorkŭhi Hisor,,,,,,
612491,1161958,tg,Qatorkŭhi Bobotogh,,,,,,
612492,1161958,,Bobotogh Tizmasi,,,,,,
612493,1161958,,Gory Baba-Tag,,,,,,
612494,1161958,,Gory Baba-Tau,,,,,,
612495,1161958,,Khrebet Babatag,,,,,,
3920272,1161958,uz,Bobotog‘ Tizmasi,,,,,,
612496,1161959,,Arab,,,,,,
3922096,1161959,,Arabkhana,,,,,,
11996978,1216425,,Navbod,,,,,,
11996979,1216425,,Naubad,,,,,,
633376,1220011,,Shokh,,,,,,
633377,1220011,,Shakh,,,,,,
4020727,1220011,tg,Shoh,,,,,,
7723965,1220011,,Шоҳ,,,,,,
633378,1220012,,Regarskiy Rayon,,,,,,
4020728,1220012,,Tursunzadevskiy Rayon,,,,,,
8330738,1220012,,Tursunzade,,,,,,
8330739,1220012,link,https://en.wikipedia.org/wiki/Tursunzoda_district,,,,,,
8330740,1220012,tg,Турсунзода,,,,,,
633379,1220013,,Obimazar,,,,,,
4020729,1220013,,Obimazor,,,,,,
633381,1220015,,Barsen’,,,,,,
