AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1547372,4031073,,Union Group,,,,,,
1547373,4031073,,Tokelau Islands Dependency,,,,,,
1547374,4031073,,Tokalau Islands,,,,,,
1547375,4031073,,Tokelan Islands,,,,,,
1547376,4031073,,Tokolau,,,,,,
1547377,4031073,,Union Islands,,,,,,
1547378,4031073,,Tokelau Group,,,,,,
1627192,4031073,ca,Illes Tokelau,,,,,,
4315685,4031073,,Tokelau Islands,,,,,,
1627190,4031074,ca,Tokelau,,,,,,
1627191,4031074,oc,Tokelau,,,,,,
2417942,4031074,am,ቶክላው,1,,,,,
2417943,4031074,ar,توكيلو,1,,,,,
2417944,4031074,be,Такелаў,1,,,,,
2417945,4031074,bg,Токелау,1,,,,,
2417946,4031074,bn,টোকেলাউ,1,,,,,
2417947,4031074,cs,Tokelau,1,,,,,
2417948,4031074,cy,Tokelau,1,,,,,
2417949,4031074,da,Tokelau,1,,,,,
2417950,4031074,de,Tokelau,1,,,,,
2417951,4031074,el,Τοκελάου,1,,,,,
2417952,4031074,en,Tokelau,1,,,,,
2417953,4031074,es,Tokelau,1,,,,,
2417954,4031074,et,Tokelau,1,,,,,
2417955,4031074,eu,Tokelau,1,,,,,
2417956,4031074,fa,توکلائو,1,,,,,
2417957,4031074,fi,Tokelau,1,,,,,
2417958,4031074,fr,Tokelau,1,,,,,
2417959,4031074,ga,Tócalá,1,,,,,
2417960,4031074,gl,Tokelau,1,,,,,
2417961,4031074,he,טוקלאו,1,,,,,
2417962,4031074,hi,तोकेलाउ,1,,,,,
2417963,4031074,hr,Tokelau,1,,,,,
2417964,4031074,hu,Tokelau,1,,,,,
2417965,4031074,ia,Tokelau,1,,,,,
2417966,4031074,id,Tokelau,1,,,,,
2417967,4031074,is,Tókelá,1,,,,,
2417968,4031074,it,Tokelau,1,,,,,
2417969,4031074,ja,トケラウ諸島,1,,,,,
2417970,4031074,ko,토켈라우,1,,,,,
2417971,4031074,lo,ໂທກິໂລ,1,,,,,
