AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
786456,1622470,,Kabupaten Vikeke,,,,,,
786458,1622470,,Kabupaten Viqueque,,,,,,
786459,1622470,,Circunscrição Civil de Viqueque,,,,,,
2935548,1622470,link,https://en.wikipedia.org/wiki/Viqueque_District,,,,,,
3956813,1622470,en,Viqueque,,1,,,,
6910590,1622470,pt,Distrito Viqueque,,,,,,
6910591,1622470,tet,Distritu Viqueque,,,,,,
6910592,1622470,id,Kabupaten Viqueque,,,,,,
8730934,1622470,en,Viqueque District,,,,,,
8730935,1622470,it,Distretto di Viqueque,,,,,,
8730936,1622470,bg,Викуке,,,,,,
8730937,1622470,he,ויקקה,,,,,,
8730938,1622470,ja,ヴィケケ県,,,,,,
8730939,1622470,ka,ვიკეკეს ოლქი,,,,,,
8730940,1622470,ko,비케케 현,,,,,,
8730941,1622470,pnb,ضلع ویکیوکو,,,,,,
8730942,1622470,tet,Vikeke,,,,,,
8730943,1622470,pl,Dystrykt Viqueque,,,,,,
8730944,1622470,ru,Викеке,,,,,,
8730945,1622470,zh,維克克區,,,,,,
11365652,1622470,ur,ویقیقی ضلع,,,,,,
11760582,1622470,fr,Viqueque,,,,,,
13912954,1622470,tet,Munisípiu Vikeke,,,,,,
13912955,1622470,pt,Município de Viqueque,,,,,,
786460,1622471,,Vikeke,,,,,,
3956814,1622471,,Viqueque,,,,,,
7484413,1622471,iata,VIQ,,,,,,
8324756,1622471,ko,비케케,,,,,,
8324757,1622471,ru,Викеке,,,,,,
8324758,1622471,zh,維克克,,,,,,
15679992,1622471,wkdt,Q1011863,,,,,,
15911074,1622471,link,https://en.wikipedia.org/wiki/Viqueque,,,,,,
786469,1622480,,Vinilale,,,,,,
786470,1622480,,Vila Viçosa,,,,,,
3956820,1622480,,Venilale,,,,,,
15911051,1622480,link,https://en.wikipedia.org/wiki/Venilale,,,,,,
15857672,1622481,wkdt,Q1231353,,,,,,
15916581,1622481,,Vemasse,,,,,,
786471,1622482,,Rio Vei Tuku,,,,,,
786472,1622482,,Vei Tuku,,,,,,
786473,1622482,,Tuca,,,,,,
3956821,1622482,,Ue Tuco,,,,,,
786494,1622500,,Nuno Heno,,,,,,
786495,1622500,,Nuno Neno,,,,,,
786496,1622500,,Noenoe Heno,,,,,,
3956839,1622500,,Valverde,,,,,,
786736,1622655,,Uanafa,,,,,,
786737,1622655,,Wanafa,,,,,,
786738,1622655,,Unafa,,,,,,
3956993,1622655,,Unafo,,,,,,
787086,1622866,,Hato-Lari,,,,,,
787087,1622866,,Leça,,,,,,
787088,1622866,,Uatu-Lari,,,,,,
3957200,1622866,,Uatolari,,,,,,
787089,1622867,,Nova Bemfica,,,,,,
787090,1622867,,Hato Carbau,,,,,,
787091,1622867,,Nova Benfica,,,,,,
787092,1622867,,Uato-Carabau,,,,,,
3957201,1622867,,Uato-Carbau,,,,,,
11663155,1622867,,Uatocarabau,,,,,,
787169,1622913,,Tutu Loro,,,,,,
787170,1622913,,Tuto-Luro,,,,,,
3957245,1622913,,Tutu Luro,,,,,,
787213,1622946,,Turiscae,,,,,,
3957275,1622946,,Turiscai,,,,,,
15377597,1622946,wkdt,Q2460763,,,,,,
15911068,1622946,link,https://en.wikipedia.org/wiki/Turiscai,,,,,,
11663156,1623092,,Tulaika,,,,,,
11663157,1623092,,Tulham,,,,,,
11663158,1623092,,Foel Ikan,,,,,,
2935558,1623886,link,https://en.wikipedia.org/wiki/Tilomar,,,,,,
3958031,1623886,,Tilomar,,,,,,
15251882,1623886,wkdt,Q493775,,,,,,
788373,1623965,,Nova Algés,,,,,,
3958090,1623965,,Tibar,,,,,,
788374,1623966,,Baía de Tíbar,,,,,,
788375,1623966,,Tíbar,,,,,,
3958091,1623966,,Teluk Tibar,,,,,,
789056,1624631,,Fatamailau,,,,,,
789057,1624631,,Pico do Ramelau,,,,,,
789058,1624631,,Monte Tata Mailau,,,,,,
789059,1624631,,Tata Mailau,,,,,,
789060,1624631,,Tatamailalau,,,,,,
3958579,1624631,,Foho Tatamailau,,,,,,
5713478,1624631,link,https://en.wikipedia.org/wiki/Tatamailau,,,,,,
789119,1624674,,Gunung Taroman,,,,,,
789120,1624674,,Monte Taroman,,,,,,
3958620,1624674,,Lolo Taroman,,,,,,
7723954,1624674,,Mount Taroman,,,,,,
11310226,1624674,link,https://en.wikipedia.org/wiki/Taroman,,,,,,
15263662,1624674,wkdt,Q31379671,,,,,,
790279,1625583,,Gunung Tahuro,,,,,,
790280,1625583,,Monte Tahuro,,,,,,
3959367,1625583,,Tahuro,,,,,,
15762150,1625583,wkdt,Q31379675,,,,,,
790350,1625637,,Tiboro River,,,,,,
790351,1625637,,Rio Tafara,,,,,,
790352,1625637,,Tafara,,,,,,
3959409,1625637,,Mota Tafara,,,,,,
7723955,1625637,,River Tafara,,,,,,
790353,1625638,,Ponta Tafara,,,,,,
790354,1625638,,Tandjoeng Tafara,,,,,,
3959410,1625638,,Tanjung Tafara,,,,,,
7723956,1625638,,Point Tafara,,,,,,
790486,1625756,,Ili Soeoem,,,,,,
790487,1625756,,Isuum,,,,,,
790488,1625756,,Monte Suum,,,,,,
3959510,1625756,,Suum,,,,,,
11663162,1625756,,Gunung Uaureu,,,,,,
791039,1626200,,Sumasse,,,,,,
791040,1626200,,Rio Sumasse,,,,,,
791041,1626200,,Rio Sumassa,,,,,,
3959895,1626200,,Sungai Sumasse,,,,,,
791307,1626413,,Rio Sue,,,,,,
791308,1626413,,Rio Sui,,,,,,
791309,1626413,,Sue,,,,,,
3960067,1626413,,Mota Sui,,,,,,
791345,1626438,,Tandjoeng Soebang,,,,,,
791346,1626438,,Tandjung Subang,,,,,,
791347,1626438,,Ponta Subão,,,,,,
791348,1626438,,Tandjung Subao,,,,,,
3960088,1626438,,Subão,,,,,,
15518386,1626438,wkdt,Q24831145,,,,,,
791378,1626459,,Swai,,,,,,
791379,1626459,,Soeai,,,,,,
2935592,1626459,link,https://en.wikipedia.org/wiki/Suai%2C_East_Timor,,,,,,
3960110,1626459,,Suai,,,,,,
7485441,1626459,iata,UAI,,,,,,
8319895,1626459,zh,蘇艾,,,,,,
11528437,1626459,ur,سوائی,,,,,,
11528438,1626459,ru,Суаи,,,,,,
11760586,1626459,fr,Suai,,,,,,
13800345,1626459,unlc,TLSUA,,,,,,
791589,1626686,,Soilaoa,,,,,,
791590,1626686,,Saibada,,,,,,
3960281,1626686,,Soibada,,,,,,
15245542,1626686,wkdt,Q2297934,,,,,,
791664,1626766,,Sizal,,,,,,
791665,1626766,,Rio Sizal,,,,,,
791666,1626766,,Vemasse,,,,,,
3960336,1626766,,Sungai Vemasse,,,,,,
791941,1627086,,Vei-Laivai,,,,,,
3960609,1627086,,Silvícola,,,,,,
792186,1627318,,Mola Silata,,,,,,
792187,1627318,,Rio Siata,,,,,,
3960829,1627318,,Mota Siata,,,,,,
792227,1627371,,Tanjung Sewirawa,,,,,,
792228,1627371,,Tandjoeng Sewirawa,,,,,,
792229,1627371,,Ponta Sevirava,,,,,,
792230,1627371,,Ponta Sevivara,,,,,,
792231,1627371,,Sevivara,,,,,,
792232,1627371,,Tandjoeng Sevivara,,,,,,
3960861,1627371,,Tanjung Cutcha,,,,,,
13800346,1627371,unlc,TLSVP,,,,,,
13928383,1627371,,Kapala Tanah,,,,1,,
15503814,1627397,wkdt,Q24838130,,,,,,
15916655,1627397,,Sete Pontas,,,,,,
792784,1627989,,Seni,,,,,,
792785,1627989,,Monte Seli,,,,,,
3961289,1627989,,Seli,,,,,,
14938420,1627989,wkdt,Q31379681,,,,,,
792980,1628189,,Seiçal,,,,,,
792981,1628189,,Rio Seiçal,,,,,,
792982,1628189,,Sizal,,,,,,
792983,1628189,,Rio Seissal,,,,,,
3961414,1628189,,Sungai Seisal,,,,,,
7171907,1628189,link,https://en.wikipedia.org/wiki/Sei%C3%A7al_River,,,,,,
13393285,1628189,,River Seisal,,,,,,
793753,1628910,,Samono,,,,,,
793754,1628910,,Monte Samoro,,,,,,
3961950,1628910,,Samoro,,,,,,
11663163,1628910,,Foho Samono,,,,,,
793769,1628926,,Vila Filomeno da Câmara,,,,1,,
793770,1628926,,Vila Filomena da Camara,,,,1,,
3961959,1628926,,Same,,,,,,
13928506,1628926,ur,ساہمے، مشرقی تیمور,,,,,,
13928507,1628926,link,https://en.wikipedia.org/wiki/Same%2C_East_Timor,,,,,,
13928508,1628926,zh,薩姆,,,,,,
13928509,1628926,ru,Саме,,,,,,
15282692,1628926,wkdt,Q932640,,,,,,
794121,1629235,,Sahem,,,,,,
794122,1629235,,Rio Sahem,,,,,,
794123,1629235,,Sahi River,,,,,,
794124,1629235,,Sabi River,,,,,,
794125,1629235,,Rio Sahe,,,,,,
3962182,1629235,,Sungai Sahen,,,,,,
794193,1629307,,Tandjoeng Loesan Batoe,,,,,,
794194,1629307,,Ponta Sacato,,,,,,
794195,1629307,,Tandjoeng Loebanbatoe,,,,,,
3962233,1629307,,Sacato,,,,,,
11663164,1629307,id,Tanjung Sakato,,,,,,
794614,1629657,,Rio Riata,,,,,,
3962512,1629657,,Riata,,,,,,
11663165,1629657,,River Raiketan,,,,,,
11663166,1629657,,Mota Raiketan,,,,,,
11663167,1629657,,Ribeira Raiqueta,,,,,,
794671,1629736,,Remixio,,,,,,
3962561,1629736,,Remexio,,,,,,
795095,1630158,,Monte Ramelau,,,,,,
795096,1630158,,Ramelau Range,,,,,,
3962867,1630158,,Ramelau,,,,,,
15583428,1630158,wkdt,Q35704491,,,,,,
7723957,1630230,,Raimea,,,,,,
7723958,1630230,,Rai Mean,,,,,,
795197,1630231,,Liu,,,,,,
3962925,1630231,,Railaco,,,,,,
15867893,1630231,wkdt,Q2127658,,,,,,
796457,1631364,,Gunung Perdido,,,,,,
796458,1631364,,Monte Mundo Perdido,,,,,,
3963848,1631364,,Gunung Mundoperdido,,,,,,
15361844,1631364,wkdt,Q1703998,,,,,,
797173,1632038,,Pasabe,,,,,,
797174,1632038,,Pasab,,,,,,
3964359,1632038,,Pássabe,,,,,,
15911070,1632038,link,https://en.wikipedia.org/wiki/Passabe,,,,,,
797385,1632317,,Parimbala,,,,,,
797386,1632317,,Ponta Carimbala,,,,,,
797387,1632317,,Ponta Parimbala,,,,,,
797388,1632317,,Tandjoeng Parimbala,,,,,,
3964555,1632317,,Inur Carimbala,,,,,,
15477338,1632317,wkdt,Q34946126,,,,,,
797573,1632533,,Pante Macassar,,,,,,
797574,1632533,,Vila Taveiro,,,,,,
797575,1632533,,Pante-Makassar,,,,,,
2935644,1632533,link,https://en.wikipedia.org/wiki/Pante_Macassar,,,,,,
3964710,1632533,,Pante Makasar,,,,,,
15556601,1632533,wkdt,Q263005,,,,,,
798597,1633533,,Ossoala,,,,,,
3965450,1633533,,Ossuala,,,,,,
798598,1633534,,Belas,,,,,,
798599,1633534,,Osu,,,,,,
3965451,1633534,,Ossu,,,,,,
15911073,1633534,link,https://en.wikipedia.org/wiki/Ossu_(East_Timor),,,,,,
798743,1633666,,Oessilo,,,,,,
3965567,1633666,,Oesilo,,,,,,
15436128,1633666,wkdt,Q2015226,,,,,,
798744,1633668,,Oé-Nuno,,,,,,
3153549,1633668,,Oenoenoe,,,,,,
7356946,1633668,,River Oenuno,,,,,,
799067,1633864,,Laivai,,,,,,
3965744,1633864,,Nova Âncora,,,,,,
7299274,1633920,,Nítibe,,,,,,
7356947,1633920,,Nitibe,,,,,,
15445604,1633920,wkdt,Q1993915,,,,,,
15911069,1633920,link,https://en.wikipedia.org/wiki/Nitibe,,,,,,
800285,1634940,,Mau-Pitine,,,,,,
3966588,1634940,,Mua Pitine,,,,,,
800333,1634975,,Buku Comoro,,,,,,
800334,1634975,,Tandjung Mauduqui Motael,,,,,,
800335,1634975,,Tandjoeng Mau Doeki,,,,,,
800336,1634975,,Ponta de Mótael,,,,,,
800337,1634975,,Cape Motael,,,,,,
3966620,1634975,,Mótael,,,,,,
13447424,1634975,,Point Comoro,,,,,,
800338,1634977,,Motaaln,,,,,,
3966621,1634977,,Motaain,,,,,,
8689433,1634977,link,https://en.wikipedia.org/wiki/Mota%27ain,,,,,,
800379,1635007,,Morri,,,,,,
3966645,1635007,,Morai,,,,,,
800632,1635225,,Maubesse,,,,,,
800633,1635225,,Mau-Bessi,,,,,,
800634,1635225,,Mindelo,,,,,,
3966802,1635225,,Maubisse,,,,,,
800705,1635288,,Met Naro,,,,,,
2935670,1635288,link,https://en.wikipedia.org/wiki/Metinaro,,,,,,
3966885,1635288,,Metinaro,,,,,,
801030,1635614,,Memoe,,,,,,
3967102,1635614,,Memo,,,,,,
801257,1635814,,Mau Mata,,,,,,
801258,1635814,,Mau Metan,,,,,,
3967249,1635814,,Mau Meta,,,,,,
7999844,1635814,,Atauro,,,,,,
13800340,1635814,unlc,TLAUT,,,,,,
7299277,1635822,,Maucátar,,,,,,
801272,1635823,,Maubesse,,,,,,
801273,1635823,,Maubise,,,,,,
801274,1635823,,Maobisse,,,,,,
3967259,1635823,,Maubisse,,,,,,
6877409,1635823,link,https://en.wikipedia.org/wiki/Maubisse,,,,,,
15303503,1635823,wkdt,Q1506450,,,,,,
801278,1635826,,Maubarú,,,,,,
2935675,1635826,link,https://en.wikipedia.org/wiki/Maubara,,,,,,
3967262,1635826,,Maubara,,,,,,
801367,1635918,,Pematang Matabia,,,,,,
801368,1635918,,Monte Mata Bia,,,,,,
801369,1635918,,Mata Bia,,,,,,
801370,1635918,,Mate-Bian,,,,,,
3967347,1635918,,Pegunungan Matabean,,,,,,
15634907,1635918,wkdt,Q31477521,,,,,,
801514,1636042,,Marobo,,,,,,
801515,1636042,,Mota Maroboe,,,,,,
801516,1636042,,Mota Moraba,,,,,,
801517,1636042,,Rio Marobo,,,,,,
3967453,1636042,,Mota Marobo,,,,,,
801518,1636043,,Marabo,,,,,,
3967454,1636043,,Marobo,,,,,,
801808,1636309,,Same,,,,,,
801809,1636309,,Kabupaten Manofahi,,,,,,
1953246,1636309,es,Manufahi,,,,,,
1953247,1636309,pl,Dystrykt Manufahi,,,,,,
1953248,1636309,de,Manufahi,,,,,,
1953249,1636309,en,Manufahi,,1,,,,
1953250,1636309,id,Manufahi,,,,,,
1953251,1636309,pt,Manufahi,,,,,,
1953252,1636309,tet,Manufahi,,,,,,
2036924,1636309,fr,Manufahi,,,,,,
2935683,1636309,link,https://en.wikipedia.org/wiki/Manufahi_District,,,,,,
3967645,1636309,,Manufahi,,,,,,
6910593,1636309,pt,Distrito Manufahi,,,,,,
6910594,1636309,tet,Distritu Manufahi,,,,,,
6910595,1636309,id,Kabupaten Manofahi,,,,,,
9395962,1636309,bg,Мануфахи,,,,,,
9395963,1636309,he,מחוז מנופני,,,,,,
9395964,1636309,ja,マヌファヒ県,,,,,,
9395966,1636309,ka,მანუფაის ოლქი,,,,,,
9395968,1636309,ko,마누파히 주,,,,,,
9395969,1636309,pnb,ضلع مانوفاہی,,,,,,
9395970,1636309,ru,Мануфахи,,,,,,
9395972,1636309,zh,馬努法伊縣,,,,,,
13912956,1636309,tet,Munisípiu Manufahi,,,,,,
13912957,1636309,pt,Município de Manufahi,,,,,,
801975,1636452,,Ponta Manemara,,,,,,
801976,1636452,,Tandjoeng Lalete,,,,,,
801977,1636452,,Manemara,,,,,,
801978,1636452,,Tandjoeng Laleta,,,,,,
801979,1636452,,Tandjung Manemara,,,,,,
801980,1636452,,Ponta Lalete,,,,,,
3967756,1636452,,Tanjung Laletek,,,,,,
802052,1636525,,Kabupaten Manatuto,,,,,,
2935686,1636525,link,https://en.wikipedia.org/wiki/Manatuto_District,,,,,,
3967801,1636525,en,Manatuto,,1,,,,
5813144,1636525,pt,Distrito Manatuto,,,,,,
5813145,1636525,tet,Distritu Manatuto,,,,,,
5906212,1636525,id,Kabupaten Manatuto,,,,,,
9394914,1636525,en,Manatuto District,,,,,,
9394915,1636525,it,Distretto di Manatuto,,,,,,
9394916,1636525,bg,Манутуту,,,,,,
9394917,1636525,he,מנטוטו,,,,,,
9394918,1636525,ja,マナトゥト県,,,,,,
9394919,1636525,ka,მანატუტუს ოლქი,,,,,,
9394920,1636525,ko,마나투투 현,,,,,,
9394921,1636525,pnb,ضلع ماناٹوٹو,,,,,,
9394922,1636525,tet,Manatutu,,,,,,
9394923,1636525,pl,Dystrykt Manatuto,,,,,,
9394924,1636525,ru,Манатуту,,,,,,
9394925,1636525,zh,馬納圖托區,,,,,,
11634229,1636525,ur,ماناتوتو ضلع,,,,,,
11760580,1636525,fr,Manatuto,,,,,,
13912958,1636525,tet,Munisípiu Manatutu,,,,,,
13912959,1636525,pt,Município de Manatuto,,,,,,
15700317,1636525,wkdt,Q860630,,,,,,
802053,1636526,,Vila de Manatuto,,,,,,
802054,1636526,,Manatutu,,,,,,
802055,1636526,,Manatoetoe,,,,,,
3967802,1636526,,Manatuto,,,,,,
6879857,1636526,link,https://en.wikipedia.org/wiki/Manatuto,,,,,,
15394607,1636526,wkdt,Q1011873,,,,,,
802247,1636668,,Mota Malibaka,,,,,,
802248,1636668,,Rio Male Baca,,,,,,
802249,1636668,,Rio Malibaca,,,,,,
3967907,1636668,,Mota Malibaca,,,,,,
2935691,1636670,link,https://en.wikipedia.org/wiki/Maliana,,,,,,
3967908,1636670,,Maliana,,,,,,
7485584,1636670,iata,MPT,,,,,,
8318143,1636670,ko,말리아나,,,,,,
8318144,1636670,ja,マリアナ,,,,,,
8318145,1636670,zh,瑪利亞娜,,,,,,
11485741,1636670,ur,مالیانا,,,,,,
11760585,1636670,fr,Maliana,,,,,,
13800343,1636670,unlc,TLMPT,,,,,,
14972785,1636670,wkdt,Q1020338,,,,,,
802329,1636744,,Ribeira Malailada,,,,,,
802330,1636744,,Malai Lada,,,,,,
802331,1636744,,Rio Malai Lada,,,,,,
3967953,1636744,,Sungai Malailada,,,,,,
802476,1636872,,Tandjoeng Maguer,,,,,,
802477,1636872,,Ponta Maguer,,,,,,
802478,1636872,,Ponta Maquer,,,,,,
3968048,1636872,,Maguer,,,,,,
802560,1636965,,Maquedade,,,,,,
802561,1636965,,Makadade,,,,,,
802562,1636965,,Mascadade,,,,,,
3968110,1636965,,Macadade,,,,,,
7999862,1636965,,Berau,,,,,,
15911055,1637023,link,"https://en.wikipedia.org/wiki/Luro,_East_Timor",,,,,,
15916827,1637023,,Luro,,,,,,
802780,1637113,,Monte L. Hito,,,,,,
802781,1637113,,Monte Luhito,,,,,,
802782,1637113,,Gunung Leohitu,,,,,,
802783,1637113,,Goenoeng Leohitoe,,,,,,
3968247,1637113,,Luhito,,,,,,
15516813,1637113,wkdt,Q31379690,,,,,,
802798,1637119,,Loeka River,,,,,,
802799,1637119,,Rio Luca,,,,,,
3968257,1637119,,Luca,,,,,,
11663171,1637119,,Sungai Luca,,,,,,
802946,1637249,,Tandjung Su Loro,,,,,,
802947,1637249,,Tandjoeng Lore,,,,,,
802948,1637249,,Tandjoeng Soe Loro,,,,,,
802949,1637249,,Loré,,,,,,
802950,1637249,,Ponta Loré,,,,,,
3968368,1637249,,Tanjung Lore,,,,,,
15394909,1637249,wkdt,Q24881012,,,,,,
802971,1637271,,Rio Lono Mean,,,,,,
802972,1637271,,Lono Mea,,,,,,
802973,1637271,,Rio Lono Mea,,,,,,
3968384,1637271,,Mota Moea,,,,,,
7723959,1637271,,River Moea,,,,,,
803147,1637457,,Lois,,,,,,
803148,1637457,,Rio Lois,,,,,,
3968508,1637457,,Mota Loes,,,,,,
803149,1637458,,Loiquere,,,,,,
803150,1637458,,Loikero,,,,,,
3968509,1637458,,Loiquero,,,,,,
803451,1637729,,Circunscrição Civil de Liquiçá,,,,,,
803452,1637729,,Kabupaten Liquica,,,,,,
803453,1637729,en,Liquiçá,,1,,,,
803454,1637729,,Kabupaten Likisia,,,,,,
2935703,1637729,link,https://en.wikipedia.org/wiki/Liqui%C3%A7%C3%A1_District,,,,,,
3968700,1637729,,Liquica,,,,,,
5813146,1637729,pt,Distrito Liquiçá,,,,,,
5813147,1637729,tet,Distritu Liquiçá,,,,,,
5906213,1637729,id,Kabupaten Liquica,,,,,,
5906214,1637729,pt,Circunscrição Civil de Liquiçá,,,,,,
9394926,1637729,en,Liquiçá District,,,,,,
9394927,1637729,it,Distretto di Liquiçá,,,,,,
9394928,1637729,bg,Ликика,,,,,,
9394929,1637729,he,מחוז ליקיסה,,,,,,
9394930,1637729,ja,リキシャ県,,,,,,
9394931,1637729,ka,ლიკისის ოლქი,,,,,,
9394932,1637729,ko,리키사 주,,,,,,
9394933,1637729,pnb,ضلع لیکوئکا,,,,,,
9394934,1637729,tet,Likisá,,,,,,
9394935,1637729,pl,Dystrykt Liquiçá,,,,,,
9394936,1637729,ru,Ликиса,,,,,,
9394937,1637729,zh,利逵薩縣,,,,,,
11760578,1637729,fr,Liquiçá,,,,,,
13912960,1637729,tet,Munisípiu Likisá,,,,,,
13912961,1637729,pt,Município de Liquiçá,,,,,,
803455,1637730,,Vila de Liquiçá,,,,,,
803456,1637730,,Liquissa,,,,,,
803457,1637730,,Vila de liquissa,,,,,,
803458,1637730,,Likisa,,,,,,
803459,1637730,,Likisia,,,,,,
3968701,1637730,,Liquica,,,,,,
11760587,1637730,fr,Liquiçá,,,,,,
13913097,1637730,tet,Likisá,,,,,,
13913098,1637730,pt,Liquiçá,,,,,,
6916357,1637754,,Lifau,,,,,,
11663172,1637754,,Sifaoe,,,,,,
803639,1637901,,Nova Obidos,,,,,,
803640,1637901,,Leto-Foho,,,,,,
3968859,1637901,,Letefoho,,,,,,
15361264,1637901,wkdt,Q1821056,,,,,,
803891,1638192,,Lebus,,,,,,
803892,1638192,,Leboes,,,,,,
3969068,1638192,,Lebos,,,,,,
803992,1638294,,Kabupaten Lautem,,,,,,
803993,1638294,,Circunscrição Civil de Lautém,,,,,,
3969136,1638294,en,Lautém,,1,,,,
5813148,1638294,pt,Distrito Lautém,,,,,,
5813149,1638294,tet,Distritu Lautém,,,,,,
5906215,1638294,id,Kabupaten Lautem,,,,,,
5906216,1638294,pt,Circunscrição Civil de Lautém,,,,,,
7196832,1638294,link,https://en.wikipedia.org/wiki/Laut%C3%A9m_District,,,,,,
9394887,1638294,en,Lautém District,,,,,,
9394888,1638294,es,Lautem,,,,,,
9394889,1638294,it,Distretto di Lautém,,,,,,
9394890,1638294,bg,Лаутем,,,,,,
9394891,1638294,he,לאוטם,,,,,,
9394892,1638294,ja,ラウテン県,,,,,,
9394893,1638294,ka,ლაუტენის ოლქი,,,,,,
9394894,1638294,ko,라우템 현,,,,,,
9394895,1638294,ms,Lautem,,,,,,
9394896,1638294,pnb,ضلع لاؤٹم,,,,,,
9394897,1638294,tet,Lautein,,,,,,
9394898,1638294,pl,Dystrykt Lautém,,,,,,
9394899,1638294,ru,Лаутен,,,,,,
9394900,1638294,zh,勞滕區,,,,,,
11559598,1638294,ur,لاوتیم ضلع,,,,,,
11760577,1638294,fr,Lautém,,,,,,
13912962,1638294,tet,Munisípiu Lautein,,,,,,
13912963,1638294,pt,Município de Lautém,,,,,,
803994,1638295,,Vila Nova Malaca,,,,,,
803995,1638295,,Lauten,,,,,,
803996,1638295,,Vila Nova de Malaca,,,,,,
803997,1638295,,Lautain,,,,,,
803998,1638295,,Nova-Malaca,,,,,,
803999,1638295,,Lautaim,,,,,,
3969137,1638295,,Lautem,,,,,,
8675265,1638295,link,https://en.wikipedia.org/wiki/Laut%C3%A9m_%28city%29,,,,,,
804015,1638307,,Lauloro,,,,,,
804016,1638307,,Dara Laulara,,,,,,
3969151,1638307,,Laulara,,,,,,
15426684,1638307,wkdt,Q622920,,,,,,
804018,1638309,,Lau-Ile,,,,,,
804019,1638309,,Lauelo,,,,,,
804020,1638309,,Lauela,,,,,,
804021,1638309,,Rio Lauela,,,,,,
3969154,1638309,,Mota Lauveli,,,,,,
804452,1638665,,Monte Lalimilau,,,,,,
3969468,1638665,,Lalimilau,,,,,,
15439141,1638665,wkdt,Q32211865,,,,,,
804463,1638672,,Rio Laleia,,,,,,
3969472,1638672,,Laleia,,,,,,
11663173,1638672,,River Laleia,,,,,,
804464,1638673,,Leleia,,,,,,
3969473,1638673,,Laleia,,,,,,
7186375,1638673,link,https://en.wikipedia.org/wiki/Laleia,,,,,,
11663174,1638673,,Lifau,,,,,,
15802572,1638673,wkdt,Q1801231,,,,,,
804488,1638695,,Monte Lakus,,,,,,
3969488,1638695,,Lakus,,,,,,
15621083,1638695,wkdt,Q31379712,,,,,,
804531,1638736,,Lavai,,,,,,
804532,1638736,,Rio Laivai,,,,,,
804533,1638736,,Laivai,,,,,,
3969515,1638736,,Sungai Lavai,,,,,,
13393309,1638736,,River Laivai,,,,,,
804534,1638737,,Laivai,,,,,,
804535,1638737,,Ponta Laivai,,,,,,
804536,1638737,,Tanjung Laivai,,,,,,
804537,1638737,,Tandjoeng Laivai,,,,,,
804538,1638737,,Punta Lavai,,,,,,
3969516,1638737,,Tanjung Laidalu,,,,,,
13393310,1638737,,Point Laidalu,,,,,,
804576,1638778,,Lahae,,,,,,
3969545,1638778,,Lahane,,,,,,
2935708,1638803,link,https://en.wikipedia.org/wiki/Laga_Subdistrict,,,,,,
3969569,1638803,,Laga,,,,,,
11588915,1638803,en,Laga Subdistrict,,,,,,
7533428,1638832,link,https://en.wikipedia.org/wiki/Lacluta,,,,,,
7559150,1638832,,Lacluta,,,,,,
804631,1638833,,Vila de Ourique,,,,,,
804632,1638833,,Laklubar,,,,,,
804633,1638833,,Luclubar,,,,,,
3969600,1638833,,Laclubar,,,,,,
7126881,1638833,link,https://en.wikipedia.org/wiki/Laclubar,,,,,,
15455704,1638833,wkdt,Q19288713,,,,,,
804634,1638834,,South Laclo River,,,,,,
804635,1638834,,Lacló,,,,,,
804636,1638834,,Lacló do Sul,,,,,,
804637,1638834,,Rio Lacló do Sul,,,,,,
3969601,1638834,,Sungai Laclodosul,,,,,,
804638,1638835,,North Laclo River,,,,,,
804639,1638835,,Lacló,,,,,,
804640,1638835,,Lacló do Norte Rio,,,,,,
804641,1638835,,Mota Laclo,,,,,,
804642,1638835,,Lacla Rio,,,,,,
804643,1638835,,Ribeira Laclo,,,,,,
804644,1638835,,Lacló do Norte,,,,,,
3969602,1638835,,Sungai Laclo,,,,,,
7510551,1638835,link,https://en.wikipedia.org/wiki/Northern_Laclo_River,,,,,,
10724474,1638835,,Rio Laclo,,,,,,
804645,1638836,,Lucló,,,,,,
3969603,1638836,,Laclo,,,,,,
7186702,1638836,link,https://en.wikipedia.org/wiki/Laclo,,,,,,
15549869,1638836,wkdt,Q17623077,,,,,,
804878,1638980,,Monte Kutolau,,,,,,
804879,1638980,,Monte Kotalau,,,,,,
3969728,1638980,,Kutolau,,,,,,
15226437,1638980,wkdt,Q32206289,,,,,,
