AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
107121,145476,,Gora Missinëv-Dag,,,,,,
107122,145476,,Gora Masinev,,,,,,
15429804,145476,wkdt,Q31493931,,,,,,
116223,161368,,Kotor Tepp,,,,,,
116224,161368,,Koturdepe,,,,,,
116225,161368,,Kotur-Tepe,,,,,,
4019603,161368,,Goturdepe,,,,,,
116226,161369,,Gora Gekpatlavuk,,,,,,
116227,161369,,Kok-Patlauk,,,,,,
116228,161369,,Zelenyy Bugor,,,,,,
116229,161369,,Gekpatlavuk,,,,,,
4019604,161369,,Gora Gëkpatlaukh,,,,,,
116230,161370,,Bayat-Khadzhi,,,,,,
116231,161370,,Kizyl-Atrek,,,,,,
116232,161370,,Kizel-Atrek,,,,,,
116233,161370,,Kizil-Atrek,,,,,,
116234,161370,,Kyzyl-Atrek,,,,,,
4019605,161370,,Gyzyletrek,,,,,,
7525626,161370,link,https://en.wikipedia.org/wiki/Gyzyletrek,,,,,,
9743695,161370,tk,Etrek,,,,,,
9743696,161370,,Kyzylay,,,,,,
116235,161371,,Aul Gassan-Kuli,,,,,,
116236,161371,,Hasan-Kuli,,,,,,
116237,161371,,Gassan-Kuli,,,,,,
116238,161371,,Hasan Quili,,,,,,
116239,161371,,Gasan-Kuli,,,,,,
4019607,161371,,Esenguly,,,,,,
7074427,161371,link,https://en.wikipedia.org/wiki/Esenguly,,,,,,
9743697,161371,ru,Гасан-Кули,,,,,,
15425496,161371,wkdt,Q5397608,,,,,,
116240,161374,,Zaulu,,,,,,
116241,161374,,Or-Kolashik,,,,,,
4019613,161374,,Zau,,,,,,
8661082,161374,tk,Zaw,,,,,,
8661083,161374,ru,Зау,,,,,,
116242,161375,,Zaliv Yuzhnyy Cheleken,,,,,,
116243,161375,,Yzhno-Chelekenskiy Guba,,,,,,
116244,161375,,Zaliv Karakul’-Dar’ya,,,,,,
116245,161375,,Yuzhno-Chelekenskiy Zaliv,,,,,,
116246,161375,,Yuzhnyy Chelekenskiy Zaliv,,,,,,
4019618,161375,,Gonorta Çeleken Aýlagy,,,,,,
8616620,161376,tk,Ýuwangala,,,,,,
8616621,161376,ru,Юванкала,,,,,,
8616622,161376,,Yuvan-Kala,,,,,,
116247,161378,,Yurta-Baba,,,,,,
4019621,161378,,Razvaliny Yurtababa,,,,,,
9743698,161378,ru,Развалины Юртабаба,,,,,,
8616623,161379,,Gora Yulgely-Vashi,,,,,,
8616624,161379,,Gora Yulgelybashi,,,,,,
8616625,161379,ru,Гора Юлгелыбаши,,,,,,
116248,161381,,Eshek-Sien,,,,,,
4019626,161381,,Yesheksiyen,,,,,,
116249,161382,,Eason-Ali,,,,,,
4019630,161382,,Kolodets Yesan-Ali,,,,,,
116250,161383,,Yerryk-Kata,,,,,,
116251,161383,,Errik-Kala,,,,,,
4019631,161383,,Yerrikkala,,,,,,
9938834,161383,,Herrikgala,,,,,,
9938835,161383,,Erikkala,,,,,,
9938836,161383,,Kherrikkala,,,,,,
9938837,161383,ru,Эриккала,,,,,,
116252,161384,,Erbent,,,,,,
116253,161384,,Iyerbent,,,,,,
4019633,161384,,Yerbent,,,,,,
11307340,161384,link,https://en.wikipedia.org/wiki/Erbent,,,,,,
15874855,161384,wkdt,Q16891075,,,,,,
116254,161386,,Yenap,,,,,,
4019634,161386,,Razvaliny Yenap,,,,,,
11911994,161386,ru,Развалины Енап,,,,,,
9191379,161388,,Gora Yellikaya,,,,,,
9191380,161388,ru,Гора Елликая,,,,,,
9191381,161388,,Gora Yelli-Kaya,,,,,,
116255,161390,,Gora Yekalyen,,,,,,
4019642,161390,,Gora Yekalych,,,,,,
15268056,161390,wkdt,Q31494010,,,,,,
116256,161391,,Kolodets Egribogaz,,,,,,
4019645,161391,,Kolodets Yeger-Bugaz,,,,,,
9743699,161393,,Bugor Yeganseit,,,,,,
9743700,161393,ru,Бугор Егансеит,,,,,,
116257,161394,,Kolodets Gyady-Kyasa,,,,,,
4019646,161394,,Kolodets Yeddy-Kuyu,,,,,,
116258,161395,,Avaza,,,,,,
116259,161395,,Avazy,,,,,,
116260,161395,,Auazy,,,,,,
4019651,161395,,Yauzy,,,,,,
7538309,161395,link,https://en.wikipedia.org/wiki/Avaza,,,,,,
116261,161396,,Yasman-Salyk,,,,,,
4019654,161396,,Yasman,,,,,,
9938838,161396,,Imeni Guvancha-Orazava,,,,,,
9938839,161396,ru,Имени Гуванча-Оразава,,,,,,
9938840,161396,ru,Ясман-Салык,,,,,,
116262,161397,,Lake Yaskhan,,,,,,
4019655,161397,,ozero Yaskha,,,,,,
116263,161398,,Yaskhan,,,,,,
4019656,161398,,Yaskha,,,,,,
8797208,161399,tk,Ýaşlyk,,,,,,
8797209,161399,,Yashlyk,,,,,,
8797210,161399,ru,Яшлык,,,,,,
116264,161404,,Yarodzhi,,,,,,
116265,161404,,Yaradzha,,,,,,
116266,161404,,Yarodzha-Kala,,,,,,
4019661,161404,,Yaradzhi,,,,,,
9069438,161404,tk,Yarajy,,,,,,
9069439,161404,ru,Яраджи,,,,,,
