AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1070493,2210118,,Ergh Tuíl el-Halláb,,,,,,
1070494,2210118,,Erg Touil Halleb,,,,,,
3660285,2210118,,Erg Touil el Hellab,,,,,,
13865479,2210118,,Ergh Tuíl Halláb,,,,,,
13865480,2210118,,‘Irq Ţawīl al Ḩallāb,,,,,,
1072494,2213074,,Ra’s Ramlat al Msenaat,,,,,,
1072495,2213074,,Gara Kader,,,,,,
1072496,2213074,,Ras Ramlet el Msenaat,,,,,,
1072497,2213074,,Rass Ramlet el Msenaat,,,,,,
1072498,2213074,,Ra’s Ramlat al Maḑī‘āt,,,,,,
3661620,2213074,,Qārat Qādir,,,,,,
1078735,2220137,,Bāb et Tsobbi,,,,,,
1078736,2220137,,El Bab,,,,,,
3665886,2220137,,Al Bāb,,,,,,
11017968,2220137,,Bab et Tsobbi,,,,,,
1151062,2463537,,Wādī Mallāq,,,,,,
1151063,2463537,,Oued Mellegue,,,,,,
1151064,2463537,,Oued Mellgue,,,,,,
4409042,2463537,,Oued Mellègue,,,,,,
4409043,2463537,,Wādī Melleg,,,,,,
1151066,2463538,,Wādī Taïda,,,,,,
1151067,2463538,,Wādī Fayidah,,,,,,
4417005,2463538,,Wādī Fā’idah,,,,,,
11021531,2463538,,Oued Taïda,,,,,,
1151559,2463809,,Sīdī ‘Abd Allāh al Grib,,,,,,
4486485,2463809,,Sidi Abd Allah el Grib,,,,,,
1151560,2463810,,Kalaa Matmata,,,,,,
1151561,2463810,,Maţmāţah,,,,,,
2426796,2463810,ru,Матмата,,,,,,
2944485,2463810,link,https://en.wikipedia.org/wiki/Matmata%2C_Tunisia,,,,,,
4486486,2463810,,Matmata,,,,,,
1151562,2463811,,Jebel Hurba,,,,,,
1151564,2463811,,Djebel Faouara,,,,,,
1151565,2463811,,Djebel Fauara,,,,,,
1151566,2463811,,Jebel Fanasa,,,,,,
4486487,2463811,,Jabal al Fawwār,,,,,,
4486488,2463811,,Djebel el Faouar,,,,,,
1151567,2463812,,Amrat Djedid,,,,,,
4486489,2463812,,Amrat Jadīd,,,,,,
1151568,2463813,,Oum el Greb,,,,,,
4486490,2463813,,Umm al Greb,,,,,,
1151569,2463814,,Oued el Zouizel,,,,,,
4486491,2463814,,Wādī az Zuwayzil,,,,,,
1151570,2463815,,Wādī Zuwayyah,,,,,,
4486492,2463815,,Oued Zouaïa,,,,,,
1151571,2463816,,Hanshīr Zuwayyah,,,,,,
4486493,2463816,,Henchir Zouia,,,,,,
1151572,2463817,,Bordj Zouitinat El Bey,,,,,,
1151573,2463817,,Zuwaytīnat al Bāy,,,,,,
1151574,2463817,,Zouitine,,,,,,
4486494,2463817,,Zouitinat el Bey,,,,,,
1151575,2463818,,Oued Zouïtinat,,,,,,
4486495,2463818,,Wādī Zuwaytīnāt,,,,,,
1151576,2463819,,‘Ayn Zuwaytīnah,,,,,,
3233687,2463819,,Aïne Zouitina,,,,,,
1151577,2463820,,Zouïtina,,,,,,
4486496,2463820,,Zuwaytīnah,,,,,,
1151578,2463821,,Bi’r Zuwaytah,,,,,,
4486497,2463821,,Bir Zouita,,,,,,
1151579,2463822,,Oued Zouibiat el Hachana,,,,,,
