AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1454134,3573514,,Chacachacare Island,,,,,,
1454135,3573514,,Island of Chacachacare,,,,,,
6889274,3573514,link,https://en.wikipedia.org/wiki/Chacachacare,,,,,,
7771638,3573514,,Chacachacare,,,,,,
1454136,3573519,,Yarra Undemarcated Forest Reserve,,,,,,
1454137,3573519,,Yarra Forest Reserve,,,,,,
7771639,3573519,,Yarra Reserve,,,,,,
1454138,3573521,,Woodlands Village,,,,,,
7771640,3573521,,Woodlands,,,,,,
13801134,3573523,unlc,TTWDK,,,,,,
1454139,3573525,,Corsair Bay,,,,,,
7771641,3573525,,Winn’s Bay,,,,,,
15718625,3573527,wkdt,Q31592441,,,,,,
15958921,3573527,,Windsor,,,,,,
1454140,3573528,,Manzanilla Windbelt Reserve,,,,,,
1454141,3573528,,Manzanilla Windbelt Forest Reserve,,,,,,
7771642,3573528,,Windbelt Reserve,,,,,,
1454142,3573529,,Williamsville Station,,,,,,
7771643,3573529,,Williamsville,,,,,,
1454143,3573535,,White Islets,,,,,,
1454144,3573535,,White Island,,,,,,
4307583,3573535,,White Islands,,,,,,
15244670,3573536,wkdt,Q31592457,,,,,,
15958922,3573536,,White Cliff,,,,,,
1454148,3573545,,Warners Village,,,,,,
7771644,3573545,,Warners,,,,,,
14931156,3573546,wkdt,Q35316799,,,,,,
1454149,3573547,,Vistabella Village,,,,,,
7771645,3573547,,Vistabella,,,,,,
7771646,3573547,,Vista Bella,,,,,,
13801133,3573547,unlc,TTVBL,,,,,,
1454151,3573550,,Victoria Village,,,,,,
7771647,3573550,,Victoria,,,,,,
1454152,3573551,,Vessiny River,,,,,,
7771648,3573551,,Vessigny River,,,,,,
1454153,3573554,,Cano Venturo River,,,,,,
7771649,3573554,,Caño Venturo,,,,,,
2986039,3573557,link,https://en.wikipedia.org/wiki/Valsayn,,,,,,
7771650,3573557,,Valsayn,,,,,,
13801131,3573557,unlc,TTTOB,,,,,,
1454154,3573559,,Valencia Ward,,,,,,
1454155,3573559,,Valencia,,,,,,
7771651,3573559,,Ward of Valencia,,,,,,
1454156,3573560,,Valencia Village,,,,,,
7771652,3573560,,Valencia,,,,,,
13635181,3573560,link,"https://en.wikipedia.org/wiki/Valencia,_Trinidad_and_Tobago",,,,,,
1454157,3573562,,Spring River,,,,,,
7771653,3573562,,Uquire River,,,,,,
8618375,3573565,,Upper Carapichaima,,,,,,
8618376,3573565,,Upper Carapichima,,,,,,
1454158,3573568,,Union Village,,,,,,
7771654,3573568,,Union,,,,,,
1454159,3573570,,Parasol Rock,,,,,,
7771655,3573570,en,Umbrella Rock,,,,,,
