AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
6889147,2110289,link,https://en.wikipedia.org/wiki/Kongo_Loto_Lafanga,,,,,,
2940067,2110291,link,https://en.wikipedia.org/wiki/Vasafua,,,,,,
4313317,2110291,,Vasafua,,,,,,
1041304,2110293,,Tracy Island,,,,,,
1041305,2110293,,Oaitupu,,,,,,
1041306,2110293,,Tracy’s Island,,,,,,
3051083,2110293,link,https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D0%B8%D1%82%D1%83%D0%BF%D1%83,,,,,,
4313318,2110293,,Vaitupu,,,,,,
6890132,2110294,link,https://en.wikipedia.org/wiki/Unimai,,,,,,
15775587,2110294,wkdt,Q3297058,,,,,,
1564692,2110297,am,ቱቫሉ,,,,,,
1564693,2110297,ar,توفالو,,,,,,
1564694,2110297,bg,Тувалу,,,,,,
1564695,2110297,cs,Tuvalu,,,,,,
1564696,2110297,cy,Twfalw,,,,,,
1564697,2110297,da,Tuvalu,,,,,,
1564698,2110297,de,Tuvalu,,,,,,
1564699,2110297,el,Τουβαλού,,,,,,
1564700,2110297,en,Tuvalu,,,,,,
1564701,2110297,eo,Tuvalo,,,,,,
1564702,2110297,es,Tuvalu,1,1,,,,
1564703,2110297,et,Tuvalu,,,,,,
1564704,2110297,fa,تووالو,,,,,,
1564705,2110297,fi,Tuvalu,,,,,,
1564706,2110297,fr,Tuvalu,,,,,,
1564707,2110297,ga,Túválú,1,,,,,
1564708,2110297,he,טובאלו,,,,,,
1564709,2110297,hi,तुवालु,,,,,,
1564710,2110297,hr,Tuvalu,,,,,,
1564711,2110297,hu,Tuvalu,,,,,,
1564712,2110297,hy,Տուվալու,,,,,,
1564713,2110297,id,Tuvalu,,,,,,
1564714,2110297,is,Túvalú,,,,,,
1564715,2110297,it,Tuvalu,,,,,,
1564716,2110297,ja,ツバル,,,,,,
1564717,2110297,ka,ტუვალუ,,,,,,
1564718,2110297,ko,투발루,,,,,,
1564719,2110297,lt,Tuvalu,,,,,,
1564720,2110297,lv,Tuvalu,,,,,,
1564721,2110297,mk,Тувалу,,,,,,
1564722,2110297,ms,Tuvalu,,,,,,
1564723,2110297,mt,Tuvalu,,,,,,
1564724,2110297,nb,Tuvalu,,,,,,
1564725,2110297,nl,Tuvalu,,,,,,
1564726,2110297,nn,Tuvalu,,,,,,
1564727,2110297,pl,Tuvalu,,,,,,
1564728,2110297,pt,Tuvalu,,,,,,
1564729,2110297,ro,Tuvalu,,,,,,
1564730,2110297,ru,Тувалу,,,,,,
1564731,2110297,sk,Tuvalu,,,,,,
1564732,2110297,sl,Tuvalu,,,,,,
1564733,2110297,sr,Тувалу,,,,,,
1564734,2110297,sv,Tuvalu,,,,,,
1564735,2110297,ta,துவாலூ,,,,,,
1564736,2110297,th,ตูวาลู,,,,,,
1564737,2110297,tr,Tuvalu,,,,,,
1564738,2110297,uk,Тувалу,,,,,,
1564739,2110297,vi,Tu-va-lu,,,,,,
1564740,2110297,zh,图瓦卢,,,,,,
1627201,2110297,ca,Tuvalu,,,,,,
1627202,2110297,oc,Tuvalu,,,,,,
1979853,2110297,an,Tuvalu,,,,,,
1979854,2110297,be,Тувалу,,,,,,
1979855,2110297,eu,Tuvalu,,,,,,
1979856,2110297,frp,Tuvalu,,,,,,
1979857,2110297,gl,Tuvalu,,,,,,
1979858,2110297,ia,Tuvalu,,,,,,
1979859,2110297,io,Tuvalu,,,,,,
1979860,2110297,is,Túvalúeyjar,,,,,,
1979861,2110297,ks,टुवालु,,,,,,
1979862,2110297,kw,Tuvalu,,,,,,
1979863,2110297,la,Tuvalu,,,,,,
1979864,2110297,na,Tubaru,,,,,,
1979865,2110297,nds,Tuvalu,,,,,,
1979866,2110297,no,Tuvalu,,,,,,
1979867,2110297,ps,تووالو,,,,,,
1979868,2110297,sa,टुवालु,,,,,,
1979869,2110297,se,Tuvalu,,,,,,
1979870,2110297,hbs,Tuvalu,,,,,,
1979871,2110297,sq,Tuvalu,,,,,,
1979872,2110297,th,ประเทศตูวาลู,,,,,,
1979873,2110297,tl,Tuvalu,,,,,,
1979874,2110297,tpi,Tuvalu,,,,,,
1979875,2110297,ty,Tuvaru,,,,,,
