AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
15098911,148657,wkdt,Q34788970,,,,,,
15918110,148657,,Zue Island,,,,,,
113478,148658,,Zoboro,,,,,,
4016838,148658,,Zuboro,,,,,,
113479,148659,,Zozoich,,,,,,
4016839,148659,,Zozoichi,,,,,,
4016840,148664,en,Zombo,,,,,,
3175986,148665,en,Zombe,,,,,,
7534772,148666,link,https://en.wikipedia.org/wiki/Zoissa,,,,,,
7559484,148666,,Zoissa,,,,,,
113480,148671,,Siwani,,,,,,
4016841,148671,,Ziwani,,,,,,
11109525,148676,,Muyuni A,,,,,,
11109526,148676,,Ziwani,,,,,,
11109527,148677,,Kwaalinatu,,,,,,
11109528,148677,,Ziwani,,,,,,
11109529,148677,,Holmwood,,,,,,
113481,148678,,Mivumoishirini,,,,,,
113482,148678,,Mivumoishuni,,,,,,
4016842,148678,,Ziwani,,,,,,
113483,148679,,Ziwa Magharibi Region,,,,,,
113484,148679,,Lake Province,,,,,,
113485,148679,,West Lake Region,,,,,,
113486,148679,,Lake Region,,,,,,
2186548,148679,,Kagera,1,1,,,,
5649509,148679,,Kagera Region,,,,,,
7996164,148679,en,Kagera,,,,,,
7996165,148679,sw,Mkoa wa Kagera,,,,,,
8234897,148679,link,https://en.wikipedia.org/wiki/Kagera_Region,,,,,,
14911447,148679,wkdt,Q309190,,,,,,
113487,148680,,Ziwala,,,,,,
4016843,148680,,Ziwafa,,,,,,
113488,148683,,Sira,,,,,,
4016844,148683,,Zira River,,,,,,
113489,148684,,Siragura-Insel,,,,,,
4016845,148684,,Ziragura Island,,,,,,
14888751,148684,wkdt,Q34788896,,,,,,
113490,148686,,Zinisa,,,,,,
4016846,148686,,Zipisa,,,,,,
113491,148687,,Mto Mzinga Mzinga,,,,,,
113492,148687,,Mto Zingwi Zingwi,,,,,,
4016847,148687,,Zingwe Zingwe River,,,,,,
11109530,148691,,Zingwezingwe,,,,,,
11109531,148691,,Zingwe Zingwe,,,,,,
113493,148697,,Zinga,,,,,,
4016848,148697,,Zinga Mulike,,,,,,
15565520,148698,wkdt,Q34788884,,,,,,
15918111,148698,,Zinga Island,,,,,,
4016849,148699,en,Zinga,,,,,,
14888748,148702,wkdt,Q34788880,,,,,,
15918112,148702,,Zimo Island,,,,,,
113494,148703,,Zimbili,,,,,,
4016850,148703,,Zimhali,,,,,,
113495,148707,,Zimhali,,,,,,
4016851,148707,,Zimbili,,,,,,
113496,148708,,Nzimba,,,,,,
4016852,148708,,Zimba,,,,,,
113497,148714,,Zivwe,,,,,,
4016853,148714,,Zibwe River,,,,,,
15556434,148717,wkdt,Q34788752,,,,,,
15918113,148717,,Zeru Island,,,,,,
113498,148723,,Zanzui,,,,,,
113499,148723,,Sansui,,,,,,
4016854,148723,,Zanzuzi,,,,,,
113500,148724,,Urban District of Zanzibar,,,,,,
2186552,148724,,Zanzibar Urban/West,1,1,,,,
2921325,148724,link,https://en.wikipedia.org/wiki/Zanzibar_Urban%2FWest_Region,,,,,,
3047370,148724,link,https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%BD%D0%B7%D0%B8%D0%B1%D0%B0%D1%80_%28%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%29,,,,,,
5649510,148724,,Zanzibar Urban/West Region,,,,,,
