AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
6226,49528,,Volcan Gahinga,,,,,,
6227,49528,,Mahing,,,,,,
6228,49528,,Gahinga,,,,,,
3603453,49528,,Mgahinga,,,,,,
5759885,49528,link,https://en.wikipedia.org/wiki/Mount_Gahinga,,,,,,
139077,184457,,Nangataret Kaakodiam,,,,,,
15274461,184457,wkdt,Q31395848,,,,,,
4108663,188916,,Loolimo,,,,,,
15531131,188916,wkdt,Q31395849,,,,,,
140468,189129,,Nakwanamoru,,,,,,
4108714,189129,,Lokwangamoru,,,,,,
8617423,225792,,Zulia Central Forest Reserve,,,,,,
8617424,225792,,Zulia Forest,,,,,,
8617425,225792,,Zulia Forest Reserve,,,,,,
150732,225793,,Lothulia,,,,,,
4219930,225793,,Zulia,,,,,,
8661438,225793,,Mount Zulia,,,,,,
11290917,225793,link,https://en.wikipedia.org/wiki/Mount_Zulia,,,,,,
15301555,225793,wkdt,Q31525860,,,,,,
15668956,225797,wkdt,Q6697604,,,,,,
150733,225799,,Zoha,,,,,,
6127812,225799,,Zoka,,,,,,
150734,225800,,Dziru,,,,,,
150735,225800,,Zira Island,,,,,,
4219931,225800,,Ziru Island,,,,,,
15480720,225800,wkdt,Q34788922,,,,,,
150736,225801,,Ziro,,,,,,
4219932,225801,,Ziru Island,,,,,,
15374224,225801,wkdt,Q34788910,,,,,,
15255543,225802,wkdt,Q34788917,,,,,,
15950630,225802,,Ziru Island,,,,,,
11952457,225804,en,Ziro Island,,,,,,
14949736,225804,wkdt,Q34788903,,,,,,
150737,225810,,Zintengese,,,,,,
4219933,225810,,Zintengeze,,,,,,
15440100,225816,wkdt,Q31395852,,,,,,
15950631,225816,,Zinat,,,,,,
13193196,225820,,Zimuddi,,,,,,
13193197,225820,,Zimudi,,,,,,
15604092,225821,wkdt,Q34788871,,,,,,
15950632,225821,,Zigwe Island,,,,,,
12098284,225824,en,Zibira Point,,,,,,
150738,225828,,Zeio,,,,,,
4219934,225828,,Zeu,,,,,,
150739,225833,,Zawa,,,,,,
4219935,225833,,Zaiwa,,,,,,
15693384,225833,wkdt,Q31395853,,,,,,
7106625,225834,,Dzaipi,,,,,,
7106626,225834,,Zaipi,,,,,,
7189856,225835,link,https://en.wikipedia.org/wiki/Yumbe,,,,,,
7322141,225835,,Yumbe,,,,,,
15612821,225835,wkdt,Q2488907,,,,,,
12098285,225836,en,Yubwe Island,,,,,,
15211707,225836,wkdt,Q34788567,,,,,,
150740,225838,,Yaule,,,,,,
4219936,225838,,Yole,,,,,,
