AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1627235,4041675,ca,Cap Flipper,,,,,,
1627238,4041676,ca,Cap Heel,,,,,,
1627230,4041678,ca,Cap Kuku,,,,,,
1627225,4041681,ca,Cap Peacock,,,,,,
12668234,4041681,,Kubi-Saki,,,,,,
1627236,4041682,ca,Cap Peale,,,,,,
12597085,4041682,,Peale Islet,,,,,,
12749029,4041682,,Hani-Shima,,,,,,
15704315,4041682,wkdt,Q31985226,,,,,,
1627232,4041683,ca,Cap Toki,,,,,,
7636308,4041684,no,Wakeøya,,,,,,
7636309,4041684,link,https://en.wikipedia.org/wiki/Wake_Island,,,,,,
12367504,4041684,,Mendana Island,,,,,,
12460323,4041684,,Wakes Island,,,,,,
12511593,4041684,,San Francisco Island,,,,,,
12566967,4041684,,Halcyon Island,,,,,,
12668235,4041684,,Wake Island,,,,,,
12668236,4041684,,Oton Jima,,,,,,
12708666,4041684,,Otorishina,,,,,,
1621894,4041685,en,Wake Island,,,,,,
1621895,4041685,es,Isla Wake,,,,,,
1621896,4041685,de,Wake,,,,,,
1621897,4041685,bg,Уейк,,,,,,
1621898,4041685,ca,Illes Wake,,,,,,
1621899,4041685,da,Wake Island,,,,,,
1621900,4041685,eo,Vejkinsulo,,,,,,
1621901,4041685,fi,Wakensaari,,,,,,
1621902,4041685,fr,Île Wake,,,,,,
1621903,4041685,gl,Illa Wake,,,,,,
1621904,4041685,he,וייק,,,,,,
1621905,4041685,hu,Wake-sziget,,,,,,
1621906,4041685,id,Pulau Wake,,,,,,
1621907,4041685,it,Isola di Wake,,,,,,
1621908,4041685,ja,ウェーク島,,,,,,
1621909,4041685,ko,웨이크 섬,,,,,,
1621910,4041685,nl,Wake-eiland,,,,,,
1621911,4041685,no,Wake Island,,,,,,
1621912,4041685,pl,Wake,,,,,,
1621913,4041685,pt,Ilha Wake,,,,,,
1621914,4041685,ru,Атолл Уэйк,,,,,,
1621915,4041685,hbs,Otok Wake,,,,,,
1621916,4041685,sk,Wake,,,,,,
1621917,4041685,sv,Wake,,,,,,
1621918,4041685,tr,Wake Adası,,,,,,
1621919,4041685,zh,威克島,,,,,,
1898342,4041685,cs,Wake,,,,,,
1898343,4041685,is,Varsímaeyja,,,,,,
1898344,4041685,th,เกาะเวก,,,,,,
1984344,4041685,et,Wake,,,,,,
1984345,4041685,frp,Ila Vake,,,,,,
1984346,4041685,lv,Veika sala,,,,,,
8234906,4041685,link,https://en.wikipedia.org/wiki/Wake_Island,,,,,,
10726258,4041685,iata,AWK,,,,,,
12375965,4041685,,Disclerta,,,,,,
12376009,4041685,,Moccasin,,,,,,
12376010,4041685,,Helsion Island,,,,,,
12376011,4041685,,Enen-Kio,,,,,,
12376012,4041685,,Mendana,,,,,,
12376013,4041685,,Wakes Island,,,,,,
12376014,4041685,,Wake Atoll,,,,,,
12418504,4041685,,Wake's Atoll,,,,,,
12418505,4041685,,Wilson Island,,,,,,
12418526,4041685,,Tori Jima,,,,,,
12471287,4041685,,Berry,,,,,,
12511592,4041685,,San Francisco Island,,,,,,
12517846,4041685,,Enenkio Atoll,,,,,,
12548332,4041685,,Weeks Island,,,,,,
12566966,4041685,,Halcyon Island,,,,,,
12620787,4041685,,Lamira,,,,,,
12620788,4041685,,Jeroboam,,,,,,
12626199,4041685,,Wreck Island,,,,,,
12676229,4041685,,Otori-Shima,,,,,,
12758424,4041685,,Wake's Island,,,,,,
12758426,4041685,,Wake Gruppe,,,,,,
12758427,4041685,,Wakers Island,,,,,,
13801540,4041685,unlc,UMAWK,,,,,,
1886980,4041686,icao,PWAK,,,,,,
1889589,4041686,iata,AWK,,,,,,
5806042,4041686,link,https://en.wikipedia.org/wiki/Wake_Island_Airfield,,,,,,
10726257,4041686,en,Wake Island Airfield,,,,,,
12749090,4041686,,Wake Island Airport,,,,,,
13858083,4041686,unlc,UMAWK,,,,,,
1627228,4041688,ca,Illa Wilkes,,,,,,
12597086,4041688,,Ashi-Shima,,,,,,
15674435,4041688,wkdt,Q32042333,,,,,,
15227613,4743747,wkdt,Q32017232,,,,,,
15491460,4743748,wkdt,Q32017237,,,,,,
12568601,4743752,,Los Bajos,,,,,,
15528143,4743752,wkdt,Q31875364,,,,,,
1622689,4743755,de,Navassa,,,,,,
1622690,4743755,en,Navassa Island,,,,,,
1622691,4743755,es,Isla Navassa,,,,,,
1622692,4743755,ca,Illa Navassa,,,,,,
1622693,4743755,eo,Navasa Insulo,,,,,,
1622694,4743755,fi,Navassa,,,,,,
1622695,4743755,he,נבאסה,,,,,,
1622696,4743755,hu,Navassa-sziget,,,,,,
1622697,4743755,id,Pulau Navassa,,,,,,
1622698,4743755,is,Navassaeyja,,,,,,
1622699,4743755,it,Isola Navassa,,,,,,
1622700,4743755,ja,ナヴァッサ島,,,,,,
1622701,4743755,ko,나바사 섬,,,,,,
1622702,4743755,kw,Ynys Navassa,,,,,,
1622703,4743755,nl,Navassa,,,,,,
1622704,4743755,no,Navassa-øya,,,,,,
1622705,4743755,pl,Navassa,,,,,,
1622706,4743755,pt,Navassa,,,,,,
1622707,4743755,ru,Остров Навасса,,,,,,
1622708,4743755,hbs,Otok Navassa,,,,,,
1622709,4743755,sr,Наваса,,,,,,
1622710,4743755,sv,Navassaön,,,,,,
1622711,4743755,zh,納弗沙島,,,,,,
1634684,4743755,hr,Otok Navassa,,,,,,
1634685,4743755,tr,Navassa Adası,,,,,,
1899029,4743755,cs,Navassa,,,,,,
1899030,4743755,sk,Navassa,,,,,,
1985944,4743755,fr,Île de Navassa,,,,,,
1985945,4743755,ru,Навасса,,,,,,
2920030,4743755,link,https://en.wikipedia.org/wiki/Navassa_Island,,,,,,
3056965,4743755,link,https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%B2%D0%B0%D1%81%D1%81%D0%B0_%28%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B2%29,,,,,,
13801547,4743755,unlc,UMNAV,,,,,,
3004385,4743759,link,https://en.wikipedia.org/wiki/Serranilla_Bank,,,,,,
3004386,4743779,link,https://en.wikipedia.org/wiki/Bajo_Nuevo_Bank,,,,,,
5580398,4743779,,Petrel Islands,,,,,,
12377793,4743779,,Bajo Nuevo Bank,,,,,,
