AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1410513,3439484,,Laguna Sauce,,,,,,
1410514,3439484,,Sauce,,,,,,
1410515,3439484,,Laguna del Potrero,,,,,,
1410516,3439484,,Potrero,,,,,,
1410517,3439484,,Laguna Potrero,,,,,,
4413444,3439484,,Laguna del Sauce,,,,,,
7525568,3439484,link,https://en.wikipedia.org/wiki/Laguna_del_Sauce,,,,,,
1410518,3439486,,Canal de los Zumacas,,,,,,
1410519,3439486,,Canal de las Zamucas,,,,,,
4413445,3439486,,Canal de las Zumacas,,,,,,
1410520,3439487,,Cañada de Zorra,,,,,,
1410521,3439487,,Zorro,,,,,,
4413446,3439487,,Cañada de la Zorro,,,,,,
1410522,3439488,,Cañada Honda,,,,,,
1410523,3439488,,Zorro,,,,,,
4413447,3439488,,Cañada del Zorro,,,,,,
1410524,3439489,,Carro,,,,,,
1410525,3439489,,Zorro,,,,,,
4413448,3439489,,Cañada del Zorro,,,,,,
1410526,3439490,,Zorro,,,,,,
4413449,3439490,,Cañada del Zorro,,,,,,
1410527,3439491,,Zorro,,,,,,
4413450,3439491,,Arroyo del Zorro,,,,,,
1410528,3439492,,Cañada Zárate,,,,,,
1410529,3439492,,Zarate,,,,,,
4413451,3439492,,Cañada Zárate de Tala,,,,,,
1410530,3439493,,Zapucay,,,,,,
4413452,3439493,,Arroyo Zapucay,,,,,,
1410531,3439495,,Zapicán,,,,,,
4413453,3439495,,Estación Zapicán,,,,,,
7553069,3439497,link,https://en.wikipedia.org/wiki/Zapic%C3%A1n,,,,,,
7567853,3439497,,Zapicán,,,,,,
15720949,3439497,wkdt,Q147368,,,,,,
1410532,3439498,,Campanero,,,,,,
1410533,3439498,,Arroyo del Zapatero,,,,,,
4413454,3439498,,Arroyo Zapatero,,,,,,
14928669,3439499,wkdt,Q32002750,,,,,,
15977961,3439499,,Punta Zapata,,,,,,
1410534,3439500,,Zapata,,,,,,
4413455,3439500,,Arroyo Zapata,,,,,,
11174192,3439501,es,Zapará,,,,,,
1410535,3439502,,Isla Zapallo,,,,,,
4413456,3439502,,Isla del Zapallo,,,,,,
14922030,3439502,wkdt,Q31924095,,,,,,
1410536,3439504,,Arroyo de Zapallos,,,,,,
1410537,3439504,,Arroyo del Zapallar,,,,,,
