AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
277078,453752,,Respublika Karakalpakstan,,,,,,
277079,453752,,Kara-Kalpakskaya ASSR,,,,,,
277080,453752,,Qoraqalpoghiston ASSR,,,,,,
277081,453752,en,Karakalpakstan,,,,,,
277082,453752,,Karakalpakiya,,,,,,
277083,453752,,Karakalpakski,,,,,,
277084,453752,,Kara-Kalpak ASSR,,,,,,
277085,453752,,Qoraqalpog‘iston,,,,,,
277086,453752,,Karakalpakskaya Avtonomnaya Sovetskaya Sotsialisticheskaya Respublika,,,,,,
277087,453752,,Qoraqalpoghiston Respublikasi,,,,,,
2186111,453752,,Qoraqalpog iston,1,1,,,,
5649112,453752,,Qoraqalpog‘iston Respublikasi,,,,,,
5906120,453752,,Karakalpakstan,,,,,,
8234907,453752,link,https://en.wikipedia.org/wiki/Karakalpakstan,,,,,,
323773,552968,,Qorabowur Kirlari,,,,,,
323774,552968,,Uval Karabaur,,,,,,
3868529,552968,,Qarabaūyr Zhaly,,,,,,
6640263,552968,,Qorabovur Qirlari,,,,,,
327104,561375,,Turkmen Canal,,,,,,
327105,561375,,Great Turkmen Canal,,,,,,
327106,561375,,Main Turkmen Canal,,,,,,
3884583,561375,,Glavnyy Turkmenskiy Kanal,,,,,,
335437,580548,,Vpadina Assake-Kaudan,,,,,,
3921070,580548,,Vpadina Assake-Audan,,,,,,
6640530,580548,uz,Asaka Ovdan Botig‘i,,,,,,
6641520,601244,,Jasliq,,,,,,
6641521,601244,,Zhaslyk,,,,,,
11297265,601244,link,https://en.wikipedia.org/wiki/Jaslyk_Prison,,,,,,
361477,601245,,Kara-Uzyak,,,,,,
4014875,601245,,Zair,,,,,,
361478,601246,,Yaby-Kichak,,,,,,
4014967,601246,,Yabykipchak,,,,,,
6641522,601246,uz,Ko‘nchi,,,,,,
6641523,601248,uz,Uyg‘irko‘l,,,,,,
6641524,601248,,Uygurgul’,,,,,,
6641525,601249,,Uru Quduq,,,,,,
6641526,601249,,Urru,,,,,,
6641527,601252,uz,O‘rdaboy Quduq,,,,,,
6641528,601252,,Urdabay,,,,,,
361479,601253,,Mys Ul’kuyek-Tumsuk,,,,,,
361480,601253,,Mys Dzhaman-Murun,,,,,,
361481,601253,,Mys Ul’kuen-Tuumsuk,,,,,,
361482,601253,,Mys Ul’kuntumsyk,,,,,,
361483,601253,,Mys Ulban-Tumsuk,,,,,,
361484,601253,,Mys Ul’kun-Tumsuk,,,,,,
4015038,601253,,Mys Ul’kentumsyk,,,,,,
6641531,601254,,Uchsoy,,,,,,
6641532,601254,,Uchsay,,,,,,
6641533,601255,,Ushquduq Quduq,,,,,,
6641534,601255,,Kolodets Uch-Kuduk,,,,,,
2924682,601256,link,https://en.wikipedia.org/wiki/Tokmak%2C_Uzbekistan,,,,,,
4015111,601256,,Tokmak,,,,,,
6641536,601256,,Tokpakota,,,,,,
361485,601258,,Tugustun-Tumar,,,,,,
4015115,601258,,Kolodets Togus-Ken,,,,,,
15543758,601260,wkdt,Q31964845,,,,,,
15918073,601260,,Mys Tigrovyy Khvost,,,,,,
361486,601263,,Mys Tas-Tyube,,,,,,
4015144,601263,,Mys Tastyubek,,,,,,
15563553,601263,wkdt,Q31964838,,,,,,
361487,601266,,Gulf of Taldik,,,,,,
4015186,601266,,Zaliv Taldyk,,,,,,
361488,601269,,Takhia-Tash,,,,,,
